element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-2726.3397601888423,-948.4482662212814,4523.76659828902,2141.7023209987233,3062.28707893039,5067.288800074952,1854.8619117619392,-1907.8553218538596,-2653.992881073306,-1325.0316744229674,1112.1916734549688,2144.9170129860013,3037.5269484225705,4954.705935705083,3285.297756701502,-1317.8267106388773,-2491.67017756756,-1651.9943658332038,1769.0143094386738,5455.695506441459,9077.90048524396,11333.553145599102,11831.337107358402,10468.220580097455,8586.271636113255,6615.2412154094845,4385.639787702267,2006.834948480529,-860.7647524798732,-116.38193475484158,1974.6836474712911,4111.756885878503,2740.1747401518774,-1157.883298527416,-2325.202228615267,-1743.9652078849422,8.72906589389327,5246.092502342106,10485.601235560775,15050.5128666688,16745.795621319405,14286.022816156508,10325.386335125288,6145.165357483234,1797.8663352729864,-432.6208436745973,-2081.9249449539675,-305.34120468904274,1800.8616301468955,3356.1739941317473,2456.239206315132,-594.080907608794,-1847.0148245887688,-1588.4791268709732,638.3082049986025,3566.7122367145485,944.2507249014404,-1666.2734156974225,-1469.4624145185178,-460.9636364612676,-1641.1056210018253,1447.8882920043075,1073.462031985143,938.5118126808669,777.8671943925536,690.7184868185036,597.7215235744012,555.6573920297659,628.7029511878795,4899.310087985656,11312.252464684881,17128.81508389137,20756.119118600283,19020.890803210154,15348.588673226248,10310.187644493744,4817.69640944879,-542.2956021521197,252.79466933581816,-594.5478967170901,1613.1711223939874,3397.3123398921434,2650.4607246334926,-109.45824041252575,-1677.377634517505,-1777.8505960280459,-6.106740607006545,2897.253985702519,7179.289767081652,9552.472771677709,5262.040182262746,3655.263109956777,1197.3731740624185,-1407.6527042080866
He,2726.3397601888423,-0.0,1777.891204927591,7250.106349758623,4868.041776816808,5788.6267459149585,7793.628482911039,4581.201675253682,818.484209715477,72.34645842602477,1401.3074055281372,3838.5312258560916,4871.256129375047,5763.866517382655,7681.045304256466,6011.637296925497,1408.5127921533542,234.66873488603522,1074.344714641096,4495.354249751298,8182.0350542313545,11804.239862502702,14059.892608190028,14557.676426228809,13194.559620367867,11312.612178858497,9341.581605204434,7111.979945056147,4733.174366737975,1865.5747801028392,2609.958110438694,4701.023002612984,6838.096095514081,5466.513990088283,1568.456350693803,401.134865381033,982.3737042706578,2735.0680736036015,7972.432315496172,13211.94073535823,17776.852265008285,19472.135201264737,17012.362197627615,13051.725537673028,8871.504704664223,4524.204837119112,2293.718657730361,644.4132082185898,2420.9934613206333,4527.201340828344,6082.513493732486,5182.578995536499,2132.258673175887,879.3271840816891,1137.860301603501,3364.6475346137067,6293.047488858374,3670.5899685004338,1060.0660662133394,1256.8768612319875,2265.3756828922965,1085.2338288482395,4174.227422123769,3799.8010328765126,3664.851892183581,3504.2073069040675,3417.0587070245656,3324.06112272611,3281.9977159332716,3355.0431806510833,7625.648914199533,14038.59188777991,19855.154458548164,23482.458751178357,21747.230538377382,18074.928310561947,13036.527262299396,7544.036007528167,2184.043836070432,2979.134038631975,2131.7914305492686,4339.510270534024,6123.651559619333,5376.799761367305,2616.884185011317,1048.958924077489,948.4875109152966,2720.2360305295765,5623.5933907215785,9905.62871637702,12278.811488974545,7988.379552739071,6381.60408250502,3923.71266110526,1318.6865285159517
Li,948.4482662212814,-1777.891204927591,-0.0,5472.214880026468,3090.150606778035,4010.73482318187,6015.736478678314,2803.3097231229244,-959.4068604244243,-1705.5446723381501,-376.5844615579202,2060.6400655102752,3093.3650275808086,3985.9752188445864,5903.154169758508,4233.745998229815,-369.37839009329264,-1543.2219226778882,-703.5461196348518,2717.463204061876,6404.143865888023,10026.348760289658,12282.001373434567,12779.78502001351,11416.67024933944,9534.721619020518,7563.691039922272,5334.089083791053,2955.283906591975,87.68366683043385,832.0665765237329,2923.131405020568,5060.204642321973,3688.6223375051345,-209.43569051587033,-1376.753983627178,-795.5185299245646,957.1770274239971,6194.54122146977,11434.0496496355,15998.961133253084,17694.243993933695,15234.470645235033,11273.834412619726,7093.613607592562,2746.3134892280527,515.8274018736636,-1133.4766862957117,643.1020924749987,2749.3100106725983,4304.62237436865,3404.687587008286,354.36750476507314,-898.5683980659885,-640.0318031070436,1586.7564342941669,4515.156886771292,1892.6988641225876,-717.8251576125563,-521.014252150799,487.48456834687585,-692.6573803995732,2396.3365371096934,2021.9106156212827,1886.9603366406834,1726.3160184872947,1639.1667817296807,1546.1834840876943,1504.1057877058383,1577.1520843159153,5847.758352606895,12260.7008737512,18077.263336512693,21704.567521011624,19969.338421060893,16297.036588717154,11258.635932002842,5766.144679811254,406.1526389265563,1201.243017801033,353.90040496671344,2561.6196178859395,4345.760107026973,3598.908855240872,838.9928882144947,-728.929329394487,-829.4023098551593,942.3450946135204,3845.702357373035,8127.73801777364,10500.921153673757,6210.487188499125,4603.711771189813,2145.8214403119305,-459.2071958160854
Be,-4523.76659828902,-7250.106349758623,-5472.214880026468,-0.0,-2382.064244981584,-1461.4800036870179,543.5216376368454,-2668.9050211054773,-6431.622076733099,-7177.760101516058,-5848.798447686554,-3411.5748041984248,-2378.8497401544364,-1486.239366329594,430.9393681958756,-1238.4687023419626,-5841.593812870962,-7015.4367585463315,-6175.760834589085,-2754.750498866682,931.9401242580109,4554.1338456882795,6809.786508205658,7307.570520437128,5944.453905302492,4062.5051692308743,2091.4746690340585,-138.1265335812147,-2516.931661827398,-5384.531200391873,-4640.148322649771,-2549.0829655536627,-412.009728578409,-1783.5920124510615,-5681.649758187384,-6848.968891952939,-6267.714063955059,-4515.037658338845,722.326957516827,5961.834271310222,10526.7467174293,12222.02861213759,9762.255533863789,5801.619574998021,1621.3997482089303,-2725.9011127799718,-4956.388513057784,-6605.691605286671,-4829.1126830082485,-2722.9044135465256,-1167.5923053834886,-2067.5270020303487,-5117.84716094163,-6370.781141171152,-6112.247323054731,-3885.4583955307235,-957.0575841771848,-3579.515805889289,-6190.0408247919195,-5993.2301503164545,-4984.731010233739,-6164.872631685504,-3075.878286853145,-3450.30594428276,-3585.2545510598347,-3745.8991110538936,-3833.0477150150064,-3926.0448828569097,-3968.108284671643,-3895.0626814925718,375.5429674153834,6788.485409994166,12605.046973210385,16232.352026521512,14497.12331292621,10824.82171960727,5786.421080221718,293.93150314826505,-5066.063780653589,-4270.9721543146225,-5118.314572923739,-2910.5956133055106,-1126.4541606976668,-1873.3059177468012,-4633.221449674156,-6201.141594722115,-6301.617111509377,-4529.871630918193,-1626.5125093824838,2655.522553133834,5028.704927026354,738.2737992970114,-868.5016961967269,-3326.394872490528,-5931.417401230396
B,-2141.7023209987233,-4868.041776816808,-3090.150606778035,2382.064244981584,-0.0,920.5842446224987,2925.585888049856,-286.8407729844496,-4049.557770273981,-4795.695188810759,-3466.7343522768474,-1029.5106490740884,3.2144352634303788,895.8248539179931,2813.0034717553026,1143.595739056009,-3459.5290728548166,-4633.372485982199,-3793.6965900092846,-372.6880141258383,3313.992916523721,6936.198243116027,9191.8507545721,9689.63475825089,8326.518275559161,6444.569525851279,4473.538894852932,2243.937442590576,-134.86742578067341,-3002.467139497571,-2258.0837975965073,-167.0187331459369,1970.054462192561,598.472178470083,-3299.5855130123778,-4466.904626068701,-3885.6684488178385,-2132.9734047393567,3104.3901978654467,8343.89868370257,12908.811171874659,14604.092756441207,12144.319763789606,8183.683805383328,4003.462980714076,-343.8360537142608,-2574.323250930589,-4223.627535321338,-2447.0484249750994,-340.8403910134356,1214.4720397258548,314.5427976766551,-2735.7833686263266,-3988.7169012750196,-3730.181517780603,-1503.394166248609,1425.0099115478909,-1197.451710109091,-3807.9760326850555,-3611.1649258191037,-2602.66602657469,-3782.808000618171,-693.8135335674759,-1068.2404099478836,-1203.190327523577,-1363.8351834106709,-1450.9839109981258,-1543.980943449519,-1586.043688152489,-1512.9991441143413,2757.6074410726774,9170.549808735035,14987.113872050688,18614.416925717775,16879.187542746335,13206.885949727166,8168.485310716645,2675.995739316194,-2683.9981201909427,-1888.9078999109363,-2736.2500416444545,-528.5311812640281,1255.6101020182637,508.75848488178116,-2251.1578383152355,-3819.0774186541385,-3919.5527704113797,-2147.805558767224,755.5517939923388,5037.5869041694195,7410.770164012654,3120.338048600448,1513.5625632523918,-944.3291001224646,-3549.353352228959
C,-3062.28707893039,-5788.6267459149585,-4010.73482318187,1461.4800036870179,-920.5842446224987,-0.0,2005.0017210331166,-1207.4251200615572,-4970.142266717627,-5716.280345762123,-4387.318598854501,-1950.0947469001646,-917.3696274087439,-24.759707590206858,1892.419403261843,223.01117629791096,-4380.113679111078,-5553.956727584066,-4714.2808403943,-1293.270473106292,2393.4080958136124,6015.613888344186,8271.266519250923,8769.050450035593,7405.9340444191985,5523.985294819343,3552.954666143036,1323.3532110537396,-1055.4516118326715,-3923.0514415359135,-3178.6678830971377,-1087.6031314308073,1049.4701570942407,-322.1120884424265,-4220.16977429832,-5387.488863854931,-4806.204458654662,-3053.557638779798,2183.805861713753,7423.314368068775,11988.226920880938,13683.50918815065,11223.735533843726,7263.0995807380095,3082.8797063962074,-1264.4211835209762,-3494.908175305023,-5144.211844549191,-3367.632443686324,-1261.4246839786688,293.88664711593134,-606.046897362323,-3656.3671579996667,-4909.301138363217,-4650.76569303468,-2423.978405988965,504.42567064434985,-2118.035708693007,-4728.5600180671145,-4531.74935578005,-3523.25026236926,-4703.392632053106,-1614.3985074393365,-1988.8238503124194,-2123.7745357663903,-2284.4187040732545,-2371.5671771274333,-2464.5649106483274,-2506.656564303664,-2433.5826342003356,1837.0231857161027,8249.965498583024,14066.531436146497,17693.83202649546,15958.603312820855,12286.30171971293,7247.9010802456905,1755.4115154796843,-3604.5837364787494,-2809.4921476024233,-3656.834278664906,-1449.1155206316669,335.02594079492553,-411.82576494746695,-3171.742087125036,-4739.661656818484,-4840.137001164673,-3068.3897925241854,-165.03138621773363,4117.002577291566,6490.185855018727,2199.753811546153,592.9770244616622,-1864.913414033887,-4469.937668811154
N,-5067.288800074952,-7793.628482911039,-6015.736478678314,-543.5216376368454,-2925.585888049856,-2005.0017210331166,-0.0,-3212.426848997471,-6975.144013327787,-7721.282035586554,-6392.320246037018,-3955.09645759632,-2922.371222908261,-2029.761064556802,-112.58233916972681,-1781.9902361312704,-6385.115447791845,-7558.958402869379,-6719.282483932491,-3298.2721066082854,388.4063538134479,4010.612088405581,6266.264889532306,6764.048880374144,5400.932201014726,3518.983460872115,1547.953089280159,-681.6484314398282,-3060.453306079824,-5928.052836687108,-5183.669957599294,-3092.604615863275,-955.5314630838407,-2327.1135130247358,-6225.171406936848,-7392.490539168205,-6811.25367812167,-5058.564776255408,178.80381358010163,5418.312739273371,9983.22513258649,11678.507512397915,9218.733892649227,5258.097939180195,1077.8781422732752,-3269.4229658034747,-5499.910211679979,-7149.21319823643,-5372.634333022601,-3266.42606107287,-1711.113973346714,-2611.0486699935723,-5661.368808137268,-6914.302789074642,-6655.768958796781,-4428.980054171886,-1500.5796082191425,-4123.037458711869,-6733.5624597063725,-6536.751848071886,-5528.251931190552,-6708.394265278638,-3619.400414405338,-3993.827879992712,-4128.776155381002,-4289.420719407079,-4376.56931888359,-4469.566544964941,-4511.629887853803,-4438.584327338562,-167.9798164764317,6244.9636919000595,12061.524822663941,15688.831038317652,13953.601665563456,10281.300085987064,5242.899451618747,-249.59008974081195,-5609.585477793814,-4814.493828954062,-5661.836222973894,-3454.1167716684968,-1669.9758286608912,-2416.8275857100275,-5176.743096910437,-6744.6632416977645,-6845.139652154601,-5073.393402191422,-2170.0322372458427,2112.000901973884,4485.184912126241,194.7497630488722,-1412.0235031269146,-3869.916403012101,-6474.938829151613
O,-1854.8619117619392,-4581.201675253682,-2803.3097231229244,2668.9050211054773,286.8407729844496,1207.4251200615572,3212.426848997471,-0.0,-3762.7171637103415,-4508.8553685052,-3179.8935833886885,-742.6698594010742,290.05546590364037,1182.665645873676,3099.8444823032596,1430.4364938322321,-3172.6882995054057,-4346.531720336046,-3506.8556786805952,-85.84749403520244,3600.834297329806,7223.039004954311,9478.691531193073,9976.475462440534,8613.359045011232,6731.41031546729,4760.379874345815,2530.7782305756123,151.97366097029797,-2715.6263546724103,-1971.2428814420832,119.82202290538176,2256.8952217893184,885.3129153757502,-3012.744740066762,-4180.063855612865,-3598.827030149922,-1846.1326373976763,3391.230853464336,8630.73943508171,13195.651793015339,14890.934133256804,12431.160562054385,8470.524608992424,4290.303779883346,-56.996772105682325,-2287.4824789933386,-3936.7867798118473,-2160.207438530132,-53.995978972513576,1501.312698732138,601.3781200102894,-2448.9425988148446,-3701.8761320670683,-3443.3407458891397,-1216.5533954217892,1711.8472774291533,-910.6109397251323,-3521.135245306982,-3324.3241670007715,-2315.8252556086004,-3495.9672293251965,-406.97275997630976,-781.3995863915187,-916.3495098330425,-1076.993697479207,-1164.1425948565532,-1257.1397939722076,-1299.2027753317614,-1226.158330489843,3044.448147713778,9457.390536184877,15273.954321646328,18901.256948585575,17166.028341046625,13493.726747957071,8455.326109894895,2962.8364393439306,-2397.1587116599985,-1602.0669270242115,-2449.4092735191243,-241.6904260537558,1542.4508712439551,795.5992524251457,-1964.3170690895424,-3532.2366499142304,-3632.7121340639874,-1860.9647386162746,1042.3925073622897,5324.428278938351,7697.610423530687,3407.1787782939145,1800.4032552095373,-657.488331678854,-3262.5125809743267
F,1907.8553218538596,-818.484209715477,959.4068604244243,6431.622076733099,4049.557770273981,4970.142266717627,6975.144013327787,3762.7171637103415,-0.0,-746.1377374859509,582.8229970004622,3020.0468886489984,4052.772187958531,4945.382291556225,6862.56117386502,5193.153156397875,590.0285327674923,-583.8150183960394,255.86062246566004,3676.87016694136,7363.55068621866,10985.755674401978,13241.408347306326,13739.192245327784,12376.07585079078,10494.126812447566,8523.096350664118,6293.495019188979,3914.690129867835,1047.090816245855,1791.4739842634647,3882.538963658582,6019.6122522693195,4648.029936888271,749.9718848199344,-417.3482174820608,163.8885168928492,1916.5836085681037,7153.947736525496,12393.470740813475,16957.764217397184,18653.65080776069,16193.878078678366,12233.24156143346,8053.0205573844405,3705.7204254122103,1475.2333472241198,-174.07100943357486,1602.5088987135841,3708.7168129042384,5264.029176590357,4364.094389226701,1313.7742474131087,60.83857807761514,319.3759662260869,2546.1633485239354,5474.5631086711055,2852.105661989489,241.58185762236118,438.39269077218466,1446.8913975890935,266.74952888667167,3355.7435074863383,2981.3156339527122,2846.3672065792266,2685.722437708957,2598.5738753949804,2505.5767116787074,2463.513260523315,2536.5586652863085,6807.165325300639,13220.107559636925,19036.670175264648,22663.97430504188,20928.74597865573,17256.443523944752,12218.043122225221,6725.551640538687,1365.559476941714,2160.6498169759984,1313.3071458389659,3521.0265347277773,5305.166909252451,4558.316219857782,1798.399742978555,230.47764930520432,130.00159943163817,1901.7519796509962,4805.111700704668,9087.145046809725,11460.327829195312,7169.8953551994355,5563.118729085622,3105.2283273608227,500.20271823161437
Ne,2653.992881073306,-72.34645842602477,1705.5446723381501,7177.760101516058,4795.695188810759,5716.280345762123,7721.282035586554,4508.8553685052,746.1377374859509,-0.0,1328.9608888053888,3766.184660690734,4798.909797603738,5691.519965965948,7608.698816802025,5939.290742910031,1336.1662300120663,162.32234720985042,1001.998718438162,4423.007846194262,8109.687192441788,11731.8932119708,13987.54661745504,14485.329769503407,13122.214210337246,11240.265696940653,9269.235192277198,7039.633559573532,4660.827780878734,1793.2282014875793,2537.611228189005,4628.6763104574375,6765.749488291885,5394.167393644802,1496.109697721611,328.78957551177746,910.0264191141623,2662.721418283444,7900.0857975209565,13139.594208205484,17704.51116307815,19399.788244365158,16940.015340842197,12979.378808880581,8799.158082637698,4451.858038126902,2221.3720160115986,572.0667710133416,2348.646885918347,4454.854756791391,6010.166874231853,5110.232387381008,2059.9119262923177,806.9763765969587,1065.5124720757458,3292.3011797865197,6220.701130939956,3598.2434310399353,987.7195652342823,1184.5304516322644,2193.029232212944,1012.8872744946975,4101.880957662285,3727.453838785643,3592.5048708727845,3431.860770848217,3344.7122340109913,3251.7144818778393,3209.6511991396796,3282.6966215090247,7553.302303044503,13966.245090001757,19782.807471433312,23410.11156866781,21674.883508169005,18002.581038720193,12964.180266028367,7471.689390941163,2111.6971811325916,2906.787622114008,2059.4448674293444,4267.16370102296,6051.304474997715,5304.453155247381,2544.537632227959,976.6136175961444,876.1412139634949,2647.889739110326,5551.24712352797,9833.281401991706,12206.465499056487,7916.032862459365,6309.257451732884,3851.365948855006,1246.3400273297286
