element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-7.911081966279778,-6.85588104348232,8.417321274315093,7.669823078218267,8.027243827197786,8.53075852483618,7.52610450958792,-7.554259033453978,-7.884197252344123,-7.1899460576573215,7.014986549795311,7.671322251886536,8.019128120524915,8.508294905981597,8.097516908217388,-7.18449776473745,-7.821109775359891,-7.4103436893658525,7.478742909963826,8.60459866691978,9.113708372329635,9.335611139632482,9.378591495140823,9.256194857931897,9.058036343584673,8.797282695441783,8.38631878876893,7.604812280461416,-6.758982324461203,-4.76543301782653,7.588669768057294,8.3218488577741,7.916141844782255,-7.05521214674924,-7.751992271954203,-7.464489896262942,2.275117888906244,8.565429393099086,9.257853648467679,9.619233787827199,9.725962212761964,9.567106908851109,9.242457678561648,8.723583647223267,7.49491193173104,-6.072170520175305,-7.641528408424551,-5.724699528751502,7.496575648398101,8.11885482588168,7.8067937248499035,-6.3886973754757435,-7.521867274133073,-7.371161648381006,6.460386662038206,8.179679839302397,6.851450209659339,-7.4189448859166705,-7.293332198006408,-6.135486179025731,-7.403734612548888,7.278551846184122,6.979575379939538,6.845360392144212,6.657840549170842,6.5391790618917245,6.39479658780189,6.321949955579522,6.445248202140662,8.497053765358796,9.333730102011314,9.748575796390746,9.940644556869936,9.853345742473344,9.638843956123818,9.2409847638291,8.480258715994035,-6.2976535588295555,5.536525551654741,-6.3894818166559775,7.386576866997866,8.131034216751617,7.8828659839588955,-4.704637534711234,-7.425582912075117,-7.483722702142548,-1.9610437149384314,7.971863760759613,8.87909501876019,9.164660008386779,8.5684641201836,8.204196896602943,7.088720227718035,-7.250388997632991
He,7.911081966279778,0.0,7.483745530611739,8.888909336173237,8.49065243630954,8.663823103189403,8.961190119408148,8.429934876722625,6.708675129804812,4.295194220206206,7.2458743057057085,8.253105561529841,8.491312379718694,8.65953727846852,8.946641106344392,8.70161874940078,7.250999386180493,5.462427153226878,6.980396553942215,8.411022180674054,9.009818394305492,9.376298768034301,9.551152648996045,9.585942412826608,9.487635659585475,9.3337618973289,9.142337896157395,8.869676555251985,8.462562622251124,7.531860361898636,7.867472525077016,8.455748121179283,8.830410852105402,8.606579311320083,7.358484564932423,5.996787518378639,6.890989215013514,7.914277159135993,8.98387033347026,9.488951987075938,9.785708706777683,9.876791112689068,9.741754325918144,9.476752244405526,9.09071241477289,8.417418122981095,7.738365525755729,6.469890744575156,7.79234622440693,8.418080084625089,8.71333768531208,8.553251022453447,7.665405983118443,6.780293638464554,7.0377833058842265,8.121375655843588,8.747359622695726,8.20838008115372,6.967029404548501,7.1371805479161115,7.725937219060713,6.990471789332529,8.336924108166365,8.242967121625073,8.206816027197167,8.162004943769295,8.13682803936904,8.109243335695764,8.096512221775878,8.118517934206075,8.939403829139287,9.549636609335382,9.89626928634988,10.064051569361773,9.987287678650008,9.802336404522086,9.475587190374869,8.9286451435601,7.689391169603243,7.99972355789461,7.665186931481858,8.375747194038953,8.720077145569316,8.590034603217704,7.870121707527726,6.9565063224601635,6.8559223768380795,7.90884147906,8.634903938365914,9.200959379373309,9.4157118505226,8.985868382771338,8.761331456464854,8.275048420175002,7.185149508980951
Li,6.85588104348232,-7.483745530611739,0.0,8.607621452208834,8.036298665234364,8.296979050980612,8.70230027813003,7.938912699658955,-6.867357007620652,-7.442225945758686,-5.93379428288947,7.631257093331636,8.037338003353334,8.290788131872846,8.68341147870335,8.351078628482236,-5.914525158989315,-7.342275452560555,-6.557553793546431,7.907822001111578,8.764856675575539,9.21307151503629,9.415971583354978,9.455698151711205,9.342917456210468,9.162800196242747,8.931246784664364,8.582060861589143,7.991688321634757,4.485075732905824,6.725113562771105,7.9807527600174035,8.529359805552097,8.21327938423712,-5.349180098207142,-7.228209904159765,-6.680250393266018,6.865032549442355,8.73158515448769,9.344438448348242,9.680341572047286,9.781051181547662,9.631381583311212,9.330328478020883,8.867091128293332,7.91837880016212,6.247708973264126,-7.033926754247365,6.467857242227895,7.91946891546061,8.367676976533055,8.133202132708094,5.873152478690209,-6.8019150905952825,-6.463079070521476,7.3700772511353785,8.415416664872346,7.546287266449589,-6.577618153757922,-6.257694890480799,6.191307881110532,-6.541978150417616,7.7821136238741495,7.612292652119076,7.543252338349541,7.454324048370877,7.4025532118241735,7.3441914499314125,7.316618465547135,7.364009874655252,8.673984670280607,9.414235933452515,9.802465574936226,9.985324074409219,9.902003372739024,9.698799924859676,9.328979568311535,8.65993238083519,6.009188149352424,7.091944272531037,5.871837200724534,7.84878530250779,8.377186043596884,8.188663806135049,6.7333934253902035,-6.592947720407491,-6.72191029402524,6.849432169679636,8.25497152969748,9.003160965127057,9.25931348642574,8.734155629106185,8.434835356326596,7.671743627355435,-6.131676813759084
Be,-8.417321274315093,-8.888909336173237,-8.607621452208834,0.0,-7.776142436442253,-7.287888906319902,6.299907680126794,-7.889798178141903,-8.769137522092118,-8.878881959318878,-8.674162486245457,-8.135222359897188,-7.774792630283569,-7.304676906154805,6.068285226995495,-7.122438100928105,-8.672930123258164,-8.856010783902702,-8.728549276246147,-7.921445097870962,6.838341023287484,8.424010193606646,8.826262885603324,8.896802982381397,8.69038215697608,8.309801222305376,7.646102696691341,-4.9353838325805235,-7.8311930743739655,-8.59147122918076,-8.442717097931045,-7.843881173134444,-6.023471148563522,-7.486945103635717,-8.645172909657896,-8.83199938992522,-8.743326519124333,-8.415390264105211,6.583861343334681,8.693301195899418,9.261769595280763,9.411077042618636,9.18638118258629,8.666064745432688,7.391661658200187,-7.9109211199145255,-8.508634371600039,-8.795838293974638,-8.482625076189855,-7.909821576178874,-7.063555145624492,-7.6345920397347316,-8.540684528801775,-8.759634323480112,-8.718213387750254,-8.26525358374503,-6.864907884908854,-8.183262148873583,-8.730858497713598,-8.69855264392233,-8.514335313617721,-8.726784951678335,-8.031670818755858,-8.14650797297398,-8.184863636325048,-8.228683873172027,-8.25167636875898,-8.275642483811628,-8.286296735019025,-8.267721753311795,5.931032164009613,8.823130431229282,9.441931896324274,9.694823171933008,9.581774493337564,9.289689459422258,8.663442062054727,5.686743136661172,-8.530516792855458,-8.359830862434007,-8.540775836596001,-7.976456530616202,-7.0277174148498505,-7.535993692670312,-8.44122349186824,-8.732649929893512,-8.748720240644197,-8.418669612974295,-7.394808060309703,7.884773235647482,8.52311659875405,6.605668352055447,-6.767920284564979,-8.109944956228642,-8.688187065116555
B,-7.669823078218267,-8.49065243630954,-8.036298665234364,7.776142436442253,0.0,6.826094194116782,7.981591796686014,-5.662407455664326,-8.306609871673215,-8.475682457438312,-8.151256735277036,-6.9378097341675495,1.4385155998985562,6.798860585377039,7.942363471417462,7.042806787319121,-8.149176767591756,-8.441256082854338,-8.241359736701886,-5.923421262457774,8.106210765822421,8.84465326062091,9.126181369050377,9.178915209266792,9.027320764668747,8.771148278552355,8.406158585143615,7.7164329345723335,-4.911679599863135,-8.00752261349375,-7.722714610776241,-5.124075480007888,7.586323938527723,6.3960495655009195,-8.101855159901621,-8.404674813960524,-8.26530762976573,-7.665740969150186,8.040894654061585,9.029405695063883,9.465742857232918,9.589125565807576,9.404699169931964,9.010019858073496,8.2951647632995,-5.843069097459577,-7.853730339561037,-8.348686378584796,-7.803046424880643,-5.834343935184388,7.102887790386588,5.754294323103798,-7.9145385567033655,-8.291475555305293,-8.22448022327884,-7.3161455487959275,7.26263555154468,-7.088785761122014,-8.245115674173446,-8.192062574020243,-7.864675741099637,-8.238486189090109,-6.543643512541492,-6.974703778114619,-7.093562692714063,-7.218788955574738,-7.280686114743548,-7.342766854918897,-7.369628248914033,-7.322509868683061,7.922481281046857,9.123861559556323,9.615012757432801,9.831745383354834,9.7338958784405,9.488569350623795,9.008161188405323,7.892450451930066,-7.895435306827615,-7.544283376660479,-7.9147090609675095,-6.2719920514361,7.136172979104337,6.233937054498538,-7.719644074865355,-8.248025968058641,-8.273987935703175,-7.672667412682615,6.628770996175369,8.52488094559581,8.910824578291534,8.046017050599533,7.322881939123746,-6.851533120965206,-8.174802413355241
C,-8.027243827197786,-8.663823103189403,-8.296979050980612,7.287888906319902,-6.826094194116782,0.0,7.603898826464243,-7.097073237165996,-8.51140492502082,-8.65124850727738,-8.386701425608619,-7.576145902693654,-6.822599953817157,-3.2488115498598806,7.54613968148312,5.411695944797469,-8.38505823568795,-8.62244591222954,-8.45856375647387,-7.165702474166687,7.780891337677783,8.702279903034086,9.020663815674403,9.079097837919306,8.910171873480488,8.617035864811251,8.17581625290534,7.188679476638986,-6.962671035564902,-8.274879930063117,-8.064532031042432,-6.992650622562936,6.956993111594279,-5.777999286065655,-8.347867566318897,-8.592020265384464,-8.477871000514433,-8.024390062031213,7.689282253107998,8.912515618406369,9.391763768952082,9.524019755880989,9.325875151873547,8.890699628989204,8.033943728214373,-7.1431602971455845,-8.159348470785462,-8.545821822259983,-8.122262137925626,-7.14078950311549,5.686591035433361,-6.408606048968477,-8.204498811797128,-8.499090550550061,-8.445002145438602,-7.793577898585117,6.225400986391432,-7.65871640979833,-8.461587457723274,-8.419083956180279,-8.167423001097868,-8.456251953793593,-7.387336959050444,-7.595801396369694,-7.661420974913611,-7.734304526836493,-7.771727844994681,-7.81017623289755,-7.827103956293141,-7.797530618033083,7.516445917480302,9.01808550261251,9.551624685969696,9.781027900024446,9.677816015608494,9.416321627577547,8.888605161221523,7.471028094962861,-8.190238960738007,-7.941114888487834,-8.204626524115078,-7.279398501642332,5.817188361729873,-6.023025627305531,-8.062351504675672,-8.463931994993432,-8.484904889717866,-8.029234056174829,-5.112176844085187,8.323123513447559,8.778200513348676,7.696555222270064,6.386840639257108,-7.531505978419587,-8.405353434918093
N,-8.53075852483618,-8.961190119408148,-8.70230027813003,-6.299907680126794,-7.981591796686014,-7.603898826464243,0.0,-8.07509320089812,-8.850251609488083,-8.951865199802192,-8.76300901274486,-8.283013075053118,-7.980492757700189,-7.616165910423817,-4.732528029145885,-7.486047141758001,-8.761881451374995,-8.930620966892485,-8.812885468933173,-8.101457149369539,5.964623409737306,8.296948456572157,8.743095316689391,8.819524766059072,8.594511983554572,8.166211569965228,7.345334555439342,-6.525979985376459,-8.026645018827116,-8.687619755235733,-8.553461465329915,-8.037092232360527,-6.863313682310919,-7.752813567552954,-8.736516881450864,-8.908355235197954,-8.826478280977868,-8.529035745984471,5.191866331935512,8.59772428552171,9.208761639692566,9.365591090458823,9.129101454165495,8.567714796572465,6.983677023081774,-8.092674602867165,-8.612668850560825,-8.874897453178672,-8.589259743135496,-8.0917578166495,-7.445484127702327,-7.867890123451505,-8.641597600982015,-8.84149203042506,-8.803389504493504,-8.396150360584775,-7.314272905144889,-8.32458792819741,-8.815008121582894,-8.785348631236806,-8.617807810716853,-8.811263952459933,-8.194339910416973,-8.292755773415596,-8.325978484820606,-8.364140076905395,-8.384248899302156,-8.405270423416324,-8.414635386238807,-8.398316031074856,-5.129779278657306,8.739690724809808,9.39785880348255,9.660768076919423,9.543564601354033,9.238179257755311,8.56482067071402,-5.523818495553949,-8.63241035631438,-8.479593879503692,-8.64168014515417,-8.147611533508638,-7.42116306329681,-7.79062472412874,-8.552124544733497,-8.81665509467467,-8.831440217969803,-8.53196227010432,-7.682958018798835,7.655864444484817,8.408757934053698,5.276837124391877,-7.253487016040117,-8.261246554635882,-8.77584886897645
O,-7.52610450958792,-8.429934876722625,-7.938912699658955,7.889798178141903,5.662407455664326,7.097073237165996,8.07509320089812,0.0,-8.233162355403277,-8.414020362914917,-8.064917437366443,-6.611597198988386,5.673513853488631,7.076371381875572,8.03942976702159,7.266433760181562,-8.062649691949378,-8.377363542426329,-8.162760212018807,-4.464153638329581,8.189198521715436,8.885169494439154,9.156907055815982,9.208085377630518,9.061185746311601,8.814688503463316,8.468292794784052,7.83667719276763,5.0302657560519055,-7.907146078685811,-7.5869266926098735,4.794318577703867,7.722188340528131,6.787070065877544,-8.010938684182124,-8.338321004048563,-8.188641076109322,-7.5213897899639415,8.12924305281066,9.06320132055578,9.487718424355048,9.60857501202129,9.428041987747193,9.044465772509533,8.364345877145068,-4.06038735564741,-7.735644203954858,-8.278374113449784,-7.6784223438157975,-4.0072600729691725,7.314760998893026,6.400885354461986,-7.803819874209142,-8.216865129656602,-8.144487799645683,-7.1045987106043444,7.445912339316972,-6.815213297875578,-8.166822688462831,-8.109322442172559,-7.747953103206135,-8.159651365937167,-6.011200407411349,-6.662365590079771,-6.821488544495314,-6.982856904957609,-7.060598757528153,-7.13738955507084,-7.170275512310285,-7.112456475090163,8.02140334426188,9.154657513975883,9.633969793635739,9.847036609187375,9.750745866172265,9.51005427685563,9.042670092309624,7.994239802485792,-7.782456518409838,-7.379673902844806,-7.804010340003375,-5.491786664297928,7.341776013985666,6.680351732290093,-7.583408869601798,-8.169969627825846,-8.198010031196565,-7.529387520287276,6.9502327095794625,8.580248415313113,8.948795127079569,8.133933344992887,7.496321226392274,-6.489946801480183,-8.090559373123556
F,7.554259033453978,-6.708675129804812,6.867357007620652,8.769137522092118,8.306609871673215,8.51140492502082,8.850251609488083,8.233162355403277,0.0,-6.616249555666919,6.369597849560004,8.013358702169567,8.307403131046827,8.506411738170877,8.833981707577617,8.555288878965058,6.381864295035117,-6.371295589357588,5.548533612747464,8.21008910463402,8.904433320412352,9.3044457967547,9.491179712292698,9.52808055733259,9.423601318887632,9.258666315311563,9.050652296611231,8.747430723910263,8.272746871272284,6.9547255178496545,7.491352058707902,8.264502120938914,8.702944236166234,8.444413861095162,6.621368214072587,-6.036314141903227,5.1052695903478895,7.558821135194667,8.87555938749504,9.425005744147679,9.738540042150884,9.833850767053944,9.692450303246025,9.411993984697775,8.993926693852199,8.217902782289983,7.297249086990111,-5.16519165981372,7.379949568674147,8.218710821934566,8.568841966165325,8.381395092146825,7.18142025490301,4.124527410444551,5.769495200601925,7.842735606619067,8.608050400294742,7.956163385925354,5.4913392106235355,6.085393525247258,7.277863568467906,5.590051949799407,8.11872658878437,8.000455336119296,7.954150059143186,7.896077305069576,7.863102816498618,7.826673241333459,7.809749606745003,7.838957742407449,8.825877953933189,9.489569888991483,9.854174936113676,10.028576029689855,9.948926678656205,9.755998838020908,9.41075092542276,8.813817905074258,7.220051529442315,7.67862701328382,7.181064920465471,8.166791823022029,8.576624990903358,8.424927939478964,7.495208412145704,5.444483321587565,4.8752095325284355,7.551056527562672,8.477643657954054,9.114726101089921,9.346733849978664,8.87778580099956,8.6240938916161,8.041164512713419,6.217010646454162
Ne,7.884197252344123,-4.295194220206206,7.442225945758686,8.878881959318878,8.475682457438312,8.65124850727738,8.951865199802192,8.414020362914917,6.616249555666919,0.0,7.192904813870166,8.234083227114603,8.47635240455352,8.646908305347809,8.93717887277976,8.689513357776695,7.198307899973435,5.095725838193866,6.910749510232467,8.394801316752647,9.000937877482968,9.37015156187115,9.545994175018773,9.580960709200246,9.48213801803802,9.32734672359743,9.134564029573243,8.859453439360452,8.447162877874913,7.492330237142095,7.839372449929013,8.440242233288082,8.819776115935912,8.593258904763218,7.31129166010605,5.798454801111013,6.814571896964778,7.8874794534757475,8.974755471734898,9.483461512340767,9.78163123524351,9.873068975378839,9.737492903885792,9.471194173875423,9.08252496424105,8.401301424761176,7.706330380133364,6.351002238744879,7.762020334536501,8.40197418610089,8.701374164129756,8.539195825819359,7.6309038464947365,6.694532821208737,6.9721492322412875,8.099645738803426,8.735798642060885,8.188478944313443,6.896410737555558,7.077945591917244,7.693494964453318,6.921547008834002,8.319444678534152,8.223748906267714,8.18688329237517,8.141149236517652,8.115434874862942,8.0872451519105,8.074229061325184,8.096725085522072,8.929872521407924,9.544470230943158,9.892619077625055,10.060966042000485,9.98395556244057,9.798325963686619,9.470022601927656,8.919010238894277,7.655720695056513,7.975147803701006,7.630677193531477,8.358938967127274,8.70819438345731,8.576490467804753,7.842097157058669,6.885114517939939,6.7766679987525995,7.881895864815873,8.621958011917965,9.193629662774162,9.409802969723055,8.976771776035545,8.74993175529452,8.25644277070439,7.128768584797486
