element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.11610111994988744,-0.04038964898314526,0.19264450312563697,0.09120434719772486,0.13040742928066354,0.21579038437875137,0.078989254550223,-0.08124597777726844,-0.11302022966143303,-0.056426445308095215,0.047362658452414344,0.091341244786744,0.1293530196564338,0.2109960455251073,0.13990433418888235,-0.056119622080577414,-0.10610772082980992,-0.07035014447753714,0.07533343625483443,0.23233067560132264,0.3865821965848626,0.4826391165290722,0.5038372358160621,0.4457889478703825,0.3656461926365523,0.2817099046358393,0.18676237587267963,0.08546102304469395,-0.03665564843956895,-0.0049561221841388945,0.08409186058390078,0.1750990783991976,0.1166902822735449,-0.049308435321719156,-0.09901868681015302,-0.07426672080484031,0.0003717270830276767,0.2234047361875534,0.44652910270882956,0.6409257661706128,0.7131193457533103,0.6083699738401385,0.43970635462554175,0.2616917343536212,0.07656209915338481,-0.018423149307262736,-0.0886587289267354,-0.013002948623245027,0.07668965372105797,0.14292259723285294,0.10459889368236948,-0.025298922651316603,-0.07865508651201548,-0.06764534939473758,0.027182341157804525,0.15188836375729053,0.04021089677647396,-0.07095821750836924,-0.06257702526336939,-0.019630126527450463,-0.06988644751348595,0.061658291720906436,0.045713357504834386,0.039966505323203096,0.033125457714410764,0.029414231879949248,0.025453958203776567,0.02366265806820092,0.02677330163121573,0.2086370145434539,0.4817320274912536,0.7294302213149567,0.8838988854844144,0.8100042250582332,0.6536193179709535,0.4390591187124464,0.20516149780129123,-0.023093646534135065,0.010765255547319245,-0.025318809372432326,0.06869685749210729,0.1446744728007524,0.11286981285554229,-0.004661276809739231,-0.07143109042758708,-0.07570972932886905,-0.0002600554171824152,0.12337949856111784,0.30572990005662815,0.40679184717819905,0.22408386779338835,0.1556593007865224,0.050990110820585764,-0.059944860081461875
He,0.11610111994988744,-0.0,0.07571145865798128,0.30874562270421574,0.20730545418599014,0.24650854526144897,0.3318915010345734,0.1950903746407644,0.03485513243686227,0.003080872373400609,0.059674645673882816,0.1634637695536662,0.20744233732043096,0.24545413146284872,0.327097148797122,0.2560054447715715,0.05998148690808089,0.009993363019290281,0.04575094652672115,0.19143456387528923,0.3484317865062055,0.50268330022768,0.5987402238057588,0.6199383369724135,0.561890037162559,0.48174734591158713,0.39781105139748923,0.3028635127358316,0.20156212843344026,0.07944546181771635,0.11114500990266725,0.20019296328486408,0.29120017490378614,0.23279138049434334,0.06679267990261442,0.01708231959998243,0.04183436303156976,0.1164728149886074,0.33950585839296377,0.5626302115699554,0.7570268707111532,0.8292204580275316,0.7244710776623393,0.5558074508282949,0.3777928367155781,0.1926631655167748,0.09767795962231857,0.027442322588398158,0.10309795439113237,0.19279077156267407,0.2590237060856016,0.22070001486860635,0.09080218965864849,0.037446129189413105,0.04845575642910063,0.1432834427717186,0.26798929173217806,0.1563119947273938,0.045142890591052136,0.053524074056721896,0.09647097464947614,0.04621465922063132,0.17775938483930287,0.1618144451200553,0.1560676388710649,0.14922659266795157,0.14551537141966006,0.14155507129590114,0.13976380202386515,0.14287444156514173,0.32473809472003756,0.5978331330860083,0.8455313248469701,1.0,0.9261053439425758,0.7697204326891426,0.5551602325989488,0.32126261084775054,0.09300745970482482,0.12686635885105008,0.09078229214146047,0.18479795137790953,0.26077556973509197,0.22897090199711287,0.11143995663912327,0.04466989318249529,0.04039132021759439,0.11584119275384969,0.23948060338610772,0.42183098547463443,0.5228929227165529,0.3401849711473766,0.2717604723647088,0.16709121913855662,0.056156237406348244
Li,0.04038964898314526,-0.07571145865798128,-0.0,0.23303415276953782,0.1315939970137484,0.17079705603573603,0.2561800083382002,0.11937888416315236,-0.04085632048118815,-0.07263058312633319,-0.016036841182102492,0.08775231279419884,0.1317308830543813,0.16974266881846728,0.2513856931383851,0.1802939821204781,-0.015729970784032873,-0.06571807232922101,-0.029960496347067902,0.11572311199846194,0.27272032855446454,0.4269718459437955,0.5230287638775583,0.5442268697425996,0.4861786566011342,0.4060359147247331,0.3220996199787947,0.22715206871271035,0.12585070149196698,0.003734007062869166,0.03543353723476591,0.12448148790525967,0.21548870567346573,0.15707990277295977,-0.008918814368421313,-0.05862903873122281,-0.03387713945775143,0.0407613630909057,0.2637944044577072,0.4869187579883106,0.6813154151692165,0.7535089992671995,0.6487596042075688,0.48009599557175847,0.3020813826506393,0.11695170077069726,0.02196649879552239,-0.04826908026566143,0.027386488752704722,0.11707930757185454,0.18331225107135096,0.14498854754029697,0.015090732555733366,-0.03826551587239126,-0.02725574054611835,0.06757198856846892,0.19227785874614686,0.08060054035132123,-0.030568568871713043,-0.022187380702825867,0.020759519840417635,-0.02949679962132651,0.10204793980483175,0.08610302000508455,0.08035616528213832,0.07351513045458528,0.0698038820848531,0.0658441903580521,0.06405231256417566,0.06716298753156644,0.24902666345846142,0.5221216825574517,0.769819869718948,0.9242885402672104,0.850393846430533,0.6940089520182533,0.47944876860213287,0.2455511469607886,0.017296001378312883,0.051154908032820634,0.015070841120883673,0.10908651623873912,0.18506410053031186,0.15325945606357247,0.03572849406889275,-0.031041439787812215,-0.03532007949608512,0.04012974555171882,0.16376915203481646,0.34611954837845876,0.4471815010916102,0.26447346312010367,0.1960489665912347,0.09137975980493322,-0.0195553285404171
Be,-0.19264450312563697,-0.30874562270421574,-0.23303415276953782,-0.0,-0.10144015455204627,-0.06223709447008739,0.02314585722883773,-0.11365526282342775,-0.2738904875712965,-0.3056647592814733,-0.24907095588502032,-0.14528183953595705,-0.10130326493323724,-0.06329147139479226,0.018351543710228,-0.05274016300698562,-0.24876414666661895,-0.2987522232182903,-0.2629946420870082,-0.11731099064438674,0.03968665011329982,0.19393769170188585,0.28999461173817415,0.3111927331745204,0.25314444148674153,0.17300169510686425,0.0890654037209416,-0.005882115456682467,-0.10718348059276789,-0.22930014516140376,-0.19760061635014806,-0.1085526431692656,-0.01754542541494869,-0.07595422742354696,-0.2419529325438409,-0.2916631927058854,-0.26691046837846755,-0.19227278140591983,0.03076027792364717,0.25388458399872865,0.44828128216773994,0.5204748251298125,0.4157254415862187,0.24706184460802655,0.06904727334515462,-0.11608244015943114,-0.2110676980454217,-0.2813032346945013,-0.2056476595648623,-0.11595482578713737,-0.049721893169508855,-0.08804559283753025,-0.2179434110870019,-0.2712995776411814,-0.26028992056668754,-0.1654621620632358,-0.04075627660281355,-0.15243360347474974,-0.26360275516213993,-0.25522157682979907,-0.2122746626770335,-0.2625309682009406,-0.13098621057723764,-0.1469312043020036,-0.15267798781419878,-0.15951903294053155,-0.16323025436263836,-0.16719053675160397,-0.16898180581164748,-0.16587116037400113,0.015992489176481082,0.28908750492976026,0.5367856537841404,0.6912543613307515,0.6173596839470117,0.46097479971359795,0.24641461703542236,0.012517066728947857,-0.21573821695308512,-0.18187925717532896,-0.21796331581618986,-0.12394765148515191,-0.04797002616436581,-0.07977469214772061,-0.19730563561371783,-0.26407548121045626,-0.26835422892814237,-0.19290448580862013,-0.06926500016957828,0.11308537071317454,0.2141472909762489,0.03143937383728885,-0.03698512602106222,-0.1416544539793393,-0.2525892822416969
B,-0.09120434719772486,-0.20730545418599014,-0.1315939970137484,0.10144015455204627,-0.0,0.03920306022367881,0.12458601201218118,-0.012215108137688342,-0.17245033040123078,-0.20422457629442697,-0.14763080770248924,-0.04384168881047975,0.00013688665643963186,0.03814868210395729,0.11979169223981476,0.04869999990944828,-0.14732397103353653,-0.1973120674916418,-0.16155448755207186,-0.01587091105215448,0.14112631695168734,0.2953778527458487,0.3914347663491946,0.4126328874213251,0.35458460137362463,0.2744418544130473,0.19050555745694425,0.09555802764810456,-0.005743326421212417,-0.12785999844871043,-0.09616044987125533,-0.007112489152676818,0.08389472682853975,0.02548592482633666,-0.14051277798355777,-0.1902230372637001,-0.1654711071779421,-0.09083262648688027,0.1322003896934203,0.35532474567995864,0.5497214456397965,0.6219149753944897,0.5171655954971155,0.3485019985384907,0.17048738478091358,-0.014642250939629863,-0.1096275001782515,-0.17986308759551828,-0.10420750445701542,-0.014514680708055417,0.051718265646475886,0.013394798262378348,-0.11650327581173944,-0.16985942330569895,-0.1588496995696169,-0.06402200817975112,0.060684016382074275,-0.050993455276441293,-0.16216257731077544,-0.15378138056509497,-0.11083447666842329,-0.161090797207441,-0.029546034379072852,-0.04549099484287517,-0.051237834175401266,-0.05807889190233255,-0.06179011858906448,-0.06575039521242815,-0.06754163628938135,-0.06443103595522844,0.11743265346667754,0.3905276660296424,0.6382259213507031,0.7926945437425158,0.7187998378534075,0.5624149536327596,0.34785477097055467,0.11395722090566482,-0.11429800212280831,-0.08043910222204266,-0.11652314907216216,-0.022507488967163893,0.05347012914289721,0.021665469117719688,-0.09586550804447902,-0.1626353295930945,-0.1669140702829807,-0.09146425344660496,0.0321751568691428,0.21452552978152817,0.31558748777279466,0.13287952857338112,0.0644550291470837,-0.04021423438357271,-0.15114913603546098
C,-0.13040742928066354,-0.24650854526144897,-0.17079705603573603,0.06223709447008739,-0.03920306022367881,-0.0,0.08538295509334196,-0.051418172724394466,-0.21165340134870772,-0.24342767536961088,-0.18683386800942828,-0.08304474278283606,-0.03906616581888853,-0.0010543916142922813,0.08058863951658728,0.009496926137971824,-0.18652704665738135,-0.2365151275866871,-0.20075754802114731,-0.055073895234305274,0.10192323219533007,0.2561747878314625,0.35223170652161234,0.37342982448954837,0.3153815417240993,0.2352387947681223,0.15130249791090328,0.05635496798167838,-0.04494638415066772,-0.16706306111744168,-0.13536350331873281,-0.046315555920064415,0.04469166402949938,-0.013717136346561786,-0.17971583891684895,-0.22942609719625653,-0.20467211332431212,-0.1300356862599224,0.0929973255719727,0.31612168243226535,0.5105183851447994,0.582711943972392,0.4779625358984402,0.3092989391655397,0.13128436587763653,-0.05384534885885947,-0.14883058934915183,-0.2190661505704147,-0.1434105550602675,-0.05371774299040854,0.012515156535777328,-0.02580849406716881,-0.15570631664864265,-0.20906248320852974,-0.19805275683924298,-0.10322506819552398,0.021480956316767195,-0.09019650502257237,-0.2013656264947057,-0.19298444868140757,-0.15003753651616494,-0.2002938739035191,-0.06874912565782003,-0.08469402081724596,-0.09044089284985196,-0.09728192129619398,-0.10099313714363183,-0.10495344362202509,-0.106745915786092,-0.10363406404698647,0.07822959278588833,0.3513246030153907,0.5990229381512544,0.7534914556427179,0.6795967782556009,0.5232118940311734,0.3086517113495191,0.0747541615671569,-0.15350112075882472,-0.11964216257641427,-0.15572620897210795,-0.06171055322556245,0.01426707247076986,-0.017537591327688434,-0.135068568446474,-0.20183838954175298,-0.2061171299160397,-0.1306673132075751,-0.007027858026555771,0.17532246605500684,0.2763844248078599,0.0936764686719941,0.02525191381127866,-0.07941729755791885,-0.19035219932354194
N,-0.21579038437875137,-0.3318915010345734,-0.2561800083382002,-0.02314585722883773,-0.12458601201218118,-0.08538295509334196,-0.0,-0.1368011281542769,-0.2970363575312476,-0.3288106291339316,-0.272216819957844,-0.16842769743597874,-0.12444911556638487,-0.08643733120386927,-0.004794316488007347,-0.0758860158134782,-0.27191000377979746,-0.3218980807318598,-0.28614049981436956,-0.14045684660013624,0.016540276209106832,0.17079182937793203,0.2668487553168964,0.2880468758423656,0.22999858141957583,0.14985583486633533,0.06591954895704788,-0.029027983767058587,-0.13032933810332997,-0.252446002333109,-0.2207464734645462,-0.13169850093777283,-0.04069128676893308,-0.0991000788155525,-0.26509879024590927,-0.31480905034262,-0.29005709113743805,-0.21541887201235124,0.007614356549061507,0.2307387312668644,0.42513542718713515,0.49732899080731413,0.392579584205024,0.22391598745665173,0.0459014174663114,-0.13922830656050503,-0.23421355787131923,-0.3044490900203404,-0.2287935173207959,-0.1391006834371192,-0.07286775168979483,-0.11119145135781613,-0.24108926872290062,-0.29444543530722395,-0.2834357777148354,-0.18860802018654194,-0.06390215028670466,-0.17557946135027164,-0.28674861227504467,-0.2783674366187855,-0.23542048938606747,-0.2856768252575769,-0.15413208866910988,-0.17007707422427817,-0.1758238436242891,-0.1826648889223252,-0.1863761101534554,-0.19033639502254665,-0.19212766157323316,-0.18901701795242512,-0.007153416865599835,0.26594164427465183,0.5136397747130586,0.6681085317580034,0.5942138263039963,0.4378289426558088,0.223268760191292,-0.010628788594307121,-0.238884076715873,-0.20502511597992137,-0.24110917357364808,-0.14709348830412267,-0.07111588468465174,-0.10292055066800662,-0.2204514932513473,-0.2872213388369868,-0.29150012461157243,-0.21605034872836038,-0.09241077607075322,0.08993951290845568,0.19100150285161996,0.008293414463640849,-0.06013099045925328,-0.16480030664667547,-0.27573513053979914
O,-0.078989254550223,-0.1950903746407644,-0.11937888416315236,0.11365526282342775,0.012215108137688342,0.051418172724394466,0.1368011281542769,-0.0,-0.16023522935056905,-0.19200950872654868,-0.13541569973924134,-0.03162657996210924,0.01235200576639298,0.0503637910495352,0.13200681049413995,0.06091510727173969,-0.13510886288030632,-0.1850969596664547,-0.14933937352299703,-0.0036558136839437475,0.15334145097344692,0.30759296040887785,0.40364987464174423,0.42484799262938816,0.3667997093608867,0.2866569632589903,0.20272067438878977,0.10777313642459255,0.006471795078216496,-0.11564488980678564,-0.0839453356366767,0.005102618263914508,0.09610983439611351,0.03770103142761083,-0.12829766984752317,-0.1780079292336927,-0.15325597154383724,-0.07861751858948914,0.14441549283224708,0.3675398528975854,0.5619365473112212,0.6341301092463144,0.5293807047113661,0.36071710798032897,0.1827024940336819,-0.0024272063121508606,-0.09741239208515812,-0.1676479802020007,-0.09199238722911553,-0.0022994176012255973,0.06393336893040648,0.025609674284219154,-0.10428816780917186,-0.15764431532883272,-0.14663459147847335,-0.05180690013394539,0.0728989794283468,-0.0387783472494948,-0.14994746856013494,-0.14156627303067043,-0.09861936861668677,-0.1488756891417841,-0.017330926215547496,-0.0332758845515829,-0.039022724133905264,-0.045863753403810964,-0.04957498732104176,-0.0535352710417994,-0.055326522196768126,-0.05221592608688449,0.12964775877913579,0.40274277222824045,0.650441015716886,0.8049096199365028,0.7310149470691705,0.5746300628455251,0.36006988022370545,0.1261723259364931,-0.10208295209034311,-0.06822398557152025,-0.10430804114139931,-0.010292381586388507,0.06568523712051892,0.03388057702369954,-0.08365040006685724,-0.15042022163615987,-0.1546989679639785,-0.07924914330033224,0.044390262468149005,0.22674066354619568,0.3278025740445267,0.1450946348675239,0.07667013383422605,-0.027999126439255898,-0.1389340279714369
F,0.08124597777726844,-0.03485513243686227,0.04085632048118815,0.2738904875712965,0.17245033040123078,0.21165340134870772,0.2970363575312476,0.16023522935056905,-0.0,-0.03177425947563985,0.02481950477060738,0.12860863168757622,0.17258721630907417,0.21059899833990187,0.29224201973827185,0.22115031528107257,0.02512635235600635,-0.024861749980365378,0.01089581909529899,0.1565794368426966,0.31357664732825963,0.4678281687112815,0.5638850891898987,0.5850832057626141,0.5270349234689806,0.4468921642168739,0.3629558744667837,0.26800834980166505,0.16670699484019724,0.04459033985073269,0.07628988102336463,0.1653378381198585,0.2563450580730714,0.19793625472268875,0.03193753655725257,-0.017772764849895376,0.006979188960978169,0.08161767167894754,0.3046507102313768,0.527775684485832,0.7221460238505151,0.7943653177640371,0.689615949090755,0.5209523283339992,0.3429377069375385,0.15780802447811204,0.06282278030830532,-0.007412810186447785,0.06824280692639009,0.15793562557490423,0.22416856907397764,0.18584486554278348,0.05594704802141654,0.002590809536695651,0.013600618640927476,0.1084283113409565,0.2331341520357782,0.12145685816849862,0.010287758202076626,0.018668943291561664,0.06161583899371219,0.011359522940641218,0.14290426496833283,0.1269592620407822,0.12121248616848501,0.11437143214716332,0.1106602124985989,0.10669993028532315,0.10490865912410875,0.1080192961122107,0.2898829887206361,0.5629779956059131,0.8106761892772145,0.9651448574951546,0.8912501966007081,0.734865275684933,0.5203051031277598,0.28640747171337827,0.0581523209052029,0.0920112259057019,0.05592715651094516,0.14994283912246162,0.22592041853309913,0.19411579801578674,0.07658481430903442,0.009814885730125636,0.005536115310970775,0.08098606708105324,0.2046255782505546,0.38697587603997086,0.4880378136987137,0.3053298392290223,0.2369052912232397,0.13223608141992377,0.02130112197925245
Ne,0.11302022966143303,-0.003080872373400609,0.07263058312633319,0.3056647592814733,0.20422457629442697,0.24342767536961088,0.3288106291339316,0.19200950872654868,0.03177425947563985,-0.0,0.056593770817917485,0.1603828926347734,0.20436147034061872,0.24237325512944194,0.3240162751875469,0.2529245683274966,0.056900610117968035,0.006912493658770082,0.0426700938370809,0.18835369383848333,0.3453508543705987,0.49960241967345476,0.5956593713489708,0.6168574561544382,0.5588092094350541,0.4786664725377879,0.3947301809616535,0.2997826434687245,0.19848125063329888,0.07636458432605975,0.10806411948074504,0.19711208095809682,0.2881192961939038,0.2297105022434723,0.06371179924446947,0.014001496989546662,0.038753455451869874,0.11339193423047439,0.3364249834836621,0.5595493362698288,0.7539462264440147,0.8261395644266455,0.7213901883248125,0.552726566941346,0.3747119573752537,0.1895822786403705,0.09459707944340068,0.02436145111868386,0.10001707703630017,0.1897098938401348,0.2559428268528423,0.21761913611897968,0.08772130500128955,0.034365071611441214,0.04537482566736237,0.14020257481007226,0.26490842363889167,0.15323111898831182,0.04206201640553156,0.05044320376258829,0.0933901026059674,0.043133782762159456,0.17467851220888236,0.1587335414183831,0.15298674252722838,0.1461457169886865,0.142434498425049,0.13847419115405313,0.13668292716488295,0.139793564902751,0.3216572158426756,0.5947522462613046,0.8424504299593673,0.9969190967914756,0.923024447219836,0.7666395256764507,0.5520793373214302,0.31818173173906805,0.08992657896297278,0.12378548826230322,0.0877014153096724,0.1817170742739549,0.25769467069516555,0.22589002333417074,0.10835908024751766,0.04158906986463407,0.03731045472057009,0.11276032749242897,0.23639973915633544,0.41875007665022596,0.5198120702945539,0.337104088900492,0.26867959265195274,0.1640103359560567,0.05307536321200551
