element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-1.11836086709819e-17,-0.3636517235082596,-0.12650838743807175,0.6034007735348992,0.28567009572529545,0.40846192040751933,0.6758982620470306,0.24741000403975072,-0.25447850855848764,-0.3540017643707432,-0.17673881265391936,0.14834923542156767,0.28609888611260975,0.4051593004388202,0.6608814423301941,0.43820810924151576,-0.17577778148085768,-0.3323504163779692,-0.22035059867944243,0.23595925641108953,0.727705733094793,1.2108520755559724,1.5117213910947378,1.5781181030056555,1.3962993576975866,1.1452763608474068,0.8823712673434011,0.5849767849088108,0.2676808659244306,-0.11481275750927863,-0.015523557179789097,0.2633923776751772,0.5484450250958826,0.3654970967011853,-0.15444379430601782,-0.31014615650201255,-0.23261809215659582,0.0011643229150249236,0.6997479213773133,1.3986176693795105,2.007506556434567,2.233631159304981,1.9055353610123007,1.3772474698446464,0.8196703896279017,0.23980767217883883,-0.057704955825816646,-0.2776967146585237,-0.040727812785728346,0.24020719837114185,0.4476619074341167,0.3276244706430823,-0.07924124098909997,-0.2463633234987879,-0.2118786442829536,0.08514048111931842,0.47574446555751526,0.12594850009103337,-0.2222552039560877,-0.19600364836158712,-0.0614854477499766,-0.2188982078649908,0.19312599277733686,0.14318329789719117,0.12518301761135534,0.1037555003349227,0.09213120530992353,0.07972684307357128,0.07411613594254765,0.08385928823426078,0.6534924896425894,1.5088802084074342,2.2847200550234867,2.768546532989312,2.5370938076957312,2.047265277036295,1.3752201986571233,0.6426064822215171,-0.07233387901730493,0.03371891447282538,-0.0793035301419676,0.21517217609433004,0.4531491290036729,0.35353062911614463,-0.014600043017176755,-0.22373633568115786,-0.23713788091510787,-0.0008145451198650367,0.3864490481805971,0.9576066547126239,1.274152707564851,0.7018750961974822,0.4875557878816512,0.15971113534293818,-0.18775918521280566
He,0.3636517235082596,-1.11836086709819e-17,0.23714329751670868,0.9670524958801465,0.6493217786351849,0.7721136314837647,1.0395499752376245,0.6110617279885664,0.1091731844554519,0.009649903024016426,0.1869128201211054,0.5120009312141466,0.6497505237478945,0.7688109984401095,1.02453311360005,0.8018598034098534,0.18787390769465936,0.031301194055468176,0.14330103416536852,0.5996110039450868,1.0913574282723053,1.574503747987256,1.87537307490802,1.9417697676488346,1.7599509851798183,1.5089281887366346,1.246023074831416,0.9486285613927679,0.6313325438243096,0.24883893563982964,0.34812820434370595,0.627044047156387,0.9120966751688181,0.7291487521496305,0.20920791440087033,0.05350521137723579,0.13103351823709358,0.36481594605416034,1.0633996519503177,1.7622693581555704,2.371158231677697,2.5972828587715333,2.2691870340054487,1.7408991189721736,1.183322058047276,0.6034592278435654,0.30594673316465953,0.08595479449852032,0.3229232312375086,0.6038589152758778,0.8113135961839377,0.6912761980238334,0.28441045858940833,0.11728869992228033,0.1517730349797195,0.44879214719567456,0.8393955877620182,0.4896001546941654,0.14139648243416297,0.16764801053006131,0.30216621695764817,0.14475347424885676,0.5567776322440476,0.5068349201268653,0.4888347837111663,0.46740727083759903,0.4557829901773935,0.4433785451019582,0.4377679346416591,0.44751107433649084,1.017144088572977,1.8725318869525722,2.64837172710771,3.132198239476261,2.900745527866493,2.410916984157838,1.7388719031736588,1.0062581841068714,0.29131780154561154,0.3973705858420226,0.28434813562110206,0.5788238179647078,0.816800780422674,0.7171822561266484,0.3490520359923728,0.1399149607838044,0.12651362207567102,0.36283758000243815,0.7501007243146792,1.321258270060186,1.6378042919673834,1.0655267677240956,0.8512076730999779,0.5233628224177292,0.17589246793977492
Li,0.12650838743807172,-0.23714329751670868,-1.11836086709819e-17,0.7299091630425883,0.41217848577210714,0.5349702382228607,0.8024065711059245,0.3739183308064663,-0.12797009508265544,-0.22749338460043506,-0.05023056571734184,0.27485763964395976,0.41260723998758625,0.5316676884372051,0.7873898254775693,0.5647164933859259,-0.049269386796760795,-0.20584203045135963,-0.09384221391212104,0.36246772766829666,0.8542141329676813,1.3373604641710857,1.638229773412733,1.7046264432834466,1.522807932277006,1.271784977264942,1.0088798626335536,0.711485309715342,0.3941893456499914,0.011695650348510715,0.11098486294515031,0.3899006972642398,0.6749533445374475,0.4920053949225668,-0.02793549466298483,-0.1836377718961216,-0.1061099165680608,0.12767266971198746,0.8262563692261192,1.525126076538954,2.134014943921058,2.3601395609342415,2.032043690142263,1.5037558321094646,0.9461787749168871,0.36631591125773244,0.06880342885479261,-0.15118832822924305,0.08577991185665813,0.3667156010556625,0.5741703100801158,0.4541328733499383,0.04726716594347514,-0.11985518144815484,-0.08537038255417365,0.21164886363206836,0.6022523706549463,0.2524568705892437,-0.09574681760328843,-0.06949527477598075,0.06502293149652862,-0.09238982384410295,0.3196343773988734,0.26969172767351507,0.25169143942777705,0.23026396218471967,0.21863959657478535,0.2062370571192306,0.2006245406478942,0.21036779130433847,0.7800008768672401,1.6353886148988335,2.4112284406475335,2.8950549385930393,2.663602108651161,2.173773617692338,1.5017285889346617,0.7691148702119588,0.054174505067130584,0.1602273128809708,0.04720486202625827,0.3416805941135772,0.5796574498713005,0.480038998465411,0.11190872622172389,-0.0972279430541938,-0.1106294908157994,0.125694318367724,0.5129574496839723,1.0841150400793271,1.4006611104454931,0.8283833155729785,0.6140642280082056,0.2862195227847754,-0.06125116562667432
Be,-0.6034007735348992,-0.9670524958801465,-0.7299091630425883,-1.11836086709819e-17,-0.31773067350011913,-0.19493891772932545,0.0724974132633344,-0.35599081412275213,-0.8578793029801096,-0.9574026208913656,-0.7801396095277301,-0.45505152202239735,-0.3173019080770829,-0.19824143527663043,0.057480672900847775,-0.1651926457201714,-0.7791786222339981,-0.9357511876039478,-0.8237513549366163,-0.3674412783675643,0.12430645561558802,0.6074512965167367,0.9083206123439109,0.9747173309870386,0.7928985739579733,0.5418756048401291,0.2789705007329757,-0.01842395167781694,-0.33571990921360556,-0.7182135109861999,-0.6189243026513578,-0.3400083978252685,-0.05495575059556434,-0.2379036974168133,-0.757844549349937,-0.9135469387133998,-0.8360164991528202,-0.602236467418826,0.09634728835824814,0.7952168470309807,1.404105842795956,1.6302303309633133,1.3021344962418453,0.7738466747230183,0.21626974801232945,-0.3635932147014786,-0.6611058722281768,-0.8810974964690943,-0.6441292372414752,-0.36319350118924815,-0.15573882624896235,-0.2757762508793559,-0.6826419685121584,-0.8497640594583614,-0.8152796309523944,-0.518260292714403,-0.12765673782294015,-0.4774522644406336,-0.8256560856399466,-0.7994045736226518,-0.6648863247224214,-0.8222990364069842,-0.41027477816569047,-0.4602176594388625,-0.47821772463841145,-0.4996452341392886,-0.5112695153439181,-0.5236739048704651,-0.5292845146667616,-0.5195413565033309,0.050091646443417195,0.90547937399558,1.6813190797587985,2.165145693590467,1.9336929151824507,1.4438644561058536,0.771819429659567,0.039205934371817346,-0.6757348633282009,-0.5696818891218154,-0.6827043140698781,-0.38822861576900997,-0.15025163149965678,-0.24987015029985118,-0.6180003645080316,-0.8271367573362376,-0.8405386434047369,-0.6042150908368333,-0.21695171158847598,0.3542057990583256,0.6707517677844174,0.09847435138339213,-0.11584474660997875,-0.44368983136805756,-0.7911597051480154
B,-0.28567009572529545,-0.6493217786351849,-0.41217848577210714,0.31773067350011913,-1.11836086709819e-17,0.12279175621468859,0.39022808748792215,-0.03826014020387958,-0.5401486212798345,-0.6396718583271894,-0.46240895597819515,-0.13732086050785075,0.00042875614430799554,0.11948923492435455,0.37521132753742986,0.15253805397886797,-0.46144788270389475,-0.6180205104247416,-0.5060206814900889,-0.04971083965644261,0.4420356014998439,0.9251819903508255,1.226051286028749,1.2924480035310806,1.1106292641678588,0.859606293231147,0.5967011716770844,0.29930668596721693,-0.01798923690525904,-0.4004828620404882,-0.3011935917939912,-0.022277726002308346,0.26277491567369404,0.07982696887247599,-0.44011387582401834,-0.5958162624251886,-0.5182883105869379,-0.2845057927692112,0.4140778278558067,1.1129475428611166,1.7218365442353158,1.9479609910345426,1.6198651677337572,1.091577346276219,0.5340002864636894,-0.04586243261507829,-0.34337506305650284,-0.5633668463134468,-0.3263985620004783,-0.045462857360331226,0.16199186060665735,0.041955163535561134,-0.3649113553907475,-0.5320333866365632,-0.49754874933328697,-0.20052962130835122,0.1900743692762816,-0.15972161084168085,-0.5079253391617439,-0.48167376947021934,-0.34715555269410814,-0.5045683114089741,-0.09254403686563709,-0.14248681395887727,-0.16048705399876845,-0.1819146029672181,-0.19353890066169716,-0.2059432721292358,-0.21155379427694623,-0.20181077738659817,0.3678223504453532,1.223210068004819,1.9990501072427866,2.4828764543527457,2.2514235866602648,1.7615951276236526,1.0895501012273892,0.3569366066963307,-0.35800400102471414,-0.251951214364933,-0.36497360238205623,-0.07049791731798212,0.16747904436595096,0.0678605442279489,-0.3002697755234145,-0.509406093028132,-0.522807957084169,-0.2864841736204666,0.1007789697004016,0.6719364867044147,0.9884825736026833,0.41620502545997984,0.20188592881988665,-0.12595895413811217,-0.47342905778862876
C,-0.40846192040751933,-0.7721136314837647,-0.5349702382228607,0.19493891772932545,-0.12279175621468862,-1.11836086709819e-17,0.2674363416246463,-0.16105191008443465,-0.6629404110835848,-0.7624637362324939,-0.5852007124536713,-0.26011259714215806,-0.12236297580101037,-0.003302563558004828,0.2524195948156417,0.029746255329791426,-0.5842396871549562,-0.7408122662365245,-0.6288124384734085,-0.17250235769399103,0.319243768443943,0.8023902194439116,1.1032595310547133,1.1696562388340925,0.9878375097515328,0.7368145388292301,0.4739094175848919,0.17651493149795408,-0.14078098530754515,-0.5232746259135659,-0.42398532678427386,-0.14506950271319008,0.13998315139246248,-0.04296479031535666,-0.5629056342613535,-0.7186080177280243,-0.6410736330242962,-0.4072975475724163,0.29128605943253355,0.9901557771746152,1.5990447871708042,1.825169325032116,1.4970734134767034,0.9687855927261785,0.41120865967269044,-0.16865430689970473,-0.4661669099396277,-0.6861586111454945,-0.4491902880820832,-0.16825462002319586,0.03919995126813156,-0.0808373196807197,-0.48770305088221166,-0.6548251418462921,-0.6203404962952968,-0.32332137687183715,0.06728261355764467,-0.28251333423861286,-0.6307170607977515,-0.6044655504062016,-0.46994730773128707,-0.6273601192184827,-0.21533589035095613,-0.2652784628979436,-0.28327880536096745,-0.30470626261680694,-0.3163305263604682,-0.328734991339878,-0.33434936949647853,-0.32460243295774105,0.2450305927989042,1.100418303049503,1.8762585922832562,2.360084610824526,2.128631832405932,1.6388033733574812,0.9667583469002987,0.2341448532541728,-0.4807959401984237,-0.3747429709889774,-0.4877653575827488,-0.1932896861702128,0.04468729927542558,-0.05493121268123986,-0.4230615322966247,-0.6321978483814025,-0.6455997114489194,-0.4092759283858599,-0.022012644538067106,0.5491447195181289,0.8656908088018379,0.293413270254773,0.07909399998309327,-0.24875071959487577,-0.5962208236016323
N,-0.6758982620470306,-1.0395499752376245,-0.8024065711059245,-0.07249741326333443,-0.39022808748792215,-0.2674363416246463,-1.11836086709819e-17,-0.4284882527631924,-0.9303767561198147,-1.0299000736943824,-0.8526370442277853,-0.527548937388013,-0.38979930068140844,-0.2707388566217858,-0.015016749663228633,-0.2376900451318441,-0.8516760351350651,-1.0082486017591186,-0.8962487697614256,-0.439938687643334,0.05180742402261549,0.5349538672944887,0.8358232016100144,0.9022199174000946,0.7204011518044329,0.4693781821435808,0.20647309519033455,-0.09092139965072639,-0.4082173233593565,-0.7907109240705841,-0.6914217155562448,-0.41250581277895476,-0.12745317677967588,-0.31040109239803226,-0.8303419640955236,-0.9860443532543479,-0.9085163102082888,-0.6747346116670485,0.02384967417771498,0.7227194478530587,1.3316084365745329,1.557732989447175,1.2296370825012988,0.701349261702313,0.14377233897744546,-0.43609065669407504,-0.7336032936260174,-0.9535949037718598,-0.7166266521557784,-0.43569091577168945,-0.22823624355736866,-0.348273668187762,-0.7551393830504884,-0.922261474091108,-0.8877770439629923,-0.5907577087793897,-0.20015420262676378,-0.549949679729511,-0.8981534985401558,-0.8719019949048796,-0.7373836423916803,-0.8947964491309499,-0.4827722567761849,-0.5327151124605575,-0.5507151334579476,-0.5721426434966338,-0.5837669241030867,-0.5961713213978788,-0.6017819233343717,-0.5920387708616387,-0.022405919712671606,0.8329819500004865,1.6088215980812253,2.092648366951488,1.8611955006218301,1.371367043378277,0.6993220176012123,-0.033291472922854136,-0.7482322845283694,-0.6421793073207259,-0.7552017289889568,-0.460725965104595,-0.22274904880806298,-0.32236756760825763,-0.6904977790517828,-0.8996341718452247,-0.9130361771154779,-0.6767125219252026,-0.28944887011744824,0.28170838399121734,0.5982545709691641,0.025976618182262812,-0.18834218245443698,-0.5161872303438648,-0.8636570904385159
O,-0.24741000403975072,-0.6110617279885664,-0.3739183308064663,0.35599081412275213,0.038260140203879564,0.16105191008443465,0.4284882527631924,-1.11836086709819e-17,-0.5018885032739273,-0.6014118451959976,-0.4241488163206977,-0.09906071807797376,0.03868893071549671,0.15774937765870442,0.41347149942862155,0.19079819175405063,-0.42318774245133495,-0.5797603711996778,-0.46776052283321906,-0.011450733184701842,0.48029582277776584,0.9634421290679783,1.2643114267176847,1.330708134558793,1.1488894039005735,0.8978664356534207,0.6349613394260076,0.33756682817194367,0.020270945150240825,-0.36222272025724017,-0.2629334324934426,0.015982411942952426,0.3010350540918617,0.1180871042640018,-0.4018537356253186,-0.5575561225585871,-0.4800280842588309,-0.24624565331799006,0.45233795240226093,1.1512076801831808,1.7600966641855758,1.986221211780195,1.6581253113096432,1.1298374905649546,0.5722604301602205,-0.007602491337764605,-0.30511492299230353,-0.5251067084404576,-0.2881383933242541,-0.007202231762379554,0.20025198560760543,0.0802145767065917,-0.3266512156100929,-0.49377324693641034,-0.45928860927519494,-0.1622694813922662,0.228334055025084,-0.12146147098466673,-0.4696651970379766,-0.44341363115588156,-0.3088954127594467,-0.4663081714307112,-0.05428389658083086,-0.1042266670094833,-0.12222690783178587,-0.14365436766719006,-0.15527868800902495,-0.16768308170700852,-0.1732936354210614,-0.16355063176196216,0.4060824818000521,1.2614702021350834,2.037310204311581,2.52113649450262,2.289683730240888,1.799855271194887,1.1278102449251184,0.3951967371689087,-0.3197440428179122,-0.21369104749716952,-0.3267134628263083,-0.03223777948490398,0.2057391840684701,0.10612068370607154,-0.26200963582089515,-0.4711459533904089,-0.4845478351055679,-0.2482240271253026,0.13903910195262545,0.7101967071770734,1.026742645318053,0.4544651598895092,0.24014605821597212,-0.08769881453991057,-0.43516891781548017
F,0.25447850855848764,-0.10917318445545193,0.12797009508265542,0.8578793029801096,0.5401486212798345,0.6629404110835848,0.9303767561198147,0.5018885032739273,-1.11836086709819e-17,-0.09952327959026105,0.07773960914716907,0.4028277297532771,0.5405773750793907,0.6596378118357046,0.9153599397252017,0.6926866281829955,0.07870071661394328,-0.07787192951879943,0.03412786538794731,0.4904378364168787,0.9821842227024432,1.4653305664148792,1.766199883627515,1.8325965870367866,1.650777859432047,1.3997548499958286,1.1368497510124267,0.8394552814137131,0.5221593557468439,0.1396657839781131,0.23895503103123614,0.5178708854778318,0.802923539594914,0.6199755885709304,0.10003469577783522,-0.05566782277346788,0.021860203376547965,0.255642727542951,0.9542264182419109,1.6530980697849016,2.2619045045493653,2.488109649801517,2.160013861656813,1.6317259656588112,1.074148881919784,0.4942860164455692,0.19677340188067785,-0.023218391015563455,0.21374999971175743,0.49468568837629695,0.7021403973994254,0.5821029606688088,0.17523724531657472,0.008114929069656414,0.04259983376290105,0.33961896589152785,0.7302223805682554,0.3804269573276893,0.03222329812870186,0.058474831310711586,0.19299302241995805,0.03558027775596661,0.4476044871474612,0.3976615770493433,0.3796615357794694,0.3582339984177236,0.3466097227681804,0.33420533379192896,0.3285947174143486,0.3383378491121313,0.9079709869248933,1.7633586867007152,2.539198532839415,3.0230250234858898,2.7915722967256094,2.3017437227525845,1.6296987280072837,0.8970849786734904,0.18214459716073508,0.28819739979389203,0.17517494116249574,0.4696506967214465,0.7076275371911132,0.6080091607995767,0.23987882054937398,0.03074216780456018,0.017340210630560224,0.2536644167333813,0.640927875948199,1.2120851576521805,1.5286311808649544,0.9563535848927134,0.7420343360920423,0.41418962141872473,0.0667193367622836
Ne,0.3540017643707432,-0.009649903024016448,0.22749338460043506,0.9574026208913656,0.6396718583271894,0.7624637362324939,1.0299000736943824,0.6014118451959976,0.09952327959026103,-1.11836086709819e-17,0.17726290932120414,0.5023510139527474,0.640100637617666,0.7591610830125686,1.01488320670409,0.7922098876356781,0.1782239908366246,0.021651300468390457,0.13365119279479162,0.5899611082397481,1.0817073380612119,1.5648538193392751,1.8657232342667829,1.932119838174736,1.7503012219955976,1.4992782825791713,1.236373177876237,0.9389786680982786,0.6216826238026653,0.2391890165844208,0.3384782447881419,0.6173941129564531,0.9024467522976848,0.7194988307162117,0.19955798542739225,0.04385546422069021,0.12138350493996851,0.35516601676749987,1.0537497409833567,1.7526194459644682,2.361509043127713,2.587632889258824,2.259537077846426,1.7312491798854417,1.1736721332014732,0.5938092793932664,0.2962968056922156,0.07630489430502856,0.31327331261066094,0.5942089954972987,0.80166367167505,0.6816262750282129,0.27476051708959925,0.1076382168008318,0.14212294907185466,0.4391422579901471,0.8297456981441681,0.47995024112816775,0.13174657373422755,0.15799811401872133,0.29251631496691843,0.13510355842958732,0.5471277284149939,0.4971849189764917,0.4791848056069928,0.45775735745895973,0.4461330852076227,0.4337286177456244,0.42811802383230835,0.43786115787850705,1.007494165177264,1.8628819386642097,2.638721753564749,3.122548239870524,2.891095548575519,2.4012669726366944,1.7292219284094044,0.9966082599866168,0.2816678723099463,0.38772068840789553,0.2746982186325323,0.5691739001236584,0.8071507938738123,0.7075323334025411,0.3394021203825417,0.13026521141146202,0.11686374058982836,0.3531876992545526,0.7404508467981211,1.3116082528643869,1.628154451435112,1.0558768337743698,0.8415577470876453,0.5137128855374709,0.16624255921220676
