element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-5015.126143473863,-3589.189895742096,2109.1321544856482,13188.319164241973,25508.08074529977,13332.513481749867,5094.46251193419,-2756.4945503239255,-4892.081712363468,-3992.9056097327657,-1822.843923145953,2633.440536718422,8431.918365877591,6204.085228009933,4771.454882072889,-1282.566028987156,-3393.2905094314283,-3117.0966241203023,-276.08529006648223,-3379.234066288206,3965.6993946070997,4655.331277902013,10751.48912810511,13415.558614174064,11250.697210573893,8052.377882259245,3779.3399888855593,468.80842550004814,-2259.959983915084,-116.48432370044313,3202.2392846907555,5782.168113720915,4156.136075712516,39.49464458095752,-1771.3455748341771,-2238.090699640467,1929.8184050024015,8472.504107256735,5472.5333674035855,7443.65524925311,14214.520958760178,18368.540849883615,15313.432360325103,8382.20670716237,2394.700127249245,-781.5354960844354,-1883.536043692946,425.3009349178827,3950.005305648304,4894.833104944997,4581.775966005897,3756.5412865452145,1396.8437779734365,1952.9994941074037,6352.718001056175,4806.293169318831,6340.882228368649,7227.89768809466,8087.025324702938,7820.032437149364,3788.504725281993,2314.9013591845046,1389.4718557210208,-1400.7502998861828,-2135.509593811195,722.3130181080182,1780.321337327918,-258.16898433747457,-2207.9561101487743,5599.343552960709,10830.287511686494,13776.306408151817,20387.206851384573,25553.459564498546,23611.622723983357,16231.182258439849,7069.999684091354,1395.185291817706,-4228.71389082508,255.92790551902,3732.743857497967,6239.171231549653,7002.416886603828,7610.012481433447,2136.9812991172216,-1871.6245419723448,17909.861965354135,3373.363221916704,16492.38698519299,14385.616872356344,10556.30009009282,13870.315497945378,17581.032108913292,13504.387697889404
He,5015.126143473863,-0.0,1425.9084018639207,7124.257602544916,18203.402814254274,30523.180694553583,18347.620583752112,10109.563183446493,2258.606270134979,123.01904429855972,1022.1942575972685,3192.256785090472,7648.541235724598,13447.01902110311,11219.183079470102,9786.564610660242,3732.5347163198626,1621.8101928437002,1898.0013813195992,4736.710878786934,1635.8666602660085,8980.797253917517,9670.431938350577,15766.520740864446,18430.65922213362,16265.797901198779,13067.478624026282,8794.473127063136,5483.907318925739,2755.0918234009064,4898.534667350867,8217.340029614688,10797.266222973645,9171.236840080759,5054.364045913018,3243.755129597872,2777.0072836169966,6944.9164086975525,13487.60510709844,10487.631396991694,12458.755920083404,19229.621659668675,23383.64151066264,20328.533098007083,13397.30483706453,7409.800925732904,4233.56524315036,3131.5647604560622,5440.401695500898,8965.106035062965,9909.93827127259,9596.876660070575,8771.642019191118,6411.487759931586,6968.097288624782,11367.818773859179,9821.393956845694,11355.983011773465,12242.998474383807,13102.126112968897,12835.130367353058,8803.598599571102,7331.56860748218,6405.960706852888,3614.3509135379186,2879.6108860664763,5737.413505147181,6791.866783975323,4756.928593967803,2807.1418899647647,10614.46466234958,15845.392101601487,18791.404580460985,25402.304831369645,30568.5602290561,28626.72343290101,21246.28303526874,12085.098011789227,6410.283375478454,786.3843255285029,5270.7697754370065,8747.844574152672,11254.271925871399,12017.517589985453,12625.113216971842,7151.574239995825,3143.4728617507776,22924.962744097418,8388.474789883388,21507.509312653816,19400.737271323247,15571.39817891517,18885.413641734547,22596.130195418104,18519.48583773153
Li,3589.189895742096,-1425.9084018639207,-0.0,5698.339734307551,16777.507827350713,29097.27645417083,16921.726129965286,8683.664054461247,832.7000851814623,-1302.8855796326625,-403.7163195117234,1766.438601666607,6222.737110713138,12021.20455688844,9793.27510978714,8360.64757992453,2306.739353528562,196.01934126455774,472.0753564953716,3313.10985580466,210.0183334610601,7554.889360623928,8244.575033378533,14340.675525422907,17004.812632091056,14839.933143490402,11641.606259606126,7368.565027356192,4057.998247841215,1329.2298934374603,3472.7003255608533,6791.5295782687035,9371.361069921499,7745.484374818965,3627.139921178431,1816.650100999045,1351.0975539213193,5519.007015587688,12055.451816300832,9061.7232936696,11032.993518800859,17803.88035352783,21957.923472918028,18902.776834499426,11971.39332483492,5984.01000005639,2806.547121181143,1706.0212368375876,4014.728616682261,7539.492074073958,8484.025099396189,8169.910902593341,7342.763623325736,4983.189614847041,5542.188071184985,9936.26926569699,8391.047715854247,9927.282121048765,10815.045492078427,11676.390581077718,11409.218298359512,7377.690267450004,5905.656101375359,4980.048678968661,2188.4424891135427,1455.1807498902563,4309.879805423893,5366.078401378835,3331.0192352658605,1381.232605569708,9188.862887682413,14419.483922687044,17365.4932505131,23976.396839698813,29142.913706102747,27201.056152139136,19820.579115781158,10659.189760535,4981.991237529196,-639.5195866729048,3845.12342757889,7320.23456858003,9826.794878004466,10589.239398833108,11194.466966469872,5723.040163984382,1717.5638836685225,21496.687618078573,6962.566158186575,20087.431035868678,17982.932635947564,14141.549509401084,17456.45051257047,21170.221950514962,17093.578291772195
Be,-2109.1321544856482,-7124.257602544916,-5698.339734307551,-0.0,11079.168125643127,23398.919321234273,11223.386305241445,2985.3240924017473,-4865.6401983297455,-7001.2254940532575,-6102.055938670405,-3931.968712332763,524.3157408585662,6322.7941421349615,4094.9357060965795,2662.3070270512603,-3391.690142441891,-5502.414672337388,-5226.246135836631,-2387.5367538268706,-5488.32202811884,1856.549781945686,2546.2068653439133,8642.338896848933,11306.434594692026,9141.593492775819,5943.266596636162,1670.2260530427063,-1640.3529553607066,-4369.133020813602,-2225.640088454637,1093.1152863490495,3673.018307617968,2047.0107967554502,-2069.8608364166435,-3880.469995775622,-4347.240196583075,-179.35350353278437,6363.382887047302,3363.3835922543713,5334.530775153984,12105.395992915915,16259.416611954455,13204.30846562619,6273.057295060565,284.2962129594015,-2890.5562493640223,-3992.662547520731,-1683.823150147599,1840.881154724444,2785.437805469653,2472.651293167919,1647.4170806903333,-712.306260239785,-156.16936726754273,4243.593780428708,2697.169130110156,4231.75821451152,5118.976119495632,5978.050662769956,5710.88254468815,1679.2794219345537,207.31746333224007,-718.3388253838207,-3509.9387425681516,-4244.640830052721,-1388.6362203216172,-332.38474171688796,-2367.3187148892066,-4317.105689005213,3490.222789352068,8721.143793468447,11667.156249751482,18278.05710048143,23444.334907602686,21502.498742051474,14122.239399502867,4960.850153873002,-713.9695930281543,-6337.864259898909,-1853.4551088045575,1623.6196113220085,4130.0466741294895,4893.292489311373,5500.8882833924135,27.83328531567531,-3980.8669600122835,15800.740299889843,1264.219063872836,14383.266091454687,12276.486352757336,8447.150205305334,11761.16562608495,15471.877081698256,11395.237819502965
B,-13188.319164241973,-18203.402814254274,-16777.507827350713,-11079.168125643127,-0.0,12319.770059304547,144.21818783621237,-8093.843934072246,-15944.808274839303,-18080.3934188778,-17181.222169676203,-15011.144570119835,-10554.860012625653,-4756.3820861677905,-6984.232563012091,-8416.861129902278,-14470.86675769944,-16581.59125357917,-16305.414633053262,-13466.68469103411,-16567.49014415834,-9222.618737856126,-8532.929549919098,-2436.830218205294,227.25829182926884,-1937.6032312852362,-5135.9001628080305,-9408.960849601344,-12719.50970082643,-15448.309915657732,-13304.808127883105,-9986.061383379663,-7406.149884105848,-9032.164483833285,-13149.037379331217,-14959.646369690807,-15426.408759520918,-11258.499594300094,-4715.794921790837,-7715.784681354187,-5744.64524258466,1026.2204909448747,5180.240431997862,2125.1318092466677,-4806.111334535303,-10793.497885253546,-13969.724476927026,-15071.83813973759,-12762.99978009285,-9238.295318618273,-8293.737067743108,-8606.524594139084,-9431.759356526674,-11791.91358729731,-11235.318683936432,-6835.582811529028,-8382.007588655446,-6847.418507762462,-5960.4030473597595,-5101.11723635467,-5368.285764018679,-9399.89753640519,-10871.91506556713,-11797.515801134576,-14589.115752186588,-15322.344454374583,-12467.784518061499,-11411.532778549863,-13446.522190865244,-15396.295831057147,-7588.925937849859,-2358.029465757852,587.9866515824804,7198.888809785074,12365.159140359403,10423.322243031998,3042.8815992143805,-6118.318035248708,-11793.13310257892,-17417.03239222713,-12932.631650627407,-9455.556748374216,-6949.129329905772,-6185.883692920248,-5578.288161876102,-11051.827100677405,-15059.94462603298,4721.5627955930895,-9814.951653186457,3309.9092102973896,1205.1907493249382,-2636.0728399249215,681.9988402608711,4392.71394235102,316.0704655033559
C,-25508.08074529977,-30523.180694553583,-29097.27645417083,-23398.919321234273,-12319.770059304547,-0.0,-12175.550027829175,-20413.619866202105,-28264.57849599808,-30400.165030200315,-29500.990869920715,-27330.8397557391,-22874.541077497102,-17076.163073882908,-19304.001654366577,-20736.629847869568,-26790.648203596626,-28901.372662133657,-28625.193499032666,-25786.45549880511,-28887.25882440064,-21542.38697005005,-20852.74968449594,-14756.659541393357,-12092.52258152743,-14257.384749407358,-17455.70434610736,-21728.710803513794,-25039.277201537003,-27768.047848349874,-25624.57811578798,-22305.74870463221,-19725.918264255542,-21351.94459826466,-25468.818829248314,-27279.427630016085,-27746.206228005216,-23578.261487652264,-17035.578091619052,-20035.5542407118,-18064.426107385774,-11293.559871874086,-7139.540647238462,-10194.649754320642,-17125.879712807597,-23113.266225292515,-26289.49281149761,-27391.618421184023,-25082.781317240515,-21558.076719959005,-20613.516936637614,-20926.30543223708,-21751.5407450684,-24111.694916948625,-23555.06858515726,-19155.36433373359,-20701.78924281768,-19167.200157636995,-18280.1847157237,-17421.05709092401,-17688.05412207631,-21719.581262736574,-23191.69688715138,-24117.297608736375,-26908.897576600124,-27643.558655779038,-24787.55464788618,-23731.3024803534,-25766.296731192393,-27716.06851355642,-19904.706877736608,-14677.790149763166,-11731.780435774976,-5120.879585533534,45.64805802082064,-1896.459197291566,-9276.900077663628,-18438.086616948836,-24112.90137783109,-29736.800999946536,-25252.4131070096,-21777.561939005824,-19268.910297989343,-18505.66484183739,-17898.069569427218,-23371.608416206043,-27379.71277388933,-7598.219961575311,-22134.71689339136,-9009.85222001372,-11122.431623934137,-14951.78639302138,-11637.763369927567,-7927.235329514595,-12003.693430317631
N,-13332.513481749867,-18347.620583752112,-16921.726129965286,-11223.386305241445,-144.21818783621237,12175.550027829175,-0.0,-8238.062160752113,-16089.02664900241,-18224.61173318362,-17325.440926495266,-15155.356307092934,-10699.071742204469,-4900.593609768929,-7128.450695671157,-8561.07929443344,-14614.996019417342,-16725.802734831133,-16449.632546839282,-13610.904056673218,-16711.7464734588,-9366.836923550705,-8677.147934579454,-2581.0476375123403,83.08928227478019,-2081.7916531159085,-5280.13415146536,-9553.172321372,-12863.727883972831,-15592.521409178802,-13449.02629070383,-10130.272815549815,-7550.368009726431,-9176.37637575257,-13293.248831176545,-15103.857910161032,-15570.6558708804,-11402.717552613323,-4860.005549562095,-7860.002805262446,-5888.856832606414,882.008723108571,5036.028930285146,1980.9204240581876,-4950.3294956347945,-10937.716047355387,-14113.942639028875,-15216.0503055833,-12907.211211956157,-9382.506772850635,-8437.949109724608,-8750.73623096914,-9575.970820414828,-11936.125073237661,-11379.536658703597,-6979.794268184173,-8526.21899204763,-6991.629908462484,-6104.410231721581,-5245.335398450175,-5512.503925118169,-9544.108941491873,-11016.12648087974,-11941.727222948712,-14733.327190994758,-15466.562624398684,-12612.004449608801,-11555.753086612596,-13590.740352254428,-15540.513935888457,-7733.143784624873,-2502.2472940793796,443.7687134727863,7054.670649297077,12220.94749883152,10279.110836738799,2898.670222855718,-6262.536197344209,-11937.351263678403,-17561.25031826843,-13076.843100322427,-9599.768232651752,-7093.340921594551,-6330.095224978392,-5722.499619931051,-11196.038590393442,-15204.162772293841,4577.352075812168,-9959.169777405225,3165.6910257531763,1060.9725395211153,-2780.2929404352585,537.7806492169475,4248.495782731374,171.85227445943212
O,-5094.46251193419,-10109.563183446493,-8683.664054461247,-2985.3240924017473,8093.843934072246,20413.619866202105,8238.062160752113,-0.0,-7850.964176358669,-9986.549439150323,-9087.379356079406,-6917.305607712659,-2461.0210568712764,3337.4561805963253,1109.6105259332812,-323.01701934201134,-6377.028585578917,-8487.753055879713,-8211.57195381534,-5372.783827441102,-8473.696716965282,-1128.7744883575044,-439.08666822107773,5657.011805045458,8321.151114065822,6156.234719059291,2957.9153288372872,-1315.0976033505485,-4625.664959233689,-7354.434093213071,-5211.028703138918,-1892.2232730491385,687.618435300944,-938.1835940075954,-5055.199243061947,-6865.80807086835,-7332.566127846506,-3164.6567185492213,3378.0422932666006,378.0581536769654,2349.193153409822,9120.225707344443,13274.078584246743,10218.96981932046,3287.619651923232,-2699.6539920808427,-5875.880751029072,-6977.998547585023,-4669.161656675111,-1144.457199122547,-199.64082558160698,-512.3543556466448,-1337.402582748029,-3698.075414786478,-3141.4757910431094,1258.2553689643596,-288.16947781503774,1246.419592885535,2133.435050134462,2992.562686660235,2725.5582916964077,-1307.641944993079,-2778.0768339522942,-3703.6120266465814,-6495.277465360623,-7229.887650033355,-4373.88411217102,-3317.6315387522045,-5352.6782500463805,-7302.453163352009,508.90699055906845,5735.817535733638,8681.83230562175,15292.732889710402,20458.997607381494,18517.16024479848,11136.719648802178,1973.2449909320078,-3699.2889403119934,-9323.187844868527,-4838.79351782225,-1361.7185908838026,1145.1402787852874,1908.4995563135087,2515.5499649795643,-2957.988924573525,-6966.100739490082,12815.399694984946,-1721.1104134612651,11398.022256556791,9291.239133788291,5461.8264773149185,8775.849316803842,12486.557811756105,8409.913632343729
F,2756.4945503239255,-2258.606270134979,-832.7000851814623,4865.6401983297455,15944.808274839303,28264.57849599808,16089.02664900241,7850.964176358669,-0.0,-2135.5865946785693,-1236.415997092912,933.7347480539172,5390.033371790988,11188.413657630763,8960.574107108621,7527.946618280042,1473.9286311258404,-636.7958118427996,-360.62532597630627,2478.2228451731776,-622.7394532175826,6722.189674260091,7411.875795152794,13507.97657585417,16172.115882862943,14007.191622060507,10808.872270817335,6535.834453857106,3225.2655738135027,496.4856315018314,2639.928488051699,5958.733875178087,8538.656004839911,6912.780616528638,2795.7579668530498,985.388524204328,518.3947591054819,4686.306413046729,11228.998548172001,8229.022965875245,10200.15069962474,16971.188737344986,21125.03583183768,18069.92689015127,11138.576817785406,5151.194668954897,1974.9590646169288,872.9601060874447,3181.795545112046,6706.499996357654,7651.322442095254,7338.271389425053,6513.035999612819,4152.881836628647,4709.487314006483,9109.212650989371,7562.787736403137,9097.376788645633,9984.392235723632,10843.519860220704,10576.522055621079,6544.990582277101,5072.956398015554,4147.352094305475,1354.4321562156044,622.479119308605,3477.122617195567,4533.376013802457,2498.318599768434,548.5121036755781,8355.977650172048,13586.776729846417,16532.796338295713,23143.51727797296,28309.955183371007,26368.117320373447,18987.67678004841,9826.301535833374,4151.675056824983,-1472.2241204984232,3012.1636918041086,6489.238640947601,8995.666423797635,9758.911830408606,10366.50718045035,4892.968330349378,884.8639102652529,20666.355709643525,6129.873294651045,19249.02992485233,17142.246328015855,13312.789874053224,16626.805624440552,20337.521883871388,16260.877820622785
Ne,4892.081712363468,-123.01904429855972,1302.8855796326625,7001.2254940532575,18080.3934188778,30400.165030200315,18224.61173318362,9986.549439150323,2135.5865946785693,-0.0,899.1698821524108,3069.239134685032,7525.621868153493,13324.000697270316,11096.160103588842,9663.53223885604,3609.5158443037567,1498.7913855636455,1774.9775276660976,4613.763318238398,1512.8477234913294,8857.774901011448,9547.414833365145,15643.56131580186,18307.70094704396,16142.779066620766,12944.459675956807,8671.421741720256,5360.88374106687,2631.6183012794845,4775.515711871905,8094.321131376936,10674.166272568296,9048.369700496114,4931.345180494876,3120.7364170249602,2653.9834851766664,6821.892863644977,13364.586127729357,10364.609007475703,12335.737697026882,19106.775065973467,23260.623044350978,20205.514192672446,13274.164031885299,7286.781857342143,4110.546243117873,3008.546401210597,5317.382754810224,8842.087224721372,9786.90746967504,9473.858410695602,8648.623209939637,6288.469029962224,6845.073844057408,11244.79979994653,9698.37491898452,11232.963987759891,12119.979441024469,12979.107071893157,12712.107673764096,8680.580008816445,7208.545515651182,6282.937520509724,3491.2669569655363,2756.6607150154473,5612.663810783052,6668.916686875929,4633.90504388333,2684.1179706489647,10491.518807434613,15722.369024117543,18668.381362716314,25279.282311842257,30445.54218536091,28503.70466270122,21123.264023317744,11961.88871537823,6284.8077651617705,663.3622512648815,5147.750904528258,8624.825851691436,11131.253526710298,11894.499004582563,12502.094391502025,7028.555522230608,3020.4497331252087,22801.943591141742,8265.506094114291,21384.567835284477,19277.78690466335,15444.376201998344,18762.39869388251,22472.92885198468,18396.469094795262
