element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-8.520413230217013,-8.18596037583328,7.654505856966435,9.48716262680839,10.14678977541405,9.498035955467929,8.536105719148994,-7.922077774815252,-8.495577590999154,-8.292524880680164,-7.508701598522404,7.876426118401414,9.039898179209702,8.733124432920677,8.470616101825073,-7.157397443465695,-8.129850037131549,-8.044978038271726,-5.6243253651710905,-8.125700236460494,8.28568964113876,8.44598313763233,9.282892553553461,9.504244940544236,9.328274259415988,8.99384689510283,8.23756922871852,6.152325006291429,-7.7235447737202385,-4.7663049093682215,8.071917853247356,8.662706928066122,8.332581672831036,3.7011697328000466,-7.480059131809278,-7.713825124773583,7.565699236060359,9.044699410151162,8.607679640699153,8.915251637699814,9.562089671936963,9.818449183334124,9.636550954285175,9.033985782232266,7.781430795830627,-6.66253928379369,-7.541436938920115,6.055145516867242,8.281725333272627,8.496139735568871,8.430060199614932,8.231520109336616,7.2426861697495,7.577633573701673,8.75679543251883,8.477889454034857,8.754930884816854,8.885841839918356,8.998139891840674,8.964571850035712,8.239990610192063,7.747554246760173,7.237398433067181,-7.2454769489407544,-7.666928745507508,6.5838420719070365,7.48511069224122,-5.557480298126546,-7.700275334571205,8.630583223584468,9.290194216741149,9.530778054354139,9.922711917150302,10.148567123042877,10.069536709212176,9.694751109784152,8.863757146927583,7.241499005042844,-8.349889631649946,5.548795522268911,8.22516672439953,8.738762901940447,8.854153435600077,8.937351488186353,7.667617344641789,-7.535096224246284,9.79316262149879,8.123961910517622,9.710714790775201,9.574053669554992,9.264572851283601,9.53757835365244,9.774632756647273,9.510843973544343
He,8.520413230217013,0.0,7.263265426113126,8.87140115922643,9.8094187566798,10.326274458145429,9.81730967810955,9.221336016046253,7.722945860334396,4.820435136865268,6.930684638049186,8.06879661074345,8.94240095583603,9.506587089506183,9.325469496186887,9.188867941621867,8.225110709031657,7.391914612335305,7.549083438205175,8.463309361072726,7.400539120337052,9.102955280905448,9.176931657975777,9.665707453955648,9.821825074942199,9.69688137083723,9.477958397702713,9.081992450729095,8.609755475378922,7.9215689492131105,8.496895513742414,9.01412352478776,9.287140865315356,9.123936465720377,8.528205145857124,8.084795165458173,7.9294891452032195,8.84590919877977,9.50960054186126,9.258047225480418,9.430259203071197,9.864259165656176,10.059834740158482,9.919829940200628,9.502883473239931,8.91069379959258,8.351035943764593,8.049607360285515,8.601791971274299,9.101206750996443,9.20139430208266,9.1692971717491,9.079393296461822,8.766002580694604,8.849240981539783,9.338629691625522,9.192420155430911,9.337588077053024,9.412791175464168,9.48060611529832,9.460019158562798,9.0830294321082,8.900081157436839,8.76514028877378,8.192944201399827,7.96575766385469,8.654938058278573,8.823628338219576,8.467567683177316,7.9402782944833055,9.270067147305495,9.670697125735106,9.841208055505728,10.14263455601411,10.3277600290783,10.262130878091584,9.963984309014315,9.39981114641942,8.765814744457673,6.668716471692883,8.57012140592627,9.076676921964202,9.328591913499565,9.39420387186342,9.44352242585805,8.87522760445737,8.053401543560174,10.04002529162336,9.034733197964679,9.976203917798623,9.87311789111026,9.653255278588071,9.846198087612954,10.025578194693793,9.826632740994938
Li,8.18596037583328,-7.263265426113126,0.0,8.648105611026729,9.727854050402637,10.278434223026505,9.73641273897425,9.069313996805741,6.725873727589361,-7.173103992956247,-6.003186376029807,7.477286659779312,8.736125826970216,9.394510598667164,9.189553321492745,9.031410765599585,7.744023689503996,5.283301902926652,6.159254691860346,8.105944346442723,5.351945018142528,8.930082585928693,9.017431975845986,9.570924950105077,9.741310484131958,9.6051443950336,9.362426601686785,8.905113964087016,8.308691485166278,7.193107058487194,8.15297568100797,8.82357869583923,9.145520325338987,8.954994390370988,8.196475377519572,7.5052997925170155,7.209412409267092,8.616134410210131,9.397355216072324,9.111924938160861,9.308736106447833,9.787227875864971,9.996928872241423,9.847117013597074,9.390358722161194,8.697013288843875,7.940066470507774,7.442505163746687,8.297974083560911,8.928042720686065,9.04605813575425,9.008335675224577,8.901606745416013,8.514026104456095,8.620325078338166,9.204047540146817,9.035039835933926,9.20314274318585,9.288786004272275,9.36540982226837,9.342264574869379,8.90635143130953,8.68383514678316,8.513395725956398,7.691402219220772,7.283572362459867,8.368897293454696,8.588038980115378,8.111333776158984,7.231455300996853,9.125856295508553,9.576404969408095,9.762297953448432,10.084866867213487,10.28000137773503,10.211047843255663,9.894526477554926,9.274271498737289,8.513785639806889,-6.462279701154787,8.254821018087982,8.89853424964422,9.192969862239346,9.267688044462044,9.323264240219196,8.652430157420484,7.449244269685957,9.975700655684046,8.848447001156936,9.907899357988173,9.797234006909465,9.55694322796431,9.767521799978693,9.960398083318816,9.746516633256242
Be,-7.654505856966435,-8.87140115922643,-8.648105611026729,0.0,9.31291213398066,10.060487853529349,9.325844038977033,8.001798509517409,-8.490159080314161,-8.853983305231035,-8.716544898268573,-8.27714981723433,6.263999492975583,8.752074645954973,8.317750469842384,7.887323872841151,-8.129378438021051,-8.613124028089123,-8.561639866916792,-7.778436220539496,-8.610560034731863,7.527013576741904,7.842752690897654,9.064544233541477,9.333215717094015,9.120699376143065,8.690182436777429,7.421312799543237,-7.403276153496155,-8.382548727171809,-7.708249041468576,6.997701358004783,8.209041248783333,7.624624257998749,-7.635719662815571,-8.263969225756762,-8.37752648971965,-5.1949188334585275,8.758472552174467,8.121000043205141,8.582143648038107,9.401489186383856,9.696489004664985,9.48837418421805,8.74417852085119,5.653527984242121,-7.969550130759923,-8.292464020551693,-7.42941588187624,7.518542695040197,7.932519286814204,7.813450594419992,7.407570761392495,-6.569910865692676,-5.0573239962962235,8.353401400510148,7.900328722019454,8.35060911970967,8.540905053861668,8.69601708229708,8.650303940903266,7.426715381147329,5.339063182161505,-6.578332492038092,-8.163638728727179,-8.353648048495122,-7.23679727987334,-5.809297203573215,-7.769935579383468,-8.370572087154372,8.158007323273287,9.07362033456221,9.364618722203355,9.813511262741335,10.062426816241565,9.97597093306475,9.555576903962915,8.509533965059964,-6.572240014556349,-8.754454892566791,-7.525346190006602,7.393028982021286,8.326286085839229,8.49582500709445,8.612846636551444,3.361530459916036,-8.28950607372253,9.667875358512129,7.1430005591909085,9.573890255668124,9.415522486347507,9.04170278577204,9.372643356376715,9.646843904407078,9.341038564082305
B,-9.48716262680839,-9.8094187566798,-9.727854050402637,-9.31291213398066,0.0,9.419041739947847,4.978237355126219,-8.998982586626598,-9.676951269588635,-9.802638700604653,-9.75163053348783,-9.616614790512287,-9.264436436131875,-8.467452814032423,-8.851553565769892,-9.038111052390246,-9.579961820129723,-9.716108704389494,-9.699313845150101,-9.508048368292778,-9.715257986423339,-9.129522727384327,-9.051805208489954,-7.798863667831715,5.430477846654313,-7.569723008870921,-8.544205095356864,-9.149524072060817,-9.450970906910987,-9.645319615675131,-9.495955920228159,-9.209045672552438,-8.910201013275795,-9.108658026198414,-9.484179880136564,-9.613178457125228,-9.643900996032274,-9.328967459702607,-8.458884805932698,-8.95115306420935,-8.656197497741962,6.934611881086492,8.552799772222862,7.662059555684976,-8.477851628544267,-9.28679182822687,-9.544719310385737,-9.62064960432904,-9.454383970169433,-9.131220897508666,-9.023376504442007,-9.060392052500386,-9.151943947514171,-9.37525408660593,-9.32690655057881,-8.830043296822708,-9.03396202988085,-8.831773029821383,-8.693061142985494,-8.537410876947098,-8.588450173818748,-9.14856044629622,-9.29403011946785,-9.375729022977977,-9.588099575151336,-9.63713272589052,-9.430983561434276,-9.34246739706119,-9.506550144331218,-9.641947177597146,-8.934577112483025,-7.766005570112986,6.3784035205467,8.881820861799495,9.422718919222138,9.251897031894787,8.020888821777778,-8.719205937148445,-9.375357492114787,-9.76526129294938,-9.467586302447405,-9.154463615701802,-8.846515547005236,-8.730186796731413,-8.626816477681414,-9.310441520437987,-9.619860223558982,8.460106896395377,-9.191764061071614,8.104978116542297,7.0952225317161615,-7.877424808241393,6.526493161561839,8.387930148948008,5.759124037828938
C,-10.14678977541405,-10.326274458145429,-10.278434223026505,-10.060487853529349,-9.419041739947847,0.0,-9.407267252194627,-9.924006583262026,-10.24940003576703,-10.322236210021844,-10.292213027166715,-10.215807593002577,-10.037823543525054,-9.745497357170152,-9.868119494394607,-9.93970519597974,-10.195845483736766,-10.271678969766349,-10.262077434276708,-10.157643431689413,-10.271190522499012,-9.977824179298716,-9.945289052040515,-9.599517517925007,-9.40042526440716,-9.565100416122535,-9.767479057058738,-9.986435764533926,-10.128240895501682,-10.231677292653249,-10.15134627680234,-10.01264454415895,-9.88973939139142,-9.968944929440068,-10.145249454844487,-10.213924787421638,-10.230890437638084,-10.068122854162912,-9.743117963997491,-9.905313596338466,-9.80175523075918,-9.332076461509338,-8.873543773368693,-9.229716413623194,-9.748404421358309,-10.048205291392934,-10.17696266275545,-10.218028855394563,-10.12997675360707,-9.978552200356388,-9.933750812251251,-9.948810065261847,-9.987485845559602,-10.090493740828741,-10.067138755639322,-9.860390280582825,-9.938023716205869,-9.861007943141384,-9.813627652302179,-9.765492331317791,-9.780701316084727,-9.986015535325908,-10.05159271875091,-10.090726068281258,-10.2002494375673,-10.22718419394136,-10.11813731949272,-10.074592372972068,-10.156861398306724,-10.22980369423234,-9.898761747375406,-9.594158883905946,-9.370141949856809,-8.541276757215948,3.842631297719901,-7.54827100563493,-9.13539051543947,-9.822227963180374,-10.090543773838549,-10.300174276458147,-10.136716598123355,-9.988681367631512,-9.86630010638924,-9.825886207908685,-9.792504011116264,-10.059320035177283,-10.217594131151126,-8.935800884372094,-10.004947731964636,-9.10618493214647,-9.316809119472264,-9.612652942256194,-9.362096475944648,-8.97818575890866,-9.3930529714961
N,-9.498035955467929,-9.81730967810955,-9.73641273897425,-9.325844038977033,-4.978237355126219,9.407267252194627,0.0,-9.016641800983344,-9.685954896231323,-9.81058312192033,-9.75998899096012,-9.62617528117153,-9.278005725306443,-8.497315657707505,-8.871989469160168,-9.055098347866567,-9.589871825713617,-9.724767666023787,-9.708119208149629,-9.518699987158785,-9.723926969152387,-9.145037497306939,-9.06856341329521,-7.856338021086252,4.431879118605387,-7.641464413750422,-8.57189615504768,-9.16473323035539,-9.462244572838266,-9.654610812695665,-9.506736339727244,-9.223382237478965,-8.929484019170788,-9.124496644918244,-9.495086801981383,-9.622771686968255,-9.653207609261932,-9.34169468232961,-8.489000598695101,-8.96966946065191,-8.680986969492222,6.7833350795003176,8.524571689283881,7.591821564769189,-8.507411404476974,-9.300063705958161,-9.554989276848577,-9.630171808795133,-9.465618915910321,-9.14670882851405,-9.040613066771803,-9.077007386064219,-9.167116622677135,-9.387408576818288,-9.339659864626729,-8.850917981286063,-9.05101856060385,-8.8526120031606,-8.716930580310445,-8.56528509251392,-8.614955621108912,-9.16378414955641,-9.307206293793339,-9.387877771497077,-9.597935233524959,-9.646500376170097,-9.442483659866708,-9.355025227913135,-9.517217560186257,-9.65127004104828,-8.953400063231157,-7.825344085624332,6.097554402047012,8.861586919910314,9.410988589817384,9.237966320734962,7.972352293251733,-8.742500192359781,-9.387511292292904,-9.773507009221644,-9.478674710826622,-9.169598398488716,-8.867052691916998,-8.753228521495359,-8.652335718953541,-9.32340461074827,-9.629390305236265,8.429094403586886,-9.206349396357583,8.060442481234045,6.967883344142828,-7.930671185052987,6.289308529297625,8.354555615522933,5.152437324854575
O,-8.536105719148994,-9.221336016046253,-9.069313996805741,-8.001798509517409,8.998982586626598,9.924006583262026,9.016641800983344,0.0,-8.96851899302714,-9.209094540164939,-9.11475188261608,-8.841926164253206,-7.80873785945814,8.11326375773517,7.0126651664622885,-5.780796043246107,-8.760614329463207,-9.046497396419657,-9.01342142425407,-8.589287562732032,-9.044840145999515,-7.029773323964861,-6.086971680745349,8.640827838293669,9.026676047761326,8.725383046494025,7.992578037201102,-7.182426275814798,-8.439591576350908,-8.903194651445252,-8.558724445355228,-7.546036090925655,6.534687322693811,-6.84501098087143,-8.528370342301423,-8.834454658742438,-8.900217187874832,-8.060115807066763,8.125347603139836,5.937689633092659,7.7622527967009,9.118359471772948,9.493643765809887,9.232098910653576,8.098223197034098,-7.901249241951265,-8.678781415617113,-8.85066071090494,-8.44894896605421,-7.043559136832802,-5.3015163721769545,-6.240966358459431,-7.199232079398808,-8.215838179509587,-8.052766236709386,7.138275848237365,-5.667012944656213,7.128832370947613,7.665957277126232,8.004219491071565,7.910795393817166,-7.176745195256099,-7.929874077417984,-8.2173338160923,-8.778984594192972,-8.886117080788773,-8.383635309794261,-8.107307789815241,-8.585539127027285,-8.896102551365805,6.234228337633869,8.654659899273643,9.069103056920301,9.635198408413757,9.926226922564334,9.826507164431966,9.318092793138105,7.58794132117402,-8.21616618755951,-9.140367146335008,-8.484627337193672,-7.217236947345478,7.0441552971005255,7.554596474308125,7.830644180968469,-7.992602909430556,-8.848954454447625,9.458480856008546,-7.451305802247606,9.341282863735687,9.136934829007737,8.605721604632041,9.079872774483466,9.43248805251615,9.03728538349261
F,7.922077774815252,-7.722945860334396,-6.725873727589361,8.490159080314161,9.676951269588635,10.24940003576703,9.685954896231323,8.96851899302714,0.0,-7.666964785354956,-7.120780611001776,6.8402627971195775,8.592492365710934,9.322723401151228,9.100701172135716,8.926510419677562,7.296364881925899,-6.458018187986194,-5.890608664716719,7.815700421166957,-6.435732738253569,8.813317974812414,8.91097373951201,9.511109675002242,9.691105629299262,9.54739755334532,9.288215094727862,8.785208298809438,8.079080578239616,6.209566674778218,7.87888583432799,8.692781107246716,9.052476005507625,8.841271889652528,7.9362161563340665,6.894050317764138,6.252664208891799,8.452613370875827,9.32634391845127,9.015544084174541,9.230255806598077,9.739331326773286,9.958261484483046,9.802059676689757,9.318259525128255,8.547178052193583,7.588809161806249,6.773034729404888,8.065515191826657,8.810981581756753,8.942764467949306,8.900994850935485,8.781714512319652,8.331798558347467,8.457546645354109,9.117151332570963,8.931127367037044,9.115851301720145,9.208878527574486,9.291415149364413,9.266486467737034,8.786608016361207,8.531876146905033,8.330466448655812,7.211875616941473,6.435315275078319,8.15424794938064,8.419442759654048,7.823773413612413,6.30903080030824,9.030852115613756,9.516925897724107,9.713161827985196,10.04951319681983,10.251004117677029,10.17994880591541,9.851598121549639,9.19291966231554,8.331507997570569,-7.295208557297603,8.010745866165715,8.778054579584149,9.104609390348495,9.186038645596723,9.246431884712566,8.495758772863857,6.786563338655284,9.93631071559253,8.721092481206133,9.865267894252506,9.749359574918763,9.49655560970572,9.718831610650641,9.92027199655246,9.69657886355685
Ne,8.495577590999154,-4.820435136865268,7.173103992956247,8.853983305231035,9.802638700604653,10.322236210021844,9.81058312192033,9.209094540164939,7.666964785354956,0.0,6.802583503458894,8.029510731581873,8.92620159704531,9.497397301362023,9.314444508042593,9.176217993042997,8.191605934277607,7.3130813011273945,7.4821062701309,8.437015860299692,7.32240985000328,9.089163761014992,9.164130433662507,9.657878615812246,9.81513168742057,9.689290057330073,9.468500401478451,9.067903355075345,8.587070636551683,7.875734181756054,8.471466629115708,8.999041535661755,9.27567541386014,9.11045038791453,8.503569849770084,8.046144669908655,7.884193713384251,8.828038834456319,9.50043848303447,9.246248779291967,9.420336894357787,9.857850602720525,10.05456020198525,9.913760316188018,9.49365020248467,8.893954506733069,8.321554451609739,8.00954464911472,8.578924542663588,9.087391328229607,9.188902971072336,9.156397086376767,9.06527103943263,8.746631931180982,8.831430605484982,9.327749986803822,9.179816721073239,9.326696967440087,9.40269306832391,9.471173239214286,9.45038884049375,9.068958819754677,8.88316119301496,8.74575205669555,8.158306362194852,7.9221380322997925,8.63295887105016,8.80536264810841,8.441370991033535,7.895479942904755,9.25841778767072,9.662903357532418,9.834640100620755,10.137780015597261,10.32372770955894,10.257824428517472,9.95817761248559,9.389564529726753,8.746049635464784,6.498827559847011,8.546509421429471,9.06251598823648,9.317601896974146,9.383915372641727,9.433731443974782,8.857878756949628,8.013492039265811,10.034644911483852,9.019967219197236,9.970471573279468,9.866760646302392,9.645064962582643,9.839663373202754,10.020111198670573,9.81996838494041
