element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.1640615752228616,-0.11741442412883059,0.06899677769190028,0.4314340965167925,0.8344547650973031,0.4361511756473573,0.16665693358667868,-0.09017417011691037,-0.16003637972171927,-0.1306213174520866,-0.059631330670696724,0.08614866114025475,0.2758362939796839,0.20295640951099855,0.15609027204158324,-0.04195703099448067,-0.11100589900227063,-0.10197067185249478,-0.00903167463556419,-0.1105460656624635,0.12973131102320004,0.15229147997219106,0.35171722343290407,0.43886786010360657,0.3680479919979958,0.26342025342120234,0.12363487061759658,0.015336293956508795,-0.07393086121756372,-0.003810592413499481,0.10475597348045707,0.18915408741510945,0.13596113276417957,0.0012920021186806495,-0.05794664719440969,-0.07321544367382772,0.06313082430254814,0.27716398952945875,0.1790248976856234,0.2435068970692885,0.46500459466353794,0.6008964999412667,0.5009536676107285,0.2742100591049393,0.07833866264244362,-0.025566643971068302,-0.06161677323299652,0.013913018203376967,0.12921790480317538,0.16012638698934695,0.1498852393332813,0.12288904869567713,0.045695438957759786,0.06388915537641299,0.2078186853896303,0.15722994911452656,0.20743149761896532,0.23644874452491818,0.264553687321395,0.2558194556286707,0.12393467984406197,0.07572817763867527,0.04545427868729966,-0.045823234375125664,-0.06985967208823088,0.023629278340084974,0.0582402744515158,-0.008445572261269903,-0.07222964031031015,0.18317328362879215,0.35429498250925356,0.4506691288344398,0.6669338267363367,0.8359392582778371,0.7724152706917475,0.5309763409469233,0.23128337190611814,0.045641184320207244,-0.13833539620899754,0.008372259066220423,0.12211055507775961,0.20410419021368176,0.2290725122195279,0.24894899937747017,0.06990781649853345,-0.061227108111991606,0.5858915772006302,0.11035401067761924,0.5395212225113765,0.4706017151138997,0.34533193617862384,0.4537444810619943,0.5751344511215195,0.44177375698097754
He,0.1640615752228616,-0.0,0.046646240162419,0.23305833016542107,0.5954942816361869,0.9985154834194846,0.6002121279598994,0.3307176755363547,0.07388657670530793,0.004024365013489493,0.033439398190093686,0.10442941248034837,0.2502094039893475,0.43989703539656466,0.367017059207323,0.3201513102785225,0.12210371336926772,0.053054843953760485,0.06208998288102252,0.15495367931279225,0.053514678087817846,0.2937919609763324,0.31635222155993514,0.5157757062394458,0.6029285999742594,0.5321087345729085,0.42748099766914605,0.2876966746606467,0.17939697773901572,0.09012828222057151,0.16024747749469404,0.26881671783167344,0.3532147455446921,0.3000218777514845,0.1653451784460798,0.10611409583218152,0.09084521033402775,0.2271914789789888,0.44122474221988933,0.34308555320910944,0.40756763899665377,0.6290653375748619,0.7649572415398213,0.6650144117250363,0.43827071791003397,0.24239940874577803,0.13849410019403732,0.10244397305567045,0.1779737630668544,0.2932786486470315,0.32418727597948727,0.31394598202072105,0.28694979264523807,0.20974124106235542,0.22794980320994804,0.37187943065286444,0.32129069485942746,0.3714922432290203,0.40050949022932925,0.42861443309047426,0.41988010790095964,0.2879951994337988,0.23984016756253243,0.20956043264228974,0.11823752530230054,0.09420171785942806,0.18769001425502668,0.22218471308699395,0.1556150684992431,0.09183101424896399,0.34723469416987107,0.518355852643007,0.6147297890268097,0.8309944806371412,1.0,0.936476013865078,0.6950370863418577,0.39534403718177313,0.20970184161259045,0.025725265424212784,0.17242453474884376,0.28617129850419487,0.36816493290953106,0.39313325521175624,0.4130097434216542,0.23395194887844584,0.1028335269373543,0.7499523226581908,0.27441510908681777,0.7035826728996692,0.6346631024146964,0.5093925936398603,0.6178051403213796,0.7391951085069416,0.6058344161112418
Li,0.11741442412883059,-0.046646240162419,-0.0,0.18641178032621739,0.548848480322057,0.9518693793930543,0.5535663440858037,0.2840717387208584,0.027240409065454194,-0.042621751560096066,-0.01320691313187796,0.057786123665306534,0.20356657507206657,0.3932538682493138,0.32037083318299087,0.27350478783680326,0.07546117109355888,0.006412449254912469,0.015443166212540603,0.10838292124257377,0.006870403181810081,0.24714573745095253,0.26970766603334756,0.46913153311655725,0.5562843818835668,0.4854639221570113,0.3808359364122265,0.24105044438279452,0.13275071568414912,0.04348356230968305,0.11360366008537014,0.22217368195879905,0.3065686116617887,0.2533807387976588,0.11865589658131015,0.05942871000094661,0.04419892673378417,0.18054520638959465,0.3943742108220673,0.2964393228129936,0.36092617500230684,0.5824245636732621,0.7183172288254038,0.6183731485178655,0.39162437599713457,0.1957570116229568,0.09181155736976639,0.0558096692828855,0.1313352211095036,0.24664204063191378,0.27754087977398206,0.2672651522143872,0.2402063940305005,0.16301682439431375,0.18130353636731023,0.32504865100752584,0.27449927811380426,0.32475465140202,0.35379636499197903,0.38197384808392276,0.37323374777444684,0.24134896155290117,0.19319379313658028,0.16291407386060053,0.07159128440185349,0.04760383671937138,0.14099060515539938,0.17554239915683886,0.1089687970354473,0.045184745215995345,0.30059848481016105,0.4717096197740122,0.5680834530769562,0.7843482538935121,0.9533623267739563,0.8898376615815855,0.6483975354829193,0.34869780194630173,0.162977621458066,-0.020920827866306477,0.12578686725075178,0.23946939318463495,0.32146737708189077,0.3464094913036761,0.3662085123600058,0.1872198141194921,0.05618726792490343,0.7032286590208946,0.22776886140579497,0.657127155657633,0.5882819635991355,0.46261745412396704,0.5710589697966123,0.6925488734792354,0.5591882039483288
Be,-0.06899677769190028,-0.23305833016542107,-0.18641178032621739,-0.0,0.36243670106229375,0.7654570298994022,0.3671545608017667,0.09765995094411185,-0.15917138922705446,-0.22903353777841445,-0.19961868969119012,-0.12862786741900062,0.017152124173653176,0.20683977572895318,0.13395906367236268,0.08709298073255926,-0.1109535456373249,-0.18000241526283006,-0.1709680173575518,-0.07810432470278608,-0.179541397664587,0.06073396221589115,0.08329495554467387,0.28271985438928837,0.36987134853492404,0.2990521445653999,0.1944241584197006,0.05463868891852875,-0.05366143982802024,-0.142928976310132,-0.07280814247637074,0.03575946260334561,0.12015673227968002,0.06696457999385004,-0.06771208133149806,-0.12694317189617418,-0.14221278869558684,-0.0058672538774758795,0.2081675695343598,0.1100275435627943,0.1745103706285582,0.396008052136177,0.531899981226447,0.43195716012411994,0.205212716858607,0.009300281427359199,-0.09455977735635988,-0.1306133660729502,-0.055083495510759695,0.06022138893459056,0.09112100094338209,0.0808887063911374,0.05389253103011461,-0.023301923770774197,-0.005108823120792593,0.138822167240807,0.08823343690051966,0.13843498623429243,0.16745885580276465,0.19556206173844215,0.1868220976681731,0.054934854940873565,0.0067820486728445975,-0.02349926918380093,-0.11482185344247507,-0.1388564197412901,-0.04542694225427364,-0.010873418284219642,-0.077442924925166,-0.14122698801174507,0.11417687857063459,0.28529782652893165,0.3816717621741828,0.5979364734066778,0.7669427258572133,0.7034187603514563,0.4619857557464994,0.16228602579579796,-0.023356336957915023,-0.20733276976109027,-0.060632725091278816,0.05311403609315959,0.1351076610472412,0.16007598829140107,0.1799524819675248,0.000910519995286502,-0.1302274928941004,0.5168951426397533,0.041356840309121505,0.4705248131962418,0.40160499090461776,0.2763345784691596,0.3847471237754174,0.5061369251860246,0.37277639948091296
B,-0.4314340965167925,-0.5954942816361869,-0.548848480322057,-0.36243670106229375,-0.0,0.40302094593236126,0.004717860008962076,-0.26477674687402736,-0.5216080886820246,-0.5914702322712596,-0.5620553287735504,-0.491064821425623,-0.34528482642087355,-0.1555971903984782,-0.22847764208316956,-0.27534372135400287,-0.47339052442334384,-0.5424393929360793,-0.5334047305752595,-0.44054036533371715,-0.5419780984127139,-0.3017027517406535,-0.27914070816486664,-0.07971687903995663,0.0074343799683851235,-0.06338549204693981,-0.16801249794964968,-0.30779862640236216,-0.41609776860659115,-0.5053659642423646,-0.4352448407182942,-0.3266775179646076,-0.2422799709443344,-0.2954723551306813,-0.430149057750936,-0.489380142787076,-0.5046495040632556,-0.36830323410517185,-0.15426944829767836,-0.2524091623399443,-0.1879265886106159,0.033571109769488884,0.16946301668058045,0.06952017999286346,-0.15722400068966896,-0.35309147059514057,-0.45699648175279417,-0.4930503113918814,-0.4175204747772626,-0.3022155852089189,-0.27131592085451656,-0.2815482485811808,-0.30854444193160185,-0.3857529925825172,-0.36754490887853497,-0.22361481078299703,-0.27420354527159446,-0.22400199605259252,-0.19498474912450287,-0.16687463191367266,-0.17561460938274756,-0.3075021350685132,-0.3556567592356911,-0.3859362597627602,-0.4772588451293597,-0.5012452120597538,-0.40786299467943504,-0.3733094621742422,-0.4398807824152615,-0.5036644093045188,-0.24825918790366894,-0.07713904247006348,0.019235012940635194,0.23549976694494001,0.40450577481258154,0.3409817853679742,0.0995428497912065,-0.20015067734309286,-0.3857928870123652,-0.5697694710420759,-0.4230697014750028,-0.3093229343325924,-0.22732929774364932,-0.20236097632888927,-0.18248449125758348,-0.3615422845519691,-0.49266123471913364,0.15445813477028397,-0.3210799455270754,0.10827821740689138,0.03942582641427048,-0.08623477259551385,0.022310466543092728,0.14370038724217202,0.010339723661663457
C,-0.8344547650973031,-0.9985154834194846,-0.9518693793930543,-0.7654570298994022,-0.40302094593236126,-0.0,-0.39830302561178665,-0.6677978849261766,-0.9246290399091799,-0.9944912289753274,-0.9650762302465055,-0.8940833179889358,-0.7483028610472252,-0.5586184938357559,-0.631498556350642,-0.6783646234067294,-0.8764118428492917,-0.9454607101404225,-0.9364259646034548,-0.8435613357509232,-0.9449989992313297,-0.704723637902106,-0.6821632922271208,-0.4827397636924628,-0.39558691972784565,-0.4664068128356073,-0.5710345601921847,-0.7108189146200012,-0.819118630838773,-0.9083858592056201,-0.838265784314933,-0.7296957572581418,-0.6453008619459157,-0.6984936299999226,-0.8331703763083886,-0.8924014551423453,-0.9076713466416985,-0.7713239129018775,-0.5572908231191849,-0.6554300919173668,-0.5909478880269649,-0.3694501732253423,-0.23355828975066248,-0.33350114228246835,-0.5602448916298343,-0.7561123602845657,-0.8600173712633302,-0.8960715917247446,-0.8205417961883194,-0.705236902177276,-0.6743371876914244,-0.6845695471239813,-0.7115657584812606,-0.7887743072056733,-0.7705651953724546,-0.6266361317052148,-0.6772248705105897,-0.6270233211513228,-0.5980060748280834,-0.5699011324179051,-0.5786354996616236,-0.7105202567601344,-0.7586780899516214,-0.7889575900212776,-0.8802801759378452,-0.9043134007176176,-0.8108839429187461,-0.7763303964115479,-0.8429018749368821,-0.9066854410503664,-0.6511496363775988,-0.4801596817049826,-0.38378583576938163,-0.16752112455286733,0.0014933008842670694,-0.062039532875641915,-0.3034784761908978,-0.6031715749380641,-0.7888137745823972,-0.9727903694882247,-0.8260910202439504,-0.7124169988976374,-0.6303506005387134,-0.6053822850396252,-0.585505808429103,-0.7645635987131251,-0.8956821181216216,-0.2485632265517377,-0.7241007338105448,-0.29474244624219015,-0.36385199501028564,-0.4891230166218091,-0.38071022261838855,-0.2593264213333666,-0.3926810206425049
N,-0.4361511756473573,-0.6002121279598994,-0.5535663440858037,-0.3671545608017667,-0.004717860008962076,0.39830302561178665,-0.0,-0.26949460815369547,-0.5263259547863635,-0.5961880964174662,-0.5667732073958475,-0.4957824704052443,-0.35000247515860305,-0.16031483239798797,-0.23319550028710234,-0.28006158060057873,-0.47810547536110193,-0.5471570335502057,-0.5381225816191219,-0.4452582638725572,-0.5466972061567332,-0.3064206116795556,-0.2838585746126058,-0.08443471390775535,0.0027181287457497577,-0.06810237831015407,-0.1727308748563982,-0.31251626670632315,-0.4208156284621338,-0.5100836052578545,-0.4399626999089159,-0.3313951569731035,-0.24699782891801486,-0.3001900091791114,-0.43486669740307277,-0.4940977853384301,-0.5093683102575484,-0.3730210866056683,-0.158987060991592,-0.2571270202576089,-0.19264423278296647,0.028853459780228772,0.1647453753971143,0.0648025425212954,-0.16194185982398332,-0.35780932976224517,-0.46171434091989905,-0.49776797440136233,-0.42223811377572057,-0.3069332249391436,-0.27603357981198434,-0.2862658942847877,-0.3132620819776999,-0.3904706333500165,-0.3722627619172948,-0.22833245059247909,-0.27892118333866667,-0.22871963403159512,-0.1996957065030234,-0.17159249108056995,-0.18033246851706186,-0.3122197731910181,-0.36037439769272045,-0.39065389843247617,-0.4819764843550074,-0.5059630714860222,-0.4125809117310278,-0.37802739154291587,-0.44459864155905277,-0.5083822665981125,-0.25297703675537675,-0.08185689071809596,0.014517161101064035,0.23078190783062968,0.399788128955293,0.33626414720600006,0.09482521260849136,-0.20486853650999,-0.3905107461466793,-0.5744873224868494,-0.42778734105679583,-0.3140405750456954,-0.2320469419705339,-0.20707861860505603,-0.1872021311128578,-0.36625992544298364,-0.49737909336802666,0.14974051906642605,-0.3257978034548978,0.10356035750562162,0.03470796568667429,-0.09095269517445338,0.017592606429195672,0.13898252815626833,0.005621863547766398
O,-0.16665693358667868,-0.3307176755363547,-0.2840717387208584,-0.09765995094411185,0.26477674687402736,0.6677978849261766,0.26949460815369547,-0.0,-0.2568313364296481,-0.32669348390369674,-0.2972786185540282,-0.2262882371914136,-0.08050824240429946,0.10917937107891652,0.036299077143926835,-0.010566968706461236,-0.2086139660420581,-0.277662833718021,-0.26862802475106623,-0.17576175610436998,-0.2772030037878867,-0.036925994547972824,-0.014363995717525356,0.18505980532469898,0.27221272613802666,0.20139105907931026,0.0967633184773198,-0.043021247762284824,-0.1513209953158635,-0.24058817419285966,-0.17047020416047332,-0.06190096160467963,0.02249430232070097,-0.03069112797520084,-0.16537250054246477,-0.22460358026094557,-0.23987279979502396,-0.10352652185238166,0.11050707877486804,0.012367548580767395,0.076849977094337,0.2983531327286872,0.4342395744117983,0.3342967330730579,0.1075490512895755,-0.0883147250590743,-0.19221974168884526,-0.22827370655659074,-0.15274391798920803,-0.0374390285491665,-0.006530920137738247,-0.016760827196553422,-0.0437509183529291,-0.12097643418846318,-0.10276819606495782,0.0411617478721932,-0.009426988894986497,0.040774559990587496,0.06979180681550662,0.09789674960928442,0.08916214147062457,-0.0427773482033392,-0.09088019890814714,-0.12115755530828748,-0.21248228299567465,-0.23651384284566943,-0.1430844004230708,-0.10853084063798077,-0.17510403532052976,-0.23888770385760152,0.016648052336967475,0.18763780474952219,0.2840118160805452,0.5002765185903102,0.6692823428410855,0.6057583381764087,0.3643194041640364,0.06455145339349003,-0.12101613267332546,-0.30499270410539747,-0.1582931443798543,-0.04454637642990652,0.037461374373033304,0.0624334133506045,0.08229206564293721,-0.09676572604037433,-0.22788448939995046,0.4192346515163518,-0.056303286794165436,0.37286748774391787,0.30394755474799107,0.17867463944616307,0.28708742744325266,0.4084771320007199,0.27511644543696623
F,0.09017417011691037,-0.07388657670530793,-0.027240409065454194,0.15917138922705446,0.5216080886820246,0.9246290399091799,0.5263259547863635,0.2568313364296481,-0.0,-0.069862191044531,-0.04044730886336187,0.030545591321843854,0.17632604648051564,0.36601048835122846,0.29313039410313463,0.24626435009930758,0.04821714271399797,-0.02083172406783853,-0.011797262392277272,0.08107097052014806,-0.02037189349289846,0.21990534143215876,0.24246728467465212,0.4418911612007993,0.5290440819483211,0.45822215757307266,0.3535944182462104,0.21380903794234474,0.10550924052837188,0.016241708074622066,0.08636090376092977,0.194930144911247,0.2793280396871204,0.2261402095725099,0.09145860799147548,0.032235359363366224,0.01695842902711316,0.15330478039957832,0.3673381560672454,0.26919890581085903,0.3336810966297742,0.5551844316571211,0.6910706841782447,0.5911278370570885,0.36438015838240034,0.16851283247742138,0.06460752648532285,0.028557449207492494,0.10408719027884336,0.21939207951256323,0.25030038656588416,0.24005943801206123,0.21306322413647838,0.1358546757030853,0.15406310531858186,0.29799285876509357,0.24740411977972512,0.2976056680614736,0.3266229145536676,0.35472785695394626,0.34599346440817513,0.21410856557306682,0.16595339656179148,0.13567377930882474,0.04430801274468224,0.020363377098700407,0.11374832805800529,0.14830191477233468,0.08172836996731453,0.01794366825148033,0.2733520187918273,0.44446897819321834,0.5408431478097853,0.7571019735491018,0.9261134633505493,0.8625894423156365,0.6211505101244578,0.3214512382069357,0.13581519789338076,-0.04816138246180928,0.09853796414464361,0.2122847328209928,0.2942783813300782,0.319246695208515,0.33912317435862593,0.16006538396592532,0.028946862516088342,0.6760657209494509,0.20052868858456943,0.6297002469405051,0.5607802984362269,0.4355059503718176,0.5439185064606479,0.6653084650202177,0.5319477822565701
Ne,0.16003637972171927,-0.004024365013489493,0.042621751560096066,0.22903353777841445,0.5914702322712596,0.9944912289753274,0.5961880964174662,0.32669348390369674,0.069862191044531,-0.0,0.02941485877695115,0.10040509306577192,0.24618829973549822,0.4358726939519237,0.36299256557859383,0.31612650927768055,0.11807935399171438,0.04903048669394022,0.05806546053742308,0.15093165277221374,0.049490316591794654,0.2897674877272085,0.3123279199878741,0.5117532915708705,0.5989062229251504,0.5280843764200805,0.42345663580363224,0.28367125166326534,0.17537246441758256,0.08608904971514074,0.15622311538679112,0.2647923575963222,0.3491877338214399,0.2960024820500194,0.16132081928436795,0.10208974167054916,0.08682068979663608,0.2231669667307594,0.4372003793304606,0.33906107876235236,0.4035433008487422,0.6250466139982624,0.7609328954342193,0.6609900512575222,0.4342423696902777,0.23837504294415193,0.13446973662863934,0.09841963045256238,0.17394940144272586,0.2892542912870581,0.32016252634536463,0.3099216430118448,0.2829254353209258,0.2057168863316269,0.22392529424892613,0.3678550679419339,0.31726633005652644,0.36746787887912064,0.39648512557369836,0.42459006818241396,0.4158556235069571,0.2839708492572496,0.23581567014069893,0.2055359321286467,0.11421103679089895,0.09017960592056866,0.1836090338807678,0.21816260356734024,0.15159055608640343,0.08780648975733082,0.34321272342628,0.5143313556905137,0.6107052874859183,0.8269700019372759,0.9959756677195984,0.9324516578182773,0.6910127223865653,0.3913134483844021,0.20559711409593703,0.021700801290416707,0.16840017540751578,0.28214694401908225,0.36414058900064883,0.38910890521028124,0.4089853855667859,0.22992759454695577,0.09880902831184714,0.745927954090163,0.27039239114237845,0.699560845360259,0.6306409840768157,0.5052372792918823,0.6137809093163776,0.7351647798781069,0.6018101263830217
