element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-1.0407009398255256e-17,-0.5057721230415869,-0.36196740453500675,0.212704569542607,1.3300331820623674,2.5724729117840437,1.3445750827065621,0.5137731428290563,-0.2779906349283161,-0.4933631743191044,-0.40268186473577744,-0.18383259256254217,0.26558071981759995,0.8503533373278717,0.6256778528661321,0.48119803902510294,-0.1293459276724237,-0.34221108222478475,-0.3143571133018511,-0.027843017165018767,-0.34079349931907615,0.3999381361055534,0.4694870510785341,1.084280499954408,1.3529501288634993,1.1346253017573125,0.8120769329686954,0.38114391446803675,0.04727901669502218,-0.22791545543498848,-0.011747366270278474,0.3229436937718488,0.5831277935980868,0.41914354824319566,0.003983008535982171,-0.17863901852000766,-0.22570995271770058,0.1946208976324387,0.8544463822474413,0.5519013361706605,0.7506876618653928,1.4335249478593175,1.8524550802996507,1.5443494289797683,0.8453399497382027,0.24150390892617857,-0.07881733296008069,-0.18995335239644853,0.04289131531913786,0.39835539771277684,0.49364065042388633,0.46206904698563694,0.3788446805593793,0.14087076235607712,0.19695869499099766,0.6406673687878761,0.4847114570328318,0.6394737390149147,0.7289286558807904,0.8155711044055418,0.7886450499630833,0.38206817201445414,0.23345625644734175,0.1401273089190477,-0.14126473248264898,-0.2153647166867507,0.07284478559815762,0.17954421817451363,-0.026036169694708556,-0.2226708994878963,0.5646900587147553,1.0922272643260407,1.3893313030200307,2.0560361987167037,2.577049335401454,2.3812163865720875,1.6369038934362043,0.713004747603288,0.1407035051346191,-0.4264629724381322,0.025810158392203554,0.37644472572916626,0.6292162528966918,0.7061890676007351,0.7674646776564433,0.21551313718422696,-0.18875208540106467,1.8061976210481612,0.34020142858408864,1.663246215726611,1.4507798565072048,1.064595815795788,1.3988120569571914,1.7730353495810782,1.3619084826462868
He,0.5057721230415869,-1.0407009398255256e-17,0.1438019102694002,0.7184766224520963,1.835801019666728,3.078242393156028,1.8503452854284501,1.0195426970403272,0.2277789343041201,0.01240638847945935,0.10308760837424859,0.3219369653523319,0.7713502768016096,1.3561228898966313,1.1314471226770282,0.9869685066363454,0.376423633980995,0.1635584750888966,0.19141217203779817,0.47769412949178675,0.16497606044313481,0.9057074067081419,0.9752566041740344,1.5900430896365516,1.858719676665518,1.6403948578960745,1.3178464942651094,0.886916742920823,0.5530483915874455,0.2778491708547102,0.49401395052103814,0.8287132553866335,1.0888970894071905,0.9249131118189262,0.5097292393039915,0.32713053901119765,0.2800593303848647,0.7003901827961311,1.3602159695705132,1.0576706239456404,1.2564572160078835,1.939294505035175,2.3582246334284775,2.050118989864207,1.3511092476297877,0.747273475942426,0.4269522280809584,0.31581621519114556,0.5486608785131307,0.9041249577634619,0.999410657934278,0.9678386034712998,0.8846142409359331,0.6465942597307367,0.7027279590592513,1.1464369332142466,0.9904810229440936,1.1452433045104708,1.2346982216672293,1.321340670391341,1.2944143277152111,0.8878370407303043,0.7393837988814366,0.646036860118084,0.36450487638006496,0.2904068351849418,0.5786143212054355,0.6849552303319323,0.4797330725686991,0.2830983853145929,1.070461674072232,1.5979972137056067,1.8951006051883341,2.5618054814892504,3.0828188889113433,2.886985944555663,2.142673458268583,1.2187740654424386,0.6464727983627886,0.07930633417202104,0.5315536126354857,0.8822142844930183,1.1349858094082799,1.211958625026006,1.2732342383247028,0.7212314871000938,0.31701713925584923,2.3119671860736046,0.8459720816955085,2.1690179539258314,1.9565514002191005,1.5703651095445015,1.904581356249272,2.2788046430960693,1.8676777815403107
Li,0.36196740453500675,-0.1438019102694002,-1.0407009398255256e-17,0.5746737575052548,1.6920004622871232,2.9344409025692255,1.706544781813312,0.87574172193455,0.08397724760865397,-0.13139514078795067,-0.040714521267164655,0.17814415355237379,0.6275588827831559,1.2123304531764372,0.9876452559927892,0.8431657261509865,0.23263312362659397,0.01976841968722962,0.047608484504617604,0.3341249168419969,0.0211802087033207,0.76190554772772,0.8314598873317961,1.44624755167566,1.7149240000770307,1.4965973491106204,1.1740482183478511,0.7431148631237522,0.40924641382759425,0.13405194724544428,0.35021950916064265,0.684921223361567,0.9450955067782886,0.7811269276517337,0.3657946392615738,0.18320794973455265,0.13625728620451838,0.5565881725602393,1.2157842664217733,0.9138687437839841,1.1126700297996326,1.7955094462578796,2.2144419212534063,1.9063324226464553,1.2073070236820844,0.6034834130680886,0.2830384032798833,0.1720511026491746,0.4048827004157255,0.7603527416597028,0.8556082666123042,0.8239300595942781,0.7405128087545079,0.5025513454531338,0.5589259665395686,1.0020661211411517,0.8462315595617639,1.0011597736039657,1.0906901168254448,1.177556193943269,1.1506120476182369,0.7440351374944213,0.5955814747018803,0.502234584166957,0.22070296383545793,0.14675400702312946,0.4346485007321062,0.5411654239255175,0.3359310658028233,0.1392963860425169,0.926690686950894,1.4541953259205125,1.7512983996236213,2.4180036125875493,2.9390433889552208,2.7432083511884113,1.9988921699103064,1.0749721703619255,0.5024304899007684,-0.06449512331791242,0.3877781303376012,0.73824076862573,0.9910257022368383,1.0679177230891423,1.1289545191835488,0.5771647793460408,0.17321517087521476,2.167926593253408,0.7021701482476146,2.0258040078779356,1.8135667493892704,1.4261658259134424,1.7604713787712485,2.135002748656059,1.7238759575883167
Be,-0.212704569542607,-0.7184766224520963,-0.5746737575052548,-1.0407009398255256e-17,1.117326708069553,2.359765390423852,1.1318710151896347,0.3010679414606632,-0.490696565283423,-0.7060689164574857,-0.6153882671597329,-0.39653641931967903,0.05287689238749086,0.6376495675954028,0.412971531830037,0.2684918860939254,-0.342049686282432,-0.554914845821916,-0.527063433309583,-0.24078148749941378,-0.5534936120619317,0.18723180591757704,0.2567832623041512,0.8715741073815627,1.1402463797305746,0.9219236000356605,0.5993744680369443,0.16844118226339133,-0.16542850030800027,-0.4406241479416368,-0.22445431689270404,0.11023994677091263,0.3704214439016609,0.20643967209305555,-0.20874408333624334,-0.39134280813984534,-0.4384162712355127,-0.018087681079520974,0.6417429154192898,0.33919498959589794,0.5379838668846385,1.2208211032863945,1.6397513091364797,1.3316456924311386,0.632633639776529,0.028671083256454274,-0.2915106677654374,-0.4026573520739829,-0.16981244042783317,0.1856516353240323,0.2809095428847666,0.2493652319622021,0.16614091263087802,-0.07183561074851494,-0.015749576416886412,0.42796359936956935,0.2720077059104891,0.42676999044925845,0.5162453237842437,0.6028824178817157,0.5759386915574838,0.16935420847132968,0.02090782775416142,-0.07244399091543376,-0.35397497865227207,-0.4280691936250511,-0.1400430356469596,-0.03352077927362629,-0.2387425117718448,-0.43537722626666353,0.35198663793448903,0.8795215285887423,1.1766249177946486,1.8433298545871413,2.364345521985771,2.168512641226071,1.4242184142232905,0.5002984257296395,-0.07200335674963855,-0.6391693789097956,-0.1869197101975631,0.16374095373431122,0.4165124495130665,0.4934852803658823,0.5547609105159633,0.0028069682402006853,-0.4014677749495004,1.5934941093163546,0.12749564849064982,1.4505427818228553,1.238075451841824,0.8518894581640789,1.1861057006291675,1.5603284733389842,1.149202125660119
B,-1.3300331820623674,-1.835801019666728,-1.6920004622871232,-1.117326708069553,-1.0407009398255256e-17,1.2424405847472004,0.014544307950867714,-0.8162587566077489,-1.6080232683978883,-1.8233956042746187,-1.7327147841563764,-1.5138639071707862,-1.0644505849447432,-0.4796779576219633,-0.7043551907079203,-0.8488348251332617,-1.459377250523931,-1.6722424066329475,-1.6443901788520758,-1.358106159578687,-1.6708203191629651,-0.9300949419026162,-0.8605402477947397,-0.24575270046943903,0.02291884699388176,-0.1954059921652458,-0.5179521022523583,-0.9488874194541677,-1.2827540606942605,-1.5579517403792558,-1.3417810162675663,-1.007087622963967,-0.7469052708320855,-0.9108877575479848,-1.3260716402820016,-1.5086703480421282,-1.555743023405946,-1.1354121669465602,-0.4755847691940147,-0.77813173339587,-0.5793436370974779,0.10349365131909646,0.5224237887947915,0.21431812404251593,-0.4846931191163215,-1.0885170550641836,-1.408837386113542,-1.5199848131425115,-1.287140006150577,-0.9316759146054507,-0.8364178456726787,-0.8679622588659704,-0.9511866336553514,-1.1892066119874614,-1.133074387613946,-0.6893639625221591,-0.845319868769728,-0.6905575845847763,-0.6011026676506569,-0.5144442673435977,-0.5413880349739214,-0.9479733903697796,-1.0964253753407824,-1.1897715915124318,-1.4713025826648034,-1.545248207714181,-1.2573677440857092,-1.1508454614000885,-1.356072784898869,-1.5527061546763445,-0.765338113815221,-0.23780569719924602,0.05929806122184428,0.7260031298720803,1.2470180432659446,1.0511850887071041,0.30687257759239595,-0.6170282887416862,-1.189329599289359,-1.756496087653536,-1.3042472670332217,-0.9535865847339989,-0.7008150530870729,-0.6238422402052411,-0.5625666365822553,-1.11456938395697,-1.51878536022653,0.4761664554158453,-0.9898313209214933,0.3338021338796137,0.12154268238085282,-0.26584618583842434,0.06877912767947081,0.4430022681340425,0.03187549541029965
C,-2.5724729117840437,-3.078242393156028,-2.9344409025692255,-2.359765390423852,-1.2424405847472004,-1.0407009398255256e-17,-1.2278960908665544,-2.0586999336254608,-2.85046386946798,-3.0658363455417947,-2.9751552318432797,-2.756296940956818,-2.306882194662786,-1.722119644492073,-1.9467956778380033,-2.0912752746074954,-2.7018189836013966,-2.9146841359444267,-2.8868316517465558,-2.6005468198082293,-2.913260764832659,-2.1725353423869302,-2.1029858825997163,-1.4881992619397224,-1.2195228283432578,-1.4378477325265477,-1.7603961283816483,-2.191325976585999,-2.525194387408967,-2.8003890851790456,-2.5842215938141573,-2.249519863633866,-1.9893456862376402,-2.1533293563480123,-2.568513373764872,-2.7511120624047907,-2.7981863723506235,-2.3778519281629156,-1.7180266761287735,-2.020572267723756,-1.8217853115717926,-1.138947972530653,-0.7200179073051709,-1.028123620901903,-1.7271335343325416,-2.3309574664245982,-2.6512777969224737,-2.7624264287858957,-2.5295817484305925,-2.1741176431894274,-2.0788594197104766,-2.1104039306472933,-2.1936283609485567,-2.4316483333416086,-2.3755129394318626,-1.9318057032951723,-2.0877616228505844,-1.9329993382332211,-1.843544423163746,-1.7569019758298825,-1.7838284481515063,-2.19040526849428,-2.3388671463060375,-2.432213361067566,-2.71374435391539,-2.7878344332279243,-2.499808335944818,-2.3932860100935507,-2.598513821554207,-2.795147003970982,-2.0073763985326143,-1.4802453364537786,-1.1831422238064764,-0.5164372870632492,0.0046035761728465225,-0.19125664380826515,-0.9355691787793311,-1.8594687244734676,-2.4317700041160686,-2.998936526009344,-2.5466890011680934,-2.196252580983168,-1.9432567379773544,-1.8662839433324676,-1.805008365792545,-2.357011103886854,-2.7612257522054557,-0.7662754099024466,-2.2322714196657123,-0.90863758063936,-1.1216898029857845,-1.50787767464301,-1.1736606654896107,-0.799456390080284,-1.210564467753699
N,-1.3445750827065621,-1.8503452854284501,-1.706544781813312,-1.1318710151896347,-0.014544307950867738,1.2278960908665544,-1.0407009398255256e-17,-0.8308030684759733,-1.622567595139699,-1.837939924979862,-1.7472591494887846,-1.5284075645564161,-1.0789942415846647,-0.49422159348917344,-0.7188994930942096,-0.8633791307338308,-1.4739125903351418,-1.6867860382292719,-1.6589344591651647,-1.3726505863101903,-1.6853684736550358,-0.9446392496375017,-0.8750845755951909,-0.2602969309146535,0.00837949863989024,-0.20994729823432914,-0.5324980037054858,-0.9634310500943082,-1.297298368172164,-1.5724953732129112,-1.3563253216956388,-1.0216312496104232,-0.7614495725085486,-0.9254314305598341,-1.3406152689126862,-1.5232139856105744,-1.5702902482748236,-1.1499564517501883,-0.49012831471737955,-0.7926760348996463,-0.5938872796631629,0.08894999082093298,0.507880155135014,0.19977450213412998,-0.49923742437080876,-1.103061360419757,-1.4233816914691162,-1.5345285137796578,-1.3016836327660883,-0.946219543476866,-0.8509615338182023,-0.8825059061522413,-0.9657302635005468,-1.2037502440566064,-1.1476186740769425,-0.7039075916379105,-0.8598634925139453,-0.7051012080574911,-0.6156256960420163,-0.5289885726985323,-0.5559323402284084,-0.9625170142848861,-1.110969000287167,-1.2043152171144909,-1.4858462099806993,-1.5597925138687092,-1.271912227888676,-1.1653899831743852,-1.3706170901825716,-1.5672504542562233,-0.7798823873702946,-0.2523499688932978,0.044753778455729185,0.7114588246792618,1.232474395505901,1.0366414646703215,0.2923289565744912,-0.6315725940966204,-1.2038739045438456,-1.7710403692025616,-1.318790895447049,-0.96813021663545,-0.7153586958208762,-0.6383858769253347,-0.5771102658391759,-1.1291130164068903,-1.5333296639845513,0.4616229006133673,-1.004375622456584,0.3192578262607419,0.10699837221456625,-0.2803906866812005,0.05423481940510755,0.42845796302879663,0.017331187135936375
O,-0.5137731428290563,-1.0195426970403272,-0.87574172193455,-0.3010679414606632,0.8162587566077489,2.0586999336254608,0.8308030684759733,-1.0407009398255256e-17,-0.7917644952096632,-1.0071368430625702,-0.9164561405478283,-0.6976056519521402,-0.24819233039702757,0.33658022744154464,0.11190348066934766,-0.03257605072681377,-0.6431190750051662,-0.8559842285345645,-0.8281315487935308,-0.5418416616667804,-0.8545666561402598,-0.11383615348432789,-0.04428159731822882,0.570505863433238,0.8391825339403591,0.6208521609875579,0.29830378595562546,-0.1326267152261065,-0.4664952226486088,-0.7416897678504403,-0.5255287653824802,-0.1908294536766822,0.06934586008713921,-0.0946151890439445,-0.5098134683788117,-0.6924121597455579,-0.7394843981441489,-0.3191535170698151,0.340673309805577,0.03812691237431839,0.23691456099882616,0.9197686731418699,1.3386819623095145,1.0305762832189762,0.3315542467999982,-0.2722583025811262,-0.5925786505000313,-0.7037264944144631,-0.4708818355434556,-0.11541774439386154,-0.02013364396259095,-0.051670594675313854,-0.1348761575056278,-0.3729484364293343,-0.31681573600839635,0.1268942138410035,-0.029061699431021853,0.12570058372603185,0.2151555003420952,0.3017979488585262,0.2748707339014268,-0.13187481705879178,-0.280167193822056,-0.3735068000387094,-0.6550443955780713,-0.7291293422136387,-0.4411032923327969,-0.3345809255481939,-0.5398140276107282,-0.7364475257808731,0.051322930207987956,0.5784533687556855,0.8755569912871192,1.542261901189015,2.0632762485253355,1.8674432470457778,1.1231307407538174,0.1990004398281313,-0.37307081966832895,-0.9402372691962674,-0.4879890954793853,-0.13732841069067087,0.11548663252176641,0.19247090597645317,0.253691534371579,-0.2983112080364862,-0.702526608412084,1.292424502580774,-0.17357283603684578,1.1494829342778687,0.9370152630155214,0.5508215534540553,0.885038544091024,1.2592610182201514,0.8481341746432265
F,0.2779906349283161,-0.2277789343041201,-0.083977247608654,0.490696565283423,1.6080232683978883,2.85046386946798,1.622567595139699,0.7917644952096632,-1.0407009398255256e-17,-0.21537248217281302,-0.12469172776960316,0.09416652589994663,0.5435812666971931,1.1283440470288322,0.9036679158551696,0.7591883901516214,0.14864471832804688,-0.06422043244492166,-0.03636882334035581,0.2499271192618871,-0.06280285806279746,0.6779283403395573,0.7474827251380614,1.3622704185927912,1.6309470888970448,1.4126159226839783,1.0900675515830351,0.6591345407886224,0.32526587965555503,0.050070244440628776,0.2662350253776489,0.6009343327506176,0.861117756950032,0.6971493096125033,0.28195032426965855,0.09937577473623052,0.05227976533104685,0.47261087277622554,1.132437006141967,0.8298914717079818,1.028678387562919,1.7115330527420816,2.130445758757578,1.8223400618408991,1.1233180350057708,0.5194945429853476,0.19917330301479316,0.08803744383598412,0.32088195628532745,0.6763460467988692,0.7716307596071187,0.740059769965024,0.6568353319002868,0.4188153604043962,0.4749486511604618,0.9186580137617206,0.762702093651421,0.9174643749469901,1.006919290537322,1.0935617378406666,1.0666351875173967,0.6600579302263634,0.5116042655996855,0.4182576895832339,0.13659357861943094,0.06277660356189826,0.35066549431930283,0.4571879441218735,0.2519537626951718,0.05531707942202232,0.8426947668534936,1.3702173615091773,1.6673214720062757,2.3340082648892273,2.8550400780921765,2.6592070261461456,1.914894525468595,0.9909759490082811,0.41869365746694626,-0.14847281956934913,0.30377469713997596,0.6544353841680545,0.9072069525626203,0.9841797422113324,1.0454553275803469,0.4934525891510014,0.08923793453931686,2.0841881746884323,0.6181936289371311,1.9412518156203264,1.7287840965485404,1.3425859700395253,1.6768022457453315,2.051025502916939,1.6398986710550527
Ne,0.4933631743191044,-0.01240638847945937,0.13139514078795067,0.7060689164574857,1.8233956042746187,3.0658363455417947,1.837939924979862,1.0071368430625702,0.21537248217281302,-1.0407009398255256e-17,0.09068068225224461,0.309530717446063,0.7589539406535613,1.3437165740756634,1.1190403377000786,0.9745607740868406,0.3640172628761061,0.1511521105125952,0.17900529853810407,0.46529495010078864,0.152569682807387,0.8933006845578242,0.962850411273009,1.5776427137172335,1.8463194167202013,1.6279884905667923,1.3054401154902888,0.8745070928686376,0.540641545901456,0.2653969485902635,0.481607570998976,0.8163068816373091,1.0764825416008814,0.9125220428284405,0.4973228688645028,0.3147241839860484,0.26765246245338203,0.6879833404186344,1.3478095876391483,1.0452638981032365,1.2440509103501354,1.9269055080839208,2.345818303238611,2.0377126153991663,1.3386905796468107,0.7348670850332842,0.4145458440657029,0.3034098957988334,0.5362545004824574,0.8917185928784064,0.9870030837390656,0.9554322951593535,0.8722078761608146,0.6341879029511671,0.69032112681562,1.1340305518331593,0.9780746351138403,1.1328369180767388,1.222291834290983,1.3089342822369008,1.2820075712072514,0.8754306979904447,0.7269770022110333,0.6336300539161919,0.3520919415411316,0.2780073925265103,0.5660333978223937,0.6725557951314737,0.4673262296837389,0.27069150519289986,1.0580626666932407,1.5855904184820941,1.882693795819621,2.549398742535284,3.0704126013420656,2.874579583718882,2.1302670730513538,1.2063484901644688,0.6338186668406153,0.06689964012260827,0.5191472416422731,0.8698079284706381,1.1225794859905023,1.1995522828258685,1.260827871913976,0.708825131551304,0.30461033887473804,2.299560786636148,0.8335707708316284,2.1566193880193936,1.9441519378336451,1.5575550279831907,1.8921753808937092,2.266379869870578,1.855271625151702
