element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-2734.1432144314635,-961.0344442763371,3963.4108685304095,7913.124285562895,4855.519141777842,4522.432024832561,1480.4608840104256,-2000.9894104659645,-2659.312788179016,-1335.580373916233,1244.7227410048806,2129.784697774996,2703.173345408709,4392.69281709414,2928.1794128752326,-1388.845610998831,-2516.7082220704815,-1667.9571660979998,1151.7806942399018,5338.0957664795815,9093.20768599118,11058.746637851724,11766.587396535166,10856.938699499748,9092.665841637183,6921.2304127327325,4506.179802625314,2130.120074614461,-256.0842949674226,370.4821005727774,2636.89973238161,3911.243731727466,2441.492728559561,-1229.5767668040276,-2317.851383311309,-1762.3002735170235,447.31893022845884,4519.6831909723205,10340.048113698682,15095.366400529387,16673.83087484551,15159.194897754634,11330.011552297407,6472.344181623741,1808.5253687333993,-827.5102848161592,-1715.3478644736188,102.53448628118292,1851.6022918153963,3342.4987150931215,2343.692330753124,-701.1040682335489,-1924.4261501040996,-1648.0557093332964,1098.0561362627727,3482.0110910025974,1594.9670637295965,863.9778950154833,-149.27805935116467,-877.3234122595717,-1083.7471842093312,-410.7575134903875,60.25568223054397,293.20565406970815,333.00030471325704,585.3081138657607,1079.4326247504564,1118.7407185422664,940.7761942250498,4020.183858517384,11512.870813397147,17636.090818017332,21105.063892835824,20411.684349990614,16698.81921975268,11092.450699082303,4717.877941708396,-377.2951427862011,-582.6136130303139,-792.2829680485067,1760.8532042160728,3314.333985251755,2580.625313521157,-216.30756702362598,-1860.22646428146,-1781.7715856783118,269.6444024423533,4195.4559280695175,7378.777257851817,8679.622474644053,7884.564788391809,5846.131389100844,3228.7186767472613,1819.0261442510582
He,2734.1432144314635,-0.0,1773.108863267396,6697.554436963537,10647.267818116474,7589.662662531482,7256.575599943259,4214.604464840778,733.1533069188471,74.830156856394,1398.5622302690583,3978.86606576986,4863.927798215511,5437.316609587559,7126.835992347934,5662.322532062377,1345.297630842865,217.4334729697645,1066.1856353646297,3885.9226809129336,8072.239109685834,11827.347159074963,13792.889930026282,14500.730675433651,13591.082345309313,11826.810038071959,9655.374558494746,7240.323562823881,4864.2634227120525,2478.0588839541642,3104.6268044089793,5371.042824067284,6645.3866609498145,5175.635900204359,1504.5669192633402,416.2886157036203,971.8424209183531,3181.4579569115076,7253.826908178897,13074.194602691234,17829.516604842865,19407.974131395113,17893.338263319645,14064.154706699825,9206.487328760237,4542.668362886899,1906.6327588995007,1018.7902400827959,2836.677613485363,4585.74562078449,6076.6420440585825,5077.8356597228585,2033.039253300587,809.7178876374779,1086.0804674529636,3832.198422892016,6216.1544166266685,4329.110443755659,3598.121223982859,2584.864462826566,1856.8200034203062,1650.3963139247398,2323.385618311345,2794.398908997374,3027.349100544029,3067.1460599879147,3319.451254371438,3813.579132847555,3852.8840759698587,3674.9196178966754,6754.327152522149,14247.014037528836,20370.23306884376,23839.207153392104,23145.827530435814,19432.962164605255,13826.593720208235,7452.021137639311,2356.8480187107075,2151.529432111722,1941.8670586520775,4495.002090987956,6048.483587038167,5314.7776166386975,2517.835793218852,873.9177288922269,952.3661035292931,3003.8013663634565,6929.612283310807,10112.920439282521,11413.765799011353,10618.708116112475,8580.274349460442,5962.862102451301,4553.169313316231
Li,961.0344442763371,-1773.108863267396,-0.0,4924.44506892275,8874.157782797323,5816.553203299913,5483.465951734923,2441.4950361388383,-1039.9548071563686,-1698.2783562134148,-374.54573471400255,2205.7573182976266,3090.819120533809,3664.207806804085,5353.727258589692,3889.2138502898338,-427.81116003520606,-1555.6737796918496,-706.9231196626666,2112.8139597996155,6299.130532879257,10054.213823887187,12019.781082717993,12727.622004904571,11817.974535004261,10053.70187703932,7882.2661641896575,5467.215637913236,3091.1553107632,704.9501268813649,1331.5181340484187,3597.9339971831105,4872.277921574963,3402.527175070234,-268.5464570177863,-1356.8169470523594,-801.2662840250857,1408.3537936506173,5480.717643888557,11301.083575052691,16056.400261757462,17634.865328437976,16120.229344196052,12291.045978465369,7433.3786944924295,2769.5596353130986,133.52052208201175,-754.3131291307391,1063.5688496912644,2812.6368566185542,4303.533279614392,3304.726895694786,259.9304870124396,-963.3896580920377,-687.0212877981318,2059.090566372072,4443.053377519938,2556.0016100682783,1825.0124595122643,811.7556969266061,83.70945416504568,-122.71374796884095,550.276932013618,1021.2902726012543,1254.237611499144,1294.0349362816817,1546.3428016578898,2040.469142677959,2079.7753642544058,1901.8106829344495,4981.218425623586,12473.905402585218,18597.12432019552,22066.098425486933,21372.71907508437,17659.8534037083,12053.484983352768,5678.912380346213,583.7392799558146,378.42081018564346,168.75138479841948,2721.8876632541565,4275.375722204455,3541.659814355304,744.7269881044291,-899.191040230953,-820.7371578991631,1230.6925703773368,5156.503445019959,8339.811824177712,9640.657023931255,8845.599315757101,6807.165611408525,4189.753356234636,2780.060602555424
Be,-3963.4108685304095,-6697.554436963537,-4924.44506892275,-0.0,3949.7126895081255,892.1080846153284,559.0206875453582,-2482.9500400657607,-5964.400251858421,-6622.723982003306,-5298.989637784952,-2718.6877267411455,-1833.6259395991665,-1260.237217048142,429.2821919414969,-1035.2313515817252,-5352.256293900651,-6480.1189710623285,-5631.368243846562,-2811.629859475817,1374.698559532565,5129.793496137822,7095.336002507229,7803.176770634915,6893.527979014761,5129.2552106574085,2957.8197911840007,542.7692284055943,-1833.290481361142,-4219.495235205249,-3592.9269871918946,-1326.5123467624992,-52.16675423745824,-1521.9204858135556,-5192.987171021738,-6281.261948154495,-5725.711031023389,-3516.0904859318116,556.268478454327,6376.640245646001,11131.962334979353,12710.42031868211,11195.784252376405,7366.601069426348,2508.9336294454297,-2154.8852581677093,-4790.921305378574,-5678.758734296092,-3860.876118083189,-2111.8128753048773,-620.9163602129827,-1619.7241474477398,-4664.505415461725,-5887.82977623839,-5611.466752456203,-2865.3544355336326,-481.39768606780416,-2368.443291158406,-3099.432570453076,-4112.689308941067,-4840.734068651993,-5047.157772954367,-4374.168110676914,-3903.155741178929,-3670.2047056750566,-3630.4077226518857,-3378.098944315734,-2883.9772766350916,-2844.66570290113,-3022.634563084881,56.768167740068904,7549.4596870160285,13672.679882398827,17141.653355766688,16448.273717282023,12735.408315426655,7129.040086671435,754.4678532186115,-4340.706315959556,-4546.0245286843365,-4755.686506363529,-2202.557424268491,-649.0766954926494,-1382.785375093082,-4179.704277937832,-5823.629007542191,-5745.182381328859,-3693.752424893575,232.04850615006532,3415.366866113004,4716.211375673031,3921.153731162224,1882.7207050613101,-734.6914351219683,-2144.384487583935
B,-7913.124285562895,-10647.267818116474,-8874.157782797323,-3949.7126895081255,-0.0,-3057.6046023343583,-3390.692016304687,-6432.663324925042,-9914.113650802536,-10572.437336891264,-9248.702742591042,-6668.4004175870305,-5783.338684246114,-5209.949935582339,-3520.4304693738136,-4984.943908650602,-9301.968985093728,-10429.831663232299,-9581.080382182652,-6761.337997607673,-2575.0149466517755,1180.0805050986887,3145.623362952469,3853.4641103116396,2943.8153344699776,1179.5423918540807,-991.8930519404478,-3406.943573164946,-5783.0034552679,-8169.2078035358,-7542.6396811730365,-5276.2236542859655,-4001.8797201490634,-5471.630550815526,-9142.700055761397,-10230.97462768195,-9675.423740496597,-7465.803918753416,-3393.4401336853057,2426.9292656323028,7182.24282095683,8760.707735885777,7246.071452097687,3416.888563424067,-1440.7789096437234,-6104.598182633681,-8740.634272574835,-9628.471313544105,-7810.588659671669,-6061.520610049225,-4570.62414737286,-5569.430516144255,-8614.217938975919,-9837.542237582575,-9561.179177946686,-6815.067952286344,-4431.107344482494,-6318.155903216836,-7049.1452227881855,-8062.402118599973,-8790.446763454449,-8996.870464217194,-8323.880634099873,-7852.8673945712935,-7619.917351356811,-7580.120413875002,-7327.811595424879,-6833.6914088997555,-6794.378366607307,-6972.346944260147,-3892.938432033327,3599.7479335718367,9722.967356577503,13191.940794482129,12498.560878613924,8785.695620549035,3179.3278875055103,-3195.245340854419,-8290.419089002387,-8495.737241539684,-8705.399155144098,-6152.26384047848,-4598.789293920831,-5332.488249700807,-8129.416975582156,-9773.34156669064,-9694.895447856508,-7643.466116962386,-3717.6533753141757,-534.3457976468088,766.4973277883229,-28.55873029608774,-2066.992127506963,-4684.40441906819,-6094.097319344384
C,-4855.519141777842,-7589.662662531482,-5816.553203299913,-892.1080846153284,3057.6046023343583,-0.0,-333.08719935465217,-3375.058177632854,-6856.508558030088,-7514.832227752104,-6191.097467911126,-3610.7958209366407,-2725.7340055860764,-2152.3452974486495,-462.8259615173137,-1927.3393035180013,-6244.3643764462195,-7372.227054877929,-6523.475584187244,-3703.733405886177,482.58997821723966,4237.685294586104,6203.227942760375,6911.068753968012,6001.4198790148985,4237.146978354552,2065.711530117264,-349.33885393788734,-2725.398634466298,-5111.603388227879,-4485.0350694553445,-2218.61910697815,-944.2767597669283,-2414.0260311837155,-6085.095252257064,-7173.36998235126,-6617.80871305889,-4408.198741879166,-335.83964798180216,5484.53208991208,10239.84768096416,11818.312323051405,10303.676179253995,6474.492828021607,1616.825717012555,-3046.993478864304,-5683.029457483015,-6570.866679047686,-4752.984112085285,-3003.915998974436,-1513.0243747046673,-2511.8322172950293,-5556.613499868784,-6779.937861066652,-6503.574834402215,-3757.4624964606915,-1373.5057535374815,-3260.5513754962153,-3991.5406526812394,-5004.79739019628,-5732.8421547761145,-5939.26585551611,-5266.276850402918,-4795.26278875271,-4562.31278979844,-4522.518106299839,-4270.20697809483,-3776.085254971562,-3736.7737993043547,-3914.7426071684413,-835.3342359631223,6657.351528032975,12780.571732930788,16249.545376854556,15556.165648124654,11843.300231969592,6236.931977983903,-137.64017788835912,-5232.814223912992,-5438.132575894871,-5647.794590763808,-3094.6656344520925,-1541.1846825612738,-2274.8934449364024,-5071.812362350059,-6715.737090696342,-6637.290595574533,-4585.860517281484,-660.0596922209877,2523.258774209948,3824.101976959019,3029.0455773575777,990.6076930578041,-1626.7998441648324,-3036.4925696772307
N,-4522.432024832561,-7256.575599943259,-5483.465951734923,-559.0206875453582,3390.692016304687,333.08719935465217,-0.0,-3041.9710979438496,-6523.421408337701,-7181.745180388339,-5858.010384486837,-3277.7086083541885,-2392.6468015426053,-1819.2580861772929,-129.73859073664792,-1594.2521217920162,-5911.277170022813,-7039.139826176388,-6190.388638692387,-3370.6462416524073,815.6755838754243,4570.772466117696,6536.314629687461,7244.15587113009,6334.50708791588,4570.234180316717,2398.798736941401,-16.251558346896633,-2392.3114288648226,-4778.515949961302,-4151.947862971709,-1885.5330707721303,-611.1893925224598,-2080.938799215054,-5752.0080480713805,-6840.282778279985,-6284.732007766188,-4075.1116417324265,-2.7488259897866607,5817.619355207427,10572.934782629105,12151.399520067414,10636.763385837947,6807.580034597575,1949.9129218215737,-2713.9062944918487,-5349.942254846803,-6237.779834223887,-4419.896999719126,-2670.8336292896192,-1179.9370293176555,-2178.7448708854504,-5223.526297069685,-6446.850567215333,-6170.487626226566,-3424.3752946965583,-1040.4184371828367,-2927.4641732092423,-3658.4534488236923,-4671.71018608706,-5399.754944386074,-5606.17864915335,-4933.189035971204,-4462.176436109036,-4229.225570557184,-4189.430736896085,-3937.1197766532464,-3442.9954558571717,-3403.686602440538,-3581.6554427640367,-502.24703815187354,6990.4386694235645,13113.658855386895,16582.63257841962,15889.252830441166,12176.387438525304,6570.019184549587,195.43962200544075,-4899.726762308926,-5105.045369141111,-5314.707387944554,-2761.578148313264,-1208.0973370204395,-1941.806098473116,-4738.725159565638,-6382.649891744678,-6304.203388749432,-4252.773316267958,-326.9723793661012,2856.3459373140718,4157.189311977246,3362.1328083954454,1323.6950259561806,-1293.712641232063,-2703.40538327133
O,-1480.4608840104256,-4214.604464840778,-2441.4950361388383,2482.9500400657607,6432.663324925042,3375.058177632854,3041.9710979438496,-0.0,-3481.450321427265,-4139.774061124908,-2816.040055251736,-235.7378769147366,649.3240852064657,1222.7128039141364,2912.2323581674677,1447.7188200968835,-2869.3061628686933,-3997.168905284809,-3148.4179131634514,-328.67980992849874,3857.634902482256,7612.743561733482,9578.286068926345,10286.126791765028,9376.478014688437,7612.20515283676,5440.769801113893,3025.719179105776,649.6595032253588,-1736.5450438660105,-1109.9770728500414,1156.4388859983237,2430.78290040957,961.0319870847557,-2710.037249880936,-3798.3119507956435,-3242.7611774221923,-1033.1415603638384,3039.222672849341,8859.590468667942,13614.905432569278,15193.370324569672,13678.734287592788,9849.551121569608,4991.883801672045,328.06492863926366,-2307.971108384424,-3195.8085959243813,-1377.9305259037762,371.13740651786134,1862.034027257755,863.226126044051,-2181.5643520016806,-3404.879651511247,-3128.5162489023205,-382.41715807926624,2001.5508755918509,114.50567084476343,-616.484604469748,-1629.7393515672534,-2357.7839552889554,-2564.207679325262,-1891.2181198022136,-1420.2054480140364,-1187.257337326914,-1147.4597572071912,-895.1520752824,-401.0277367760116,-361.7194534516905,-539.6866646677021,2539.723855899022,10032.4097429723,16155.630354995208,19624.603427007813,18931.22375245789,15218.358354289723,9611.99032305939,3237.4178852081163,-1857.7561060283674,-2063.074358799489,-2272.736298260382,280.3947804892806,1833.8737180458554,1100.1648640898768,-1696.7678118665372,-3340.678982817333,-3262.2321785692816,-1210.8024006141943,2715.009339455403,5898.316147048927,7199.161537992064,6404.10392309828,4365.670746465999,1748.2583083245033,338.5658245099325
F,2000.9894104659645,-733.1533069188471,1039.9548071563686,5964.400251858421,9914.113650802536,6856.508558030088,6523.421408337701,3481.450321427265,-0.0,-658.3233722072198,665.4105121182497,3245.7121173829773,4130.77397103424,4704.162731366958,6393.682181415396,4929.168708478282,612.1437486608248,-515.720104554425,333.0315686476556,3152.7691374651154,7339.095095305465,11094.193367013382,13059.736001690288,13767.57683834706,12857.928340874812,11093.655927531796,8922.220411369479,6507.169638288147,4131.109443339753,1744.904918561128,2371.473131074045,4637.889097943795,5912.2331156465425,4442.482195833545,771.4125967322008,-316.8650455178472,238.6881519090443,2448.30883970959,6520.672539109745,12341.040660213337,17096.355651666247,18674.820285277103,17160.184233328167,13331.000916419282,8473.333504615695,3809.514541545358,1173.4790345334159,285.6366549546652,2103.5236479060545,3852.591654989591,5343.488078078686,4344.681694004983,1299.8857137757825,76.56423245955531,352.9343529397808,3099.0445801930878,5483.000847956107,3595.956425238171,2864.9672580129204,1851.7105834811045,1123.6659512162619,917.242179107941,1590.23163380698,2061.2452497480026,2294.1923071743986,2333.992186645543,2586.2979787390072,3080.421607862999,3119.730463054988,2941.7633262005525,6021.172721692178,13513.85976553632,19637.079891015765,23106.0532475815,22412.673701254767,18699.80856045694,13093.440047183889,6718.867286197685,1623.6941719129252,1418.3755818658508,1208.7130988760932,3761.8427829065376,5315.323550083805,4581.624649804113,1784.68226272536,140.76406811935053,219.2120876274129,2270.634198799111,6196.45845146397,9379.766742147844,10680.61182988959,9885.554148888223,7847.120725241311,5229.708016502795,3820.015484088873
Ne,2659.312788179016,-74.830156856394,1698.2783562134148,6622.723982003306,10572.437336891264,7514.832227752104,7181.745180388339,4139.774061124908,658.3233722072198,-0.0,1323.7338846214236,3904.0355751386182,4789.0972960559375,5362.486092770933,7052.005444854229,5587.492018770412,1270.4652160657488,142.60302521947477,991.3556065721696,3811.0923665451987,7997.408524761469,11752.5138389643,13718.0593003473,14425.8999636494,13516.252161974797,11751.979536543467,9580.544117119965,7165.493407611154,4789.432956290395,2403.2282944170097,3029.796403102878,5296.212279148434,6570.556183580575,5100.805375073893,1429.736686579553,341.4584273861397,897.0119098870373,3106.6337591439064,7178.995873985524,12999.363980550988,17754.678758594255,19333.14326184691,17818.50742683335,13989.323996806552,9131.656841293947,4467.837859705167,1831.803342889662,943.9606350643189,2761.847126181345,4510.91515261419,6001.811543130869,5003.0051852385595,1958.2090470540304,734.8877206073246,1011.2958095350057,3757.3682274983994,6141.331692312277,4254.279945263318,3523.2907595550046,2510.031791417997,1781.9873323072336,1575.5643370428918,2248.555638522397,2719.5684732180484,2952.518662776595,2992.3156282717187,3244.624493487293,3738.7480106455923,3778.053802410487,3600.088847501706,6679.4963186348095,14172.183930594456,20295.402726913657,23764.3761663858,23070.996562746714,19358.13129489375,13751.763054809748,7377.190528161769,2282.017524631577,2076.6990264433657,1867.0366020466813,4420.171566007381,5973.653122647137,5239.947078746724,2443.005494783319,799.0844779249946,877.5360182004849,2928.9576967192656,6854.781885854502,10038.089948792032,11338.935091085805,10543.877404790117,8505.443927790662,5888.031520140844,4478.339037686691
