element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-7.913939077079841,-6.869050254885785,8.285112540061034,8.976404326340996,8.488077234310545,8.417026282235073,7.30078396370213,-7.601896670383637,-7.88619898440362,-7.19786967138113,7.127471155328595,7.66424559357112,7.902551542137934,8.387925340872666,7.982477598920797,-7.23694794873201,-7.831104331031624,-7.419954258921473,7.049932297702527,8.58281158549601,9.115392971818393,9.311067366843927,9.373104200189308,9.292651768796462,9.11533338878321,8.842493310658442,8.4134269159764,7.664402977115834,-5.549404027098486,5.917500681497122,7.877738323601759,8.271866332825233,7.80077440686422,-7.1152382545605,-7.748827248660853,-7.474942487530422,6.105504876967304,8.416418409849705,9.243876507886528,9.622209358119063,9.721655728294339,9.626428515166142,9.335298630910309,8.77544812901881,7.500819862653186,-6.719629250568878,-7.447953977728064,4.639904757990746,7.524346573899695,8.11477305719401,7.759909470035139,-6.554081638385491,-7.5629025988991385,-7.407958105696217,7.00220703250109,8.155652454685535,7.375235141035909,6.762703951709953,-5.012487307068786,-6.778014876903414,-6.989102228878208,-6.02043461659105,4.115056616232785,5.684279026438505,5.811141905291425,6.37384544297685,6.9851168183807735,7.02085243618703,6.847767660600043,8.299331630427263,9.351307745214251,9.777759396346518,9.957315666462113,9.923911768468344,9.723153173181744,9.31411018605623,8.459326326104398,-5.935674691974745,-6.369239142336684,-6.6761799903289685,7.474121491002825,8.106313647243923,7.856174446051145,-5.381313709590391,-7.528990938804211,-7.485924502914377,5.600805791123897,8.34199562139923,8.90649873527614,9.068848518751764,8.972789125036376,8.673706459122247,8.080150315441267,7.506606144940775
He,7.913939077079841,0.0,7.48105352697735,8.809647026423368,9.273152511723,8.934674173895015,8.889801112646909,8.346548268182662,6.598717871817309,4.328496061237594,7.243914774039847,8.28900344589563,8.489807153444305,8.601224845194466,8.871762959956072,8.64176601876751,7.205113608229399,5.386481496640518,6.972780214955169,8.265373038941732,8.99631005739884,9.37825423115671,9.531981014404977,9.582023278212652,9.517242721699317,9.378208820484248,9.175373552258552,8.887559281216319,8.48987613965209,7.815634284860861,8.040970843369571,8.588963529329018,8.801828626721097,8.551910684160958,7.316924796793332,6.03377810638095,6.8802221172907005,8.065409119633069,8.889422306753715,9.478472172393396,9.788666684348996,9.873490822184914,9.792239643657473,9.551455720273335,9.127772272131494,8.421489974217952,7.553618359111332,6.927352238152427,7.95074125489159,8.430926036504896,8.712372078037037,8.532837313460043,7.617778874996817,6.6979201361852745,6.991250911476982,8.251454831035737,8.735067591764755,8.373348327312277,8.188444990196656,7.857815146058238,7.527159038157972,7.409376459889726,7.751211032912555,7.935730097765752,8.015772898712404,8.028828768911934,8.107855972665647,8.246585618589073,8.256836769635026,8.20955861650545,8.81808668038693,9.564372810197034,9.92187904095989,10.079128810461672,10.049613010401584,9.874777441531442,9.53442141965879,8.91637475100263,7.76550462554712,7.674398909663328,7.571920026373787,8.41094385665081,8.707728189867375,8.578434586121155,7.831552086938764,6.7741298578139,6.8599989888864314,8.007966743740763,8.843703440851192,9.221668015214142,9.342663041803036,9.270466810059704,9.057337707031316,8.693473553962608,8.42379842496555
Li,6.869050254885785,-7.48105352697735,0.0,8.502169918847544,9.091011392528944,8.668635040523526,8.609675002742945,7.800775351627806,-6.94789365475845,-7.437958943575178,-5.928380260629107,7.69927944021868,8.036514908815642,8.206640313069169,8.585735049482,8.266219409469024,-6.061016635619423,-7.350306631379586,-6.56233549975053,7.65624915867853,8.748325631669623,9.215846567409507,9.394392187901259,9.451608437844985,9.377461530428674,9.215795652541876,8.972497584816896,8.606707633407366,8.036623638317504,6.559544593186894,7.194825764989362,8.188392968700837,8.491522074169161,8.132567577304561,-5.596740757748175,-7.213633503047839,-6.687440577727357,7.250886575944133,8.60917376949622,9.33274237487601,9.683925097794424,9.777689910274821,9.687892275199719,9.416707663762853,8.913870290438478,7.926804613184243,4.901716767938071,-6.627132403838442,6.970325160204677,7.94223318052612,8.367423997422378,8.103411666285922,5.564254038564013,-6.87149542257888,-6.533819779021715,7.630505225075514,8.399322161830488,7.846590604961805,7.5098898845227975,6.7004305686046735,4.439227214851051,-4.817970412825488,6.312237281828159,6.929800754508126,7.135080165516695,7.1662929515934355,7.3442944172715645,7.621424995621131,7.64049587450957,7.551087378865705,8.513630537820422,9.431474337631867,9.830816011616054,10.001843019175256,9.969917365697466,9.779105797096172,9.397192067458997,8.64469108560083,6.371166072599902,5.9386459062487855,5.1343349242754535,7.909448237050138,8.360861135965914,8.172633083985591,6.614359565532811,-6.802607007722156,-6.7114205846755315,7.1161445759225375,8.548207912908337,9.028915831643964,9.173848263282421,9.087788406049368,8.825877995957415,8.340635795378367,7.9305876456381785
Be,-8.285112540061034,-8.809647026423368,-8.502169918847544,0.0,8.28165126934362,6.794707608955809,6.327973725092137,-7.817605330156163,-8.693731432340995,-8.798413025813344,-8.575460144403387,-7.908272346354123,-7.514595892079036,-7.1398484364712775,6.064441253772027,-6.943345710226512,-8.585460307801444,-8.776648455158217,-8.636285279906135,-7.941875217704838,7.22671692438678,8.54301560381318,8.86733387384179,8.962414352772333,8.838483329438006,8.542910685593553,7.992545748613878,6.298524944362653,-7.514413027058159,-8.347707754458618,-8.187000751942906,-7.191062053835553,-3.973433280654961,-7.328385142611386,-8.555256922258485,-8.745485377439131,-8.652896653817438,-8.165389360301054,6.323047131795741,8.760553440467394,9.317665566536004,9.450256106066194,9.32338189573272,8.904847432797544,7.828011589324202,-7.675956710838876,-8.474686717577507,-8.64466403445673,-8.258908385333426,-7.655775454917817,-6.432805614586438,-7.390628332947007,-8.447951449419673,-8.680812577150403,-8.632745608194424,-7.960796269804407,-6.17876884869294,-7.770410308290865,-8.039296919594427,-8.322075546928682,-8.485028214191315,-8.526778658279856,-8.383700223351063,-8.269796839457303,-8.208275144860979,-8.197375654466427,-8.125364368415122,-7.9672723025281975,-7.953552309663844,-8.0142148844563,4.056437892829558,8.929363726087098,9.523228087522421,9.749324985057935,9.708036604293731,9.452219967512676,8.872072135646595,6.62733723046814,-8.376022710186513,-8.422228348286893,-8.467306592718431,-7.697828344422842,-6.477090348994663,-7.232578048352323,-8.338234998871306,-8.669850586713299,-8.656290979607887,-8.214668828402356,5.451246612800632,8.136332945544984,8.458973093743694,8.274396203122786,7.541004198425652,-6.600810785062607,-7.67107406358994
B,-8.976404326340996,-9.273152511723,-9.091011392528944,-8.28165126934362,0.0,-8.025714078632161,-8.129084195709503,-8.769299378939174,-9.201815503399805,-9.266100223434371,-9.132346694053997,-8.805285242453367,-8.662909317491888,-8.558517447413886,-8.166622569385629,-8.51437801425099,-9.138088873902282,-9.252521282422109,-9.167650006281045,-8.819123966876315,-7.8539988894790635,7.074184980765459,8.054085208603162,8.256987264742111,7.9878013893556465,7.073729265964747,-6.900622956271532,-8.133864330642224,-8.662851361222222,-9.008249622479887,-8.928460060867897,-8.571155415354985,-8.294769311113976,-8.607514684903341,-9.12082040263583,-9.233272863552902,-9.177447663711982,-8.91822233098198,-8.129894117317306,7.794794018984141,8.879506206453563,9.07814611194966,8.888352728602237,8.136778260283918,-7.273632984067488,-8.716961364158221,-9.07585243887835,-9.172583603341614,-8.963363635678308,-8.70988093483571,-8.42762381404923,-8.625227621881365,-9.061285446259685,-9.194062832484374,-9.165570927553329,-8.827038037985036,-8.396630448459286,-8.751340918603434,-8.860803494571206,-8.9950908455238,-9.08153456910979,-9.104743213233611,-9.02700397649959,-8.968761351187336,-8.938652028751887,-8.933416279570181,-8.89956865287212,-8.82976659947748,-8.823998008126582,-8.849850581362594,-8.267176374824441,8.188896862190731,9.182348978435058,9.48743717722739,9.433448792962444,9.080993995149548,8.064739579737289,-8.069732068913108,-9.022976414300128,-9.04743751485112,-9.071813569343359,-8.72473792579492,-8.43376577575869,-8.581760758950859,-9.003367489736135,-9.187516023678524,-9.179457925232859,-8.941737281648951,-8.22111688584758,-6.28291288884303,6.643134997746266,-3.386379141709835,-7.634333428806259,-8.45220751305332,-8.715240008866552
C,-8.488077234310545,-8.934674173895015,-8.668635040523526,-6.794707608955809,8.025714078632161,0.0,-5.8114020348144475,-8.12446408827852,-8.833099470792035,-8.924767038271456,-8.731029156087395,-8.19196038495922,-7.9108598370489425,-7.674777864183807,-6.139509398928232,-7.56441444698841,-8.739594767766485,-8.905610752968881,-8.783315858721531,-8.217366579914883,6.181237395236494,8.352008428112152,8.7329862648788,8.841024257478404,8.699917980070447,8.351881419292125,7.633713990250712,-5.858900840232792,-7.9107368357789065,-8.539464022782843,-8.408724532583111,-7.705090886712654,-6.851477752094665,-7.789465344986641,-8.71376198137898,-8.878270229434728,-8.797670680027485,-8.391448260749186,-5.819606995100689,8.609869376192504,9.234139676511468,9.377490110168754,9.240353069177647,8.775779996107104,7.388838376744165,-8.022238777324032,-8.645415671730483,-8.790553192744404,-8.466738305904729,-8.008004892826326,-7.322526533408529,-7.829165769415338,-8.6229240684582,-8.821870698959014,-8.780261028995374,-8.231765242241464,-7.225849493509585,-8.089958243218852,-8.29218306229938,-8.518351997779977,-8.654141118121636,-8.689509168176027,-8.569268781307407,-8.475592307964218,-8.425804127733931,-8.417045312176883,-8.359651730939753,-8.236707894597387,-8.226245472354712,-8.27276027298366,-6.729028336968104,8.803627214583354,9.45575970416704,9.695881748847292,9.652276624849721,9.379602037766263,8.738403992649157,-4.93188192850202,-8.56289558836635,-8.601374874175512,-8.63919745461136,-8.037758229669302,-7.34095531514961,-7.7301279773385065,-8.531650649370327,-8.81235776361895,-8.800609768901483,-8.430951085868314,-6.493844141706254,7.833702743845488,8.249340406548129,8.016332940422489,6.899327558357851,-7.394984593159328,-8.018787641449016
N,-8.417026282235073,-8.889801112646909,-8.609675002742945,-6.327973725092137,8.129084195709503,5.8114020348144475,0.0,-8.020589651969464,-8.783307555207513,-8.879436926071506,-8.675735991942405,-8.09520490688613,-7.780573340372513,-7.506733575609298,-4.873199838997285,-7.374787072816223,-8.684786344144579,-8.85938331062763,-8.730914676333727,-8.12315640307626,6.705241933842182,8.42765625686039,8.785281753047645,8.888088368827024,8.753925135000216,8.427538508766702,7.783140153211874,-2.847902478347581,-7.780433221047384,-8.472094554659312,-8.331573689487831,-7.542496069477127,-6.417041699543919,-7.641054853553172,-8.657478135797025,-8.830730533717249,-8.746037583258458,-8.31289878399019,-1.3214427215756435,8.668818288392211,9.266147269065868,9.405281920633415,9.272165532700878,8.825938865595425,7.576052707039438,-7.906512717773095,-8.585027946783594,-8.738539902855956,-8.394097895594907,-7.890520268230604,-7.074063494977044,-7.686963117230468,-8.561119411875161,-8.771502108858261,-8.727695194195595,-8.138966319787299,-6.948338944799886,-7.982233391618309,-8.20506908432195,-8.449494521964224,-8.594294027296565,-8.631802957423364,-8.50394360928023,-8.403615996921808,-8.35001059699138,-8.340558808801022,-8.278458674341717,-8.144387546109229,-8.132908173948382,-8.183859548227614,-6.221081179061694,8.852441632279598,9.481485880173633,9.716171498685648,9.67346117069689,9.407336022240342,8.790424226471995,5.280355116945209,-8.497138791939122,-8.538180483218497,-8.578421374665913,-7.92391963440806,-7.097629357730037,-7.571888649478973,-8.46373442979403,-8.761495296107103,-8.749130506205367,-8.35556170714431,-5.792929395588654,7.957648479014814,8.332834996957576,8.120628202008822,7.188937542837677,-7.1660440508479875,-7.9026373457748615
O,-7.30078396370213,-8.346548268182662,-7.800775351627806,7.817605330156163,8.769299378939174,8.12446408827852,8.020589651969464,0.0,-8.155491440348268,-8.328638020628617,-7.943441986891979,-5.46695352448155,6.477470831259012,7.109644798215576,7.977018519712894,7.27843487248751,-7.962173980021817,-8.293591761612872,-8.05497292527208,-5.798121910497087,8.258068747702518,8.937710256539892,9.167358345111342,9.238648566491548,9.146066137478588,8.93763953864269,8.601859618028417,8.015234532701538,6.477986468857068,-7.460228501630112,-7.012995152928082,7.053964986292925,7.796379971177743,6.869047700720771,-7.905086589677576,-8.242575263740033,-8.084488792741693,-6.941326951271973,8.019686039365599,9.089368685697673,9.518993905472444,9.62868026484563,9.523670767566324,9.195282684029298,8.51576893798307,5.7962550827812525,-7.744557296666608,-8.069908277365904,-7.2290634964689096,5.9192631584318125,7.52996163520009,6.761834454519754,-7.688255772732303,-8.1332585263386,-8.048633718523291,-5.949123582033936,7.602177084658164,4.74931962697963,-6.425654136158527,-7.396788780878558,-7.765901492038163,-7.849794720925795,-7.545505028274707,-7.259260697529643,-7.080243090376728,-7.046176982078768,-6.798110125450632,-5.996521083194093,-5.893629679953084,-6.2928399329946805,7.840204302050154,9.213675777618494,9.690085792695827,9.884590290050912,9.848620709700112,9.630323472464564,9.170870621413837,8.082840182491138,-7.527662782787593,-7.632437152502653,-7.729179703760467,5.639758596140393,7.514730939616948,7.004123865830499,-7.437069615393166,-8.11422864913099,-8.090473449001946,-7.09986411754061,7.906918927352867,8.6825917158962,8.881858740584699,8.76485043950729,8.381756154825888,7.466947153264292,5.827667814832362
F,7.601896670383637,-6.598717871817309,6.94789365475845,8.693731432340995,9.201815503399805,8.833099470792035,8.783307555207513,8.155491440348268,0.0,-6.491214115524619,6.501905865215386,8.08539810706442,8.326462126670286,8.45641563832189,8.763222014797567,8.503128487237888,6.41859940870768,-6.247501344066713,5.811235505419408,8.056353568098604,8.901107077288323,9.314267263517065,9.477365756655248,9.53014423404648,9.46179366157234,9.314218823397031,9.096412193082184,8.780813534116016,8.32654331666024,7.465028278193432,7.7716882052667575,8.44223019800851,8.684948019303235,8.399193626381608,6.649518858981968,-5.761626907539305,5.479338711387006,7.803561157498338,8.782886146427275,9.420766653334615,9.746679090279278,9.834984933281468,9.750405381926996,9.497922508165948,9.044797286632944,8.245519509276651,7.0685799533933835,5.658215403080242,7.651844424976219,8.256760889803388,8.583821043021773,8.37693791699398,7.170800629746753,4.351106399019069,5.869111452264035,8.039171771077283,8.609590195305845,8.187843329426576,7.96066118404265,7.524405026003139,7.025241338293199,6.822461167492736,7.372263607814107,7.631550595306501,7.738571912959899,7.755763823907054,7.858369358675888,8.03314633047559,8.045822376175103,7.987104325767785,8.703203390412526,9.511545082447785,9.885225811905896,10.047893185297658,10.017426484696369,9.836322040435029,9.479942995216843,8.812823684244455,7.3930748751519,7.257972322804856,7.098138502109289,8.232930009998753,8.578537281427947,8.430027180610494,7.487555841200485,4.954164183675195,5.394591116639428,7.728254762828811,8.731894559806836,9.146416780892801,9.276279021528495,9.198930946199264,8.968029384057733,8.562301923900822,8.248271499804266
Ne,7.88619898440362,-4.328496061237594,7.437958943575178,8.798413025813344,9.266100223434371,8.924767038271456,8.879436926071506,8.328638020628617,6.491214115524619,0.0,7.188966876453756,8.270022172383024,8.474306002527674,8.587369433094985,8.861209109199123,8.628464765672264,7.147925227874329,4.9670527233802035,6.900081517415394,8.24593349494885,8.986997866467084,9.37190752499035,9.526541334814622,9.57684979595413,9.511722086482923,9.371862065005113,9.167594039304355,8.877171749473243,8.474376073854783,7.78498425554602,8.016580703275096,8.57493597609521,8.79050594546789,8.537349751183458,7.265944756042041,5.836150270440662,6.8001833308946935,8.041616866430797,8.879054087388278,9.472732634555646,9.7844606737985,9.869627892837116,9.788049059050921,9.546121226562661,9.119611932493381,8.404883667162089,7.51360195506258,6.851143270609513,7.92401699446812,8.414476988172666,8.69998322897775,8.517993907805002,7.580296123355977,6.601077553568747,6.919976109047591,8.231740160138179,8.72295970350097,8.355915830914556,8.167434492039218,7.828449019936854,7.486045513130798,7.363003288201816,7.718487981703914,7.908596134959742,7.990752505595311,8.004136957779368,8.085063058538427,8.226773511305927,8.237228940456525,8.188991536352473,8.806947562967471,9.559107002617056,9.91819894375636,10.0759850175105,10.04637489110524,9.870919488692307,9.528995032347792,8.906283701645606,7.733253322642067,7.639016323076421,7.532643212840228,8.394160000132166,8.695281320327377,8.564257501202382,7.801393568563639,6.684717319499157,6.778256906445749,7.982743263927111,8.832847646156397,9.214241746586842,9.33608585337522,9.263395466936343,9.04857926441066,8.680846835306006,8.407230778293842
