element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.11469102964871127,-0.04031318819005231,0.16625598506812975,0.3319373934982955,0.20367787865323136,0.1897056389389636,0.06210193461907014,-0.08393691105541828,-0.11155206509460697,-0.056024529898268526,0.05221326082682946,0.08933957761560651,0.11339191475686605,0.18426337708421228,0.12283040262346054,-0.05825888428513491,-0.10557013099793365,-0.0699669731197694,0.04831455538050534,0.22392085995695618,0.38143918241413904,0.4638890281331426,0.4935813226011959,0.4554236485148753,0.3814164532876832,0.29032972314047384,0.18902389553606128,0.08935364590392278,-0.010742148147782847,0.015540873410299687,0.1106118888692321,0.16406769346651412,0.10241501375653587,-0.05157792198760561,-0.09722854323120807,-0.073924449843386,0.018764001980024297,0.18959033167045616,0.43374127533546714,0.6332159582069596,0.6994289184014651,0.6358934171012318,0.4752679684099833,0.27149997648738017,0.07586348644468499,-0.03471215630165838,-0.07195490409711634,0.004301086257669152,0.0776704644538453,0.1402101459828757,0.09831251163986961,-0.029409705772609478,-0.08072525808939376,-0.0691321527066303,0.0460609335368156,0.14606236980105014,0.06690520592681067,0.0362418888118327,-0.0062618718143872395,-0.036801702615967095,-0.04546070585468794,-0.017230334500950063,0.0025275875092167287,0.01229930392328453,0.013968598140474403,0.024552331379966912,0.045279719992569585,0.04692860426707101,0.0394634011178172,0.16863748163475933,0.48293849452786725,0.739793513456167,0.8853089684164586,0.8562232887466735,0.7004771220915621,0.46530283610979684,0.19790414636491316,-0.015826664886903145,-0.024439303257088953,-0.03323445125295503,0.07386374860900184,0.1390287002384706,0.10825130621653066,-0.009073605746693105,-0.07803222868579195,-0.07474122667811886,0.011310963519354515,0.1759897424890887,0.3095227626646083,0.3640902324811176,0.3307393881708816,0.24523178776392285,0.13543733463836458,0.07630396986555096
He,0.11469102964871127,-0.0,0.07437784536450485,0.28094702956639794,0.44662843649149897,0.31836892115145454,0.3043966837173405,0.17679297963737345,0.030754097743327255,0.003138953253558449,0.05866647415201707,0.16690429510377838,0.20403060248265922,0.22808294649236593,0.29895440508951027,0.2375214282768913,0.056432146513372666,0.009120834915804893,0.04472403920584754,0.1630055335275696,0.33861189500747413,0.4961300551219061,0.5785800610429982,0.6082723549541508,0.5701146962589074,0.4961075241291785,0.40502079185636314,0.30371494807844934,0.20404468115962118,0.10394888001137063,0.1302319655361197,0.22530291336903932,0.2787587111513579,0.21710604161044478,0.06311312744514885,0.017462351538162887,0.04076655799268344,0.13345485596230555,0.3042813824094289,0.548432442344497,0.7479072810651711,0.8141199498169356,0.7505844530896484,0.5899589955406139,0.38619100331322204,0.19055450685324146,0.07997886618591693,0.042735911204070026,0.11899211224739617,0.19236149890714715,0.25490118043602517,0.21300354609319833,0.08528132836881297,0.03396580609528629,0.04555858172902466,0.16075192426635415,0.26075340411403597,0.1815962425218351,0.1509329232650625,0.10842912879586951,0.07788933547465304,0.06923033569469626,0.09746069168163371,0.11721861767536829,0.12699034330566084,0.12865973437172332,0.1392433579276612,0.15997088780299126,0.16161963991414152,0.1541544395436728,0.28332851462138786,0.5976295245834807,0.8544845026838597,1.0,0.9709143169697392,0.8151681404320579,0.579993857649785,0.3125951752375689,0.0988643625413251,0.09025171929031955,0.08145686415480337,0.18855501619936876,0.2537199978220552,0.22294271711475322,0.1056174300184554,0.03665884201890818,0.03994957120013868,0.1260025699275843,0.29068132336459795,0.4242137909290135,0.47878126674138477,0.4454304225718148,0.35992280675490274,0.2501283731494753,0.1909949976112505
Li,0.04031318819005231,-0.07437784536450485,-0.0,0.2065691630278084,0.3722505419621143,0.24399105078762107,0.23001880542636566,0.10241511055418785,-0.04362371619428595,-0.07123887742096176,-0.01571133353152259,0.09252645459661468,0.12965276490304808,0.15370510366502274,0.224576565157617,0.16314359052567878,-0.01794569581456623,-0.06525694288748572,-0.029653801618233677,0.08862769412610189,0.2642340616593429,0.4217511832165342,0.5042022163479412,0.5338945176745756,0.49573689506375507,0.4217297082218093,0.3306429661637502,0.22933714207585548,0.12966686731120403,0.029571039101485255,0.055854128263613655,0.15092506953072712,0.20438087098386082,0.14272820204031345,-0.011264907229919118,-0.05691535537746676,-0.03361128073049496,0.05907720775228136,0.22990352022293242,0.47405450618959233,0.6735291219394761,0.7397421069823077,0.6762066053821043,0.5155811558404308,0.3118131675547241,0.11617666718077137,0.0056008793087320855,-0.031641703697490926,0.04461427105556772,0.117983657699721,0.18052333921692684,0.1386257048915552,0.010903487072364897,-0.04041198400152985,-0.02881896547051796,0.0863741211325932,0.18637588695510504,0.10721839839814397,0.07655508204485657,0.034051287515705006,0.003511419386828667,-0.00514755994942474,0.023082853740600116,0.04284078182759253,0.05261238779581968,0.05428179418699972,0.06486552978494753,0.08559299516752673,0.08724180090689268,0.07977659117173445,0.20895067497724243,0.5232516887966341,0.780106662127365,0.9256221603136296,0.8965364887163717,0.740790299361758,0.5056160175879703,0.2382173343184425,0.02448652239983383,0.015873884049528785,0.007078733101843434,0.11417693741827552,0.17934219433955073,0.14856449677905323,0.031239587093334232,-0.03771899939646299,-0.03442803918008572,0.05162472738537449,0.21630347904780195,0.3498359559743593,0.4044034250761346,0.3710525798463248,0.28554496664289974,0.17575053269497984,0.11661715864404687
Be,-0.16625598506812975,-0.28094702956639794,-0.2065691630278084,-0.0,0.16568137791218937,0.037421885672417984,0.023449634207562756,-0.1041540527790774,-0.2501928949851732,-0.27780806380806805,-0.222280447654525,-0.11404270742931569,-0.07691639775604946,-0.05286405747218072,0.01800740222522098,-0.04342557807902689,-0.22451486156657158,-0.2718261110516952,-0.23622296696412023,-0.11794141648187101,0.057665447960879766,0.21518305802413815,0.2976330528466265,0.3273253477108442,0.2891676696569111,0.21516047818425713,0.12407374843265832,0.02276792281358917,-0.07690232605325052,-0.17699813622387406,-0.1507150369587964,-0.055644146981362524,-0.002188275553871991,-0.06384106971430885,-0.21783388757888378,-0.2634845155603561,-0.24018043025431204,-0.14749192216451307,0.023334185355873928,0.2674854161304883,0.46696025850823547,0.5331729464364142,0.4696374413938236,0.30901199951937774,0.1052440046894945,-0.09039248848765041,-0.20096814774718166,-0.23821088921944522,-0.1619548877293019,-0.08858570093025872,-0.026046015549834756,-0.06794370874105465,-0.19566529144397352,-0.24698093935563645,-0.23538814509851438,-0.12019503908400403,-0.020193527535134724,-0.09935075759519954,-0.13001407934877796,-0.1725178728670877,-0.20305767878539535,-0.2117166791864637,-0.18348630818682699,-0.1637284208348156,-0.1539566598024557,-0.15228726774729634,-0.14170349385277525,-0.120976224506054,-0.11932719425597002,-0.12679257928486884,0.002381294284444829,0.31668249864349235,0.5735375255738456,0.7190529972523682,0.6899673135707276,0.5342211355218884,0.29904686178529377,0.031648194017696495,-0.18208266273410495,-0.19069529030194607,-0.19949012883538106,-0.09239222638975587,-0.027227276952467423,-0.058004671304528854,-0.1753289969353321,-0.24428786452797535,-0.24099720868910574,-0.15494443255290843,0.009733901998374426,0.14326679759679123,0.19783423774653333,0.16448339518725477,0.0789758104347617,-0.030818618689566122,-0.08995200527374957
B,-0.3319373934982955,-0.44662843649149897,-0.3722505419621143,-0.16568137791218937,-0.0,-0.12825949213245075,-0.14223174430623722,-0.2698354556648807,-0.4158743026565733,-0.4434894696314135,-0.3879618429875104,-0.279724085397621,-0.2425977779811858,-0.21854543660194714,-0.14767397450434455,-0.20910695043569388,-0.3901962395494408,-0.4375074890755428,-0.40190432175590834,-0.28362260347427687,-0.10801596420900156,0.04950166746341536,0.13195167702986613,0.16164397102289227,0.12348629363083072,0.04947909484843092,-0.04160763592338306,-0.14291345979936118,-0.2425837158953095,-0.3426795090529424,-0.31639641505861854,-0.2213254669224688,-0.16786966506055265,-0.22952233753449144,-0.38351527368058774,-0.42916589305387925,-0.40586180900399077,-0.3131733312569961,-0.1423470215200697,0.1018041099276648,0.3012785943233377,0.3674915730005395,0.3039560588350622,0.1433306293048372,-0.06043736691296436,-0.25607387625578193,-0.36664953730775063,-0.40389226250647603,-0.3276362594366018,-0.2542668710014849,-0.19172718781977197,-0.23362482150971098,-0.36134666239309865,-0.4126623076968724,-0.4010695119357699,-0.28587645169720427,-0.18587477829991453,-0.26503213225855204,-0.2956954557016447,-0.3381992558193264,-0.36873905691966974,-0.37739805717225877,-0.349167679132125,-0.329409755284328,-0.31963803587622946,-0.31796864573142564,-0.30738487015421556,-0.28665766293856726,-0.2850085710858269,-0.2924739442632028,-0.163299828177356,0.1510011599970356,0.40785615452794166,0.5533716247188629,0.5242859294016199,0.3685397573844611,0.1333655044418338,-0.13403320505983204,-0.34776404415038337,-0.3563766691934978,-0.365171505039143,-0.25807334115149333,-0.1929086510440623,-0.22368563750418358,-0.34101037518881633,-0.40996923697187565,-0.4066786024163984,-0.32062585252021647,-0.15594702254119164,-0.02241457923531556,0.03215280285356542,-0.001197973158768583,-0.08670557347847235,-0.19650000895275752,-0.2556333891530973
C,-0.20367787865323136,-0.31836892115145454,-0.24399105078762107,-0.037421885672417984,0.12825949213245075,-0.0,-0.01397224317115164,-0.14157594067270032,-0.2876147899513709,-0.3152299562396651,-0.25970232265170734,-0.15146459350359967,-0.11433828264704805,-0.09028594296779666,-0.019414486335023007,-0.0808474581858633,-0.26193674715216786,-0.3092479966905664,-0.27364482141592583,-0.15536311178701132,0.020243541453037438,0.1777611674465071,0.26021116821738394,0.28990346488870666,0.25174578333914727,0.17773858631668646,0.08665185535850893,-0.01465396276353006,-0.11432421459865952,-0.21442002476582128,-0.18813692253255848,-0.09306597709825515,-0.03961024180422738,-0.1012628488712227,-0.25525577310951847,-0.3009063991178311,-0.2776018795623929,-0.18491381502391613,-0.014087702070830623,0.23006352747480868,0.4295380972645779,0.4957510644966968,0.43221555620350716,0.27159010727000393,0.06782212623973509,-0.12781437986836505,-0.23839003625061295,-0.2756327690249007,-0.19937676960070286,-0.1260073785023931,-0.06346789828072691,-0.10536559379398733,-0.2330871771076551,-0.2844028250369865,-0.2728100306589607,-0.15761692376275352,-0.05761541248833202,-0.13677264325597624,-0.16743596492105986,-0.20993975839855655,-0.24047956452110375,-0.2491385647727385,-0.22090822133963353,-0.20115026300572195,-0.19137854545423771,-0.18970924985885387,-0.17912537739273005,-0.15839810572031793,-0.1567490804228632,-0.16421446325707223,-0.035040353086753635,0.27926060985151907,0.5361156371810053,0.6816311160139565,0.6525454285467355,0.49679924989805696,0.2616249751031021,-0.005773689410168751,-0.21950454099596217,-0.2281171744053188,-0.23691201449877822,-0.1298141173294746,-0.06464915853302516,-0.09542655635729502,-0.21275088259923047,-0.2817097501391003,-0.278419099799219,-0.19236631855136832,-0.027687988445835,0.1058449116186698,0.160412296950693,0.12706150661250376,0.04155371806972404,-0.06824051797097427,-0.12737389084037407
N,-0.1897056389389636,-0.3043966837173405,-0.23001880542636566,-0.023449634207562756,0.14223174430623722,0.01397224317115164,-0.0,-0.12760370252124784,-0.2736425488634372,-0.30125771944418217,-0.24573008434356824,-0.13749234977757221,-0.10036603927921123,-0.07631369929676662,-0.005442235972943727,-0.06687521575419375,-0.24796450368449824,-0.2952757522883802,-0.25967258889360967,-0.14139087008910003,0.034215717772281745,0.1917334094505453,0.2741833898933758,0.30387570461206853,0.26571802691074553,0.1917108295972173,0.1006240988429883,-0.0006817155554849979,-0.10035197116546798,-0.20044777157286298,-0.17416467906236235,-0.0790937827185178,-0.025637991590483456,-0.08729060433198825,-0.24128352973571612,-0.286934155748828,-0.2636300765930434,-0.17094157601430862,-0.0001153069383599667,0.24403577341202107,0.4435103363378707,0.5097233075697477,0.44618779967791133,0.2855623507440732,0.08179436963968488,-0.11384213732568217,-0.2244177929418074,-0.2616605407255042,-0.18540453007851876,-0.11203533792480107,-0.0494956489838531,-0.09139334445421918,-0.21911493379201682,-0.2704305779019167,-0.2588377871177885,-0.14364468049052967,-0.04364316440929935,-0.12280039996182048,-0.15346372156102212,-0.19596751502796173,-0.22650732088704292,-0.23516632130761286,-0.2069359523674115,-0.18717805535215162,-0.17740630144888872,-0.1757369995545329,-0.1651531341340364,-0.1444257534952149,-0.1427768373561964,-0.15024222155200323,-0.02106810998034422,0.2932328505912114,0.5500878771264396,0.6956033592778299,0.6665176710031763,0.5107714933712766,0.27559721857673997,0.008198243370590932,-0.20553228682404978,-0.2141449309237916,-0.22293977118229452,-0.11584186212838528,-0.05067690922969886,-0.08145430701527398,-0.19877863928420791,-0.26773750698485305,-0.2644468563146992,-0.17839407531063073,-0.013715740513609154,0.11981715326919501,0.17438454581262008,0.14103375111269353,0.05552596684272827,-0.05426827464972884,-0.11340164821239282
O,-0.06210193461907014,-0.17679297963737345,-0.10241511055418785,0.1041540527790774,0.2698354556648807,0.14157594067270032,0.12760370252124784,-0.0,-0.14603884680501575,-0.17365401602862685,-0.11812641406788726,-0.00988866263034227,0.027237654382900597,0.05128999450554946,0.1221614602964295,0.06072848022090727,-0.12036080497167108,-0.16767205719406855,-0.13206890199431234,-0.01378736330506405,0.16181892617738966,0.3193371118741362,0.4017871067311667,0.43147939969561466,0.39332172225175066,0.31931452685722445,0.22822779994760523,0.12692197184398574,0.027251724398599308,-0.07284407709922164,-0.04656098945354824,0.04850995582853404,0.10196576105777459,0.04031308511650772,-0.11367983978843534,-0.1593304645727355,-0.13602638529699493,-0.04333791613605873,0.12748841239952424,0.3716394765841574,0.571114020066393,0.6373269977817946,0.5737914939694807,0.4131660528050785,0.20939806301241629,0.013761570446883883,-0.09681408838531866,-0.13405683231665894,-0.05780102152884347,0.015568361989968775,0.07810805180208372,0.036210353829708705,-0.09151161521289368,-0.14282688302520846,-0.13123407287717456,-0.016041521667168858,0.08396046322820129,0.004803249961627617,-0.02586011357269605,-0.06836382355674761,-0.09890362293166549,-0.107562624160527,-0.07933225747120161,-0.059574357438810795,-0.04980271909579753,-0.048133301993808886,-0.03754957409122677,-0.016822192709498265,-0.015173300484543217,-0.022638616343031756,0.10653558398806239,0.4208365520891402,0.6776915964965894,0.8232070513391805,0.7941213661446851,0.6383751882505156,0.40320092279963643,0.1358022464579935,-0.07792860282956288,-0.08654123207725606,-0.09533606900752116,0.01176191719318077,0.07692679149293401,0.04614938982705779,-0.07117551355415368,-0.14013381239241357,-0.1368431490853963,-0.05079038043603342,0.11388840752906841,0.24742081853211503,0.30198829565385477,0.2686374543369423,0.18312986327000408,0.0733354216470132,0.014202058916282274
F,0.08393691105541828,-0.030754097743327255,0.04362371619428595,0.2501928949851732,0.4158743026565733,0.2876147899513709,0.2736425488634372,0.14603884680501575,-0.0,-0.027615153808231676,0.027912443053860866,0.13615017045233996,0.17327648291551795,0.19732882478424194,0.268200286203966,0.20676730886064326,0.025678024639075394,-0.021633274178795108,0.013969909590733524,0.13225142586239513,0.30785818706479834,0.46537593702795516,0.5478259372326485,0.577518234971504,0.5393605692564002,0.46535339267578235,0.37426665886830585,0.27296082442751185,0.1732905552084157,0.07319475464656314,0.09947785242247897,0.19454879804103992,0.2480046034083514,0.18635192719492016,0.03235898709921801,-0.013291761067345738,0.010012419891870487,0.10270093396798298,0.27352724011133533,0.5176783179409269,0.7171528625788878,0.7833658294554416,0.7198303250150846,0.5592048775213735,0.35543688387346456,0.15980038753106343,0.0492247509316366,0.01198180179050215,0.08823798687477499,0.16160737352548246,0.22414705504660024,0.18224942071476458,0.05452722086819991,0.0032116937432904898,0.014804785690599674,0.12999780404828276,0.2299992953908253,0.15084211492857885,0.12017879787605526,0.07767500704056018,0.0471352064683231,0.038476203222950964,0.06670656551514988,0.08646450515258457,0.09623609931372888,0.09790561286822984,0.10848926149672726,0.12921661312149313,0.13086552933498372,0.12340021659579253,0.2525743697325697,0.566875386357529,0.8237304103555971,0.9692458771345388,0.9401601973187118,0.7844140302206369,0.5492397445491727,0.2818410546527614,0.06811024215131618,0.05949759875567123,0.05070273902561832,0.15780066672105164,0.22296561776919172,0.19218863363717986,0.07486332289668517,0.005904729432216921,0.009195443716601161,0.09524789076200549,0.25992720360174687,0.3934596768170282,0.4480271412201658,0.414676297130192,0.3291686957015572,0.21937424272764267,0.16024087795828057
Ne,0.11155206509460697,-0.003138953253558449,0.07123887742096176,0.27780806380806805,0.4434894696314135,0.3152299562396651,0.30125771944418217,0.17365401602862685,0.027615153808231676,-0.0,0.05552759687450714,0.16376532784913148,0.2008916347444253,0.22494397813930234,0.2958154354496136,0.23438246007167912,0.053293098545224606,0.005981869459915475,0.041585091324277054,0.15986657366677207,0.33547292379744725,0.4929909691770946,0.5754410879556179,0.6051333784226429,0.5669757418946526,0.49296855641741705,0.40188182666791167,0.30057599489383896,0.20090571492051076,0.1008099086078478,0.12709300202845736,0.22216394383715193,0.2756197444530215,0.21396707290863465,0.05997417101080538,0.014323396964884097,0.037627589882300284,0.1303161526788386,0.3011423923535988,0.5452934695733493,0.7447680052592657,0.8109809666675923,0.7474454713271761,0.5868200190884283,0.3830520361913376,0.18741553907213032,0.07683994400917032,0.039596981098845054,0.11585314513231869,0.18922253259468522,0.2517622127494649,0.2098645795158786,0.08214237304345061,0.03082685241496199,0.042421537051458,0.15761296939624772,0.25761476263854777,0.17845727493743316,0.1477939571095875,0.10529007006262127,0.07475027675380022,0.0660913060952492,0.09432174585564805,0.11407965272163334,0.12385137826852931,0.1255207695884273,0.13610454712734069,0.15683189405540285,0.15848068176516114,0.15101546055357992,0.28018953296793586,0.5944905734240361,0.851345541666884,0.9968610119235589,0.9677753297036105,0.8120291572758643,0.5768548830640534,0.30945620299759263,0.09572539514204718,0.0871127555996706,0.07831789832746257,0.18541604750384624,0.2505810316681249,0.2198037478776272,0.10247847082597718,0.03351975897450483,0.03681062094699821,0.12286304984360612,0.2875423600184257,0.4210748236802709,0.47564229037174066,0.44229144605968235,0.35678384239303085,0.24698940204909584,0.1878560393754313
