element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-5.0298216496834e-18,-0.35537727901024174,-0.12491291752362066,0.5151544961593535,1.0285286309180994,0.6311085577665916,0.5878147051737258,0.19242670166790213,-0.26008373236131643,-0.3456510023732291,-0.17359548566314859,0.16178603172126285,0.2768242302663406,0.3513518908277508,0.5709515187891706,0.38059763172200584,-0.1805187715101869,-0.3271156080271706,-0.2167970119724683,0.14970565074098235,0.6938326926602028,1.1819129985093055,1.437388966561729,1.5293923852070006,1.4111584620162292,1.1818425708992395,0.8996046799952829,0.5857022808956572,0.2768678217314925,-0.033285213247947094,0.04815436153037428,0.34273780794305253,0.5083739387134482,0.31733928128530986,-0.15981739486601396,-0.301268680222583,-0.2290594994058178,0.058141425597348376,0.5874574184403362,1.343974281992876,1.9620589765625216,2.167223946318299,1.9703552492476881,1.4726473197737417,0.841259540444922,0.23506772475161444,-0.1075577723283626,-0.22295673957935763,0.013327182916750292,0.24066675834729856,0.43444984600487485,0.3046274236638363,-0.09112780002040198,-0.2501322261651752,-0.21421026907032267,0.14272266348224427,0.45258332499649123,0.20730993615381704,0.11229774352527622,-0.019402798751775512,-0.11403236136831944,-0.1408628207280682,-0.05338926165489116,0.007831886889820141,0.038110157135780504,0.04328256895028316,0.07607692376548873,0.14030202479297244,0.14541119513236067,0.12227979949866286,0.5225337111896248,1.4964149213786788,2.292296151204999,2.7431848265976426,2.653061041582623,2.170471870557676,1.441769738391272,0.6132182896554695,-0.04903990417159687,-0.07572669910639347,-0.10297901145232582,0.2288714128608275,0.43078906298434655,0.3354233959740844,-0.028115130982327194,-0.2417877072897416,-0.2315903331595561,0.035047723006796476,0.5453151481074722,0.9590755050712664,1.1281561995707465,1.0248165370010762,0.7598659261259781,0.41966099360694337,0.23643258999029906
He,0.35537727901024174,-5.0298216496834e-18,0.2304643735891272,0.8705318211818698,1.3839059512770793,0.9864858765918442,0.9431920310641763,0.5478040283017794,0.09529348204401149,0.009726241621569407,0.18178171402878127,0.5171633250723864,0.6322014944603164,0.7067291763040368,0.9263287927071941,0.7359748983526229,0.17485851106277014,0.02826147349629947,0.13858021336108972,0.505082770170172,1.049209988408278,1.5372897912282837,1.792766255676829,1.8847696725965088,1.7665357970959463,1.5372199775478812,1.2549820800576024,0.9410796308433784,0.6322451181153321,0.32209206114680733,0.40353183412981813,0.6981150709990953,0.8637511806529033,0.672716554734245,0.19555994544631447,0.0541081808556452,0.12631771201659844,0.4135181602942458,0.9428347628000631,1.6993519866225966,2.3174371641006117,2.522601230802954,2.3257325479019006,1.8280245909815542,1.1966368107083276,0.5904449751306626,0.2478194844926546,0.13241987526176477,0.3687044505894021,0.5960440522448626,0.7898271399019667,0.6600047175614837,0.26424949291078437,0.1052451598569109,0.14116609520392798,0.4980998218990121,0.8079606184592775,0.5626872366876416,0.467675037422617,0.3359743902810113,0.24134494379970128,0.21451449515714782,0.3019880066153393,0.3632091675033828,0.393487466306388,0.3986601782131379,0.43145419316703676,0.4956797319058553,0.5007884927288911,0.47765710570543146,0.8779110005426105,1.8517922016497321,2.647673304968204,3.098562111603076,3.008438316175413,2.52584911452871,1.7971469922761314,0.968595566261055,0.30633736795834027,0.27965055790002064,0.25239915300007243,0.5842494291480682,0.786167172207435,0.690801856309617,0.32726216698007526,0.1135896989350317,0.12378622769553911,0.39042678914222984,0.9006941351281851,1.3144527797921497,1.4835334928701807,1.3801938307363728,1.1152431721125773,0.7750383000778803,0.5918098631039408
Li,0.12491291752362066,-0.2304643735891272,-5.0298216496834e-18,0.640067381983526,1.1534414253475183,0.7560214255407445,0.7127275554503366,0.31733958121884676,-0.13517079416693997,-0.22073808644972795,-0.04868254280353485,0.28669896653403254,0.4017371449931659,0.4762648105764625,0.6958644359513515,0.5055105483537548,-0.05560585311736883,-0.20220269075020908,-0.09188414615925285,0.27461841505788576,0.8187456520526307,1.30682223683852,1.5623018841620275,1.6543053240590389,1.5360715603683013,1.3067556952335184,1.0245177674230541,0.7106153792195774,0.4017808421807602,0.09162770136059527,0.17306748561425175,0.4676507021389708,0.6332868231670276,0.4422521990993441,-0.03490501473335095,-0.1763557637410429,-0.10414664099396624,0.18305439760052253,0.71237033708695,1.4688873317137765,2.0869718183029486,2.292136865052808,2.095268167052721,1.59756023494368,0.9661724668840096,0.3599806191786587,0.017354672417698863,-0.09804378422361633,0.1382400899295719,0.365579691536702,0.5593627791576392,0.42954035687124215,0.033785131926783805,-0.12521904248185006,-0.08929735450254425,0.26763557916446784,0.5774972618355064,0.3322228669432528,0.23721067667485748,0.10551002934746637,0.010880351069975808,-0.015950034226492948,0.07152365602829885,0.1327448234024318,0.1630227514250949,0.16819551081767342,0.20098987294069923,0.26521521184472346,0.2703241388381165,0.2471927227975848,0.6474466446783722,1.621327857737574,2.4172089462769955,2.8680977556080007,2.777973995606208,2.2953847542454437,1.566682635117719,0.738131206446209,0.07587301055304511,0.04918621567985029,0.02193389418752258,0.35378433230314404,0.5557029283922875,0.46033632084895154,0.09679780094952992,-0.11687466241745952,-0.10667741778019983,0.1599624242981591,0.6702297647854488,1.0839884384585914,1.2530691307434239,1.149729465324397,0.8847788147986533,0.5445739417027221,0.36134550933724874
Be,-0.5151544961593535,-0.8705318211818698,-0.640067381983526,-5.0298216496834e-18,0.5133740401969007,0.11595403708929636,0.07266014808650537,-0.3227278017111563,-0.7752382249933449,-0.8608055408134894,-0.688749773252482,-0.3533684123451122,-0.23833023584788668,-0.16380256554890665,0.055797054263466636,-0.1345568509101338,-0.6956732435419882,-0.8422700886491928,-0.7319515353254881,-0.36544880449952405,0.17867997220020088,0.6667580706524807,0.9222345007113129,1.0142379205841243,0.8960039850994592,0.6666881056161393,0.3844502159380066,0.0705478229900907,-0.23828663380274817,-0.5484397187276561,-0.4669999031693838,-0.1724168455689226,-0.006780507720974992,-0.197815519780968,-0.6749718306751331,-0.8164231369094106,-0.7442139811345364,-0.45701288178647015,0.07230242264883428,0.8288201758283134,1.4469053646379961,1.6520694907596492,1.4552007820931119,0.9574928737414518,0.3261050854042441,-0.2800867400013508,-0.6227122882484661,-0.7381112359066505,-0.5018272789069448,-0.274488296532301,-0.08070519694094253,-0.21052780162682666,-0.6062810586240699,-0.765285780975512,-0.7293647879227839,-0.37243179410834576,-0.06257089931998192,-0.3078444932435468,-0.40285670024507925,-0.5345573444403142,-0.6291868299544937,-0.6560172805215999,-0.5685437225456274,-0.5073226813913633,-0.4770442728928535,-0.4718715579213255,-0.4390770771339888,-0.3748523456592464,-0.3697427230054489,-0.3928746822045236,0.007378588246357701,0.9812603917045178,1.777141646325698,2.2280303735208187,2.1379065760748155,1.6553173697456955,0.9266152755217131,0.09806389488389748,-0.5641944399276989,-0.5908812013907595,-0.618132554848128,-0.2862830520979514,-0.08436540876703921,-0.17973107680020325,-0.5432677869691919,-0.7569411213508094,-0.7467448198461626,-0.4801049481122803,0.030161099930220456,0.44392107088412386,0.6130016734592832,0.5096620163150634,0.24471145394629945,-0.09549340420343203,-0.2787218754039605
B,-1.0285286309180994,-1.3839059512770793,-1.1534414253475183,-0.5133740401969007,-5.0298216496834e-18,-0.3974200027750647,-0.44071389397452315,-0.8361019192903508,-1.2886123574010084,-1.3741796674948408,-1.202123867428801,-0.8667424527158916,-0.7517042832115972,-0.6771766095185455,-0.45757698226900057,-0.6479308738929034,-1.209047283957895,-1.3556441291920736,-1.2453255038823894,-0.8788222531196171,-0.3346941741462861,0.1533839912633136,0.40886046700722906,0.5008638841805995,0.3826299507467843,0.15331404861376297,-0.12892384422556982,-0.4428262317724099,-0.7516607109650908,-1.0618137431741907,-0.9803739439476763,-0.6857907061388215,-0.520154583844127,-0.7111892188509477,-1.1883458962477533,-1.3297971758090479,-1.2575880239264499,-0.9703870185974472,-0.44107108758163566,0.31544635782733665,0.9335304374073277,1.1386954644328875,0.9418267274985191,0.44411885739619406,-0.18726893524156474,-0.7934608107375004,-1.1360863645385946,-1.25148526177221,-1.01520129987761,-0.7878616927210678,-0.5940785999425522,-0.7239010202600217,-1.1196550772454834,-1.2786597915162192,-1.242738793803314,-0.8858059418284838,-0.5759445455427368,-0.8212185233737247,-0.9162307356103219,-1.047931400254121,-1.1425608708395385,-1.1693913209465725,-1.0819177411551824,-1.0206965869164597,-0.9904183073933092,-0.9852455983411366,-0.9524511123398834,-0.8882265733821297,-0.8831167598486751,-0.9062486823250698,-0.5059946604216476,0.46788647317492854,1.2637676274044094,1.7146563499901049,1.6245325164904643,1.141943328850881,0.4132412990582979,-0.4153102108951212,-1.0775684909822372,-1.1042552446222753,-1.13150658975136,-0.799656276906832,-0.5977394371255906,-0.6931038412802433,-1.0566418282236159,-1.2703151446038767,-1.2601189090471432,-0.9934791186195783,-0.48321153546344725,-0.06945296596607384,0.09962745670390108,-0.0037119942404777928,-0.26866260484521093,-0.6088674826706797,-0.7920959340904719
C,-0.6311085577665916,-0.9864858765918442,-0.7560214255407445,-0.11595403708929636,0.3974200027750647,-5.0298216496834e-18,-0.04329386330423529,-0.4386818456829941,-0.8911922908799949,-0.9767595988465217,-0.8047037772638976,-0.4693224506796153,-0.35428427051590655,-0.27975660209037084,-0.060156991773937955,-0.2505108707541299,-0.8116272803622623,-0.9582241256345425,-0.8479054756757777,-0.48140225172398643,0.06272587055104807,0.550804018364077,0.8062804668543603,0.898283892326599,0.7800499460105186,0.5507340493307775,0.26849615591398573,-0.04540621380391655,-0.3542406797941856,-0.664393764708367,-0.5829539399529887,-0.28837071051597296,-0.12273479448601521,-0.3137692268253589,-0.7909258673251051,-0.9323771674454248,-0.8601666661218309,-0.5729669411450862,-0.04365161987622797,0.7128661294951953,1.330950473674098,1.5361154652363573,1.339246746497637,0.8415388162730493,0.21015107069480393,-0.3960407947781589,-0.738666334109833,-0.8540652548167992,-0.6177813042185538,-0.3904416888099432,-0.19665922491573837,-0.3264818367966093,-0.7222350956862958,-0.881239818092485,-0.8453188246651291,-0.4883858281186985,-0.1785249341807283,-0.42379853029677195,-0.5188107370240977,-0.650511381092871,-0.7451408672398994,-0.7719713173439763,-0.6844978447846145,-0.6232765836885238,-0.592998309918208,-0.5878258938332858,-0.5550311076157155,-0.49080636893467555,-0.48569676162690734,-0.5088287140255995,-0.10857471045180869,0.8653063449490856,1.6611876008070043,2.1120763501705664,2.021952540994707,1.5393633328069476,0.8106612353035703,-0.017890135250512803,-0.6801484540549125,-0.7068352336182718,-0.7340865919094728,-0.4022371055083062,-0.20031943317745246,-0.29568511196947,-0.6592218240320896,-0.8728951582501855,-0.8626988737844956,-0.5960589862118377,-0.08579295194476806,0.32796703284758644,0.4970474655666389,0.3937079702327078,0.12875677640708302,-0.21144748346102968,-0.39467591216544917
N,-0.5878147051737258,-0.9431920310641763,-0.7127275554503366,-0.07266014808650537,0.44071389397452315,0.04329386330423528,-5.0298216496834e-18,-0.3953879979326084,-0.8478984340307398,-0.933465755297692,-0.7614099290280087,-0.4260285856560628,-0.31099040660223,-0.23646273723723135,-0.016863106188166735,-0.2072170097412259,-0.7683334161392475,-0.9149302585158701,-0.8046116453676205,-0.43810839298467796,0.1060195267104962,0.5940978780519387,0.8495742635545079,0.9415777449476436,0.8233438105555625,0.5940279129739311,0.3117900201890864,-0.002112337991116264,-0.3109468156780035,-0.6210998703509413,-0.5396600757221455,-0.24507699839496536,-0.07944090935987032,-0.2704753592820341,-0.7476320033929441,-0.8890833035281344,-0.8168741668102211,-0.5296730907356538,-0.00035728571040714917,0.7561600013702418,1.3742443242808629,1.5794093282366217,1.382540610741519,0.8848326805158936,0.2534449347079845,-0.35274693342127306,-0.6953724703790686,-0.810771437593621,-0.574487452220871,-0.3471484532544357,-0.1533653426305725,-0.2831879543785326,-0.6789412319343598,-0.8379459425058031,-0.8020249602143621,-0.44509196450128474,-0.13523105566911878,-0.38050466661140075,-0.4755168731345871,-0.6072175171706485,-0.7018470025013112,-0.7286774531288442,-0.6412039015341601,-0.5799828304377204,-0.5497044440291604,-0.5445320084264822,-0.5117372440402258,-0.44751216771999835,-0.4424028986464248,-0.46553485526411226,-0.06528084734818124,0.9086002007192931,1.704481454116154,2.1553702137621054,2.0652464020843664,1.582657197047159,0.8539550995450779,0.025402766289814152,-0.6368545566641367,-0.6635413693523186,-0.690792728154917,-0.35894320492856185,-0.1570255508722931,-0.25239122954441257,-0.6159279602820614,-0.8296012949983296,-0.8194050095092696,-0.5527651226919861,-0.04249907388804864,0.37126089144006624,0.5403413465040954,0.4370018376550503,0.1720506570690065,-0.16815361969171946,-0.351382050544261
O,-0.19242670166790213,-0.5478040283017794,-0.31733958121884676,0.3227278017111563,0.8361019192903508,0.4386818456829941,0.3953879979326084,-5.0298216496834e-18,-0.4525104375322277,-0.5380777545940164,-0.366022031010292,-0.03064063536080377,0.08439756387979525,0.15892523367922548,0.3785248723726199,0.18817096790774004,-0.37294543000726715,-0.5195422835960848,-0.4092236958405961,-0.042721001555978036,0.5014059935935548,0.9894858756819511,1.244962305847814,1.3369657198340712,1.218731786239743,0.9894158946042584,0.707178013732176,0.3932756130857266,0.08444116069734893,-0.22571189735434147,-0.14427211779951496,0.15031111116583437,0.3159472438943927,0.12491259814384069,-0.35224404442155355,-0.49369534074919436,-0.4214862036595902,-0.13428522493502315,0.3950307643295936,1.1515480013196686,1.769632263983044,1.9747972880284064,1.7779285831739577,1.280220677022412,0.6488329042933465,0.042641080782871,-0.2999844661401398,-0.4153834214179261,-0.17910005532122805,0.048239536601838696,0.24202264992506692,0.11220003042447672,-0.28355442367027195,-0.4425579682602755,-0.40663692596856993,-0.04970565125034923,0.2601567102315478,0.014883168343658255,-0.08012916811810844,-0.211829553477256,-0.3064590187163358,-0.33328947184841057,-0.24581592722820533,-0.18459484678299798,-0.15431681844504921,-0.14914402586436498,-0.11634968758590776,-0.05212460896373682,-0.047015413989374207,-0.07014715885963638,0.3301071240829174,1.3039881954810841,2.0998695042561315,2.5507581792840726,2.4606343771503947,1.9780451713005287,1.24934310275035,0.42079169554532164,-0.24146661613784776,-0.26815338280603435,-0.2954047312958813,0.03644503097460272,0.23836244148719515,0.14299675079172167,-0.22054174957279177,-0.43421332163362625,-0.42401699698846007,-0.15737714845299927,0.35289030452038184,0.7666487739254318,0.9357294910606221,0.8323898377659508,0.5674392558314864,0.22723435895387115,0.044005961664746886
F,0.26008373236131643,-0.09529348204401149,0.13517079416693997,0.7752382249933449,1.2886123574010084,0.8911922908799949,0.8478984340307398,0.4525104375322277,-5.0298216496834e-18,-0.08556726929627806,0.08648843848897173,0.42186975965192125,0.5369079447938616,0.6114356200036141,0.8310352451527102,0.6406813491537201,0.07956495424744926,-0.06703204372033567,0.04328663256036732,0.40978925738270067,0.9539177141857963,1.4419962461266007,1.6974726928625292,1.7894761216425847,1.6712422243905483,1.4419263910511275,1.1596884888056058,0.8457860685230276,0.536951548667458,0.2267984935159237,0.3082383044599356,0.602821534467885,0.7684576676242647,0.5774230210303944,0.10026633139548964,-0.04118534723975837,0.03102410492241085,0.3182252228194414,0.8475411427003408,1.604058421970167,2.222142688214629,2.427307678675148,2.2304389718746687,1.7327310461113663,1.1013432614365797,0.49515142622324176,0.15252594818986737,0.03712635705678785,0.27341088293430726,0.5007504845617459,0.6945335721948045,0.5647111498883782,0.16895598063321682,0.009951632547032562,0.04587354801129552,0.40280627021560994,0.7126671023934152,0.46739366215177114,0.372381469716749,0.24068083383438196,0.14605136488533418,0.11922090550497601,0.20669443650041172,0.2679156396643075,0.2981935311019911,0.30336662254677554,0.3361607151895575,0.4003857016079314,0.4054949709122614,0.3823632357073358,0.7826173724153672,1.7564985941677946,2.5523798397031072,3.003268551716572,2.913144766249032,2.4305555938515355,1.7018534626466184,0.8733020134412982,0.2110438157421791,0.18435700523568518,0.15710558609927958,0.488955167087555,0.690872815409791,0.59550841846893,0.2319686558763757,0.01829617089793489,0.028492653499638927,0.2951315055252588,0.8054005848553114,1.2191592470288346,1.3882399247546464,1.2849002628674722,1.0199496488266473,0.6797447167774902,0.49651631317154055
Ne,0.3456510023732291,-0.009726241621569418,0.22073808644972795,0.8608055408134894,1.3741796674948408,0.9767595988465217,0.933465755297692,0.5380777545940164,0.08556726929627806,-5.0298216496834e-18,0.17205570782371718,0.5074370400675748,0.6224752079570803,0.6970028878957127,0.916602500311538,0.7262486104024256,0.16513197596216195,0.018535194065049644,0.12885398838495865,0.49535650807566195,1.0394836911474759,1.527563138454625,1.7830399525989304,1.8750433588467676,1.756809552032815,1.5274936911266717,1.2452558014550257,0.9313533894354489,0.6225188362572234,0.312365763286446,0.3938055607352708,0.6883887789381127,0.8540248973718545,0.6629902652453082,0.18583369396888508,0.044381935144840345,0.1165914243602349,0.4037926932205309,0.9331084071443689,1.6896256845245647,2.307709923030561,2.5128748965474386,2.316006217943691,1.8182982774775978,1.186910526114889,0.5807186884945689,0.23809333916451692,0.1226937053667444,0.35897816601705496,0.5863177701594696,0.7801008535588448,0.6502784346554125,0.2545232448696019,0.095518916912981,0.1314457674236138,0.4883735752684683,0.7982353429014236,0.5529609506610635,0.4579487558236579,0.3262478218240715,0.2316183753811695,0.2047880169731006,0.2922617880085655,0.35348288962808977,0.38376118817268545,0.38893390086596047,0.4217283929456731,0.4859533648110189,0.49106223593855275,0.46793078433761165,0.868184670922207,1.8420659665169048,2.6379470392912046,3.0888357620806417,2.9987119691637822,2.5161227802519686,1.7874206845554987,0.9588692658088906,0.29661108250538054,0.269924283938478,0.24267287241785743,0.574523139678614,0.7764408906132624,0.6810755651619705,0.31753590695639405,0.10386305514846782,0.11405999537095118,0.3806987911613981,0.890967862234025,1.304726494805633,1.473807179621984,1.3704675170466671,1.1055168960712087,0.7653120031568275,0.582083606044527
