element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-2692.308234972542,-1100.582494878516,2860.928975060881,8072.093804032847,6704.799788904114,7254.542024156056,3094.583795207452,-1441.6273451561326,-2661.0081453142266,-1525.501168256798,282.8846505519853,2051.9308254639272,4313.897906492142,2363.500459188007,4371.894608339324,-920.4615057956252,-2393.8487672727383,-1819.0187941548797,-230.77923908269602,3414.0789753070585,6390.655936423762,8687.446427632283,9759.272447644478,9088.131423182896,7428.360706983201,5541.58149966729,3623.1786332927118,1532.2638961005086,-553.6222651017215,275.7316556024282,2199.6495765888685,4310.304015001312,3381.789059729315,-740.2414467913911,-2135.719389824248,-1821.2843978300082,-736.2988261272423,2860.129134015902,6778.850648954124,11129.381576934575,12986.410211007911,12172.1197502643,9439.757497584413,5585.8321205334505,1594.687514214086,-874.3163269417337,-1543.9453657089234,-485.55117957832124,1774.7198050252812,3326.7306985366235,3027.7272929353812,0.2541455035140472,-1596.0358123025217,-1939.0532747344573,-755.6105117597732,1672.2282576880316,2429.5192199892685,277.8215732349815,-164.04448684625686,81.29462022591883,874.5142760513124,2825.142328957108,-2342.73950422208,-484.870877786189,-245.8167348798101,-254.6571331625773,-540.349184494891,-827.8986409547942,-636.9461411426514,3165.294245937259,7759.943276191285,13204.446089072722,15992.966051670557,16805.156300446433,13826.043037830907,9382.554998805383,3969.7720378723466,1104.9491783257008,1816.2346405149096,-624.7793157935296,1384.9813794139602,3192.837867240186,3206.3943592672467,696.1270023026981,-1069.3909305957718,-1483.8996479965601,-695.1852981759773,1516.0833284635573,5417.273186935825,5456.23089126763,341.5083628349421,7166.141490163854,4401.947301035476,487.71234934475444
He,2692.308234972542,-0.0,1591.7275104410455,5553.243904849159,10764.40373075689,9397.10799932848,9946.83701652272,5786.899689178373,1250.682512375151,31.308289954507096,1166.7977237661569,2975.1944360064936,4744.23979480392,7006.208395245427,5055.8102169182675,7064.204584845295,1771.846822397944,298.4610626574108,873.2910786386856,2461.5299860045675,6106.388333211476,9082.995751530772,11379.756606546021,12451.58227402326,11780.441233494983,10120.670307331337,8233.89108067978,6315.488223164942,4224.573533488397,2138.6882151526956,2968.0406193717336,4891.959586957702,7002.612205492249,6074.09884112287,1952.0687036381344,556.5903551763239,871.0218497597585,1956.0109313102757,5552.43882525109,9471.203933687713,13821.690082440791,15678.720021383477,14864.428903101667,12132.06716506156,8278.142055956698,4286.997173640824,1817.9928730473039,1148.3644932377856,2206.7594518536202,4467.029547329693,6019.040424388416,5720.037026990174,2692.563858509849,1096.2738534193845,753.2588239204912,1936.699274299109,4364.536498457796,5121.828952152027,2969.9111351978063,2528.0764383301016,2773.60493524262,3566.8235083247027,5517.451991285155,349.57084065573355,2207.445250917212,2446.4931929542304,2437.6564102064576,2151.960676095485,1864.4111476730188,2055.38094035892,5857.603939971058,10452.252916427396,15896.753340358444,18685.275621192395,19497.46697401111,16518.352697748232,12074.865656230397,6662.081237729135,3797.258994677955,4508.540737847226,2067.530480537039,4077.291131509521,5885.147603211131,5898.70410403104,3388.4367605396224,1622.9191388867291,1208.4101950286463,1997.1024333084229,4208.393219758874,8109.582880576138,8148.540593447919,3033.4946587222125,9858.451191291237,7094.257009947378,3179.8138749208924
Li,1100.582494878516,-1591.7275104410455,-0.0,3961.5154440921524,9172.677701159533,7805.3780816786775,8355.124324517703,4195.168076578019,-341.04499504719666,-1560.4256666847846,-424.9249739045064,1383.466963272801,3152.5120803589957,5414.480796765874,3464.0826804342337,5472.477761320122,180.11958763743664,-1293.2666380923763,-718.4414738296958,869.802522921129,4514.6610299811355,7491.238628753554,9788.02925817467,10859.855126388651,10188.713804149598,8528.943043960993,6642.163807825858,4723.760853268905,2632.845987916083,546.9608147509335,1376.313836078976,3300.2322159064756,5410.885226008191,4482.371397661878,360.51630135316526,-1035.1370901435625,-720.7035504407779,364.28539837805505,3960.7114086931015,7879.432993629204,12229.962898719985,14086.99397860285,13272.701889308975,10540.3398638994,6686.414381600712,2695.2704084613756,226.26530169240297,-443.3630561816552,615.0315941531901,2875.302114552549,4427.313008063891,4128.309602462648,1100.8363254976225,-495.4544848361121,-838.4684839408919,344.9721264102834,2772.81054686593,3530.101526778267,1378.1837391787888,936.3489809702648,1181.8775490244905,1975.0965605567087,3925.7245595598683,-1242.1566812387416,615.7113376605157,854.7655495717677,845.9251875897244,560.2331393369509,272.68366857247344,463.6360901990629,4265.876391599925,8860.525545501245,14305.026234743727,17093.548526497234,17905.740910491877,14926.625276058736,10483.138219875827,5070.353833979287,2205.5314944307256,2916.814324997564,475.80298984122965,2485.563688941228,4293.420176767453,4306.976668794513,1796.709186216935,31.189998651512838,-383.3120137014667,405.3982842068136,2616.6657782444076,6517.855490528243,6556.813203401677,1442.0875151012528,8266.723776441013,5502.529610439084,1588.086401969319
Be,-2860.928975060881,-5553.243904849159,-3961.5154440921524,-0.0,5211.165884493804,3843.867024540967,4393.613071252836,233.65480271501238,-4302.556190129879,-5521.935274313406,-4386.44105921091,-2578.044321538092,-808.9980736489116,1452.9689386643647,-497.42847617304864,1510.966447361093,-3781.390930816853,-5254.777772146145,-4679.953672058213,-3091.7084695592007,553.1499800835085,3529.728025953751,5826.517546032486,6898.3439514241345,6227.202301183684,4567.431694088367,2680.6524041422067,762.2496371564662,-1328.6652557404695,-3414.5506062011923,-2585.197590111273,-661.2778337241173,1449.3749689897775,520.8600081883922,-3601.1709547681517,-4996.64838863154,-4682.214814584738,-3597.228002045372,-0.8000930693554212,3917.960182180603,8268.45341716492,10125.481423295223,9311.190676342972,6578.82834150752,2724.903098185012,-1266.241242768037,-3735.2472399663643,-4404.874741520022,-3346.480046455411,-1086.2091916767047,465.80169787649453,166.79857216046494,-2860.6749807316314,-4456.964915345926,-4799.981989091445,-3616.539584037528,-1188.7007615791856,-431.409776712718,-2583.3274449904707,-3025.162307345466,-2779.633632482381,-1986.4146086441233,-35.787309682485265,-5203.667762403638,-3345.799781615933,-3106.7456092823286,-3115.5818814967156,-3401.278184303388,-3688.8276003364813,-3497.8751623680164,304.36584236783546,4899.013309767117,10343.517098724942,13132.037172179578,13944.227904168587,10965.114521264379,6521.626532929457,1108.842751520722,-1755.9826909000792,-1044.6955061394863,-3485.7087528557227,-1475.9476172880245,331.90893844022366,345.46546909222786,-2164.80212001232,-3930.319922351761,-4344.829386519919,-3556.1364429917858,-1344.8455412861138,2556.3441855329734,2595.3018865056815,-2519.7440590223114,4305.212701381232,1541.0184962438966,-2373.4248780688426
B,-8072.093804032847,-10764.40373075689,-9172.677701159533,-5211.165884493804,-0.0,-1367.2979229330983,-817.5529075540626,-4977.5092313746545,-9513.71827843987,-10733.100203419883,-9597.605591695878,-7789.209143814763,-6020.162939879341,-3758.194961296599,-5708.593235662275,-3700.198208639519,-8992.555519380541,-10465.942716733602,-9891.11247231918,-8302.873178542814,-4658.014776919217,-1681.4367407329441,615.353337571578,1687.1783786361611,1016.0377802751968,-643.7329436336933,-2530.5124434904815,-4448.915069894873,-6539.829968354439,-8625.715367541947,-7796.362224100948,-5872.4427264987,-3761.7897610214536,-4690.304654351427,-8812.335685028736,-10207.813252857115,-9893.381355899672,-8808.3922870811,-5211.964612756212,-1293.1969971002816,3057.2886915437357,4914.318268767154,4100.023781649326,1367.6625074624428,-2486.262864890958,-6477.40565466687,-8946.410464057759,-9616.039903163897,-8557.644904808614,-6297.374326802101,-4745.363004663011,-5044.367022052727,-8071.840714268813,-9668.12966930923,-10011.147044757716,-8827.704152830323,-6399.8655242166515,-5642.574493392179,-7794.495115070146,-8236.32870165306,-7990.800009886844,-7197.580745885789,-5246.952218118797,-10414.83278415907,-8556.964569723232,-8317.910282584446,-8326.747833939586,-8612.442705188936,-8899.992521032553,-8709.027004076052,-4906.799503264674,-312.15057475777496,5132.352324227601,7920.874578831587,8733.062380194977,5753.947029760511,1310.6380653669053,-4102.324103650859,-6967.144537290402,-6255.858894130249,-8696.873477922089,-6687.112887296116,-4879.255894542554,-4865.69940251549,-7375.966885093072,-9141.484678001203,-9555.994280994593,-8767.301081898475,-6556.010283792598,-2654.8205742397095,-2615.862878575072,-7730.912722149076,-905.9532867444798,-3670.1462549250796,-7584.589702409635
C,-6704.799788904114,-9397.10799932848,-7805.3780816786775,-3843.867024540967,1367.2979229330983,-0.0,549.7460463880975,-3610.2120274489234,-8146.418304253299,-9365.803638868987,-8230.30901704371,-6421.911188373364,-4652.864854977187,-2390.897010532987,-4341.29529486727,-2332.90025640949,-7625.257528030941,-9098.644776420702,-8523.823616835443,-6935.575417350635,-3290.716821722486,-314.1388654519624,1982.6511433985877,3054.4762936816796,2383.3356847065857,723.564982023953,-1163.2146690467011,-3081.6170377505337,-5172.531933270657,-7258.417408857895,-6429.064268168117,-4505.144614302413,-2394.4918412399456,-3323.0067154336925,-7445.037736215423,-8840.515298567865,-8526.082825195468,-7441.0946722527715,-3844.667768643734,74.10392599702972,4424.586601385858,6281.616291084037,5467.321919650619,2734.960099803588,-1118.9651246924393,-5110.109834105136,-7579.112508124921,-8248.741521575821,-7190.346891273633,-4930.076398452857,-3378.0651083950866,-3677.0685139963284,-6704.542758106432,-8300.831717564932,-8643.849118627117,-7460.406150639533,-5032.57518958317,-4275.27653837856,-6427.197176811715,-6869.030845497706,-6623.5021775485575,-5830.283052428989,-3879.654389502102,-9047.534875991785,-7189.666621279204,-6950.612436630994,-6959.452845471286,-7245.14489397631,-7532.694453189697,-7341.726087749838,-3539.5013036391983,1055.1461830426344,6499.650284678365,9288.1726340212,10100.360230031203,7121.244596533121,2677.7606321211347,-2735.026237356949,-5599.847090677515,-4888.560980582269,-7329.575521743098,-5319.814931133733,-3511.957939691529,-3498.401447664464,-6008.668930242045,-7774.186814862725,-8188.6963257530815,-7400.003126656959,-5188.712513411046,-1287.5226167541477,-1248.564923724044,-6363.610857437756,461.34457216055915,-2302.8483691000715,-6217.291742223766
N,-7254.542024156056,-9946.83701652272,-8355.124324517703,-4393.613071252836,817.5529075540626,-549.7460463880975,-0.0,-4159.955589045938,-8696.16539068902,-9915.547292313018,-8780.054014014004,-6971.657381288215,-5202.611045618409,-2940.6431969241985,-4891.041472889383,-2882.6464442671186,-8175.003653018237,-9648.39096305729,-9073.560669333121,-7485.3213270763945,-3840.463029433975,-863.8849776133895,1432.9049426141917,2504.730158594344,1833.5895200146372,173.81859627879976,-1712.9607484283613,-3631.363307478781,-5722.278168084743,-7808.163604747257,-6978.810461328052,-5054.890965040671,-2944.2379966490525,-3872.752889979028,-7994.783952756366,-9390.261487490405,-9075.82889588849,-7990.840963311178,-4394.4128500867555,-475.6499079184141,3874.840457203997,5731.86987914243,4917.575557570326,2185.214037336033,-1668.7110797852959,-5659.855917231708,-8128.85870128486,-8798.48814293291,-7740.093142282067,-5479.822592631499,-3927.8112974241926,-4226.814703025433,-7254.288952285071,-8850.577905251936,-9193.595200069754,-8010.152397618418,-5582.313712359122,-4825.022729019781,-6976.943355879238,-7418.776917076917,-7173.248250231645,-6380.028671697569,-4429.4004536651355,-9597.28103332021,-7739.412804818713,-7500.358558753327,-7509.199039340565,-7794.891183262951,-8082.44075820636,-7891.47444697338,-4089.247740305969,505.40114379836837,5949.904089625584,8738.426439928273,9550.614206333046,6571.498814064862,2128.0144583548317,-3284.7723185451946,-6149.5938103204235,-5438.307152250296,-7879.321716464055,-5869.561125312377,-4061.7041287206353,-4048.1476366935667,-6558.4151192711515,-8323.93300217651,-8738.442516321238,-7949.74931722511,-5738.458519879736,-1837.2688132685043,-1798.3111127531492,-6913.357023734953,-88.40160838966214,-2852.5945056345204,-6767.0379260550835
O,-3094.583795207452,-5786.899689178373,-4195.168076578019,-233.65480271501238,4977.5092313746545,3610.2120274489234,4159.955589045938,-0.0,-4536.2097679618155,-5755.580077998253,-4620.100511077843,-2811.6991222403267,-1042.6528521159976,1219.314895454265,-731.0833207655306,1277.3117739121647,-4015.0454271825765,-5488.432555203634,-4913.610322201159,-3325.363203445668,319.49516771862,3296.0725886364817,5592.862607686252,6664.688718021793,5993.547706718893,4333.7769794653,2446.997810551033,528.5949881276716,-1562.3198482554672,-3648.2053342885392,-2818.8522081751357,-894.9326121912036,1215.7199995190986,287.2050714979742,-3834.8257123934536,-5230.303168222205,-4915.8696960303805,-3830.882770136408,-234.45401185403003,3684.2669484890944,8034.798646332508,9891.826424073955,9077.53407913632,6345.1738381599735,2491.2486278853617,-1499.897485392105,-3968.9007965648125,-4638.529493087575,-3580.134874743575,-1319.8639701437894,232.17066539356455,-66.85705214370077,-3094.3297591987184,-4690.619691903301,-5033.636803583229,-3850.194183551009,-1422.3555352416115,-665.064555179804,-2816.9850360968703,-3258.817087010391,-3013.2889233169444,-2220.0694459582223,-269.3144530841954,-5437.322846076791,-3579.454562635012,-3340.400367102098,-3349.2408355798134,-3634.918353286719,-3922.4823729455275,-3731.5325070540557,70.71081229879405,4665.356167742428,10109.862325207065,12898.38217456213,13710.573011597462,10731.46003922516,6287.97222224973,875.1876404407728,-1989.6350869073322,-1278.3490676196539,-3719.363510481028,-1709.6023957551138,98.24801179105023,111.80976319557038,-2398.4568984794073,-4163.974785189277,-4578.484395370527,-3789.7912214588728,-1578.50031635132,2322.6894063289988,2361.6471080385945,-2753.3988468047946,4071.5565459823865,1307.3636151279109,-2607.0796650126026
F,1441.6273451561326,-1250.682512375151,341.04499504719666,4302.556190129879,9513.71827843987,8146.418304253299,8696.16539068902,4536.2097679618155,-0.0,-1219.3816937664003,-83.88902225036112,1724.5119724621584,3493.5582312270676,5755.5254318689185,3805.1278859187423,5813.5220489926,521.1658181556262,-952.2214431703264,-377.3915192606589,1210.8477154052198,4855.706303001928,7832.2832086181825,10129.07372451468,11200.900074505724,10529.758838427424,8869.988124688654,6983.208826807792,5064.8060111196455,2973.891050256699,888.0051076285924,1717.358971153201,3641.278485749967,5751.9313172835455,4823.416374216912,701.3857668589322,-694.0920921915803,-379.6638432978135,705.3289689098067,4301.756425852097,8220.478058729848,12571.009711514856,14428.037598649473,13613.746819632106,10881.384785273845,7027.459437576232,3036.3150934483224,567.4363998866908,-102.3181948106093,956.076587361547,3216.3471077609065,4768.3580012722505,4469.354595671004,1441.8813187059784,-154.37340761208475,-497.42518190869765,686.0168219848774,3113.8555444416374,3871.146555971276,1719.2287163274748,1277.3939754278822,1522.9225001168825,2316.14156414088,4266.7696397601685,-901.1116994839549,956.7564795560971,1195.8105967398697,1186.9720170180763,901.2780771546231,613.7286617808297,804.6810821610358,4606.921582193027,9201.570563628404,14646.073478633496,17434.593137395044,18246.78420330738,15267.670707604477,10824.183753220912,5411.398866506777,2546.5735433175273,3257.861914185141,816.8479869420948,2826.608682149585,4634.465169975809,4648.021662002873,2137.754179425291,372.2363134455133,-42.271670536113696,746.4192814517168,2957.710758810291,6858.900485629377,6897.858193857406,1782.8122111252899,8607.768902160726,5843.574589083756,1929.131368252423
Ne,2661.0081453142266,-31.308289954507096,1560.4256666847846,5521.935274313406,10733.100203419883,9365.803638868987,9915.547292313018,5755.580077998253,1219.3816937664003,-0.0,1135.4960050465836,2943.892632331474,4712.9379293488655,6974.906611530371,5024.508431805046,7032.902825852107,1740.5452284898872,267.15935078863737,841.9893780882293,2430.2285159543085,6075.089503872289,9051.66327569044,11348.45484108193,12420.280513244847,11749.139266402883,10089.368740398455,8202.589455403144,6284.186649802716,4193.27177173104,2107.3864268228867,2936.7389865372206,4860.657847772603,6971.31051999233,6042.797055104967,1920.7662581254285,525.2886584256711,839.7179483760076,1924.7093258764728,5521.137046591137,9439.85862201436,13790.388410102367,15647.4183151295,14833.127394381174,12100.76538203977,8246.840326109863,4255.696029521103,1786.6917454705201,1117.0627814483923,2175.4574682634675,4435.727763709131,5987.738640767852,5688.735243369613,2661.2620743586303,1064.9721705395843,721.9571623083142,1905.3974989441385,4333.236184780226,5090.527168532143,2938.609352419431,2496.7746535324513,2742.3031579747876,3535.5221670659016,5486.150208756541,318.26912413132635,2176.1372507786964,2415.1914765688352,2406.352654102886,2120.658775720086,1833.1093623226977,2024.0806612602953,5826.302183386629,10420.945023412647,15865.451639287689,18653.97391968112,19466.165209826064,16487.051099287735,12043.563873788424,6630.779487604048,3765.9568026447614,4477.239050992834,2036.2286963858191,4045.989347888959,5853.845819590567,5867.402320410473,3357.134976388404,1591.617424760946,1177.108386379641,1965.8006479581034,4177.091422986724,8078.2810931188815,8117.238799740301,3002.1927650282796,9827.149362140184,7062.955226715098,3148.512087889795
