element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-7.898525544105298,-7.004503056655032,7.959251143267888,8.996292058803894,8.810728071063656,8.88952087295573,8.037731792600153,-7.27422127535653,-7.886836058797944,-7.3307335774919,5.64856799562766,7.627023722083963,8.369828943096753,7.768322056284803,8.383180450582667,-6.8259610028196835,-7.781075362662438,-7.506602106476248,-5.445785362971768,8.135955897742484,8.762748658779564,9.069749425249565,9.186075593735202,9.114834629600864,8.913195091881194,8.620215645878034,8.195382957695509,7.335154007631831,-6.318287278610462,5.623048284305716,7.696507857850985,8.36899569302181,8.126455813815488,-6.608326411346733,-7.667026936366938,-7.507846156654341,-6.6029932728707,7.958971628003517,8.821710352513959,9.31743372732384,9.47173572189045,9.406985500727865,9.152791499308398,8.6281677007767,7.3750599657408396,-6.774585337531106,-7.342743826705899,-6.187342095637315,7.481961143664804,8.110045878756036,8.015897774929005,0.22645446698999838,-7.375904572699037,-7.57047071288365,-6.628848605520039,7.422510127835687,7.795860184287721,5.630572054784389,-5.1062150548104235,4.410305737696135,6.7748114577623655,7.946667926079963,-7.759503011510114,-6.185942905032849,-5.508646097187071,-5.543837223200423,-6.294064513327198,-6.720097881019341,-6.458253861509661,8.060317175458202,8.956859162000123,9.488384605991213,9.67996680832303,9.729500544721391,9.534381593977315,9.146713967939213,8.286715822752711,7.008459230145585,7.505071196280552,-6.438997778265287,7.234163744893339,8.068978565820975,8.073214160411082,6.546967606934674,-6.975779216426794,-7.303102471846671,-6.545615857912162,7.324544907611574,8.597532443473524,8.604696777316917,5.836296074440516,8.877262177694384,8.390029436807332,6.191774073743521
He,7.898525544105298,0.0,7.373203240941516,8.622317582071599,9.284092913113495,9.148263671332046,9.205110421246937,8.663524756775066,7.132243935137197,3.4753238522366665,7.062874966683432,7.998400728498367,8.464897246079845,8.854694668936617,8.528491171587598,8.862937252214625,7.480341907755372,5.701984401282088,6.7734133621300785,7.808944550029796,8.71725451941362,9.114269435538283,9.339679191106983,9.42968329195418,9.374280795519478,9.222433979353736,9.016135416134444,8.750918671812554,8.348910278149624,7.668415403547636,7.995994155832765,8.495552631896278,8.854181324296125,8.711953538220074,7.577157108772079,6.32362456226717,6.770814480659,7.579173553129212,8.622172623015953,9.156116887053305,9.534066729786248,9.660123437965867,9.606793588235035,9.403689827770629,9.021494625580402,8.36357504361815,7.506038260449591,7.046964454033746,7.6997334575552925,8.404702773266978,8.702849253295009,8.651905366366126,7.898620450215213,7.000584067606949,6.625735576904105,7.5692566071898275,8.381496369875126,8.541462095162405,7.996623964277409,7.835609470938436,7.928263650367245,8.179711027320826,8.615852663580126,5.859562799193002,7.700044040562767,7.802819593176785,7.799202515068271,7.674599232495046,7.531236762297754,7.628702891688154,8.675666618688654,9.254668492822836,9.673933078876104,9.835544609388204,9.878091124744003,9.712287863362276,9.39896416590814,8.804337304853382,8.242298081432164,8.413950595348577,7.634593721367972,8.313433339343808,8.680357005477148,8.682657476777019,8.128419039237054,7.392597728156089,7.097888077627169,7.599953225816478,8.345073787965635,9.000925016361098,9.005716835744026,8.017800185090545,9.19618578593515,8.86718181303213,8.064892378538032
Li,7.004503056655032,-7.373203240941516,0.0,8.284634315740629,9.124093542771892,8.962696381320221,9.030750001038452,8.34192702509575,-5.834942292874247,-7.353354571801875,-6.05426321316379,7.233070480479299,8.05627205687455,8.597016945293301,8.150491772936501,8.607669481563876,5.199157518275459,-7.16569951109237,-6.578475180183189,6.769415226601406,8.415306862660826,8.921622914198434,9.189017574139859,9.292920331307789,9.2291340398704,9.051337963319352,8.801343606073528,8.460572225582176,7.876200409794989,6.306203778462391,7.227890385671837,8.102051076518142,8.596352781750241,8.408130586510639,5.890307134228508,-6.943254740458464,-6.581614459618264,5.900678961412028,8.284431384800678,8.972138129772418,9.411725958102007,9.553078222762752,9.49354005521268,9.263059935828148,8.807982588371011,7.899624766876899,5.426118064970735,-6.09664192240536,6.4232982514279975,7.964260760108524,8.395773979691535,8.325865505507272,7.004733453725151,-6.20749180725109,-6.732768934348802,5.846358212304781,7.927977302531659,8.169365148496695,7.229247109801344,6.843055657903617,7.075705349765938,7.588878743792372,8.275560911949972,-7.125409134442865,6.424401066230136,6.751996447939651,6.741612364410704,6.3301363973347495,5.611972945185155,6.141254497472317,8.3586373143128,9.089474212242408,9.568436142494672,9.746514892043304,9.79293250811601,9.610968820685965,9.257618748243821,8.531363089337773,7.699177102086425,7.978590096145781,6.167103386371642,7.818656991718268,8.365071825716605,8.368223622475753,7.4942684590225905,3.471655803419223,-5.95145475834022,6.007333674323307,7.870038275311982,8.782454101249515,8.788412473223637,7.27454020496067,9.020114511491883,8.613144912741348,7.370914540117804
Be,-7.959251143267888,-8.622317582071599,-8.284634315740629,0.0,8.558750765154564,8.254494297347158,8.388134767848411,5.458115509599741,-8.36719698084869,-8.61666475053384,-8.386501433885805,-7.8551741912854744,-6.697031869452436,7.282052295186025,-6.21146010101976,7.321166365594508,-8.23811161003642,-8.567083278476476,-8.451257144232981,-8.036802513331448,6.317435372281047,8.169259368309826,8.670346381807565,8.83918160656126,8.73684301495423,8.426925250830429,7.894188452214289,6.6375851562221015,-7.192682502124026,-8.136093990692556,-7.857943964035191,-6.495685156297474,7.279577401286878,6.257399368367859,-8.189291985677999,-8.516722758506333,-8.451740079279205,-8.188196781609292,-0.5878383687629075,8.27358163794914,9.020323693592305,9.22290919468385,9.139079646172982,8.791763936062278,7.910555064370445,-7.144597566906832,-8.225836974880274,-8.39069409788873,-8.115963116817289,-6.991369317249967,6.14590453767334,5.122764284822081,-7.9591623899818895,-8.40244764387131,-8.47657575703285,-8.193549400819656,-7.081457093626165,-6.069373695853379,-7.857220577071717,-8.015050530499238,-7.93043410606702,-7.594589881401284,-3.605152940117334,-8.557311148541816,-8.115759879169838,-8.041652857842358,-8.044492129446748,-8.132200540425039,-8.213335015167102,-8.160196813642617,5.72151054097544,8.496993200374032,9.244211909411518,9.482886256021997,9.542892643002162,9.302565299212798,8.783032416275297,7.011973618974257,-7.471353236630363,-6.952437499129005,-8.15671351948667,-7.297732816288394,5.807868994446483,5.847783157364452,-7.680546066052568,-8.276730506580373,-8.37697190245717,-8.17671113022086,-7.204777749746328,7.846724571447021,7.861843360163729,-7.832309398441156,8.36781407321647,7.340847549021437,-7.7725105305415045
B,-8.996292058803894,-9.284092913113495,-9.124093542771892,-8.558750765154564,0.0,-7.221322854393747,-6.707538034372794,-8.512885774074618,-9.160595171140566,-9.28118088783573,-9.169373116040987,-8.960622986234151,-8.703035699028083,-8.231960107421832,-8.649903062925574,-8.216411886380248,-9.10426354642751,-9.255977257090658,-9.19949299860489,-9.02447733295557,-8.446559283505096,-7.427998462436381,6.423820399041808,7.43140534412023,6.924649544105068,-6.468836190179186,-7.8365722068592625,-8.400640289561274,-8.785819342875513,-9.06261910531819,-8.961540779085835,-8.678196236045665,-8.232915918987858,-8.453466000656118,-9.084021272131297,-9.231006670598642,-9.199722335202889,-9.083573736651013,-8.558903996476547,-7.165645702345618,8.025610787377687,8.500111785066093,8.318991924363132,7.221589270033119,-7.818938133791386,-8.77622971812681,-9.099119435779022,-9.171291793935849,-9.054697151091135,-8.74804683571596,-8.465133920514726,-8.526225679805155,-8.996260708526364,-9.176693581222999,-9.211554339295363,-9.085763527769576,-8.76418849836276,-8.638272919165422,-8.961301296481832,-9.016431383651062,-8.986171296227356,-8.881639166946742,-8.565593225803283,-9.251082310571318,-9.054617656949874,-9.026286549586287,-9.027348330530371,-9.061079367118662,-9.093918068719566,-9.072230170194906,-8.498580953990809,-5.74668414437697,8.543514199251625,8.977383146048403,9.07498587624521,8.657815116901723,7.1790320666345275,-8.319552681194503,-8.849104261326735,-8.741433564062794,-9.070833846940278,-8.808087033703444,-8.49295293487866,-8.490171245549973,-8.906117841934694,-9.120687474113048,-9.165028550855892,-9.07889834731841,-8.788290028630941,-7.884508953434763,-7.86973150473978,-8.953111552389329,-6.8100909457507495,-8.208259223325685,-8.934005634628692
C,-8.810728071063656,-9.148263671332046,-8.962696381320221,-8.254494297347158,7.221322854393747,0.0,6.311273807060404,-8.191798736653904,-9.00545638356765,-9.144927189913602,-9.015700335342117,-8.767626750036767,-8.445453304974173,-7.779842058346349,-8.3761583570772,-7.75529607689027,-8.939352509586499,-9.11599065618487,-9.050737611830394,-8.844563475998347,-8.099164537964114,-5.753013384387679,7.592694437403485,8.024690765732357,7.776675825616183,6.585571449973209,-7.059802034867086,-8.033534202768822,-8.551310893495398,-8.890054857885113,-8.768739812231189,-8.413197214197218,-7.781343850448016,-8.108926176260209,-8.915437322404701,-9.087213554807155,-9.05100259198155,-8.914907630171093,-8.254702538809473,4.318872834328195,8.395158113940969,8.745541779566217,8.606727069492477,7.914237695230981,-7.021052825136857,-8.539171848285987,-8.933283321286808,-9.017937148119827,-8.880633761582114,-8.503312579604987,-8.125354355068188,-8.210143033048496,-8.810689740703095,-9.02423145829973,-9.064718944943351,-8.917499167478246,-8.523885783891062,-8.360837942265789,-8.768449401062071,-8.834923875089533,-8.798530505019507,-8.670992332734615,-8.263759075484481,-9.110358131432418,-8.880539161477012,-8.846728916920423,-8.84799981521639,-8.888224867663642,-8.927140831707481,-8.901465454256854,-8.172023607299415,6.962381885597118,8.779657494676353,9.136604767994802,9.220425370002033,8.870978207046518,7.893109515840529,-7.914261868373708,-8.630673131476078,-8.49485779941651,-8.899809307725237,-8.579381753148377,-8.164213679433415,-8.160347217899771,-8.701124939529748,-8.958692764393852,-9.010632097497057,-8.909370827661498,-8.55443358221937,-7.161251582716135,-7.130550708688286,-8.758508371249416,6.136310440278213,-7.742336207627537,-8.735250508499023
N,-8.88952087295573,-9.205110421246937,-9.030750001038452,-8.388134767848411,6.707538034372794,-6.311273807060404,0.0,-8.333500035781531,-9.070752434390549,-9.201960084483265,-9.080351726578295,-8.849751690962679,-8.557108095412984,-7.986723614718851,-8.49536497446724,-7.96681089874942,-9.008958759241116,-9.174650079704795,-9.113230246868428,-8.920832811277668,-8.253608570269181,-6.762596524232719,7.268156730687779,7.826335451523568,7.514576040650342,5.1637488435971655,-7.446562198328619,-8.197638764310733,-8.652297026519664,-8.963053144236815,-8.850777040850199,-8.528309370135428,-7.987944906623162,-8.261979055143378,-8.986669675840098,-9.147534906894698,-9.113480170055743,-8.986176420644803,-8.388316742018517,-6.166782275754661,8.262517810451415,8.65397153583281,8.50077424674807,7.689926576722861,-7.420405884326927,-8.641330381890059,-9.003298822475063,-9.082448833198809,-8.954298189464332,-8.609010476821394,-8.276092190261572,-8.34944051987681,-8.88948599254517,-9.088351016488172,-9.12637111215088,-8.9885898995791,-8.627537734374592,-8.481777955875458,-8.850509504184284,-8.91190427062549,-8.878253261651817,-8.76108459715046,-8.396245254814927,-9.169339302393801,-8.954210299117474,-8.922839424287432,-8.924017247648063,-8.961352102508354,-8.997572897284225,-8.97366498279287,-8.316360819404373,6.227329129512977,8.691298434833005,9.07559984177402,9.164465446032505,8.79064937616505,7.663414456018767,-8.097357007865927,-8.72430391066312,-8.6014069700201,-8.97212400898097,-8.677705500299915,-8.309604072445346,-8.306261677875092,-8.788656719315576,-9.027010267029656,-9.075601681297275,-8.981021456945781,-8.655120150348106,-7.516579545360153,-7.4951591554929875,-8.841355256946324,-4.493138672953451,-7.956334708627395,-8.8199665050019
O,-8.037731792600153,-8.663524756775066,-8.34192702509575,-5.458115509599741,8.512885774074618,8.191798736653904,8.333500035781531,0.0,-8.420067513543765,-8.65809884090001,-8.438388161570279,-7.941899843025326,-6.950482196016234,7.106864215450468,-6.595894333666022,7.153295559733268,-8.298052972857036,-8.610580169453694,-8.499967746060994,-8.109634855067357,5.769867198926062,8.100790259400945,8.629425312803557,8.80472856081092,8.698605619531069,8.3744254414011,7.803025749249069,6.272112541072867,-7.354566946885631,-8.202264706239554,-7.944439754110255,-6.7978652005385145,7.103913992168869,5.663672280558318,-8.252140000245763,-8.562415697765053,-8.500427366355153,-8.251111546278434,-5.46151561563563,8.212098243923418,8.991661669166515,9.199565169841692,9.113668013532648,8.755607365111784,7.820940645350094,-7.313818531760842,-8.286496385098197,-8.44236823772692,-8.183435033277874,-7.1860413243099694,5.4517706549411145,-4.217403318148762,-8.037649725226206,-8.453533151906703,-8.524096668207902,-8.256138556732436,-7.260772415963311,-6.501386595542415,-7.94377738232986,-8.089426364507604,-8.011119235015794,-7.705744091284131,-5.599585922382669,-8.601225991962133,-8.183245044137458,-8.114145269688429,-8.116787513452918,-8.198616999953588,-8.274734898871193,-8.224842238566058,4.272641535382887,8.448133782231936,9.221365602660754,9.46493469575804,9.52599550059173,9.281028076749148,8.746552937655029,6.7755802694149505,-7.596209005953885,-7.154106686640727,-8.221576660364356,-7.444600865680667,4.597621887034663,4.72570288847067,-7.782997698427824,-8.334465500606454,-8.4293416933409,-8.240330041844407,-7.364863820527856,7.75091146288244,7.7675379253821735,-7.9209544933503935,8.312026225212806,7.176532486601246,-7.866369468980549
F,7.27422127535653,-7.132243935137197,5.834942292874247,8.36719698084869,9.160595171140566,9.00545638356765,9.070752434390549,8.420067513543765,0.0,-7.1069189525385985,-4.441344782841175,7.453279081060587,8.158962246457575,8.658089348043493,8.244367648426309,8.66811386879618,6.257985196741571,-6.8598472409538545,-5.935929424824716,7.0999015113795405,8.488115771709923,8.96613701254386,9.2232638750558,9.323838692403775,9.26205566695956,9.090541469853099,8.851406997818094,8.53026853751097,7.997962695546683,6.790102980861396,7.449125027838398,8.200364722424647,8.657464798200605,8.48144504774547,6.554482778532073,-6.544044343537023,-5.941916684614421,6.560081090595455,8.367011125578083,9.014505284383445,9.439228170388912,9.576997955063455,9.518908809241392,9.294900686214318,8.857722819619966,8.018729211210957,6.342889433382042,-4.637813496245827,6.863883416841795,8.076312419385792,8.469966983895965,8.405223012351929,7.274397309172462,-5.045831301103118,-6.211453491695865,6.532358778072317,8.043938055970198,8.26156429787936,7.450212535576156,7.153359862413204,7.3290428820118585,7.748089620598285,8.358846637150611,-6.804738347743725,6.864593548951866,7.087415461408846,7.080002944946585,6.8049227620795785,6.421180970092629,6.691687984503812,8.435532184477674,9.127238133099725,9.591995831939403,9.76626897845624,9.811798938122015,9.6335583418762,9.289630527620005,8.596447686964217,7.842896633499625,8.089133307330863,6.706676484299163,7.947186644793423,8.441491833261027,8.444412081177013,7.667978779348406,5.922211767148232,-3.76749816075094,6.6166263147540985,7.99250889798073,8.83344821414669,8.839111197741065,7.486508044777288,9.060536602548174,8.67326908923583,7.565343346034548
Ne,7.886836058797944,-3.4753238522366665,7.353354571801875,8.61666475053384,9.28118088783573,9.144927189913602,9.201960084483265,8.65809884090001,7.1069189525385985,0.0,7.03570512814923,7.98782763780869,8.458278916109613,8.850217578390602,8.522281908267594,8.858496998018413,7.462528060465019,5.591581396305695,6.7369543577898865,7.796151970702236,8.712116594330059,9.110814278007428,9.336924990133255,9.42716645107832,9.371620371961885,9.21933665781354,9.01232707593661,8.74595081824491,8.341475009489047,7.653678207293325,7.985395512262158,8.489134779666884,8.849701943799628,8.706787744917722,7.560999968256121,6.265849842489822,6.73425622723655,7.563049659824234,8.616520210471,9.152802210725186,9.531799648105174,9.658125124734864,9.604685710258897,9.401106620284688,9.017706666405363,8.356248558421083,7.488680539008425,7.019352807280078,7.6854538194568125,8.397672393559917,8.697636091433747,8.646418995874303,7.886931444281445,6.9716424979493485,6.5833499704840746,7.552970613857601,8.374300676407547,8.535333097654076,7.986031978177561,7.8231554758606645,7.916918005419347,8.170899084536678,8.610164312072747,5.766034396427292,7.68576610508036,7.789947809461013,7.786282938934464,7.659953503095783,7.514314281530785,7.613364811468471,8.670309424968956,9.251668960403688,9.671962199313837,9.83386808762057,9.87648448991408,9.710391221745972,9.396368706322745,8.79962844650421,8.234022740316698,8.406985179162358,7.61934568110102,8.305728512771823,8.67502494256649,8.677337698673098,8.119141032299712,7.373134120841569,7.071665368790221,7.584163464985616,8.337609823874883,8.997058173932853,9.001868513046551,8.007431256741796,9.193005931138549,8.86276040402972,8.055002827089162
