element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.138085026047805,-0.056447460398087755,0.14673336689705993,0.4140073074513955,0.34388055627129355,0.3720761283414867,0.15871722205414357,-0.07393921205650615,-0.1364796847129518,-0.07824099254996532,0.014508789830445805,0.10524089248100901,0.2212542743240594,0.12122089819864312,0.22422885055616623,-0.047209286571560406,-0.12277742388093732,-0.09329513400789533,-0.011836370303399419,0.17510371885013626,0.3277685221850665,0.4455679519402238,0.5005405297340917,0.46611856992997097,0.38099106498729995,0.2842205865538261,0.18582817132718726,0.07858784416165031,-0.028394573810006447,0.014141921920932655,0.11281719720417335,0.2210699482525948,0.17344761061716507,-0.037966031576208654,-0.10953830016335081,-0.09341133390597174,-0.037763819634041795,0.14669234407876025,0.3476785296259203,0.5708116644982313,0.6660562743005527,0.6242923640536981,0.48415301896225865,0.28649014397506156,0.08178947123437642,-0.044842559708250414,-0.0791869717110897,-0.024903295398603843,0.09102309584064794,0.1706237380974126,0.15528823805528946,1.303479594825354e-05,-0.08185862370891236,-0.09945154810720247,-0.03875429114802216,0.08576643622051039,0.12460691551511097,0.014249111107883915,-0.008413630707256373,0.0041694964958412,0.044852712263443485,0.14489791585352313,-0.12015609552485991,-0.024868403594810098,-0.012607624118941618,-0.013061036774777933,-0.027713814579870415,-0.04246185630463335,-0.03266814822621115,0.16234387011176354,0.39799750842172466,0.677239054010114,0.8202586558032472,0.8619148488799414,0.7091199619037769,0.48121917638387257,0.2036045011982224,0.05667142197489183,0.09315233834917303,-0.03204412740518145,0.07103391334166909,0.16375654701690415,0.1644518420542098,0.035703458466199295,-0.05484768519014302,-0.07610730409106499,-0.035655159672926505,0.07775796366186441,0.27784497310120887,0.2798430636420844,0.017515524621231626,0.3675421786694583,0.22577021450545312,0.02501413901584468
He,0.138085026047805,-0.0,0.08163765644853856,0.284818736313352,0.5520924202669588,0.48196558106005416,0.5101604751930713,0.29680264092212305,0.0641458972102495,0.0016057619174962095,0.05984355430997393,0.15259389540047635,0.2433259561935759,0.3593394159653795,0.2593060023467327,0.3623139659249806,0.09087574425743117,0.015307683970191643,0.04478997604164312,0.126248706526116,0.31318880249167264,0.46585516793734444,0.5836530776902722,0.6386256374030755,0.6042036767749147,0.5190761610634628,0.42230568163828847,0.3239132668660544,0.21667294213753438,0.10969056739541766,0.15222698534778614,0.25090231430977034,0.3591549720189955,0.3115327159789146,0.10011909271292105,0.028546803331849394,0.04467359021152725,0.10032128449903337,0.28477744481640305,0.4857658662180184,0.7088967044213604,0.8041413811487522,0.7623774371776093,0.6222381184813821,0.42457525723679584,0.21987457034060479,0.09324251583400928,0.05889813762826129,0.11318185356052102,0.22910819919756556,0.3087088406104965,0.29337334098909473,0.1380981366502052,0.056226475720187054,0.03863367610390301,0.09933081445300596,0.2238514625656475,0.2626920183518762,0.15232292169831652,0.12966178846205342,0.1422546292264354,0.1829377894615261,0.28298301510855584,0.017929038737272352,0.11321702731229635,0.125477488753552,0.1250242615338546,0.11037129484378214,0.09562324942815192,0.10541784443582403,0.3004289709929435,0.5360826065436904,0.8153240296058873,0.9583437502983688,1.0,0.8472050610351669,0.6193043266761488,0.3416895767336992,0.19475652912962801,0.2312372547601607,0.10604097872266824,0.20911901720076215,0.3018416500489864,0.3025369455372659,0.17378856264027498,0.08323743494731792,0.061977804431692624,0.10242881477734693,0.21584307466033387,0.4159300739622075,0.41792816494108737,0.15558403882748817,0.5056272799144591,0.36385531614971184,0.1630885632046144
Li,0.056447460398087755,-0.08163765644853856,-0.0,0.20318103112433025,0.47045483976898805,0.400327801148875,0.42852357876305447,0.21516477407911053,-0.017491759083463922,-0.08003222514825814,-0.021793855297762756,0.07095624088589943,0.16168828928194082,0.27770175500145916,0.17766834456248276,0.2806763447074735,0.009238101948192792,-0.06632998223903745,-0.036847939005991544,0.04461105250648819,0.2315511566707046,0.3842159927101762,0.5020154295540797,0.5569879995624124,0.5225660244856682,0.43743851728686267,0.3406680373752879,0.24227561762588848,0.13503528388715827,0.028052916590652403,0.07058936619374791,0.16926466501035628,0.27751734280255785,0.2298950629656968,0.01849041733645251,-0.05309084977670868,-0.036963958005490155,0.01868372947437862,0.20313979318300573,0.40412598232026703,0.6272590647298827,0.7225037999746287,0.680739806201526,0.5406004727664885,0.3429375923812708,0.13823695211557485,0.011604856261277443,-0.022739520819429013,0.031544179301495334,0.1474705467323086,0.22707118898907327,0.21173568894695008,0.05646047904401981,-0.025411223185889818,-0.04300396995458525,0.017693176599304382,0.1422138860684781,0.18105436626632931,0.07068527111833658,0.0480241347359818,0.060616979149130425,0.10130016187176455,0.20134536269724734,-0.06370861829869787,0.03157904247157951,0.04383982548661917,0.04338641469260028,0.028733637045453456,0.013985594587027306,0.023779298655413058,0.2187913125990196,0.45444495725069134,0.7336863939203704,0.8767061151729019,0.9183624177622199,0.7655674091385811,0.5376666740274102,0.2600519257572149,0.11311887320391718,0.1495996546056723,0.02440332328683746,0.12748136423332976,0.22020399790856476,0.22089929294587038,0.0921509029153292,0.0015996949087328694,-0.0196595800989122,0.020792356501856568,0.1342054217469509,0.3342924236884787,0.3362905146674434,0.07396281358103923,0.4239896283686508,0.2822176653907714,0.08145090867886264
Be,-0.14673336689705993,-0.284818736313352,-0.20318103112433025,-0.0,0.2672739946906928,0.19714699502579483,0.2253427625808647,0.011983854263041422,-0.22067257228156428,-0.2832129569278818,-0.2249749193091471,-0.1322245769142454,-0.04149247052077354,0.07452090779797603,-0.02551246666226384,0.07749552541235823,-0.1939426765465077,-0.26951079230704333,-0.24002880365415133,-0.15856975030039813,0.02837035091895898,0.18103520988950283,0.29883458983666267,0.3538071873961469,0.319385195496633,0.23425769614978526,0.13748721347831216,0.03909480334919899,-0.0681455318022334,-0.17512790819200116,-0.13259145885756224,-0.033916089438979884,0.07433657771656711,0.026714239797542193,-0.1846994258058385,-0.2562716682783336,-0.2401447747456546,-0.18449719683281163,-4.103574430575493e-05,0.2009471377693829,0.42407833941640954,0.5193229170123406,0.4775589920862131,0.33741964278112035,0.13975677465268363,-0.06494388447770454,-0.19157602600097812,-0.22592035916211278,-0.17163665674705628,-0.05571027216635642,0.02389036988740018,0.008554884200229542,-0.14672033985464525,-0.22859199717003129,-0.2461849016330951,-0.1854876630312105,-0.06096693294383566,-0.02212645249189343,-0.13249554152002835,-0.1551566832439217,-0.14256383335268405,-0.101880649998889,-0.0018354850776353404,-0.26688942565410156,-0.17160176683851666,-0.15934098585336362,-0.1597941868884604,-0.17444718274620374,-0.1891952223975276,-0.17940151749098807,0.015610532525765315,0.25126409067891703,0.5305056863290086,0.6735252938078445,0.7151815116679188,0.5623866185223025,0.33448583560225403,0.056871118335460664,-0.09006209336016278,-0.05358108863741117,-0.17877751799769437,-0.07569945466533522,0.01702318249250722,0.017718479510836535,-0.11102991598333589,-0.20158105294347356,-0.22284071014513332,-0.182389663628198,-0.06897539783391904,0.13111160485310316,0.13310969522169494,-0.12923443144593966,0.2208088213263707,0.07903685634128663,-0.12172990887649499
B,-0.4140073074513955,-0.5520924202669588,-0.47045483976898805,-0.2672739946906928,-0.0,-0.07012695160636097,-0.04193123694702542,-0.25529004552280354,-0.4879463722708727,-0.5504869026179876,-0.49224884465704594,-0.3994985171251879,-0.30876641298604773,-0.19275298510858027,-0.2927864036529191,-0.1897784062704991,-0.46121660477061194,-0.5367847387911487,-0.507302435003655,-0.4258436847006854,-0.23890358594416683,-0.0862387274703013,0.03156068110754105,0.08653320869244518,0.052111270742477005,-0.033016234595588674,-0.1297867280331078,-0.22817913095198447,-0.335419466388717,-0.4424018452776189,-0.39986538941150696,-0.30119003326566957,-0.19293735776219964,-0.24055969222070267,-0.4519733612973943,-0.5235456106407814,-0.5074188031238582,-0.4517711094893573,-0.2673149604358059,-0.06632641044213751,0.1568044041628027,0.25204906233807856,0.21028494558366986,0.07014565067787783,-0.12751722406838742,-0.3322178036408956,-0.4588498842430536,-0.49319431677876263,-0.43891059880831773,-0.3229842284229076,-0.24338356418237714,-0.25871909560234413,-0.4139943268029671,-0.49586593387726907,-0.5134588538142899,-0.4527615902412911,-0.32824087009596004,-0.2894003872868908,-0.3997696277911236,-0.422430704082308,-0.40983785332413053,-0.3691546576526945,-0.26910942970759494,-0.5341633760960531,-0.43887570529695596,-0.4266149184235929,-0.42706818506417343,-0.44172110749918325,-0.45646916765627454,-0.44667479194526316,-0.2516634345274249,-0.016009801435943036,0.2632317485686065,0.4062514679157868,0.4479075354678429,0.2951125414101308,0.06722094039774001,-0.2104029261400467,-0.3573358809417226,-0.3208549552856744,-0.44605145322284534,-0.3429734178398463,-0.25025075826753773,-0.2495554632302319,-0.37830385326077326,-0.4688549897371912,-0.4901146540590185,-0.44966359443433,-0.3362493339535513,-0.1361623321520902,-0.1341642420557425,-0.3965085686491427,-0.0464651786794694,-0.18823708022263366,-0.3890038491933036
C,-0.34388055627129355,-0.48196558106005416,-0.400327801148875,-0.19714699502579483,0.07012695160636097,-0.0,0.028195767538464058,-0.18516313079340552,-0.41781931545835976,-0.4803600206813024,-0.4221219622022795,-0.329371563851518,-0.23863945307250226,-0.12262603207482807,-0.2226594511304439,-0.11965145316153623,-0.3910896496552566,-0.4666577862934001,-0.4371759484551076,-0.35571674138980813,-0.16877663268304563,-0.016111778307956084,0.10168762670768138,0.15666015989426232,0.1222382213999091,0.037110717150510855,-0.05965978404257295,-0.15805217374431943,-0.2652925090302917,-0.3722748918376375,-0.32973843611263215,-0.23106307195224313,-0.12281040631747969,-0.17043273979451024,-0.3818464083636704,-0.4534186574262038,-0.43729182034569913,-0.3816441736852936,-0.19718806416076676,0.0038006950387866056,0.22693135509774434,0.322176019041706,0.28041190822060186,0.1402725853286028,-0.05739028183424796,-0.26209095986245745,-0.3887229309441785,-0.42306734164857784,-0.3687836425551027,-0.25285727653875945,-0.17325661394363862,-0.18859211398576176,-0.343867373492319,-0.4257389807932187,-0.44333190204393325,-0.38263463456990504,-0.258114307683725,-0.21927343403516125,-0.329642675398746,-0.35230375590089164,-0.33971090636426093,-0.2990277178158777,-0.198982482938601,-0.46403642524701166,-0.36874875238217225,-0.35648797076541894,-0.35694138396273717,-0.3715941616228216,-0.3863422086176785,-0.37654768681161993,-0.1815364687298678,0.05411709041226112,0.33335870209920027,0.4763784263054143,0.5180344833251593,0.36523947474947843,0.137338898211261,-0.14027597743863682,-0.2872089537652125,-0.2507280041606641,-0.37592449991134536,-0.2728464645291981,-0.18012380502414735,-0.17942850998684146,-0.3081769000173828,-0.3987280411976194,-0.41998770079560055,-0.37953664117091185,-0.26612239017136285,-0.06603537877357782,-0.06403728881235199,-0.3263814148740473,0.023661769642974766,-0.11811013051949891,-0.31887689567629596
N,-0.3720761283414867,-0.5101604751930713,-0.42852357876305447,-0.2253427625808647,0.04193123694702542,-0.028195767538464058,-0.0,-0.2133587708901313,-0.44601513633952855,-0.5085556654887435,-0.4503176759174543,-0.3575673389051508,-0.26683522800952353,-0.15082180679387172,-0.25085522542024724,-0.14784722795579056,-0.4192854212249724,-0.4948535610250288,-0.46537125470850155,-0.3839125019190367,-0.1969724084955789,-0.04430754921984961,0.07349185125042978,0.12846438780652847,0.0940424477937927,0.008914932206859945,-0.0878555532732344,-0.18624795273761247,-0.29348828623288237,-0.40047066704382905,-0.35793421117883495,-0.25925885510043545,-0.1510061794474911,-0.1986285139059942,-0.410042184629055,-0.481614432275076,-0.46548758913073146,-0.40983995377258303,-0.2253837822084392,-0.024395471911937347,0.19873558254356397,0.2939802327544727,0.2522161244906912,0.11207681696544403,-0.08558604469029656,-0.29028672928519067,-0.4169187060103815,-0.4512631386764619,-0.3969794205882806,-0.28105305165721045,-0.2014523887979765,-0.21678788884009959,-0.3720631486107698,-0.4539347555787219,-0.47152767138029955,-0.41083041239641255,-0.2863096893458003,-0.24746920897218244,-0.35783844974216716,-0.3804995247313755,-0.36790667525136117,-0.32722346344793113,-0.22717825138871867,-0.49223219847546246,-0.3969445269549558,-0.3846837421881945,-0.38513715906532126,-0.3997899416192395,-0.414537989420869,-0.40474357297243874,-0.20973225628522296,0.02592137452890861,0.3051629269359158,0.4481826511913595,0.48983871695043313,0.3370437207471234,0.10914312413973264,-0.16847174676195573,-0.3154047558340498,-0.27892377812457464,-0.40412027505761094,-0.30104223964764915,-0.20831957987848523,-0.2076242848411792,-0.33637267487172073,-0.4269238159639807,-0.4481834757288744,-0.40773241610418537,-0.2943181556624119,-0.09423115401182458,-0.09223306366668985,-0.35457718856249487,-0.0045340047764920385,-0.14630590268145335,-0.3470726702640459
O,-0.15871722205414357,-0.29680264092212305,-0.21516477407911053,-0.011983854263041422,0.25529004552280354,0.18516313079340552,0.2133587708901313,-0.0,-0.2326563637219284,-0.29519629835352856,-0.23695901202121,-0.14420843107405407,-0.053476323540170005,0.06253709248896458,-0.037496323073146806,0.06551167777920797,-0.20592651509728818,-0.2814946455618757,-0.252012752669395,-0.17055360103331202,0.016386496160987828,0.169051323078528,0.28685072861727035,0.3418233110437064,0.3074013519144776,0.2222738464048664,0.12550336994096342,0.02711095696852598,-0.08012937528438646,-0.18711175862748564,-0.14457530365008375,-0.04589994245837637,0.062352714900842064,0.014730378663074561,-0.1966832777562867,-0.268255521355357,-0.25212863304668875,-0.19648104932003385,-0.01202484467169722,0.18896131243099368,0.41209448678858573,0.5073390526707461,0.46557504578600384,0.32543580387225113,0.1277729374387985,-0.07692781259182915,-0.20355981635230394,-0.23790421080186683,-0.18362051232171175,-0.06769412518575282,0.01190773476898478,-0.003429012201062681,-0.15870419287404175,-0.24057585009148114,-0.258168756500152,-0.19747150687230675,-0.07295078571680728,-0.0341103055112899,-0.1444795387960771,-0.16714053632475379,-0.15454771265074935,-0.11386450603647308,-0.013812791858715522,-0.2788732943271246,-0.18358561998880155,-0.17132483781378577,-0.1717782540698307,-0.18643028646397172,-0.20117907511647273,-0.19138550212845354,0.003626666602028207,0.2392801164356915,0.5185218335634507,0.6615414295485079,0.7031976527962729,0.5504027807063101,0.32250200657506944,0.04488724825677831,-0.10204582418625917,-0.0655648792391141,-0.19076136994814272,-0.08768330768473186,0.005039014140760367,0.005734578924770368,-0.12301376900273245,-0.21356491029012087,-0.23482457498060424,-0.19437351664759453,-0.08095925067883747,0.11912775179591262,0.12112584220229843,-0.14121828494311087,0.2088248976859155,0.06705299805716014,-0.13371376233064916
F,0.07393921205650615,-0.0641458972102495,0.017491759083463922,0.22067257228156428,0.4879463722708727,0.41781931545835976,0.44601513633952855,0.2326563637219284,-0.0,-0.06254051848846617,-0.004302560038295225,0.08844800069469659,0.17918010764597062,0.2951934956238505,0.1951601144390057,0.298168067510598,0.026729924397374656,-0.04883821290424943,-0.01935592555503225,0.062102821716236434,0.2490429300110767,0.4017077304994603,0.5195071615208321,0.5744797562388907,0.5400577855812208,0.45493028076476744,0.3581597976863337,0.2597673850593368,0.15252704642201512,0.045544639660743985,0.08808113245901798,0.1867564894764823,0.2950091581101538,0.2473868211007215,0.0359731737355337,-0.03559909054426204,-0.019472470131832068,0.03617541549627783,0.22063155340055537,0.42161774499668214,0.6447509170432866,0.7399954885360819,0.6982315619653758,0.5580922280713717,0.36042935458967007,0.1557286952964474,0.029103083012939457,-0.005247768592042904,0.04903593829064753,0.16496230572146084,0.2445629479782256,0.22922744793610222,0.07395223803317195,-0.007917613493991539,-0.025512297703682945,0.03518492032320375,0.15970564528162606,0.19854612710108804,0.08817702928380891,0.06551589378920696,0.07810873597820896,0.11879192139307891,0.2188371261481044,-0.046216859896984555,0.04907080908670819,0.06133158724329727,0.06087826785911395,0.04622539319368869,0.03147735357617947,0.04127105758063982,0.23628308171178142,0.47193671751789684,0.751178268344077,0.8941978545538379,0.9358540895404099,0.7830591906094938,0.5551584607194804,0.2775436867629949,0.13061048118260432,0.16709154673925924,0.0418950824756314,0.14497312322248196,0.2376957568977169,0.23839105193502275,0.10964266190448135,0.019091521680312667,-0.002168059604483965,0.038282884768911084,0.1516971800876869,0.351784182774709,0.3537822735154169,0.09143814493963066,0.44148139415414,0.299709423632971,0.09894266628705324
Ne,0.1364796847129518,-0.0016057619174962095,0.08003222514825814,0.2832129569278818,0.5504869026179876,0.4803600206813024,0.5085556654887435,0.29519629835352856,0.06254051848846617,-0.0,0.05823812942266439,0.15098846615591127,0.24172052378039227,0.35773398774453524,0.2577005740541783,0.3607085389720891,0.08927032577154376,0.013702259434250812,0.04318455208620422,0.1246432943927357,0.3115835257969663,0.4642481655568764,0.5820476504054964,0.6370202103586222,0.6025982391488978,0.5174707439610974,0.420700261543547,0.32230784943393614,0.21506751504287228,0.10808513893788868,0.15062156486541087,0.24929688837281033,0.3575495488354793,0.30992728763996025,0.09851363054932666,0.026941379571297525,0.04306805337817977,0.09871586542200526,0.28317201685482857,0.48415820550418653,0.7072912819128804,0.8025359569007872,0.7607720230608824,0.6206326902960946,0.42296983177878333,0.21826917492378248,0.09163712126565299,0.05729271309639177,0.11157641508834018,0.2275027709815678,0.3071034123944987,0.291767912773097,0.13649270840699074,0.05462105267105337,0.03702825414555837,0.09772538666093974,0.22224610974113487,0.26108659013591323,0.15071749352551342,0.12805636018568434,0.14064920133626096,0.181332383933694,0.28137758694856274,0.016323613962550058,0.11161128025908953,0.12387206398595944,0.12341873215174062,0.10876586063957898,0.09401782112343704,0.10381249338482106,0.29882354416359425,0.5344768649847238,0.813718605623763,0.9567383262936507,0.9983945727808249,0.8455996423157907,0.6176988985205992,0.34008415023564126,0.19315107996667175,0.22963183150717528,0.10443555047945373,0.20751358898476438,0.30023622183298854,0.30093151732126794,0.17218313439706054,0.08163201029561797,0.06037237493201819,0.10082338647263213,0.21423764576980808,0.41432464554943055,0.4163227362077375,0.1539786049659688,0.504021849363261,0.3622498879536286,0.16148313481369464
