element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,2.3148241376380278e-17,-0.4294645558792805,-0.1755598286376496,0.4563621563521375,1.2876230646749163,1.0695186480498087,1.1572109864840687,0.4936336924488667,-0.22996172558868208,-0.4244717103612683,-0.24334088987601044,0.04512445092142763,0.3273145136971504,0.6881330393208491,0.37701466044656107,0.697384404925173,-0.1468277616416842,-0.3818556821705947,-0.29016146383987756,-0.036812836706945296,0.5445980856950388,1.0194078738319163,1.3857812687655326,1.556753997550834,1.4496966858141271,1.1849377387385867,0.8839674472294299,0.5779526959082464,0.24441964893940624,-0.0883112628481103,0.04398343825455904,0.35087792557653424,0.6875597583744334,0.5394473477249799,-0.11807989147013216,-0.34068007790459887,-0.2905228624581704,-0.1174509828590992,0.4562345694084533,1.0813308987092063,1.7753074681651377,2.0715320858473496,1.9416402381988,1.505786450692019,0.8910261015806699,0.2543771757490357,-0.13946689616386548,-0.24628302293656898,-0.07745287816065799,0.2830950940069903,0.5306646926300289,0.4829690524633897,4.05401151241332e-05,-0.25459225002330377,-0.3093088089405154,-0.12053149362147102,0.2667461164691264,0.3875456677877407,0.044316812248008174,-0.02616761772397529,0.012967741775322816,0.13949847209017574,0.45065363610333226,-0.37370296894398597,-0.07734435956563726,-0.03921154847781726,-0.040621727919007165,-0.08619400242676763,-0.13206256160871446,-0.10160270212435021,0.5049130964651791,1.2378302563829167,2.1063121605514663,2.5511239661766125,2.6806807977269833,2.2054664305071396,1.4966617726873954,0.6332396725756854,0.17625638178225267,0.2897173485298408,-0.09966190642453145,0.22092582315975276,0.5093067275273703,0.5114691964274969,0.11104295934471715,-0.17058429458554453,-0.2367048077995285,-0.11089274305844708,0.24183859963613102,0.8641383601933144,0.8703527129823462,0.054475834330115054,1.1431097422144507,0.7021782714498433,0.07779761796491394
He,0.4294645558792805,2.3148241376380278e-17,0.25390500963919843,0.8858277801574561,1.7170878904145708,1.4989832000132777,1.5866734299641159,0.9230994700561405,0.1995030891136635,0.004994153591328789,0.18612217565916953,0.4745892541264194,0.7567791867193298,1.1175979547128083,0.8064794592291091,1.1268492386058104,0.2826368091077834,0.047609128128945605,0.13930335329703658,0.39265187711085564,0.9740628206992178,1.4488774672281677,1.8152461347333206,1.9862188072838767,1.8791614929842848,1.614402512416266,1.3134322178227766,1.0074174679148578,0.6738844285254956,0.341153651188149,0.47344811038812806,0.7803427646588189,1.117024307158214,0.9689121502821872,0.3113849699539861,0.0887847188473681,0.13894137640300283,0.3120138158767519,0.885699357584015,1.510802640717983,2.204772067198699,2.5009968930276334,2.3711049404916316,1.935251235077808,1.3204909287079811,0.6838419588506606,0.2899978136503826,0.1831817919915587,0.3520120599907407,0.7125598903288782,0.9601294863274712,0.9124338474693366,0.4295053317635184,0.17487253408249714,0.12015636325551046,0.3089333096799277,0.696210673273153,0.8170104624918791,0.47374648642029055,0.40326705936305374,0.44243262945362594,0.5689631870542744,0.8801184196677604,0.055761923497623794,0.352121455485076,0.39025327743889887,0.38884367473112696,0.34327081276355015,0.29740224210246824,0.32786486006606297,0.9343778850871622,1.6672950364233414,2.5357765595175756,2.9805887349370237,3.110145742599201,2.6349312136870204,1.9261267149850887,1.0627043823688376,0.6057211899159098,0.7191815634226406,0.3298028985153591,0.6503906210434796,0.938771522838973,0.9409339931416939,0.5405077582080858,0.2588805539262788,0.19276000458887474,0.31856854219924774,0.6713034197243589,1.2936031487525304,1.2998175029038197,0.4838890359757011,1.5725745319679694,1.1316430624451126,0.5072292005174521
Li,0.17555982863764966,-0.2539050096391984,2.3148241376380278e-17,0.6319226189282515,1.4631831169927076,1.2450778063872732,1.3327707840932872,0.6691938060594645,-0.054401920044006194,-0.24891188431559574,-0.06778206626915985,0.22068425050212354,0.5028741445383763,0.8636929310301146,0.5525744454356537,0.8729443385402545,0.02873184344386922,-0.20629591186742294,-0.11460246062303961,0.1387468750259237,0.7201578441133126,1.1949677339660802,1.5613411509467303,1.7323138555178828,1.6252564962810911,1.3604975421886432,1.0595272460823772,0.7535124806947491,0.4199794132823198,0.08724865910190809,0.21954321674026106,0.5264377772544396,0.8631193822148183,0.7150071513273373,0.05750789275785026,-0.1651202804040042,-0.11496329662039086,0.0581091216806139,0.6317943629206075,1.2568907033870986,1.9508671096764014,2.2470921175028358,2.1172000100754813,1.6813462588218093,1.0665858929218297,0.4299370680921447,0.036092794294487744,-0.07072322386529302,0.09810699495833157,0.4586548930782662,0.7062244917013049,0.6585288515346656,0.17560031852386965,-0.0790326076058333,-0.13374861406911726,0.055028357873382366,0.44230591229436494,0.5631054664222205,0.21984149503316483,0.14936205819112422,0.18852763962989258,0.31505826717007845,0.6262134225849358,-0.19814308796857272,0.09821542449834239,0.13634824659350056,0.13493807294283422,0.08936579892630778,0.043497237462561435,0.07395708447512786,0.6804728693975317,1.4133900490389135,2.2818716144544005,2.7266837916156854,2.8562409637662776,2.3810262182050588,1.6722217171638223,0.8087993897485255,0.3518161819027819,0.46527672886614263,0.0758978920258295,0.3964856222310286,0.6848665265986461,0.6870289954987725,0.2866027383787834,0.004975284309853174,-0.061144159345919734,0.06466725905285406,0.41739842108000963,1.0396981583178904,1.0459125124694435,0.2300351297697276,1.3186695375769768,0.8777380705013936,0.25332419685840096
Be,-0.4563621563521375,-0.8858277801574561,-0.6319226189282515,2.3148241376380278e-17,0.8312610766947397,0.6131558872457017,0.7008488336664189,0.03727153331612759,-0.6863238611899216,-0.8808335722381825,-0.6997047874809427,-0.41123770495682105,-0.12904763054010665,0.23177088412250282,-0.0793474895728439,0.24102237843173416,-0.603189989769415,-0.8382178432782884,-0.7465245617861384,-0.4931750338018016,0.08823592612664563,0.5630458872983901,0.9294191273218749,1.100391917581124,0.9933345060230667,0.7285755763513518,0.4276052716614001,0.12159053619426424,-0.21194253561187465,-0.5446733180736562,-0.41237876127086437,-0.105483981174257,0.23119759070457588,0.08308517917310002,-0.5744421328305457,-0.797042238044654,-0.7468852487826418,-0.5738131712510559,-0.00012762714544690997,0.6249748850209413,1.3189454418644853,1.6151699593801294,1.4852780660769012,1.0494242654650447,0.4346639376854399,-0.2019849458161871,-0.595829361651016,-0.7026452432145275,-0.5338150172558176,-0.17326706579723616,0.07430253219441786,0.026606936673773104,-0.45632164035163275,-0.7109544267906214,-0.7656709237063738,-0.5768936654811946,-0.1896160469346014,-0.0688164920164858,-0.4120804443718919,-0.4825598978268959,-0.4433942993504723,-0.3168636698472839,-0.005708626099811895,-0.8300650109428499,-0.5337065045553133,-0.4955736887733984,-0.4969832100432462,-0.5425561627265304,-0.5884247154597795,-0.5579648658404327,0.04855103127471538,0.7814679418930933,1.6499500017608333,2.0947618250693436,2.2243187336996386,1.7491043472919003,1.0402996975580867,0.1768774665678884,-0.280106236233682,-0.16664499470947475,-0.5560241364729812,-0.2354363366444735,0.05294457855456062,0.05510705361595945,-0.34531922049671915,-0.6269464536008085,-0.693067085935669,-0.5672584358273404,-0.2145235399172494,0.4077761996392275,0.4139905518924318,-0.40193791675881757,0.6867476155765595,0.24581614225827733,-0.37859775783921956
B,-1.2876230646749163,-1.7170878904145708,-1.4631831169927076,-0.8312610766947397,2.3148241376380278e-17,-0.21810503997998373,-0.13041225807270942,-0.7939892482107036,-1.5175843323349796,-1.712094496533955,-1.530965648509487,-1.2424986122115973,-0.9603085448061831,-0.5994898760087382,-0.9106083868120575,-0.5902385022994543,-1.4344508597433772,-1.6694787700435154,-1.5777845084368256,-1.3244359229845932,-0.7430249707159328,-0.2682150110889303,0.09815831798014986,0.2691308906082566,0.1620736468411492,-0.10268530146412656,-0.4036556396380507,-0.7096703526803001,-1.043203425373764,-1.3759342156082168,-1.24363963849097,-0.936744899674534,-0.6000633018324442,-0.7481757026011926,-1.4057030254073415,-1.6283031519909255,-1.57814643025045,-1.4050739928076421,-0.8313884861324956,-0.2062848030585011,0.48768455002774524,0.7839093181568957,0.6540168282397555,0.2181631968176525,-0.3965971515443635,-1.0332457876093888,-1.4270900139706695,-1.5339062046035903,-1.3650759302653552,-1.004528022956194,-0.7569583559604397,-0.8046540937167462,-1.2875826929664704,-1.5422153231483653,-1.5969318681903795,-1.4081545323013955,-1.0208769446760075,-0.9000773824268835,-1.2433418058950303,-1.3138210558447732,-1.2746554546720403,-1.1481247868591935,-0.8369695470983755,-1.6613259500175555,-1.3649674063595494,-1.3268345722644428,-1.3282442975769067,-1.3738170219047887,-1.4196856384139631,-1.389223702494944,-0.7827099594633633,-0.04979281577585678,0.8186891021275947,1.2635012733629603,1.3930577145134124,0.9178430142543488,0.2090669215915458,-0.6543837649648804,-1.1113666687888335,-0.9979056731735975,-1.3872850282212192,-1.066697315319295,-0.7783163304080043,-0.7761538615078771,-1.176580118627867,-1.4582073502275175,-1.5243280047071366,-1.3985193138317853,-1.0457844344474545,-0.42348469764520164,-0.4172703462387163,-1.2331994366882342,-0.14451347764906292,-0.5854447536537284,-1.2098586654232548
C,-1.0695186480498087,-1.4989832000132777,-1.2450778063872732,-0.6131558872457017,0.21810503997998382,2.3148241376380278e-17,0.08769294636907077,-0.5758843229234492,-1.2994789651485301,-1.493989673236817,-1.3128608236010404,-1.0243935670460398,-0.7422034789896448,-0.3813848315893596,-0.6925033439828249,-0.3721334576461596,-1.2163458088499095,-1.4513737272911862,-1.3596809148544207,-1.1063309088047728,-0.5249199255894036,-0.05010997871019175,0.31626333927991207,0.4872359293300501,0.38017868386982584,0.1154197389504645,-0.18555062334439598,-0.49156529527944426,-0.8250983675040219,-1.1578291699254064,-1.0255345932470215,-0.7186398295041618,-0.3819582623551875,-0.5300706600714135,-1.1875979812990656,-1.4101981070091534,-1.3600412933216308,-1.186969001975106,-0.6132836182409869,0.01182071549380009,0.7057895879195171,1.002014373990121,0.8721219025264227,0.4362681840631371,-0.17849214071335454,-0.8151410829899601,-1.20898496872672,-1.315801091461086,-1.1469708758329784,-0.7864229821122516,-0.538853320233961,-0.5865489604006002,-1.0694776476859051,-1.3241102785725523,-1.378826827700345,-1.1900494796785912,-0.8027731151464775,-0.6819723373295635,-1.0252367634704203,-1.0957160265168662,-1.0565504291433219,-0.9300197834842074,-0.618864522163308,-1.4432209123929458,-1.1468623623101801,-1.1087295445638963,-1.1101397256891736,-1.155711999745938,-1.2015805753186453,-1.171118185022737,-0.5646048753466915,0.16831203834755,1.0367941480922231,1.4816063344398915,1.6111627428333213,1.135947997421259,0.4271439895650184,-0.4362787340197179,-0.8932617047892465,-0.7798006346906843,-1.1691799829380045,-0.8485922700387293,-0.5602112853366205,-0.5580488164364932,-0.9584750735564828,-1.2401023197856949,-1.3062229595734642,-1.180414268698112,-0.8276794188017876,-0.20537965215356868,-0.19916530116733197,-1.015093767934022,0.07359155211746102,-0.3673397195930555,-0.9917536195008815
N,-1.1572109864840687,-1.5866734299641159,-1.3327707840932872,-0.7008488336664189,0.13041225807270945,-0.08769294636907074,2.3148241376380278e-17,-0.6635768729301402,-1.387172077421187,-1.5816822378945192,-1.4005536025718375,-1.1120865367883803,-0.8298964483693066,-0.4690778002910794,-0.7801963113495449,-0.4598264265817956,-1.3040387677567609,-1.5390666960320474,-1.4473724265596946,-1.1940238333740996,-0.6126128976920354,-0.1378029355711198,0.228570368282258,0.39954296881208723,0.29248571862947204,0.02772673844872598,-0.27324357497644725,-0.5792582772747026,-0.9127913439299348,-1.2455221401422272,-1.113227563028457,-0.8063328244217625,-0.4696512261147854,-0.617763626883534,-1.275290954810131,-1.4978910761146589,-1.4477342435677107,-1.2746619873728526,-0.7009764106864826,-0.07587347310561031,0.6180966259508376,0.9143213693096455,0.7844289057995933,0.3485752351291457,-0.26618507251943074,-0.9028340352193825,-1.296677938508156,-1.4034941295465508,-1.2346638548421385,-0.8741159520561864,-0.6265462893564656,-0.6742419295231046,-1.1571706176298395,-1.411803247480971,-1.466519779661154,-1.2777424580449765,-0.8904648613837407,-0.7696653067092253,-1.1129297310038992,-1.183408976904307,-1.1442433797068479,-1.0177126617211483,-0.7065574713677544,-1.5309138764587045,-1.2345553305570096,-1.1964225030137419,-1.1978326955837604,-1.2434049848610609,-1.2892735629429484,-1.2588115003246194,-0.6522978839712108,0.08061925263340451,0.9491011780088496,1.3939133645096295,1.5234698000836449,1.04825509315146,0.33945102287716555,-0.5239716859399474,-0.9809547585528104,-0.86749360104383,-1.2568729529684468,-0.9362852399826644,-0.647904254459125,-0.6457417855589973,-1.0461680426789874,-1.3277952886345794,-1.393915928941471,-1.268107238066118,-0.9153723588030992,-0.2930726224700858,-0.28685827028983646,-1.1027867334304375,-0.014101415652531134,-0.45503268034185523,-1.079446587794259
O,-0.4936336924488667,-0.9230994700561405,-0.6691938060594645,-0.03727153331612754,0.7939892482107036,0.5758843229234492,0.6635768729301402,2.3148241376380278e-17,-0.7235951991183669,-0.9181035105552704,-0.7369770624082792,-0.44850923795187964,-0.16631915998831714,0.1944994719590857,-0.11661902956907172,0.20375086573553436,-0.6404614742181209,-0.8754893734587388,-0.7837963897954243,-0.530446556138718,0.05096439127121447,0.5257742527534459,0.8921475723704821,1.063120315563746,0.9560630059260512,0.691304057087244,0.39033377170373995,0.08431902739345123,-0.24921403539786818,-0.5819448394855238,-0.4496502651322947,-0.14275551062246755,0.19392603078835577,0.04581362448583549,-0.6117136589541712,-0.8343137676720928,-0.7841567946575153,-0.611084699044127,-0.03739901946109578,0.5876972213732126,1.2816739136341226,1.577898394718233,1.448006246511768,1.0121527799026304,0.39739245739467327,-0.23925670881994662,-0.6331006961923933,-0.7399167683718489,-0.571086554651256,-0.21053859524544646,0.03703479059575852,-0.010664727698455792,-0.49359316979984347,-0.7482259559342037,-0.8029424589010775,-0.6141651663835538,-0.22688757561639478,-0.10608802146469633,-0.44935242247931534,-0.51983142746618,-0.4806659105291728,-0.35413520868249776,-0.04295979579279296,-0.8673365890761205,-0.5709780344106059,-0.5328452149280445,-0.5342554055664078,-0.5798253617374711,-0.6256962439735426,-0.5952368046400202,0.011279461692124761,0.744196035421107,1.6126784731020978,2.0574902606632812,2.1870471860500795,1.711832865128492,1.003028242729152,0.1396058840628125,-0.3173773856429205,-0.20391633002956144,-0.5932956625966073,-0.27270786609268455,0.01567206837678305,0.017835376228473688,-0.38259074994492986,-0.6642179965073998,-0.7303386521335932,-0.604529965275551,-0.2517950688228078,0.37050467007347193,0.37671902244422106,-0.43920944769297715,0.6494758664865639,0.20854459643598913,-0.4158692886395899
F,0.22996172558868214,-0.1995030891136634,0.05440192004400625,0.6863238611899216,1.5175843323349796,1.2994789651485301,1.387172077421187,0.7235951991183669,2.3148241376380278e-17,-0.19451012731684963,-0.013381588785381327,0.2750861728020218,0.5572762489535821,0.9180947936574946,0.6069763990476464,0.9273461457471176,0.08313396056449333,-0.15189395994030472,-0.0601997494590506,0.19314882656415,0.774559808498381,1.2493695877820836,1.6157429866538116,1.7867157680758128,1.6796584225829858,1.4148994759000006,1.113929169944342,0.8079144267084236,0.474381344060661,0.14165046713907767,0.27394515912073114,0.5808399006480539,0.9175214771240695,0.7694090684215592,0.11188181314135157,-0.11071835989664004,-0.060562220078407586,0.11251081449250568,0.6861962864917857,1.3112926346057068,2.0052693196791083,2.301493818213111,2.1716019197950036,1.735748167113879,1.1209878226848402,0.48433893867677413,0.0905148297292048,-0.01632132514468802,0.1525089147090146,0.5130568128289492,0.7606264114519883,0.7129307712853483,0.2300022382745525,-0.02462493189988375,-0.07934696408703286,0.10943023014690427,0.4967078327417075,0.6175073919130089,0.2742434122220834,0.2037639781410835,0.24292955266243169,0.3694601885758633,0.6806153562121712,-0.14374117004491027,0.15261736796692368,0.19075017495159252,0.18934028559883706,0.14376770984132498,0.09789915721324434,0.12835900402699343,0.7348748206341161,1.4677919727645288,2.3362738932233715,2.7810856503819585,2.9106426122781577,2.4354282078772935,1.7266237230746178,0.8632013157712148,0.4062176319889099,0.5196790627154226,0.1302998123974274,0.45088754198171166,0.739268446349329,0.741430915249456,0.3410046581294663,0.059377414873764814,-0.006742981348587089,0.11906535107844463,0.47180033881402367,1.0941000783705004,1.10031443178104,0.284385957195161,1.3730714784652582,0.932139987928945,0.3077261123140922
Ne,0.4244717103612683,-0.004994153591328742,0.24891188431559583,0.8808335722381825,1.712094496533955,1.493989673236817,1.5816822378945192,0.9181035105552704,0.19451012731684972,2.3148241376380278e-17,0.18112907028084096,0.469596135196391,0.751786057934436,1.1126048389667011,0.8014863432599728,1.121856126803221,0.2776437236388106,0.04261602384342493,0.13431025081696152,0.38765881139910585,0.9690701762214832,1.4438794556162082,1.8102530218985229,1.9812256951965164,1.8741683479867197,1.6094094312502483,1.308439127350033,1.0024243857232609,0.6688913162819788,0.3361605347059176,0.46845501870978706,0.7753496560159243,1.112031207078931,0.9639190341687404,0.30639174864097896,0.08379161697342011,0.13394792285618096,0.3070207285692454,0.8807062426442742,1.505802581593315,2.1997789692188765,2.496003789637759,2.3661118686113847,1.9302581194422872,1.3154978215546833,0.6788489451298424,0.28500480256841737,0.1781886877187004,0.34701891236148247,0.7075667745978441,0.9551363705964369,0.9074407317383028,0.42451221594783645,0.1698794344211634,0.11516326698668959,0.30394019526738253,0.6912177920206255,0.8120173467609532,0.46875337082359825,0.398273943444256,0.43743951473594994,0.5639701418867422,0.8751253041109089,0.05076881846945796,0.3471273481238536,0.3852601724329076,0.3838502443587273,0.33827767840832457,0.292409126095511,0.322871984329409,0.929384773668807,1.6623009461500067,2.5307834569545045,2.9755956323036834,3.1051526299684307,2.6299381274918634,1.9211335994420577,1.0577112719808468,0.600728009036782,0.7141884631272983,0.32480978269967703,0.6453975053124454,0.9337784071079386,0.9359408774106591,0.5355146423924039,0.25388744928073037,0.18776688486541915,0.31357542619229073,0.6663103018954444,1.2886100324094845,1.2948243855637451,0.4788959026862721,1.5675814089741222,1.1266499467760156,0.5022360842423853
