element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-13337.320018483091,-3799.1305514625556,4151.589150586811,3653.328969782104,3275.431257749013,2211.6785809278567,-1603.7610574717878,-7300.928845341797,-13259.953774527043,-6443.552860563622,-1445.7347559194204,-7853.352867184645,-934.7102479035743,2768.0551781611134,496.86948129439423,-7405.130166057685,-12691.3009717101,-7862.5830055260285,-4085.389077201132,875.7778371998537,6454.5238598633,9005.871323947606,8339.888043582128,7520.422564712974,9193.714417248,4760.445623132693,1788.1963348017086,-970.1678552613868,-2741.281710416562,-5764.802211889229,-1103.5158383308606,1284.3015289642872,-39.44439978516597,-7114.819085433769,-11948.585091435278,-8132.307109934391,-5207.979129328966,-336.32011974715067,7067.610092228921,13170.348402372623,13040.76853569137,15583.540837769355,10383.81383321695,4312.998834463682,-1850.7750193249433,-4941.040249490049,-4092.466804352128,-6394.179429784972,-2237.52735104062,252.6165726036446,-304.1713584569635,-6571.715186577851,-10680.188447175407,-7689.579489829619,-5218.975110181511,-458.3680575614608,679.7845581945033,110.27623465550967,-992.9062447857234,-2257.738354992609,-3232.8998692653777,-3575.2350571073016,-4566.563370012115,-5893.342894917499,-6691.294521192486,-6895.461757414792,-6747.478573667702,-5791.929830352063,-3612.905724768589,-2813.5570652514884,4962.394202954224,18244.870121373162,20780.141269100834,21477.585002147585,17219.85207495327,10444.483074452965,2574.2621718255778,-3889.6796114513104,-9803.903792598543,-6562.451139586379,-2783.5704596126284,-279.36266797608204,101.04825438633918,-5639.200022904848,-9998.389217404852,-7049.173907401309,-5719.254759097865,-1655.758505666322,7094.2329454536,7314.723502031776,4354.971371503315,5667.012067617751,4226.191519792475,725.5431671314961
He,13337.320018483091,-0.0,9538.172226605151,17488.908833737612,16990.649267490302,16612.75216102305,15548.998507610791,11733.55908819033,6036.51389381002,77.36633146564695,6893.76717001696,11891.585807740963,5483.967145938747,12402.61015539741,16105.376137618745,13834.190004744763,5932.189899647546,646.0181434408701,5474.738521897366,9251.932727958925,14213.098462753718,19791.84384004378,22343.19168900089,21677.208715759116,20857.743030673562,22531.0345893407,18097.60233799092,15125.349244769272,12367.15257873025,10596.038742289866,7572.51747615105,12233.805377628265,14621.62260758156,13297.876479435043,6222.500951468642,1388.7330659122545,5205.013304646074,8129.3425932401515,13001.00207083285,20404.931915850364,26507.668500148815,26378.088412080197,28920.8626143192,23721.13417111418,17649.74780568449,11486.545362819705,8396.280287467187,9244.85319327422,6943.141684472016,11099.793796203256,13589.937992990508,13033.150087707083,6765.606747302176,2657.132043906141,5647.739633985092,8118.345182071875,12878.952853632827,14017.105257631398,13447.596680951268,12344.415409048243,11079.582762414457,10104.421718135576,9762.085991924196,8770.75720429677,7443.977723642536,6646.025490433981,6441.858828887056,6589.841491929315,7545.390414826474,9724.415966789004,10523.764269584597,18299.715554815575,31582.190425089786,34117.46039703731,34814.904168366054,30557.171909310375,23781.802514365838,15910.709866406856,9447.641596576314,3533.4141244168836,6774.8699836008755,10553.750747138389,13057.95883961173,13438.370332295743,7698.119155614974,3338.93170632986,6288.1477715269075,7618.064930217833,11681.567172742303,20431.555629498755,20652.045901804777,17692.29346560948,19004.333829524567,17563.513076572137,14062.86511445976
Li,3799.1305514625556,-9538.172226605151,-0.0,7950.723420162004,7452.459841253436,7074.5515756320465,6010.809390156389,2195.3696446059907,-3501.6756575333147,-9460.82308838453,-2644.4222298739905,2353.395996307645,-4054.571754181009,2864.4205249940073,6567.186400198941,4296.000878102065,-3605.9996764024872,-8892.170348151298,-4063.452110786082,-286.25788946489615,4674.9091005110595,10253.654558876922,12805.001805958223,12139.018843068025,11319.365540555973,12992.845212684102,8559.57651026571,5587.326663735937,2828.7637273890764,1057.8489247610032,-1965.6725411580003,2695.6153715050764,5083.432918061623,3759.6860560981218,-3315.6892026502032,-8149.45664764559,-4333.177054047382,-1408.848450539982,3462.8117053780356,10866.741679554954,16969.478996396843,16839.89912933456,19382.671300906528,14182.944685849718,8112.129699815271,1948.356035573549,-1141.9098745561564,-293.3367393934377,-2595.049788789678,1561.603252821252,4051.746991038375,3494.959001750924,-2772.5844428689998,-6881.057301993738,-3890.449342554106,-1419.8444993760927,3340.7615454488964,4478.914516822638,3909.40597844585,2806.2249329582014,1541.3921486250024,566.2306227861296,223.8952491613705,-767.4330539277266,-2094.2124125769806,-2892.164661327156,-3096.3306261627927,-2948.348281272301,-1992.799667672485,186.22547752847262,985.5742201169953,8761.525766649997,22044.00114604741,24579.271872090456,25276.715604538316,21018.982668445886,14243.613513346263,6373.394381050036,-90.54917603419656,-6004.7732301173855,-2763.3206934354157,1015.5585242718709,3519.7666816437923,3900.1772628398376,-1840.0697354076353,-6199.257534499716,-3250.042487836094,-1920.1260881489302,2143.3764185649593,10893.366316257167,11113.855799690184,8154.102688119937,9466.145293602744,8025.324476731821,4523.719544557592
Be,-4151.589150586811,-17488.908833737612,-7950.723420162004,-0.0,-498.2602536269514,-876.1579269388988,-1939.9105510171532,-5755.350336407169,-11452.395307084696,-17411.489980290087,-10595.141933670764,-5597.3384706876395,-12004.94229781384,-5086.2989070488775,-1383.5339419572606,-3654.7189336568194,-11556.719344786297,-16843.3015597603,-12014.17108788637,-8236.977072986292,-3275.8103929281187,2302.9349103713594,4854.0842880563405,4188.299147682878,3368.833661468202,5042.1256324655615,608.8565897115375,-2363.3928620649417,-5121.75680701232,-6892.870393022782,-9916.391977580584,-5255.104101917441,-2867.2874585064296,-4191.033037562271,-11266.408284141515,-16100.173908840623,-12283.894818645284,-9359.568648883005,-4487.9085629171495,2916.021449380001,9018.75883708065,8889.179228469131,11431.951530855918,6232.225176559286,161.40946935379162,-6002.363241330809,-9092.629121313985,-8244.055498290596,-10545.76742337588,-6389.116743576542,-3898.9725762634466,-4455.760270871125,-10723.302918488085,-14831.773688682224,-11841.170375148915,-9370.565175410276,-4609.9575864808285,-3471.8049001345416,-4041.3131379341194,-5144.493284614831,-6409.325960792465,-7385.176067944973,-7727.456952641488,-8718.790475535481,-10044.931618519002,-10842.883990932105,-11047.050649933652,-10899.597228499266,-9943.519044985544,-7764.493635156581,-6965.145200003577,810.8049461710302,14093.281201735303,16628.551963442937,17325.995695581718,13068.26276734063,6292.894274690718,-1577.3266495899147,-8041.267125573927,-13955.493140453113,-10714.039177892546,-6935.161225038414,-4430.954020027819,-4050.541014429721,-9790.791352434515,-14149.978112712115,-11200.761584516433,-9870.845418768862,-5807.34424189031,2942.6432406934446,3163.1352636789675,203.3819950178966,1515.4230740703622,74.60317342935988,-3426.0456450479537
B,-3653.328969782104,-16990.649267490302,-7452.459841253436,498.2602536269514,-0.0,-377.89765215177835,-1441.6501730088294,-5257.090325540187,-10954.135675330537,-16913.282973262903,-10096.881901502491,-5099.063434313087,-11506.682391393735,-4588.038786655284,-885.2737944720669,-3156.7067123791217,-11058.459318756259,-16344.6302803891,-11515.910663422628,-7738.7170272747,-2777.835119047503,2801.1946870289426,5352.542273595677,4686.559302054975,3867.0938585393264,5540.38558315163,1107.1173176108805,-1865.1329606429629,-4623.496809239089,-6394.610442883983,-9418.131704461399,-4756.844072243364,-2369.027051499741,-3692.7725463127385,-10768.736046780614,-15601.91397493313,-11785.634725235392,-8861.307133999879,-3989.6483048700393,3414.2811103957647,9517.019019497744,9387.439516215583,11930.211230345356,6730.484782312312,659.6697426760163,-5504.103276232721,-8594.369162903811,-7745.795533192507,-10047.506607354617,-5890.857309848264,-3400.7134872885185,-3957.501533108647,-10225.042703661044,-14333.51367829309,-11342.910163330129,-8872.304963419096,-4111.699126027155,-2973.545238724021,-3543.052001260641,-4646.233319516746,-5911.065995694378,-6886.227609390504,-7228.562849688613,-8219.89214491716,-9546.671785050226,-10344.624032521935,-10548.790691523478,-10400.807552775888,-9445.25871508242,-7266.233580786903,-6466.884677957091,1309.0657980725016,14591.54074145603,17126.811886776108,17824.255618102445,13566.522342605193,6791.15421402716,-1079.0663166266593,-7543.007160475847,-13457.23317535504,-10215.777739227242,-6436.901013238382,-3932.6936113799015,-3552.2807395414766,-9292.530354886801,-13651.717896538725,-10702.501399551962,-9372.585255501295,-5309.084044092494,3440.9037164756996,3661.3945200735393,701.642684720223,2013.6833679048561,572.862854959212,-2927.785279717917
C,-3275.431257749013,-16612.75216102305,-7074.5515756320465,876.1579269388988,377.89765215177835,-0.0,-1063.7525157900534,-4879.192412833226,-10576.180466660784,-16535.38460282354,-9718.984206341942,-4721.165509148833,-11128.784394110244,-4210.140993684973,-507.37605501087717,-2778.5610510447814,-10680.5614487929,-15967.11974112255,-11138.013181717477,-7360.819164743081,-2399.653186773812,3179.0925888814495,5730.440127873254,5064.457190274444,4244.991693189704,5918.283402389342,1485.0145062018796,-1487.235040565136,-4245.598901134958,-6016.712463594247,-9040.234068730744,-4378.946236738233,-1991.1294410541457,-3314.8757568679844,-10390.250375318341,-15224.01599968329,-11407.736909077892,-8483.410733477001,-3611.750643552098,3792.179357059559,9894.917009632074,9765.337141831224,12308.10944418547,7107.859749419658,1037.5673812287507,-5126.205348202331,-8216.471110377875,-7367.897605162119,-9669.609514515729,-5512.958833125177,-3022.814660776661,-3579.6025983400505,-9847.145008877127,-13955.61577907738,-10965.012442449539,-8494.407242747546,-3733.801241938853,-2595.6467866407015,-3165.155230254562,-4268.335391486348,-5533.168067663985,-6508.994251847558,-6850.664921658217,-7842.608659438067,-9168.773725390523,-9966.72597591858,-10170.892752644226,-10023.41541240185,-9067.361136098101,-6888.335725746665,-6088.986658407199,1686.9635147761257,14969.439094863777,17504.70987652498,18202.15360884767,13944.420680732655,7169.052149574914,-701.16874082827,-7165.1092324454485,-13079.335247324643,-9837.881268286446,-6059.003544488587,-3554.795994442702,-3174.383120840305,-8914.633419695932,-13273.820177953863,-10324.603653325887,-8994.687477161324,-4931.184324519741,3818.801169538917,4039.2931713585263,1079.5402671788288,2391.5809978798243,950.7607268050547,-2549.8877244032083
N,-2211.6785809278567,-15548.998507610791,-6010.809390156389,1939.9105510171532,1441.6501730088294,1063.7525157900534,-0.0,-3815.4397135489335,-9512.45575060186,-15471.632571740978,-8655.231616165043,-3657.4137743248966,-10065.323184741068,-3146.3890952298484,556.3764539125096,-1714.8091389091105,-9616.809012112497,-14902.979785539463,-10074.260571652861,-6297.06648297635,-1335.9008735349032,4242.845310662362,6794.192658640359,6128.209456742867,5308.744212473003,6982.036060586738,2548.76720378956,-423.48237041061077,-3181.846188141308,-4952.959963951017,-7976.481450096631,-3315.194276912201,-927.3769639564874,-2251.1231726867286,-9326.497758355654,-14160.262684389852,-10343.986055363586,-7419.658150287389,-2547.9980070374772,4855.931848200248,10958.669677457445,10829.089810892921,13371.8621129957,8172.135219773968,2101.3197751764656,-4062.452701870572,-7152.718464046113,-6304.145529277415,-8605.856988535967,-4449.206120423098,-1959.0621893602868,-2515.8497306025356,-8783.39396032372,-12891.867128218373,-9901.25997290087,-7430.653547690218,-2670.0469997762784,-1531.8941184959992,-2101.402739113869,-3204.5838364456563,-4469.416028121802,-5444.577035028347,-5786.912798611265,-6778.24157055501,-8105.021079058764,-8902.973329586823,-9107.139997038284,-8959.157298603199,-8003.608516722188,-5824.584186878931,-5025.235607908956,2750.7160059168173,16033.223659804544,18568.46254412293,19265.906277370388,15008.173350074801,8232.804333741007,362.584790615936,-6102.239412785082,-12015.582600992879,-8774.130203168957,-4995.249459632245,-2491.042052853923,-2110.630684842018,-7850.8809499003,-12210.067712774002,-9260.852061335316,-7930.934981059031,-3867.4319200942805,4882.553696687285,5103.045662499215,2143.29322830864,3455.3335348576957,2014.5131405623138,-1486.1353668629515
O,1603.7610574717878,-11733.55908819033,-2195.3696446059907,5755.350336407169,5257.090325540187,4879.192412833226,3815.4397135489335,-0.0,-5697.028772413581,-11656.190245069616,-4839.804215798555,158.02603402487438,-6249.592116304977,669.0507554536385,4371.816655017672,2100.6307876174938,-5801.36927319099,-11087.540038720188,-6258.822030040415,-2481.6279539092584,2479.5389910162444,8058.285055734453,10609.632927531495,9943.649304568538,9124.183812238394,10797.475664031303,6364.206654233057,3391.9572328126987,633.5932376159891,-1137.520650451996,-4161.042462390256,500.2451486619583,2888.0628937401275,1564.3162380686797,-5511.059024649294,-10344.824103613653,-6528.546146137574,-3604.2184118450914,1267.441728795532,8671.372068764023,14774.109419078177,14644.529553295542,17187.301861214793,11987.575110292164,5916.75984148601,-247.01362046091438,-3337.2787311478955,-2488.7064845826394,-4790.41846598816,-633.766430762874,1856.377579428941,1299.590003263686,-4967.955490410391,-9076.427032868025,-6085.820469035296,-3615.215068435691,1145.3922659007608,2283.5456332649364,1714.0369982816824,610.8558260965857,-653.9766474462876,-1629.1382011364399,-1971.4734396979215,-2962.8027138996795,-4289.581877117898,-5087.533596688603,-5291.70073961987,-5143.717041840783,-4188.169604005385,-2009.144421225424,-1209.7956265901867,6566.156139330342,19848.631179849177,22383.902294558007,23081.34602794416,18823.613092693442,12048.243738571518,4178.023052236455,-2285.9177118314506,-8200.142868094657,-4958.690176250605,-1179.813710427051,1324.3966922146105,1704.8079012040855,-4035.4395871643596,-8394.62726534751,-5445.412291276239,-4115.495023080354,-51.9924033589425,8698.027989907949,8918.484490805084,5958.732975477281,7270.773647848161,5829.9531227014995,2329.30430298003
F,7300.928845341797,-6036.51389381002,3501.6756575333147,11452.395307084696,10954.135675330537,10576.180466660784,9512.45575060186,5697.028772413581,-0.0,-5959.147585940036,857.2531075230878,5855.072082079569,-552.5470092338826,6366.096821078525,10068.862119266936,7797.6766870561,-104.32448145550492,-5390.4958865252265,-561.7764610421143,3215.4178726906543,8176.598509508421,13755.33004449795,16306.677863613651,15640.694714951818,14821.229029960821,16494.521096949873,12061.252030210426,9089.00244657854,6330.638535683781,4559.525028739462,1536.0031357137168,6197.291807689663,8585.108835462423,7261.362404573897,185.98659683626235,-4647.781028605724,-831.5006447529389,2092.8267569239424,6964.487873123895,14368.417686389226,20471.155002145515,20341.574809624934,22884.346670276565,17684.620024421627,11613.804766473177,5450.031896527231,2359.7651758957363,3208.338451581715,906.6269937601276,5063.27854008016,7553.424133623806,6996.6346631175875,729.0912349953735,-3379.382251026409,-388.77514855883396,2081.830188101476,6842.437206916862,7980.59135555288,7411.0816401824695,6307.900594778306,5043.068079528986,4067.906565262611,3725.57137740596,2734.242102440857,1407.4626085299842,609.5101893286186,405.343693701631,553.3272987310258,1508.876023084586,3687.901197835708,4487.250152804115,12263.201756206352,25545.676428956413,28080.947807111253,28778.39127764033,24520.65765260989,17745.28918820357,9875.069908171301,3411.12646379556,-2503.099904433185,738.3549900930874,4517.234518564037,7021.442848839397,7401.854129783029,1661.6036152821296,-2697.5825885695663,251.63552615124001,1581.5496018485528,5645.052278099952,14395.08105464321,14615.532103220974,11655.778349987815,12967.819918260055,11527.000003853089,8026.351428694555
Ne,13259.953774527043,-77.36633146564695,9460.82308838453,17411.489980290087,16913.282973262903,16535.38460282354,15471.632571740978,11656.190245069616,5959.147585940036,-0.0,6816.4057233355115,11814.219369192104,5406.315003972508,12325.244677452687,16028.00950082587,13756.823808647843,5854.823474580822,568.6518258700798,5397.372096664816,9174.566113193312,14135.732035730913,19714.477427188634,22265.824977457625,21599.842318764764,20780.252298709493,22453.6684128912,18020.399618534328,15048.025759059887,12289.786218550478,10518.67207128842,7495.151051053861,12156.43919668444,14544.256486219554,13220.51005428667,6145.1345453794775,1311.3667483331371,5127.646956552998,8051.976167873167,12923.635645584203,20327.565451957704,26430.30141052498,26300.721444367584,28843.493699785988,23643.76691660054,17572.424319975107,11409.178916887835,8318.913801879531,9167.486754527148,6865.775283723023,11022.427391962286,13512.572092520211,12955.783683452368,6688.240322238657,2579.7657169773065,5570.373299151379,8040.9788339768,12801.586449458386,13939.738852480248,13370.230255891523,12267.048983989458,11002.216337352153,10027.054759768009,9684.719566862464,8693.39071870912,7366.611238054878,6568.659004846327,6364.492343299398,6512.47547072605,7468.023989743993,9647.066899876847,10446.397844493198,18222.349129667124,31504.8239578189,34040.09352483837,34737.53773935928,30479.80481444894,23704.43575745067,15833.386380697471,9370.275716924605,3456.0478023195255,6697.503579326327,10476.38433262937,12980.592435517305,13361.003914776604,7620.752807572235,3261.565379404984,6210.7814421301155,7540.698595440476,11604.200824665932,20354.189191184607,20574.67947664478,17614.927040549406,18926.967404463176,17486.146651502375,13984.607307227754
