element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-15859.552501125454,-7262.207841523266,9474.446957958131,13301.510111943855,3047.9892728411714,5050.2999118235,-597.7035552187855,-9842.652844609369,-18348.60027167217,-12364.294982683004,1719.833697640684,13502.751226802236,3131.4161778630805,9197.39771366142,4687.195055967649,-5518.940734738795,-18137.232435149333,-14770.316257325654,-2635.7357389188933,12225.638089121025,16609.761027752513,16665.66615345488,15765.501982916228,15331.99653901892,13818.297362877667,11005.182019651056,7844.00933321047,2174.285279553199,695.25162613437,4949.875323440939,2677.6157351358356,6486.516806328717,4341.16812779066,-3835.070841571221,-16508.886898351775,-15125.905633864537,-4688.376359958167,9860.421464537752,19228.742353057838,20142.833819992884,19556.01041129149,17517.824886966733,14480.498319947365,8520.28026244404,4397.190428556884,-4002.9839109859863,-3125.851819450517,2197.608672327428,-144.36338368426559,4828.783455173653,4250.331163992323,-1309.5957628360911,-11757.569261403829,-16412.34598588658,-5522.12169030602,7312.511187279101,8463.581838798313,7868.445857398457,7288.364272852,6367.010802816969,471.9220011959729,1384.135054311716,3205.8780046936854,4074.4289701931916,4203.186946264909,3983.4825497953298,3713.2294641780277,3450.621540763812,3297.1344455235953,10874.164906936503,20828.677836074923,23321.93273789228,23400.738607998133,21528.507205844016,19543.698189394458,12947.966966450696,8583.0614654549,441.81124486078556,-6317.177478733505,-5144.470537826653,-4316.0032426423895,3472.984789496693,3732.052767436912,-972.1780490834844,-9346.009198690199,-16893.737787215643,-6001.076576515214,5811.246678458895,17148.713345188284,15656.422510417038,14211.900492574778,12690.435221368807,11180.801383484595,9917.861227151121
He,15859.552501125454,-0.0,8597.341202983564,25333.997010539948,29161.060146439155,18907.541898362266,20909.84529112243,15261.839824680335,6016.898870838816,-2489.049028431936,3495.256501957519,17579.375680460173,29362.302909442387,18990.957128478294,25056.93886205012,20546.73086712705,10340.612810012444,-2277.6817479638285,1089.2001569536035,13223.817246834684,28085.190352884554,32469.29244442166,32525.217279462868,31625.03488150906,31191.53128055455,29677.83319692777,26864.718716766114,23703.545062375597,18033.855687645417,16554.804148411215,20809.427964058938,18537.168344073438,22346.06909847943,20200.720524225017,12024.47987978201,-649.3415056919646,733.6458582603539,11171.136441757768,25719.974260677915,35088.29410079354,36002.3871371294,35415.56324036572,33377.377064800006,30340.05015638185,24379.832573804022,20256.743026213804,11856.528053115744,12733.700811699953,18057.163565815106,15715.18954915346,20688.336697739465,20109.884289871192,14549.954498978914,4101.913119269511,-552.7961754709169,10337.427161354519,23172.061312521342,24323.135327364853,23727.999113543818,23147.917411890314,22226.563866079225,16331.530360884335,17243.687494279235,19065.430898045895,19933.98182032826,20062.739689349022,19843.035272851008,19572.784138556857,19310.176257238185,19156.68922616888,26733.71734167386,36688.227613643845,39181.445871481286,39260.29157277896,37388.05944360475,35403.25005140667,28807.519981319674,24442.614837680212,16301.312852169902,9542.378150457705,10715.081554245467,11543.54840213127,19332.538130647557,19591.605872324977,14887.373790458618,6513.4599492981515,-1034.186690709185,9858.473788187652,21670.797892499522,33008.267482408824,31515.97583281144,30071.45355010305,28549.99098226501,27040.356785781813,25777.41634009311
Li,7262.207841523266,-8597.341202983564,-0.0,16736.65580755638,20563.71894345559,10310.199371959301,12312.502764954292,6664.50473238357,-2580.4450226018175,-11086.392495604474,-5102.086861617237,8982.041991508087,20764.960379760803,10393.624604529869,16459.605893658663,11949.402884111365,1743.2674425903163,-10875.024581787886,-7508.110022860187,4626.472583985124,19487.847129116617,23871.970361001622,23927.876614346707,23027.69234229111,22594.188739111723,21080.49065271289,18267.3761707236,15106.217038094162,9436.511566917936,7957.459829894637,12212.084098770483,9939.82491886001,13748.725176768781,11603.376821502017,3427.1353155967026,-9246.685445814386,-7863.698134538048,2573.8310157007254,17122.630479965934,26490.95218722998,27405.078658202216,26818.218897025497,24780.033200887538,21742.70628934965,15782.487528529871,11659.399559928877,3259.2238672329568,4136.356174345275,9459.819529766313,7117.843226954098,12090.99195297981,11512.539440468221,5952.609369902339,-4495.361117233696,-9150.14010645652,1740.0854122633648,14574.713444672721,15725.790175172084,15130.654140471612,14550.573620703824,13629.2200747997,7734.185589238796,8646.342801363642,10468.086236884435,11336.638037328308,11465.395980631882,11245.691561086503,10975.438465159774,10712.83054040167,10559.343462256627,18136.37376647874,28090.883594055853,30584.1403042722,30662.94715805219,28790.715582120418,26805.90618748969,20210.17439726079,15845.273150569414,7704.019772087802,945.0305150078779,2117.737455934663,2946.2046458672157,10735.192620007776,10994.260264778692,6290.029669795975,-2083.800749543525,-9631.531930735051,1261.13195821948,13073.45119727598,24410.921765433242,22918.632033571503,21474.10976340795,19952.644341911986,18443.010398200542,17180.07017128598
Be,-9474.446957958131,-25333.997010539948,-16736.65580755638,-0.0,3827.0639455595247,-6426.458236451934,-4424.15132406745,-10072.154422727335,-19317.104297714683,-27823.05180141402,-21838.746075514468,-7754.617158509282,4028.3123007803215,-6343.034675704876,-277.05383215115523,-4787.25679409856,-14993.391022026586,-27611.683895047747,-24244.767808700308,-12110.18543917503,2751.186151975035,7135.309563708742,7191.218590331026,6291.050540449465,5857.543813543749,4343.845937284561,1530.7309215412201,-1630.4415615059543,-7300.147379902576,-8779.198945508688,-4524.574665859159,-6796.834884324084,-2987.934710247075,-5133.283078931384,-13309.52255952491,-25983.343040440257,-24600.354960386358,-14162.828208709945,385.97230560039486,9754.290273574925,10668.419251249365,10081.558778175877,8043.342915178066,5006.046398680875,-954.2010724493294,-5077.258288683444,-13477.434085873621,-12600.301510893414,-7276.842385350236,-9618.814587603494,-4645.6673691717815,-5224.119706695609,-10784.049966051625,-21232.017650614423,-25886.79761841,-14996.574336207044,-2161.9435858023876,-1010.8661129722166,-1606.002577614879,-2186.084386078386,-3107.437972186408,-9002.473796506789,-8090.316589372601,-6268.573287711176,-5400.022330354172,-5271.264358855528,-5490.96874782736,-5761.221822729045,-6023.8297328495455,-6177.316817578154,1399.7135813825644,11354.224605057649,13847.48086153713,13926.251125376915,12054.055416213116,10069.248495403715,3473.4771726591293,-891.3896756001553,-9032.636349147055,-15791.621499568339,-14618.920338603048,-13790.452486475044,-6001.4662906980075,-5742.398446266094,-10446.629738242025,-18820.45670643884,-26368.188416765246,-15475.525159214605,-3663.2045855738797,7674.266212232199,6181.970925305791,4737.448963857914,3215.9837328804883,1706.3502911202654,443.4101075849781
B,-13301.510111943855,-29161.060146439155,-20563.71894345559,-3827.0639455595247,-0.0,-10253.521173808087,-8251.215229673755,-13899.21852530885,-23144.16829489405,-31650.11579877852,-25665.81004848682,-11581.681272445032,201.24838824986224,-10170.098643583635,-4104.11729191864,-8614.32019267653,-18820.45519282111,-31438.747940599456,-28071.83185355877,-15937.249549988053,-1075.8776392156053,3308.246127015268,3364.1703394570486,2463.9860373550077,2030.480693466213,516.7707598663695,-2296.343863899859,-5457.505204577246,-11127.21149587626,-12606.263023972371,-8351.639156109697,-10623.899217531562,-6814.99729836205,-8960.347355358874,-17136.586604383378,-29810.407046663197,-28427.419105916884,-17989.889943113638,-3441.091582090827,5927.226047064341,6841.355964699404,6254.494969951158,4216.3087778742865,1178.9819857752848,-4781.233408902106,-8904.32103510015,-17304.49808226353,-16427.365489897584,-11103.90461921616,-13445.878632461967,-8472.731927667617,-9051.184265075994,-14611.111633314757,-25059.08168764967,-29713.86167223031,-18823.635608771034,-5989.007668807102,-4837.933189581763,-5433.0692098357995,-6013.150815440639,-6934.504736982499,-12829.535430625961,-11917.378496764402,-10095.63733262619,-9227.086476588382,-9098.32850508975,-9318.031021223109,-9588.284110683258,-9850.893818235732,-10004.38090262633,-2427.351165542656,7527.159768930229,10020.417637982511,10099.223100612307,8226.990896747653,6242.181600781323,-353.54847388170606,-4718.453455008795,-12859.698081899336,-19618.690744472464,-18445.984281233043,-17617.5165313335,-9828.531033180341,-9569.46317334928,-14273.69378053801,-22647.520751297307,-30195.248569995114,-19302.589162949847,-7490.267623584977,3847.196750629451,2354.907318290806,910.3853356980974,-611.0799409967308,-2120.713904388474,-3383.6516773478643
C,-3047.9892728411714,-18907.541898362266,-10310.199371959301,6426.458236451934,10253.521173808087,-0.0,2002.3053059808703,-3645.6978625991906,-12890.64738310673,-21396.59476727003,-15412.289598790308,-1328.16027980108,10454.761950671611,83.42174793276872,6149.403237106036,1639.2000911973591,-8566.934274102536,-21185.227146185218,-17818.311060776243,-5683.730206577401,9177.643531347665,13561.766522990385,13617.69145930598,12717.50728767958,12284.001925403289,10770.301954975548,7957.186774743915,4796.014427490176,-873.6912739548949,-2352.742731869756,1901.8808972410277,-370.37867732143667,3438.5222305331863,1293.1739038688881,-6883.067167320947,-19556.88647045637,-18173.898212462314,-7736.3715469650415,6812.426778330494,16180.747791663101,17094.878208456736,16507.985983993858,14469.830548335201,11432.503648472208,5472.285596478331,1349.1959998964724,-7050.976077438281,-6173.846251812919,-850.3854050724748,-3192.359165147875,1780.7913550911942,1202.3392987644263,-4357.592795654976,-14805.563338787939,-19460.340865075817,-8570.117569961412,4264.516569556999,5415.5905079622,4820.451631807746,4240.370026202904,3319.0165619687505,-2576.0168159845507,-1663.859663644485,157.8857199545821,1026.4346442755907,1155.1944100722487,935.4899773173685,665.2351309406251,402.62721788165175,249.14013290665562,7826.17043647024,17780.68309060877,20273.903280680566,20352.74410323599,18480.512913502193,16495.703517948703,9899.972496087146,5535.067028008951,-2606.182909715195,-9365.171648566977,-8192.464971497542,-7363.99824295434,424.99330762215146,684.058098626582,-4020.172378039904,-12394.003756816961,-19941.732267399053,-9049.072619696228,2763.252197333739,14100.717530250298,12608.428035434386,11163.906029112448,9642.440757912622,8132.806912456805,6869.866504574943
N,-5050.2999118235,-20909.84529112243,-12312.502764954292,4424.15132406745,8251.215229673755,-2002.3053059808703,-0.0,-5648.005429180171,-14892.957563469821,-23398.90837948904,-17414.594826345256,-3330.4657979990884,8452.464253460088,-1918.8834162819232,4147.097830771002,-363.1051386946399,-10569.239720117512,-23187.532590132352,-19820.61650679124,-7686.034187167843,7175.3381659068755,11559.461218071832,11615.386228799456,10715.201955219778,10281.686769269454,8767.98787330738,5954.881625341391,2793.7102660586465,-2875.996180452247,-4355.047709693701,-100.4244530467003,-2372.684082528991,1436.2170984160812,-709.1303566539042,-8885.371304959155,-21559.191731040595,-20176.203658477294,-9738.676862811742,4810.121853485597,14178.442426332076,15092.572811520191,14505.7106016108,12467.525143906581,9430.19633026879,3469.980301125586,-653.1092550005984,-9053.282797640933,-8176.151362413865,-2852.690786142054,-5194.664739073262,-221.51451027262237,-799.9661497004598,-6359.898560607411,-16807.866220505675,-21462.646309410095,-10572.422860307097,2262.2070855239817,3413.2851504927535,2818.14868585009,2238.0668773865846,1316.7132912785628,-4578.3223138573785,-3666.1651661986275,-1844.4214803902769,-975.8688893119181,-847.1127141809178,-1066.8171083197537,-1337.0685121057593,-1599.6764159239426,-1753.1634666693608,5823.864954322805,15778.375924863676,18271.599632977544,18350.43879831744,16478.207503103305,14493.39553195946,7897.6672020924,3532.7617383111656,-4608.487982646697,-11367.473917492429,-10194.769974783849,-9366.303486880362,-1577.3148607901092,-1318.2470154886355,-6022.478253156132,-14396.308953945118,-21944.03701259668,-11051.388495141335,760.9474878604442,12098.409743417536,10606.12234900402,9161.600387561197,7640.135156585259,6130.501347424436,4867.561213252077
O,597.7035552187855,-15261.839824680335,-6664.50473238357,10072.154422727335,13899.21852530885,3645.6978625991906,5648.005429180171,-0.0,-9244.95212772771,-17750.90457301445,-11766.591535850856,2317.5372794767272,14100.463065818127,3729.11730361559,9795.09600933618,5284.898406664837,-4921.236417115065,-17539.52928633872,-14172.613203788787,-2038.0319138512573,12823.341388388086,17207.451696954387,17263.377454424513,16363.195056799646,15929.69145534902,14415.993369531385,11602.878885749818,8441.705885122577,2772.0067722046156,1292.9552345624459,5547.567057651814,3275.3193452784003,7084.220779295136,4938.871806675962,-3237.3692077860405,-15911.188599779067,-14528.202460016899,-4090.6730060934287,10458.12497612026,19826.4472734138,20740.574434410162,20153.713862639906,18115.528517430586,15078.201365392653,9117.982434525313,4994.866482299882,-3405.2804162804514,-2528.148031989842,2795.312227544799,453.33870817521205,5426.489128127175,4848.034616522975,-711.8948244900434,-11159.865817880114,-15814.643004059551,-4924.41917271325,7910.209952756673,9061.285393914543,8466.149412475854,7886.067827920187,6964.7143579069125,1069.6812714464602,1981.8383746898924,3803.581409592231,4672.132525319744,4800.890501381424,4581.186104916983,4310.9330193095375,4048.324949166023,3894.837862060194,11471.869243515697,21426.379045874484,23919.63611368415,23998.442058249737,22126.210899371945,20141.401504048634,13545.669180275474,9180.727479305548,1039.5150791848405,-5719.473923541098,-4546.766820416012,-3718.29981807068,4070.6427780582894,4329.75606644155,-374.4744068749751,-8748.305755166486,-16296.036334593126,-5403.383276672845,6408.949637315559,17746.41446775499,16254.126014269406,14809.603996514552,13288.1387253273,11778.504887439072,10515.564731065211
F,9842.652844609369,-6016.898870838816,2580.4450226018175,19317.104297714683,23144.16829489405,12890.64738310673,14892.957563469821,9244.95212772771,-0.0,-8505.947503894358,-2521.641887596556,11562.489821169851,23345.418488572574,12974.068092599307,19040.047890854858,14529.841271235118,4323.713066645095,-8294.579512369191,-4927.665202524938,7206.917987922236,22068.29147925927,26452.402264946326,26508.329605214334,25608.147212981694,25174.64361237763,23660.94404642171,20847.830308526754,17686.657404582063,12016.949342436432,10537.905538145505,14792.519216549921,12520.269277066383,16329.170405185121,14183.822895028696,6007.580734338722,-6666.240199759705,-5283.252822838406,5154.276018049195,19703.075620951826,29071.395390793925,29985.498562972203,29398.66437005526,27360.4783424187,24323.15143977941,18362.933866642692,14239.844338617459,5839.6692938710985,6716.801619764885,12040.262757548016,9698.289050408031,14671.438046878851,14092.985640309778,8533.054891181653,-1914.9156921783913,-6569.694862632902,4320.53069168961,17155.154268831095,18306.236676487446,17711.10046420158,17131.018761637017,16209.665216500953,10314.630831444101,11226.7888552199,13048.532257562742,13917.083178995626,14045.841121814909,13826.136702275297,13555.883605950132,13293.27568560636,13139.788607564964,20716.818964415554,30671.32890648202,33164.557298201704,33243.392702917816,31371.16057690881,29386.35137489866,22790.621112698285,18425.71600300636,10284.464775718818,3525.475802933559,4698.182743824623,5526.649590255898,13315.638203774819,13574.705898794937,8870.474929279424,496.64444725517797,-7051.085799817274,3841.576818383785,15653.896685535365,26991.36883026771,25499.07718385214,24054.55491272422,22533.08947275764,21023.45553018989,19760.515304535667
Ne,18348.60027167217,2489.049028431936,11086.392495604474,27823.05180141402,31650.11579877852,21396.59476727003,23398.90837948904,17750.90457301445,8505.947503894358,-0.0,5984.306456422095,20068.43568516884,31851.36275409409,21480.01892696191,27546.000285436905,23035.787947955927,12829.653931103394,211.36710780150793,3578.2818397838337,15712.866078297478,30574.22791974974,34958.35305407738,35014.275068729585,34114.09365924646,33680.59559843949,32166.896257234406,29353.780943124963,26192.608902876993,20522.89897772948,19043.848100891348,23298.468913914323,21026.21040468567,24835.11010060668,22689.76983369745,14513.529665419997,1839.707150158265,3222.6951168207347,13660.224565927454,28209.02301366871,37577.34352031041,38491.449312991106,37904.588225221014,35866.403769473516,32829.0779045359,26868.860231764378,22745.79229518902,14345.615870857451,15222.750848351629,20546.20986641768,18204.237675102773,23177.385556408015,22598.93301266666,17039.003315133938,6591.031551358887,1936.2530830634828,12826.480843057585,25661.11012256805,26812.184137751105,26217.04781138591,25636.966121671485,24715.61275485098,18820.58139712626,19732.73805158236,21554.479564763085,22423.030630947727,22551.78857461772,22332.084159763315,22061.83106887243,21799.223153515497,21645.736078277012,29222.76634234822,39177.252591238575,41670.5080498976,41749.31119838515,39877.079249629365,37892.27049581984,31296.566524840415,26931.663591479635,18790.413705520725,12031.423572226382,13204.133666361315,14032.598315527996,21821.58694188417,22080.654678800714,17376.424004909077,9002.59163884082,1454.862470193038,12347.52298307323,24159.84887810621,35497.316292145326,34005.02450863515,32560.50213929711,31039.03916453094,29529.404986721755,28266.464535102506
Na,12364.294982683004,-3495.256501957519,5102.086861617237,21838.746075514468,25665.81004848682,15412.289598790308,17414.594826345256,11766.591535850856,2521.641887596556,-5984.306456422095,-0.0,14084.129128800716,25867.056617195478,15495.712790063302,21561.694038542424,17051.485176117207,6845.354876067199,-5772.937687269502,-2406.0228963264767,9728.560483653655,24589.921037805958,28974.04617256494,29029.973512983637,28129.78994439254,27696.284656785814,26182.587181066847,23369.47350405536,20208.302223257062,14538.593217696549,13059.541198597266,17314.161996381994,15041.907312671708,18850.804514168787,16705.4636399938,8529.224158291685,-4144.598376180267,-2761.6104407570015,7675.920332303569,22224.717418978104,31593.037930401682,32507.16670698892,31920.281300044637,29882.096835654218,26844.77096302838,20884.55496124328,16761.48673222523,8361.312773056485,9238.445332320187,14561.874048185398,12219.932194560295,17193.0799356081,16614.627527938403,11054.697745511952,606.7257518064193,-4048.052625656112,6842.172875752403,19676.803144529604,20827.878565100626,20232.742352167286,19652.660650445618,18731.307104604442,12836.273599808219,13748.430736633945,15570.175666052317,16438.72640255719,16567.484259138448,16347.77979747375,16077.526706933035,15814.918821873543,15661.431799197058,23238.460774807096,33192.945554520025,35686.22845373854,35765.034746215795,33892.77496503208,31907.96605592239,25312.26125596117,20947.357996842027,12806.110494031014,6047.0741215355965,7219.825046719613,8048.291900153407,15837.281368415712,16096.349109211063,11392.117288499741,3018.209237505341,-4529.44356294592,6363.218969737309,18175.54598445134,29513.01071887125,28020.719070875708,26576.19936054181,25054.733532670558,23545.0994807874,22282.159035980745
