element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.37987578826782886,-0.17394796783627334,0.22693660532355323,0.31860430100840453,0.07300693557212667,0.1209672630962794,-0.014316489016515905,-0.23575605350322715,-0.4394946825465683,-0.29615566407623156,0.041194301133936,0.3234245269973345,0.07500521776235204,0.22030058579786035,0.11226999731073284,-0.1321923781811343,-0.4344318963482894,-0.35378586696053,-0.063132436518398,0.29283448608354307,0.39784515123676994,0.39918421825602485,0.37762304407853403,0.36723950884277,0.3309826429762069,0.2636015230851697,0.18788356281944776,0.05207954855162496,0.01665300830547025,0.11856184404863662,0.06413556675012652,0.155368235310661,0.10398179043391201,-0.09185949974953264,-0.3954289645619431,-0.3623031182955086,-0.11229829248391318,0.23618165621183113,0.4605762778141739,0.48247104543300834,0.4684151630278372,0.419595542636026,0.34684400542894384,0.20408193615356224,0.10532366408782731,-0.09588143603051397,-0.07487193751765236,0.052638201906728244,-0.003457862645883593,0.11566139216592462,0.10180601887766533,-0.03136808069989777,-0.2816230717085126,-0.3931165692266895,-0.13226856999067363,0.17515285827187366,0.2027238676724727,0.18846887844470128,0.17457447952180613,0.15250576883920525,0.011303707478034433,0.033153482406800855,0.07678876399804382,0.09759272316691034,0.10067679742767797,0.09541432985245059,0.08894109525624112,0.08265098133875994,0.07897458307410657,0.2604633368743366,0.49889871804353436,0.5586183835960955,0.5605059804891648,0.5156613747121349,0.46812025464387547,0.3101360620040965,0.20558570235254303,0.010582479858443142,-0.15131213659347395,-0.12322288416642523,-0.10337902874932536,0.08318663685237104,0.0893919602578082,-0.02328608595394235,-0.22386020105289067,-0.40464710200701676,-0.14374073258356734,0.1391938336621868,0.4107544017600844,0.3750103189971341,0.34041041839091446,0.3039675352023453,0.2678080443137243,0.23755748160785803
He,0.37987578826782886,-0.0,0.20592773763692912,0.6068123349426627,0.6984800301942968,0.452882726819541,0.5008428807786227,0.3655590807752215,0.14411971594567405,-0.05961892440822381,0.08372009984425119,0.4210698374621361,0.7033002956604015,0.45488072936668855,0.6001761021393646,0.4921453858123004,0.2476834350841318,-0.05455615152884076,0.026089056937440767,0.3167433633574816,0.6727102686659626,0.7777204344793492,0.779059973586365,0.757498362816877,0.7471148717241838,0.7108580320260638,0.6434769328075821,0.5677589493570482,0.43195576573591377,0.3965287970799276,0.4984376356576594,0.4440113576003249,0.5352440185730243,0.48385757619412834,0.2880162458883181,-0.01555334655957344,0.017572645804243378,0.2675765448841672,0.6160574515459971,0.8404520480364415,0.8623468532463349,0.8482909591508563,0.7994713231602019,0.7267197777757683,0.5839577198760354,0.48519945466782527,0.2839933812746197,0.30500385386459955,0.43251404747759176,0.3764179359625296,0.495537198193097,0.48168182210989474,0.34850765393086774,0.09825103699981934,-0.013240845408062658,0.2476071308633798,0.5550285896313812,0.5825996795919752,0.5683446847971377,0.554450283069237,0.5323815705716108,0.39118083369758766,0.41302926920974486,0.45666456166068053,0.47746851979438887,0.4805525914910195,0.47529012343606114,0.46881693557890186,0.46252682266971384,0.45885042594211367,0.6403391235520052,0.8787744410753999,0.9384932289133626,0.9403817798626948,0.8955371566717226,0.8479960276033502,0.6900118625773625,0.5854615114853834,0.39045704909259515,0.22856372659932175,0.25665289430355737,0.2764967390067449,0.463062445240901,0.4692677629872556,0.35658968646731726,0.15601359069967338,-0.024771347383311732,0.23613500451161873,0.5190695911011279,0.7906302292164661,0.7548861269364001,0.7202862199859769,0.6838434015498037,0.6476839020718437,0.6174333324351989
Li,0.17394796783627334,-0.20592773763692912,-0.0,0.4008845973057335,0.49255229255736777,0.24695495748342064,0.294915111448127,0.1596314895044628,-0.06180808613440378,-0.26554671627811893,-0.12220768954421898,0.21514227980497821,0.49737252624575,0.24895319961427032,0.3942485617414286,0.2862179648265326,0.041755597698525514,-0.2604839282284621,-0.1798379376172941,0.11081554284814345,0.46678248262621397,0.571793154803593,0.5731322488327001,0.5515705931738057,0.5411871020278213,0.5049302622633036,0.43754916300104557,0.36183152738286295,0.22602795821174979,0.19060098481822207,0.2925098342518964,0.238083566735455,0.32931621581580917,0.2779297786822129,0.08208842774223454,-0.22148114975779637,-0.1883551586557005,0.061649664193747955,0.41012965216605135,0.6345242933793515,0.656419899432071,0.6423631462945626,0.5935435217873971,0.5207919763282383,0.37802989020667566,0.27927166281919064,0.07806653028946314,0.09907603396592726,0.22658624198169325,0.17049007570763022,0.289609375721808,0.27575399713213766,0.1425798222542312,-0.10767509662309291,-0.21916864838743602,0.04167938014581354,0.349100692354332,0.37667184736164827,0.3624168568571944,0.3485224834384007,0.326453770938546,0.18525301058231475,0.20710144798025026,0.2507367411917765,0.2715407203596405,0.27462479383552946,0.2693623257075792,0.26288909086443324,0.2565989769147626,0.2529225790595812,0.43441132909470015,0.6728466359737787,0.7325663448420003,0.7344539652965154,0.6896093553570779,0.6420682262304375,0.4840840200027663,0.37953376225240104,0.18453046411902937,0.022635834888802463,0.050725087316328625,0.07056894021238784,0.2571346044248752,0.2633399198500776,0.1506618789447063,-0.04991221866252313,-0.23069918171746018,0.030207251856846452,0.3131417219113703,0.5847023834581838,0.5489583271126636,0.5143584204627204,0.4779155336743316,0.4417560402508847,0.4115054758544256
Be,-0.22693660532355323,-0.6068123349426627,-0.4008845973057335,-0.0,0.09166771464501561,-0.15392968295727252,-0.1059694446944211,-0.24125318798354028,-0.4626927664967527,-0.6664313973757299,-0.5230923684403009,-0.18574239756102198,0.09648811405866106,-0.1519314808707604,-0.0066361294162350535,-0.114666725190995,-0.3591290632504262,-0.6613686095045266,-0.5807225823078511,-0.29006910752681947,0.06589776149603757,0.17090843798124108,0.1722475984372451,0.15068633133982823,0.1403027653728169,0.1040459306416672,0.03666481859467009,-0.039053136799272976,-0.17485671428717953,-0.2102836835748386,-0.1083748338831077,-0.16280112627551527,-0.07156847920314066,-0.12295491665812053,-0.31879621908683653,-0.6223657898682957,-0.5892397803520623,-0.33923501495415714,0.00924499816934283,0.23363954981734447,0.25553521591182604,0.2414784457226166,0.1926580986440126,0.11990728122179194,-0.02285549258322225,-0.12161298337491688,-0.32281811840754215,-0.3018086083149748,-0.17429850161532012,-0.2303945696707817,-0.11127530576723561,-0.12513068016551315,-0.2583048595654136,-0.5085597113141276,-0.6200532865177257,-0.3592053115546277,-0.05178393424335132,-0.02421276145536304,-0.038467762258003406,-0.05236216654426967,-0.07443088000710782,-0.2156316724299634,-0.19378323515156656,-0.1501479451463056,-0.1293439861724723,-0.12625991202124118,-0.13152237941687883,-0.13799561375642258,-0.14428572735548617,-0.14796212536836034,0.033526626935984155,0.27196196246458854,0.331681660464682,0.3335684044989844,0.2887246536579833,0.24118358378552582,0.08319843065562918,-0.021351003166601563,-0.216354140700085,-0.3782486715656079,-0.3501595575825573,-0.33031568882526746,-0.14375006720901642,-0.13754474700143576,-0.25022280460153074,-0.4507968195452961,-0.6315837952743316,-0.370677376823721,-0.08774287480258049,0.18381779224489428,0.1480736028417376,0.1134737035863039,0.07703082136130864,0.04087133996084387,0.010620776603426432
B,-0.31860430100840453,-0.6984800301942968,-0.49255229255736777,-0.09166771464501561,-0.0,-0.24559737345330598,-0.19763715838245757,-0.3329209063896237,-0.5543604823781921,-0.7580991132616036,-0.614760083741922,-0.27741011623906764,0.004820400204773833,-0.24359919605037728,-0.09830383242532122,-0.20633442673443986,-0.4507967832903811,-0.7530363265446042,-0.6723902993313237,-0.38173682613006804,-0.025769949451458732,0.07924073552483496,0.08058025971904355,0.059018603340462154,0.04863507050015119,0.012377946965658157,-0.055003155692510707,-0.13072084419894192,-0.2665244330140387,-0.3019514014032399,-0.2000425615748299,-0.25446885020566495,-0.16323616133397795,-0.2146226392282481,-0.4104639361103092,-0.7140335059663513,-0.6809074997868815,-0.43090267663648263,-0.08242271508958278,0.14197182844285117,0.16386751705173103,0.14981073436711168,0.10099109798097393,0.028239555382673892,-0.11452245011139352,-0.21328066929747497,-0.4144858342700721,-0.39347632376107294,-0.2659661752610102,-0.32206228669425446,-0.2029430350936027,-0.21679840948911488,-0.3499725196395554,-0.6002274281502146,-0.7117210037558568,-0.4508729621747419,-0.1434516521805216,-0.11588055109682607,-0.13013554125525187,-0.14402994068254774,-0.16609866217986186,-0.30729933171022483,-0.2854509009773882,-0.24181566217113268,-0.22101170562414651,-0.2179276314729157,-0.2231900540094067,-0.22966328869766192,-0.23595344534969867,-0.23962984335447662,-0.05814110690373606,0.18029422648825347,0.24001396311348241,0.24190155024648508,0.19705692526649088,0.14951579850310845,-0.008468366632486651,-0.11301871383188959,-0.3080218023428551,-0.4699165131431272,-0.44182727215740336,-0.42198340584873983,-0.23541780094231846,-0.22921248036588984,-0.3418905215636255,-0.5424645365687687,-0.7232514190836054,-0.46234509286218994,-0.17941056770955058,0.09214994547690308,0.056405896305707026,0.02180599654380192,-0.014636886776239009,-0.050796380671078056,-0.08104688628919805
C,-0.07300693557212667,-0.452882726819541,-0.24695495748342064,0.15392968295727252,0.24559737345330598,-0.0,0.04796019978548338,-0.08732354517839817,-0.30876311520093624,-0.5125017432167275,-0.3691627276328921,-0.03181274712509395,0.25041759134641717,0.001998158665094227,0.14729352558381592,0.03926292540272528,-0.20519941594710436,-0.5074389621787259,-0.42679293500452886,-0.1361394965193401,0.2198274239241258,0.32483809034710376,0.32617763187989335,0.30461597862652856,0.29423244534579124,0.25797556045408815,0.1905944444671867,0.11487649232583469,-0.020927082360790876,-0.056354049068976245,0.04555478504073121,-0.008871491928608461,0.08236117271956782,0.030974736271071886,-0.16486660425638788,-0.46843614682708407,-0.4353101330487406,-0.18530536971504052,0.16317459097610207,0.3875692155680156,0.40946491613298663,0.3954073854189092,0.3465884857256014,0.2738369405460853,0.13107487140266874,0.03231660502098676,-0.168888440911835,-0.1478789966731648,-0.02036884874654812,-0.07646495411573052,0.0426543888743265,0.02879902121141899,-0.10437520214282066,-0.35463012236141067,-0.4661236390848177,-0.20527566381245835,0.10214579467653466,0.12971688280624072,0.11546182424188592,0.10156742481459001,0.07949871427093458,-0.061702019555335566,-0.03985358358939447,0.003781756283459093,0.024585666561016052,0.027669783690154184,0.022407315245803455,0.015934038475019348,0.009643924805572008,0.00596752678679624,0.18745627680614174,0.4258916513884072,0.48561048550819574,0.48749891959949815,0.4426543189104642,0.3951131897617212,0.2371290019383619,0.13257864307526696,-0.06242457264339253,-0.22431918946076454,-0.19622994335327917,-0.17638610150864423,0.010179648368392484,0.01638489543877891,-0.09629314263262391,-0.2968672632207728,-0.4776541623079615,-0.21674783032219808,0.06618677333868495,0.3377473094884428,0.30200325882076057,0.26740335849048125,0.23096047530205932,0.19480098423207948,0.16455041550100274
N,-0.1209672630962794,-0.5008428807786227,-0.294915111448127,0.1059694446944211,0.19763715838245757,-0.04796019978548338,-0.0,-0.1352837991108853,-0.3567234317400158,-0.5604621419573049,-0.41712292553987923,-0.07977295199370642,0.202457573809913,-0.045962037724736046,0.09933332339460035,-0.0086972725602401,-0.2531596190867534,-0.5553991652688449,-0.47475313814417847,-0.1840996645584212,0.17186722271442925,0.2768778905870655,0.27821743390220854,0.2566557782068088,0.24627200962460782,0.21001515046903393,0.14263424843214476,0.06691631995515908,-0.06888727257764889,-0.10431424099428384,-0.0024054158060117813,-0.0568316940908181,0.03440097709855471,-0.016985438473086308,-0.21282677605715417,-0.5163963455252047,-0.4832703361883897,-0.23326556973683513,0.11521440031977465,0.33960901436094815,0.3615047141688883,0.34744790237813256,0.2986282835820492,0.2258766925628595,0.08311467187175542,-0.01564359354091237,-0.21684867457145285,-0.1958391917788123,-0.06832905033059312,-0.12442516031915253,-0.005305824309771858,-0.019161181986911493,-0.1523354129218163,-0.40259026407975324,-0.5140838421842098,-0.2532358632234401,0.054185494816294914,0.08175668178747769,0.0675016809848373,0.05360727669857107,0.031538563235732925,-0.10966222393710934,-0.08781378808329737,-0.044178488876760645,-0.02337449077123132,-0.020290459647479976,-0.025552927166880252,-0.032026121479040756,-0.038316234927148154,-0.041992632126040264,0.13949607280103032,0.37793140705693795,0.4376503254425976,0.43953871983945997,0.3946941166239092,0.34715292578336143,0.18916880243997605,0.08461844367980403,-0.11038476684676302,-0.2722793165012054,-0.24419013588847377,-0.22434629980775941,-0.03778061997945296,-0.03157529975104415,-0.14425335605031683,-0.3448274603989625,-0.5256143486612893,-0.26470828327267826,0.01822658784104389,0.2897870502803768,0.254043049922564,0.21944315066725137,0.18300026844229175,0.1468407782416674,0.11659021606661508
O,0.014316489016515905,-0.3655590807752215,-0.1596314895044628,0.24125318798354028,0.3329209063896237,0.08732354517839817,0.1352837991108853,-0.0,-0.22143963247195567,-0.4251783817142605,-0.2818391776558456,0.05551079078800152,0.33774121443142585,0.08932164858709887,0.2346169488351954,0.12658648142844703,-0.11787587090312084,-0.4201154170662615,-0.33946938996054576,-0.04881594103832994,0.3071509689693776,0.412161331601082,0.4135008928025681,0.391939282040959,0.3815557909363826,0.3452989511857861,0.27791785188059853,0.20219988408932363,0.0663964672143342,0.030969498596481203,0.13287804992256716,0.07845205708220376,0.1696847343332733,0.11829828241254903,-0.07754305675613783,-0.38111260145519493,-0.3479866384137817,-0.09798180829032826,0.2504981441831495,0.47489279952912566,0.4967884221096419,0.4827316495563991,0.4339120334548487,0.36116048223511465,0.21839839204048936,0.1196394943754924,-0.08156494846344116,-0.06055544293836469,0.06695469092321027,0.010858591319531688,0.1299779319074627,0.11612250543454464,-0.017051654364002522,-0.2673065853673719,-0.3788000939443345,-0.1179521058278855,0.18946923256215634,0.21704035668653213,0.20278536745783057,0.18889096853471482,0.16682225785263508,0.02562153100834476,0.04746996579829919,0.09110524941401554,0.11190921218121702,0.11499328644174424,0.10973081886663993,0.10325758427066656,0.09696746683865316,0.09329106876883864,0.2747798446063806,0.5132151508814174,0.5729348683148898,0.5748224669914552,0.5299778670414994,0.48243673789826974,0.3244525188908845,0.21990129215977713,0.024898975560225498,-0.13699564757758986,-0.10890639126501037,-0.08906254286213236,0.09750203443394152,0.10370844313735704,-0.008969594853805867,-0.20954371471174998,-0.390330663352919,-0.1294244892088626,0.15351030839434437,0.4250708325085233,0.3893268067832964,0.3547269061791703,0.3182840229910495,0.2821245321023323,0.25187396939549866
F,0.23575605350322715,-0.14411971594567405,0.06180808613440378,0.4626927664967527,0.5543604823781921,0.30876311520093624,0.3567234317400158,0.22143963247195567,-0.0,-0.20373863088364835,-0.06039960457345443,0.27695043317546003,0.5591809258274797,0.3107612489928011,0.45605657540983147,0.3480258920247079,0.10356369823922591,-0.1986758409726775,-0.11802985632767848,0.1726236381164774,0.5285905526535457,0.6336009267134807,0.6349405258269187,0.613378915194467,0.6029954241101678,0.5667385489065724,0.49935746746722715,0.4236395019917401,0.28783587076045564,0.25240908737562856,0.3543176831411315,0.2998916369559329,0.3911243068799834,0.33973788998888493,0.14389652336518294,-0.1596730582711399,-0.1265470655966837,0.1234577498430336,0.47193774113604864,0.6963323359432669,0.7182273839318344,0.7041712432178376,0.655351610770455,0.5826000655244397,0.43983800785084487,0.3410797431112648,0.13987462610154333,0.1608841302278704,0.28839428512568444,0.23229818102443708,0.35141748751644886,0.3375621114643657,0.20438792033320322,-0.045867000848925615,-0.15736055695421908,0.1034874724318021,0.410908677925557,0.4384799689149249,0.42422497415685845,0.41033057240713566,0.38826185992567797,0.2470611019767691,0.2689095588157667,0.3125448512325984,0.33334880934595956,0.3364328828102486,0.3311704146824364,0.324697179829747,0.3184070659858106,0.3147306681331118,0.4962194194288138,0.7346547290501976,0.7943737596198832,0.7962620639404384,0.7514174408252808,0.703876316312383,0.5458921466848013,0.44134179640595034,0.2463385497990352,0.0844439273783737,0.11253317980504424,0.1323770244733922,0.31894270400058394,0.3251480206293799,0.21246997075301524,0.011895871644329979,-0.16889106903612838,0.09201533410046717,0.37494981919943277,0.6465105185091468,0.6107664163052932,0.5761665096322509,0.5397236224014449,0.5035641290053924,0.4733135646391215
Ne,0.4394946825465683,0.05961892440822381,0.26554671627811893,0.6664313973757299,0.7580991132616036,0.5125017432167275,0.5604621419573049,0.4251783817142605,0.20373863088364835,-0.0,0.14333904643326345,0.4806890247795293,0.7629194791440318,0.51449995964946,0.6597953234376326,0.5517645030954893,0.3073021700918419,0.005062768743587884,0.08570876349984526,0.37636228304780384,0.7323289185411122,0.8373396362867314,0.8386791078384049,0.817117520745252,0.8067341623528927,0.7704772925326397,0.7030961733390313,0.6273782285512322,0.4915745526964119,0.45614759990646164,0.5580563665638513,0.5036301151119101,0.5948627507312574,0.5434765073339721,0.34763518843351304,0.044065568924390404,0.07719157572461668,0.3271964057326969,0.6756763693567195,0.9000709818121236,0.9219660925682516,0.9079093076555274,0.8590897128588032,0.7863381924683279,0.6435761324082314,0.5448183848376599,0.34361323478343603,0.3646228024221976,0.49213290654750735,0.43603683875404653,0.5551561185350649,0.5413007391973639,0.4081265732545308,0.15787162379852213,0.04637808451168834,0.3072261667290384,0.6146475088087349,0.6422185987774618,0.6279636012869112,0.6140691998449813,0.5920004916346254,0.45079980619786214,0.47264823023824204,0.5162834774049352,0.5370874389854615,0.5401715124701271,0.5349090444545374,0.5284358097320124,0.5221456960075233,0.5184692982219612,0.6999580472953658,0.9383927894061624,0.9981124682964687,1.0,0.9551553811304987,0.9076142673531222,0.7496307274657733,0.6450804293154744,0.45007721483672125,0.2881825646189764,0.31627189257369226,0.33611568461207986,0.5226813644467557,0.5288866820790755,0.41620863928363905,0.21563449504740662,0.03484758019790544,0.2957539329068219,0.5786885623885624,0.8502491483863894,0.8145050428987786,0.7799051338733594,0.7434623056902439,0.7073028066595729,0.6770522368808769
