element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-9.368818481879444,-8.916146189376686,7.919416510959103,9.446887724218621,8.078635463652068,8.077240164837354,-7.6773068282493275,-8.731698894259146,-9.496392952204637,-9.285170057363018,-8.106441095986472,8.933068428416691,9.743273435398242,9.478827986086525,-8.366096530433754,-6.238348753179602,-9.298541909881276,-9.386408004717895,-8.520618387565692,8.460236861569483,9.318621856246905,9.50997457722338,9.536256855748357,9.281314352386701,9.219429355912125,8.627235357065285,8.39925947255031,-1.9999176228070772,-7.974615997327763,8.856889844464366,8.463685253341062,-8.370657999872778,-7.272896014147821,8.198696098504971,-8.943950223649736,-9.517191270657507,-8.694279511045407,8.772732085865384,9.644753369065654,9.765451663965747,9.835683580384845,9.65609324515761,9.301050181561447,8.986422473819507,7.119607908920551,-7.9318627142753915,-8.69143753014275,-6.269614043614534,8.188063880290926,-9.235168170586372,-8.387604018280488,9.757063590917483,-9.391077612137824,-9.375965609369548,-9.41639897217371,-8.619456611867685,-6.383776277896059,9.029188479114499,8.509232918102663,8.424195214637287,8.399416153165893,8.221105987932267,8.14568761847298,8.093206304702015,7.966441783525127,7.719834021014693,7.439012133593428,6.913910763180882,-5.926032755470349,7.753444290945901,9.768819575642475,9.870367433209804,10.078333533146868,9.915943175008008,9.72828065564993,8.906012940166166,-8.016715859171681,-6.5671320790423895,-8.44887132490722,-8.606851156913711,7.095844592466283,-8.274404990320745,-7.566819768440366,8.65056097518754,-9.148197661606428,-9.381713034839587,-9.10848751488173,-9.23145095699323,-8.742612147601292,-8.424548806768065,9.759993578413543,9.68830539227626,9.567878520109712,9.433205714316847
He,9.368818481879444,0.0,8.358653367651133,9.579586216674405,10.101721182791053,9.611870846201848,9.611569830203122,9.165287023857465,8.616498436027788,-7.37486802955154,6.847189780427678,9.036285297486923,9.867588136721919,10.266583975670974,10.118442085626725,8.911858835018334,9.32422841187253,6.679800156440696,-5.34199302011033,8.81002807578758,9.707438565328214,10.037138535403162,10.134992609366385,10.149146105715504,10.01912587519757,9.990012293558367,9.758339717986402,9.690296655041108,9.368275249344455,9.083875236747108,9.838355259981872,9.708432519889783,8.90920683327985,9.237718657945155,9.639031567964416,8.308157078130735,-7.536441511796572,8.656884879888358,9.807640190889348,10.209383749371492,10.27978510466081,10.322366800740163,10.2158470292292,10.028613508736948,9.888887175284689,9.469026403512363,9.097581198505289,8.659826648210293,9.322779649645202,9.63652864136527,7.29089371578902,8.899182968570534,10.274778463946983,-5.578831903917669,-4.443323054641547,-6.349215897150709,8.729055210380414,9.317049256927302,9.906450607494563,9.72176697305338,9.697219749638775,9.69033974237397,9.644388515726432,9.626728180169371,9.615033519899217,9.58869769431439,9.54458865971407,9.504306467029817,9.451126689911362,9.33641382863899,9.550081909980225,10.281800138871493,10.343827716798499,10.478344258581838,10.372457306379616,10.257727079797665,9.857051481049727,9.069589925947254,9.306281175861333,8.86056553362884,8.740219313748138,9.46677973839502,8.961376162434183,9.188634866658056,9.765925971341128,7.749658112874399,-5.030850935845039,7.896047412172027,7.316492781080097,8.604109896129101,8.876360078934624,10.276525303132575,10.234378292351764,10.166402198034229,10.09463610398917
Li,8.916146189376686,-8.358653367651133,0.0,9.230190664690378,9.909419840436522,9.275674557534373,9.27525260962506,8.57423869781074,7.135744603892614,-8.676127827803585,-8.109732497433626,8.327620120312563,9.617723747610178,10.106001564875912,9.929650577268351,8.056266612944393,8.845103397395489,-8.152418203195163,-8.406232408977477,7.797768773940556,9.407016282139773,9.830590549591388,9.949606013918542,9.966617952175937,9.808399140960185,9.772331735961894,9.475158819231407,9.383797139828804,8.915291818558375,8.422021228437195,9.580034955436254,9.408358313524515,8.050016982048469,8.701449585421248,9.313485579287933,-5.352390396987123,-8.722753487989568,7.302263523840751,9.540083635399453,10.038493950006488,10.121484541149748,10.17119101920293,10.04615712243889,9.82009936166454,9.644986796105512,9.069505334321885,8.448425138553532,7.313615523035368,8.842763094884027,9.310011425367462,-7.937753407299245,8.02618448150253,10.115616739717082,-8.418627563553715,-8.37816087198602,-8.484253760332553,7.556920148163728,8.83348578276932,9.667347669393566,9.426317592435932,9.393191645312088,9.383855680446992,9.32089618687688,9.296407389487213,9.28009776754177,9.24308826816715,9.180185697689984,9.12166643808721,9.042696166496258,8.864705692208167,9.188084561496407,10.123844782946515,10.196111075416171,10.350464752103093,10.229223366407298,10.095593791625,9.60417590722031,8.394148088326045,8.815963257442222,7.931114296775709,7.592529604495329,9.06615345773645,8.169091898580461,8.616013905948181,9.485215945715767,-7.574128732210659,-8.393676468199377,-7.36600232594724,-7.924081440919229,7.080099930533664,7.9706494526113705,10.117664554975901,10.06807819719597,9.987294043162782,9.900826050339575
Be,-7.919416510959103,-9.579586216674405,-9.230190664690378,0.0,9.202259023312202,6.164711616831175,6.155213704319114,-8.498614431718522,-9.098896034772658,-9.68413619850664,-9.512381736322098,-8.710277032038356,8.482460512072363,9.567319547497295,9.242873569415057,-8.860497582851316,-8.08983888611824,-9.523050227516215,-9.593856553649731,-8.957551873073614,7.5878226497411605,9.035325799463514,9.282147914047144,9.315045445289256,8.98549124637998,8.901385394705562,7.948895186012585,7.435197478235597,-7.921734593573436,-8.640362568099825,8.360174743511813,7.596056734221171,-8.863281448663136,-8.340423430570414,6.78789016134761,-9.250576674498712,-9.701404961627365,-9.073125738903425,8.21787724894532,9.448679750602974,9.59370864742971,9.676568556075049,9.46245917730979,9.011932369487045,8.564963322494657,-7.323299168655398,-8.618624424530347,-9.071175348224727,-8.094801301299805,6.74357527397434,-9.472746622839491,-8.873669895840541,9.583741327378597,-9.597652755689635,-9.585378466007262,-9.618296907146185,-9.022508699199841,-8.114122874308814,8.62943563512675,7.701288989908893,7.499321714478865,7.435586921210773,6.8767315887470915,6.550026186815041,6.259488604186942,4.893144794227643,-6.211753168000204,-6.956632282004919,-7.4645016230552885,-8.046811132944907,-6.044017892980548,9.597706353833752,9.717114662801551,9.955704658441684,9.770042124808272,9.549416449089223,8.439671124758316,-8.662222307126687,-8.149164613686217,-8.911794057092612,-9.014101698586243,-7.342277172827916,-8.805577264408026,-8.451511255627688,7.994357399179639,-9.404808513037153,-9.590044571992568,-9.374225078462024,-9.469816627364978,-9.106467370060274,-8.896553598089145,9.587224543632653,9.501421021918157,9.354344192868835,9.184751448855131
B,-9.446887724218621,-10.101721182791053,-9.909419840436522,-9.202259023312202,0.0,-9.153224667791124,-9.153700669326225,-9.604169602020866,-9.845006454679929,-10.1650553420003,-10.062398938048302,-9.679307963439769,-8.535267200254875,8.382873274502261,6.021431020939321,-9.738995994977634,-9.4864308954379,-10.068567898683838,-10.110211538541684,-9.78046253282781,-8.980486711652295,-7.33047302780354,6.71652700866302,7.07774841255991,-7.567430153274748,-7.85492054788841,-8.866165508624018,-9.015043069996784,-9.447389897642521,-9.653351038351312,-8.638891767160501,-8.97842731179436,-9.740152305826543,-9.554523731930706,-9.108691788748816,-9.91980750672388,-10.17576629301338,-9.83286901770989,-8.734541876236946,7.927644958421868,8.466657794971642,8.703031602008796,7.989197191855391,-7.450172687212817,-8.450169384323488,-9.344317560475927,-9.645508900603158,-9.831956849181493,-9.487661084197734,-9.112939578664744,-10.03972409369134,-9.744486301625841,8.435579254553431,-10.112475941108665,-10.105158329251084,-10.12486664991843,-9.809509819455853,-9.492494826435918,-8.37254045624735,-8.950176472754752,-9.001301259695719,-9.01495841818537,-9.099521254202976,-9.129260418852354,-9.148200370928329,-9.188819775124365,-9.251198097185704,-9.30278773659183,-9.364215015302907,-9.475951916806208,-9.243784148054509,8.478960683421247,8.806981772389875,9.319515773106604,8.933655454352962,8.323107172384388,-8.574231001750524,-9.661341012327798,-9.50143746817047,-9.760622009306358,-9.805687463954499,-9.34685654170136,-9.716541529136308,-9.588816806761741,-8.847406531826875,-10.0017552726572,-10.107938850166047,-9.985035283474385,-10.038059046138358,-9.848598414621405,-9.754132232945212,8.446500813682428,8.149060308252658,7.39651661681781,-5.154591182449683
C,-8.078635463652068,-9.611870846201848,-9.275674557534373,-6.164711616831175,9.153224667791124,0.0,-1.7050757379574528,-8.590931964705549,-9.150598411751425,-9.713262099963073,-9.546872300133522,-8.785629198235231,8.379000422409211,9.533538985600613,9.195837504790548,-8.925674118070555,-8.225724240205167,-9.557180960098323,-9.625690919580157,-9.016875176398166,7.312784804687405,8.977119202735004,9.236964915288988,9.271357091489751,8.924217494732746,8.83455167660793,7.765473881379113,7.106543757687191,-8.080614097396003,-8.720957184335516,8.242434585440606,7.323608756939841,-8.928283172040976,-8.447741807372548,6.021935857729056,-9.295162236127634,-9.730039283743572,-9.1261431369943,8.080842981953147,9.410561966008702,9.560822493173523,9.646337453721204,9.424872959826196,8.952305565097717,8.470097298550574,-7.59582113538101,-8.700920021123249,-9.124293068642702,-8.23005750831508,5.92404381340199,-9.508607315137326,-8.93802101442449,9.55051994382292,-9.629368558923137,-9.61747984613937,-9.649374479809307,-9.07820296998447,-8.246955277241392,8.540759525602526,7.4596429559575474,7.194547914769575,7.10708467908786,6.204121618353041,5.414295119949649,3.877070565723133,-5.838593862735299,-6.8806337842156715,-7.329592100301088,-7.705106662444554,-8.188255047932662,-6.7982165619506345,9.56495357872233,9.688102395290706,9.932921360511063,9.742546230941437,9.515015047767413,8.331433167289376,-8.74113999147437,-8.277705688143145,-8.973803372145097,-9.070245524658043,-7.610302405709823,-8.874310397003738,-8.54807380306054,7.819845620566451,-9.443142433114039,-9.62199689053672,-9.413726269559083,-9.505773578987977,-9.157790091021806,-8.959493685427526,9.554120879113839,9.465297334587172,9.312375277546174,9.134829127269052
N,-8.077240164837354,-9.611569830203122,-9.27525260962506,-6.155213704319114,9.153700669326225,1.7050757379574528,0.0,-8.59009624971508,-9.150120970045622,-9.712990134345985,-9.5465510917538,-8.784941385606318,8.38003245475443,9.533864400204461,9.196293615790946,-8.9250762162333,-8.224519909047778,-9.556863046461594,-9.625394059986817,-9.016329405401649,7.315779265191757,8.977686792413005,9.237402652160146,9.271780032706218,8.924815910068016,8.83520621013503,7.767381273374193,7.110226982812434,-8.079220027710546,-8.720223402722192,8.243617546145188,7.326574239109656,-8.927685697184229,-8.446777372657673,6.0327806321791035,-9.294749071507361,-9.729771843486276,-9.125653304932126,8.082234990709019,9.410929956023507,9.561139150735746,9.646628161614405,9.425235721990358,8.952888100270515,8.471040428987054,-7.593556294511888,-8.700170523025715,-9.123802897903632,-8.228858387680212,5.936010896434822,-9.508273179378895,-8.937429750741554,9.550840184887372,-9.629072643213224,-9.617181286232794,-9.64908456931277,-9.0776896725669,-8.24577626068416,8.54163846781702,7.462231864182501,7.197921434599515,7.110765921992818,6.213178456934869,5.434139959636929,3.9662163007264475,-5.825393899054963,-6.875997682175995,-7.326635429084479,-7.703076560798531,-8.18700470663851,-6.793186945725993,9.565268931049191,9.688381213492551,9.93313963890164,9.742810276989893,9.515342618953921,8.332516737073476,-8.740422020682573,-8.276561081518864,-8.973240647603935,-9.06972812534884,-7.608072724277837,-8.873680247340253,-8.547200473002633,7.821650147502385,-9.442785706707918,-9.62170060192949,-9.41335906987479,-9.505445595143716,-9.157315525236685,-8.958915009681117,9.5544396655802,9.4656457272673,9.312781224912936,9.135313924263526
O,7.6773068282493275,-9.165287023857465,-8.57423869781074,8.498614431718522,9.604169602020866,8.590931964705549,8.59009624971508,0.0,-8.303615743392424,-9.31953790547578,-9.061748474143725,-7.054413927926221,9.183614567400713,9.862510593944702,9.631524334755651,-7.669039975862289,7.407197374696918,-9.07844013856039,-9.186804480068364,-7.958352200954048,8.836515567167071,9.4956254504263,9.658318791567629,9.681018437023534,9.464465467754566,9.413207912381369,8.954082496416799,8.795063189614535,7.67434778084746,-6.617982870969447,9.12482662918826,8.838888601578741,-7.678173095807462,6.577987710953353,8.664578848453747,-8.613158372416638,-9.344310365905496,-8.245610785381153,9.061096660670563,9.775561119582225,9.882220325684392,9.94494952978329,9.785517470307667,9.480929103933846,9.225391434627292,8.129697676248846,-6.440629329092233,-8.241156150968706,7.397276164953955,8.65792119389961,-8.998826148893304,-7.71176081534994,9.874760554099629,-9.192502121243308,-9.174041099876172,-9.22330143243597,-8.125802028838354,7.35732548040612,9.25921473808933,8.870413133346426,8.811926100231258,8.795168660118046,8.678710998655692,8.631641559126756,8.599687090659735,8.525236787793775,8.391728486571811,8.25814244605737,8.059600757768468,7.48725358740961,8.409024357013084,9.885217618893032,9.976098630170922,10.165045839856333,10.01719421364887,9.849214300164734,9.162619746284083,-6.772391439800069,7.278270767632909,-7.828831066816183,-8.105063749151114,8.121105743930494,-7.475554860879579,5.4241771080497365,8.970959303464303,-8.887332276886061,-9.18106848190496,-8.835474802941528,-8.99411559721543,-8.320309245006111,-7.783132427494226,9.877365232972231,9.81387398901355,9.708436256534133,9.592490505684323
F,8.731698894259146,-8.616498436027788,-7.135744603892614,9.098896034772658,9.845006454679929,9.150598411751425,9.150120970045622,8.303615743392424,0.0,-8.870154240371093,-8.429838467480602,7.966062590031036,9.530518412853406,10.053392357344306,9.866569059884835,7.548778818525638,8.645630487318797,-8.461011393227476,-8.653460539384293,7.073328910497199,9.29820678329312,9.760705487238827,9.88781016229653,9.905896779585346,9.736888478905312,9.69809489787432,9.373892856673027,9.272283722262829,8.730671378619856,8.098952323523571,9.48932371626646,9.29970296574197,7.538381070819833,8.467277546500583,9.19334197861645,-7.290413569804736,-8.908713128775673,5.431929743574967,9.44549497660687,9.982105101165878,10.06970490227768,10.121985071456205,9.99021100969318,9.749450606516891,9.560229133305942,8.913449898546597,8.135244789205313,5.5034118640640575,8.642772645916713,9.189424116931942,-8.307983385924464,7.498304371789504,10.063523958148743,-8.66315297682591,-8.631604152722469,-8.71490412697467,6.490505704923887,8.631429730713796,9.584544038624852,9.319703092439061,9.282780688324129,9.272349168618256,9.201694600001911,9.174062386947982,9.155610469636734,9.113590256187214,9.041671097845285,8.97415809812007,8.8820411017977,8.669508722013056,9.050738162692717,10.072190420170916,10.148145710785196,10.309502544614181,10.182857031308556,10.042419284939516,9.515726910493173,8.060241432167325,8.609942516869202,7.3313621782508145,6.590657567093068,8.909530809526721,7.729767057529413,8.358027979562257,9.385015840464654,-8.071602009452942,-8.643662293768399,-7.950278236794539,-8.298561893837242,-4.233778889056567,7.402251585402812,10.065681499188756,10.013378936020748,9.927853137953006,9.835838535486083
Ne,9.496392952204637,7.37486802955154,8.676127827803585,9.68413619850664,10.1650553420003,9.713262099963073,9.712990134345985,9.31953790547578,8.870154240371093,0.0,7.83819290654537,9.21002711442127,9.946983164954784,10.320546902260366,10.18075832346871,9.106512183662042,9.457249529858695,7.77927550217318,7.235222586352734,9.023464755358482,9.800003112977185,10.104558822490494,10.196316695879192,10.209633899470404,10.087730486604817,10.060574011747143,9.846507386939987,9.784388891091607,9.495914799349448,9.250177283229572,9.920011861303871,9.80090923218187,9.104332049262311,9.3819318051798,9.73783609962439,8.63962723497893,-5.637495133223985,8.90163592177182,9.89174026135487,10.266434392675265,10.333058859336703,10.373475466482383,10.272540351258513,10.096591828699134,9.966672449026696,9.585114803902236,9.261799863710202,8.903943739885403,9.455981330360448,9.735568916082887,8.026582771530483,9.096092388541825,10.328312690614194,7.1941640643024245,7.320741041740074,6.931801127959693,8.958572060264588,9.450967378065386,9.982932113563773,9.81307299203656,9.790691958788518,9.784427827623459,9.742690285639625,9.726696689618327,9.716120495412081,9.69234709409167,9.652668353317157,9.616588228871016,9.569192668412786,9.467925282289352,9.657600148346246,10.334969454228668,10.393877933546936,10.522231167406256,10.421128741438709,10.312157241027478,9.937254644928657,9.238095858873681,9.441559632673183,9.064492012086193,8.967465490463379,9.583114627564619,9.1474495409427,9.339587742213425,9.853455322956522,8.27261121355581,7.27467962677918,8.361956670998223,8.038930882434462,8.86055743718423,9.077387111074357,10.32996843652629,10.290059134667649,10.22588533421248,10.158406760990719
