element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-7.835602964829204e-18,-0.8896283309833757,-0.5657105839887623,0.20874709891074558,0.9618701112391606,0.24478883904856058,0.24444741777279566,-0.16384389847500444,-0.47041163426645105,-1.0106899170905963,-0.818233623152625,-0.25169300129096256,0.575366427466618,1.2937307547698587,0.9930908650716607,-0.32633828172304075,-0.038801713241216965,-0.8292494245206998,-0.9054162483349818,-0.38088202722999226,0.3585599078428515,0.8460705516538514,1.0245114065059486,1.0517968879760382,0.8150845378055863,0.7661675592507653,0.423742863619513,0.3373446301195436,-0.00048508162978842356,-0.22059809845434133,0.5331581372117709,0.35979875951405516,-0.3278306111992203,-0.10931922917919996,0.2760250671368634,-0.5816624673611858,-1.0319322841100498,-0.4531316001312428,0.49011879958908233,1.1723425883379257,1.322745655423705,1.4189901093390698,1.1857133371115502,0.831332208826238,0.6069024106824336,0.09377226531135514,-0.21136239428720932,-0.45184542149588675,-0.04003643547793761,0.2731050517029679,-0.7783227265909771,-0.33343467063966725,1.3116961381919578,-0.9096544289532291,-0.896009938689557,-0.9329841627126343,-0.42045887442248225,-0.04488738297162745,0.633423508379845,0.37656924017018106,0.3458642421856126,0.33739750152263387,0.2822823101746056,0.2617705165802899,0.24838284495046273,0.2188016141826884,0.170965302056044,0.12908805015748062,0.07632396982731326,-0.028372795274788802,0.17681174395670154,1.3272083123900642,1.469072287978886,1.808697385672925,1.5375790738468404,1.2744776852538369,0.5600062786167633,-0.2300867792495432,-0.05393587831093492,-0.3545068950292267,-0.41519111289329735,0.09156841008463919,-0.2977400034062358,-0.14669754281641056,0.4337448972945667,-0.7134853330189179,-0.9011749539930463,-0.6857049426822008,-0.7754346236930952,-0.4755743037824327,-0.3459865855371436,1.3155452501238198,1.2245320154219699,1.085590343996274,0.9487983836321094
He,0.8896283309833757,-7.835602964829204e-18,0.32391774699461334,1.0983756927666932,1.8514989048029342,1.1344174636403956,1.1340760143715636,0.7257844325083711,0.41921669671692474,-0.1210630712031572,0.07139282786663546,0.6379353296924131,1.4649947584499938,2.183359085753234,1.8827191960550365,0.563290049260335,0.8508278425230897,0.060377346329230364,-0.015788247637074686,0.5087463037533836,1.2481882388262273,1.7356988826372275,1.914139737489325,1.941425218959414,1.7047128687889619,1.6557958902341405,1.3133711946028888,1.2269729611029192,0.8891451459345129,0.6690323301968082,1.422786468195146,1.24942957350487,0.5617979810593262,0.7803105564172831,1.1656533981202393,0.3079634741868885,-0.14230586405945228,0.43649703181668664,1.3797475072048304,2.0619709193213014,2.212373986407081,2.308618440322446,2.075341668094926,1.7209642518618198,1.496534041460962,0.9834038104956992,0.6782662376778985,0.437783219234257,0.8495959778318039,1.1627393115684925,0.1113059148961682,0.5561939668438435,2.201324727488198,-0.020027742034051308,-0.006382546959642935,-0.04335997956754117,0.4691694565608936,0.8447409480117483,1.523051839363221,1.2662026273530236,1.2354974103962955,1.2270258325060095,1.1719149055516465,1.1513988475636656,1.1380111759338383,1.108429945166064,1.0605974976678263,1.018720360222191,0.9659564222580237,0.8612598899726985,1.0664400749400773,2.2168366433734397,2.3587006189622617,2.698325716656301,2.427207404830216,2.1641060162372128,1.4496388550612653,0.6595418592821327,0.8356926949628583,0.5351217464965474,0.4744375124170623,0.9811967410680149,0.5918886466932695,0.7429310960637173,1.3233732282779425,0.176143281976994,-0.011546321342247035,0.20392367197452613,0.11419399439665986,0.4140543164701478,0.5436420605779307,2.205173581107195,2.114160346405346,1.9752186749796499,1.8384267146154853
Li,0.5657105839887623,-0.32391774699461334,-7.835602964829204e-18,0.7744578693374334,1.527581081373674,0.8105001396733434,0.8101581909423039,0.401866685513758,0.09529894972231133,-0.4449793331018341,-0.2525230391638629,0.31401758269779984,1.1410770114553803,1.859441338758621,1.558801449060423,0.23937230226572162,0.5269100955284765,-0.26353884053193743,-0.3397056643462194,0.18482855675877022,0.924270491831614,1.4117811356426138,1.5902219904947112,1.6175074719648004,1.3807951217943482,1.3318781432395275,0.9894534476082755,0.9030552141083059,0.5652273989398995,0.34511298992481015,1.0988687212005335,0.9255118265102567,0.2378805056334053,0.4563928094226697,0.8417356511256258,-0.015954053963622764,-0.46622170012128716,0.11257953177465896,1.0558298852497616,1.7380531723266883,1.888456239412467,1.9847006933278324,1.7514239211003124,1.3970465048672065,1.1726162944663483,0.6594860635010859,0.354348720301297,0.11386568287932333,0.5256782308371906,0.8388161424647592,-0.21261158825215776,0.23227645326677995,1.8774071562525376,-0.3439435199225081,-0.33030010461296583,-0.36727749414298366,0.14525170956628009,0.5208232010171349,1.1991340923686074,0.9422848803584101,0.9115796634016822,0.9031080855113962,0.8479971585570332,0.8274811005690522,0.8140934289392252,0.7845121981714507,0.7366797506732128,0.6948026132275777,0.6420386752634105,0.5373421429780851,0.7425223279454638,1.8929188963788264,2.034782871967648,2.374407969661687,2.103289657835603,1.8401882692425995,1.125721108066652,0.33562434425255533,0.5117752358866569,0.21120420934598347,0.15051999148191295,0.6572789940734015,0.26797112149881813,0.4190135860371966,0.999455481283329,-0.14777423477757715,-0.33546605857447653,-0.11999383548115422,-0.20972351941558326,0.0901368005927778,0.21972451874036839,1.8812558341125825,1.7902425994107323,1.6513009279850368,1.514508967620872
Be,-0.20874709891074558,-1.0983756927666932,-0.7744578693374334,-7.835602964829204e-18,0.7531232120362407,0.036041740137814915,0.03570032160487037,-0.37259099738575013,-0.6791587331771967,-1.219437016001342,-1.0269807220633709,-0.4604401002017082,0.3666193285558724,1.084983655859113,0.7843437661609152,-0.5350853806337863,-0.24754758737103147,-1.0379965234314457,-1.1141633472457273,-0.5896291261407377,0.1498128089321059,0.637323452743106,0.8157643075952032,0.8430497890652927,0.6063374388948406,0.5574204603400194,0.2149945561262683,0.1285962726616393,-0.20923172943579266,-0.4293430996973131,0.32441103830102536,0.15105210069438763,-0.5365772735645981,-0.3180648734768383,0.0672779682261178,-0.7904095662719314,-1.2406793830207952,-0.661878272537351,0.2813721192879333,0.96359548942718,1.113998556512959,1.2102430104283244,0.9769662382008046,0.6225855520218646,0.39815575363745676,-0.11497441269942373,-0.4201090562597557,-0.6605884614555457,-0.2487794520623175,0.0643583566743814,-0.9870693849809847,-0.5421813253324455,1.1029493763674005,-1.118401263570862,-1.104756660690423,-1.1417312616233797,-0.6292059733332279,-0.25363448188237303,0.4246764094690994,0.16782256818585342,0.13711757060651633,0.12864639290633698,0.07353563967471229,0.053019815494060006,0.039632329468210714,0.010051173299142685,-0.03778136802181981,-0.07965861297774751,-0.13242269271890508,-0.23711887469335866,-0.03193535495404403,1.1184612134793186,1.2603251890681402,1.5999502867621795,1.3288319749360946,1.065730586343091,0.3512596227423254,-0.4388334378923638,-0.2626825400571693,-0.5632535567626742,-0.6239377758750607,-0.11717868882610644,-0.5064866643051944,-0.35544420579817415,0.22499779838382103,-0.9222319994472816,-1.109923972897334,-0.8944516300730064,-0.984181286795747,-0.6843209643903986,-0.5547332484211108,1.1067981512130745,1.0157849165112243,0.8768432450855287,0.7400512847213637
B,-0.9618701112391606,-1.8514989048029342,-1.527581081373674,-0.7531232120362407,-7.835602964829204e-18,-0.7170814411625385,-0.7174228904313704,-1.1257140097141647,-1.4322817455056116,-1.972560028329757,-1.7801037343917856,-1.213563112530123,-0.3865036837725425,0.3318606435306981,0.03122042454783527,-1.288208392962201,-1.0006705996994465,-1.7911195357598602,-1.8672863595741422,-1.3427521384691528,-0.603310203396309,-0.11580273524276273,0.06263888022274812,0.08992491295924632,-0.1467871584661929,-0.1957039913748782,-0.5381272476196475,-0.624525481119617,-0.9623532962880235,-1.182466112025728,-0.4287119740273896,-0.6020688687176663,-1.2896989116879676,-1.071187885805253,-0.6858450441022971,-1.5435325786003462,-1.99380239534921,-1.415001674511298,-0.47175112510742473,0.2104724770987652,0.36087009351720234,0.4571155220627818,0.22383936273122543,-0.13053766590604074,-0.3549674634634147,-0.8680946317268368,-1.1732287222133824,-1.4137114737839607,-1.0019024643907324,-0.6887648893579565,-1.740192636521074,-1.2953009212125943,0.349824940526271,-1.8715196106219854,-1.8578739884673954,-1.894854273951795,-1.3823296776193736,-1.006757494210788,-0.3284484623164063,-0.5852958148695127,-0.6160010318262407,-0.6244726097165266,-0.6795835366708897,-0.7000995946588706,-0.7134872662886979,-0.7430684970564722,-0.7909009445547098,-0.8327780820003452,-0.8855420199645124,-0.9902385522498378,-0.7850583672824589,0.3653382011509038,0.5071986353811916,0.8468272744337645,0.5757043262238695,0.3126032887434619,-0.40186359215108075,-1.1919524394638608,-1.0158016237524254,-1.3163722869578536,-1.3770557178317349,-0.8703017011545213,-1.2596030177246027,-1.108561989877814,-0.5281252139445938,-1.675355376977426,-1.8630472459198868,-1.647575073993967,-1.737297417608548,-1.4374359682408,-1.30785649511257,0.3536673479308985,0.2626551343502242,0.12371415200474602,-0.01307722609601345
C,-0.24478883904856058,-1.1344174636403956,-0.8105001396733434,-0.03604174013781493,0.7170814411625385,-7.835602964829204e-18,-0.00034182665534657366,-0.408632737523565,-0.7152004733150116,-1.255478756139157,-1.063022462201186,-0.4964818403395231,0.3305775884180574,1.048941915721298,0.7483020260231001,-0.5711271207716013,-0.28358932750884636,-1.0740382635692602,-1.1502050873835423,-0.6256708662785526,0.11377106879429096,0.601281712605291,0.7797225674573882,0.8070080489274777,0.5702956987570258,0.5213787202022045,0.17895248051631446,0.09255419215108461,-0.24527381638344842,-0.46538483983512796,0.2883692981632104,0.11501003645203858,-0.5726193661898367,-0.3541066136146532,0.031236228088302887,-0.8264513064097463,-1.2767211231586104,-0.6979203486218648,0.24532997957893776,0.9275537492893651,1.0779568163751447,1.1742012702905094,0.9409244980629894,0.5865434530687441,0.36211370613958016,-0.15101649929937727,-0.45615114386892625,-0.6966302015933606,-0.2848211922001324,0.02831626863891298,-1.0231114843337734,-0.5782234241609869,1.0669073473775825,-1.1544431944504139,-1.1407987165139346,-1.177773001761195,-0.6652477134710427,-0.289676222020188,0.3886327461897101,0.13178048740928378,0.1010754837230419,0.09260431132112362,0.03749355778024107,0.016977744491041093,0.0035902157670000055,-0.025990921707194997,-0.07382344758865701,-0.11570069948831277,-0.16846477476244118,-0.2731572800592378,-0.06797709509185895,1.0824194733415036,1.2242834489303251,1.5639085466243643,1.2927902347982796,1.0296888462052765,0.3152175222800363,-0.4748745875470698,-0.29872462789265186,-0.5992910147672537,-0.6599744456411346,-0.15322042896392138,-0.5425287529879529,-0.3914862923981276,0.18895605824600614,-0.9582740815762975,-1.145963754519712,-0.9304937001757718,-1.020216145417948,-0.7203630533641495,-0.5907753352072901,1.0707564110752592,0.9797431763734091,0.8408015049477137,0.704009544583549
N,-0.24444741777279566,-1.1340760143715636,-0.8101581909423039,-0.03570032160487038,0.7174228904313704,0.000341826655346558,-7.835602964829204e-18,-0.40829131624779996,-0.7148590520392466,-1.255137334863392,-1.0626810409254208,-0.49614041906375816,0.3309190096938223,1.049283336997063,0.7486434472988651,-0.5707856994958362,-0.2832479062330815,-1.0736968422934954,-1.1498636661077775,-0.6253294450027879,0.1141124900700559,0.6016231338810559,0.7800639887331533,0.8073494702032424,0.5706371200327905,0.5217201414779695,0.17929428374820697,0.09289599883734642,-0.24493202003751058,-0.46504341855936304,0.28871071943897525,0.11535182837516014,-0.5722772973480909,-0.3537651923388883,0.031577649364067796,-0.8261098851339813,-1.276379701882845,-0.6975785313881498,0.24567182462574963,0.92789517056513,1.0782982376509094,1.1745426915662744,0.9412659193387546,0.5868852790462095,0.3624554593437997,-0.15067468621030644,-0.45580933065439677,-0.6962887803175957,-0.2844797709243675,0.02865808162318589,-1.0227696579421033,-0.5778815978190854,1.067249093956149,-1.1541016046471666,-1.1404581479283322,-1.1774315804854298,-0.664906292195278,-0.2893348007444231,0.3889745488456777,0.1321222938374147,0.10141729625817478,0.0929461185575751,0.037835364082160095,0.017319552291649498,0.003932047180655171,-0.0256491011698473,-0.07348163547867742,-0.11535889161295164,-0.16812296706768828,-0.27281585878347286,-0.06763567381609402,1.0827608946172684,1.2246248702060902,1.5642499679001294,1.2931316560740447,1.0300262227295893,0.3155593499028038,-0.47453370933210004,-0.29838281445181025,-0.5989538311573153,-0.6596330243653699,-0.15287900768815646,-0.542186938537332,-0.3911444786186838,0.18929747952177103,-0.957932273790037,-1.1456242463161297,-0.9301520580302497,-1.0198815609725789,-0.7200212387850395,-0.5904335228185696,1.0710978323510243,0.9800845976491742,0.8411429262234785,0.7043509658593139
O,0.16384389847500444,-0.7257844325083711,-0.401866685513758,0.37259099738575013,1.1257140097141647,0.408632737523565,0.40829131624779996,-7.835602964829204e-18,-0.30656773579144664,-0.8468460186155919,-0.6543897246776208,-0.08784910281595813,0.7392103259416224,1.457574653244863,1.1569347635466651,-0.16249438324803628,0.12504341001471855,-0.6654055260456951,-0.7415723498599773,-0.21703812875498774,0.522403806317856,1.009914450128856,1.1883553049809532,1.2156407864510428,0.9789284362805907,0.9300114577257695,0.5875867620945174,0.5011885285945479,0.16335956885982597,-0.056753452413621557,0.6970020356867753,0.5236451409964987,-0.16398595842755181,0.054525404683667705,0.4398689656118679,-0.4178185688861813,-0.868088385635045,-0.2892869143779982,0.6539632741436848,1.3361864868129303,1.4865895538987095,1.5828340078140744,1.3495572355865548,0.9951798193534483,0.7707496089525908,0.2576169035258638,-0.04751774824648935,-0.28800077545516706,0.12380821224873576,0.4369496930041115,-0.61447805862148,-0.16959000998150875,1.475540631414576,-0.7458100566449549,-0.7321665633822739,-0.7691402642376298,-0.25661497594747784,0.11895651550337699,0.7972674068548495,0.5404181948446521,0.5097129778879241,0.5012413999976384,0.44613047304327513,0.42561441505529424,0.41222674342546717,0.3826455126576928,0.33481306515945497,0.2929359277138198,0.2401719897496525,0.13547185233728493,0.34065564243170604,1.491052210865069,1.6329161864538904,1.9725412841479293,1.701422972321845,1.4383215837288412,0.7238509411645473,-0.0662421168172137,0.10990878413500806,-0.1906622489885069,-0.2513464668525774,0.2554123085596436,-0.1338953553708633,0.017147104136755686,0.5975887957695711,-0.5496406909110408,-0.7373304341236301,-0.5218603109729301,-0.6115899778614153,-0.3117296577417126,-0.18214193970546366,1.4793891485988244,1.3883759138969742,1.2494342424712788,1.112642282107114
F,0.47041163426645105,-0.41921669671692474,-0.09529894972231133,0.6791587331771967,1.4322817455056116,0.7152004733150116,0.7148590520392466,0.30656773579144664,-7.835602964829204e-18,-0.5402782828241454,-0.34782198888617427,0.21871863297548844,1.045778061733069,1.76414238903631,1.4635024993381116,0.1440733525434103,0.4316112133369917,-0.3588377902542488,-0.43500461406853075,0.0895280316981929,0.8289715421093026,1.3164821859203026,1.4949230407724,1.5222085222424893,1.2854961720720373,1.2365791935172161,0.894154497885964,0.8077562643859945,0.4699284492175882,0.2498146032696348,1.0035697714782221,0.8302128767879452,0.14258228994043665,0.36109385970035845,0.7464367576241399,-0.11125244818704695,-0.5615206498435985,0.017281146972585617,0.9605312957185785,1.6427542226043765,1.793157289690156,1.8894017436055208,1.6561249713780013,1.3017475551448954,1.0773173447440372,0.5641871137787747,0.2590503267922193,0.01856728816383222,0.43037928111487916,0.7435177460397538,-0.30790997478932014,0.13697806877317814,1.7821075992806057,-0.439242107681556,-0.42559849180792375,-0.46257588903632973,0.04995174335351275,0.4255242512948236,1.1038351426462962,0.8469859306360988,0.8162807136793708,0.807809135789085,0.7526982088347217,0.732182150846741,0.7187944792169139,0.6892132484491394,0.6413808009509016,0.5995036635052664,0.5467397255410992,0.44204319325577374,0.6472233782231528,1.7976199466565148,1.9394839222453368,2.2791090199393764,2.0079907081132915,1.7448893195202881,1.0304221583443405,0.24032595975895346,0.41647683910116695,0.11590581463049233,0.055221596766421854,0.5619800443510902,0.17267272678768433,0.32371518855290304,0.9041565315610176,-0.24307263639432136,-0.4307624050670753,-0.21529221532320095,-0.3050219142969331,-0.005161596375553119,0.12442612385901859,1.785956884390271,1.694943649688421,1.5560019782627252,1.4192100178985607
Ne,1.0106899170905963,0.1210630712031572,0.4449793331018341,1.219437016001342,1.972560028329757,1.255478756139157,1.255137334863392,0.8468460186155919,0.5402782828241454,-7.835602964829204e-18,0.19245629393797117,0.7589969157996338,1.5860563445572142,2.3044206718604547,2.003780782162257,0.6843516353675557,0.9718894286303106,0.18144049256989664,0.10527460431233852,0.6298078898606042,1.369249824933448,1.8567604687444477,2.035201323596546,2.0624868050666345,1.8257744548961825,1.7768580002131211,1.4344332315638306,1.3480349268299563,1.0102067320417336,0.790093916304029,1.5438480543023672,1.3704911596120903,0.6828611166417894,0.9013721425245038,1.28671498422746,0.42902744972941065,-0.02124236701945312,0.5575601457721688,1.500810095600704,2.183032505428522,2.3334355725143014,2.429680026429666,2.196403254202147,1.8420258379690402,1.6175956275681822,1.1044653966029199,0.7993313061163746,0.5588485545457963,0.9706575639390246,1.2838008976757131,0.23236901533648238,0.6772570665168804,2.3223865741485317,0.10103666415615296,0.11468047544311515,0.07770309163561596,0.5902310426681141,0.965802534118969,1.6441134254704413,1.3872642134602442,1.356558996503516,1.3480874186132306,1.292976491658867,1.2724604336708867,1.2590727620410591,1.2294915312732848,1.181659083775047,1.1397819463294117,1.0870180083652445,0.982321476079919,1.1875015537371019,2.3378982294806607,2.4797622050694823,2.8193873027635212,2.5482689909374368,2.2851676023444334,1.5707004411684862,0.7806049744488581,0.9567584045773313,0.6561877413719033,0.5955043104980223,1.1022583271752355,0.7129517027272333,0.8639980384519429,1.444434814385163,0.2972062669478934,0.10951452188031548,0.3249897660230067,0.2352570655998171,0.5351174133157375,0.6647051246156093,2.326235167214416,2.235221932512566,2.0962802610868705,1.9594883007227055
