element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-9.49839637589311,-8.242790700772376,8.331487310392887,8.203667762929854,8.094510077868499,7.701959088168505,-7.380730150631951,-8.895893817624389,-9.492579189850472,-8.770990535241735,-7.277064403622504,-8.968823162468999,-6.841305864347119,7.926261450080081,6.210337956919951,-8.910063337076288,-9.448750865919413,-8.969997634674144,-8.315416992870947,6.776253638958059,8.772691455659883,9.10574304545405,9.028924969730014,8.925510569892829,9.126384078073007,8.468306603456046,7.489521823044248,-6.878499321797627,-7.916545593873619,-8.65969957512808,-7.007162362577059,7.158748622693133,-3.699928186086982,-8.870075624830411,-9.388451836374905,-9.003722898419591,-8.558139171081178,-5.821032389702081,8.863419147234099,9.485799173883088,9.475912450187266,9.654034729962447,9.248099809641774,8.369620556773748,-7.5238999279807075,-8.505533530888124,-8.317147519427845,-8.763299771443407,-7.7135734960743765,5.53582356981135,-5.720873449845899,-8.79068229651355,-9.276239384148681,-8.947751415945284,-8.560247912700856,-6.129851757061524,6.523245895148965,4.712015710374038,-6.901642881066932,-7.7225616863835125,-8.081444077773178,-8.182065865986434,-8.426735162269134,-8.68174833855105,-8.808712072075572,-8.838763770283755,-8.817072361967295,-8.664393458189164,-8.19254438469366,-7.942560180147636,8.50984510079389,9.811694038682845,9.941801184661008,9.974811671320145,9.753876258462146,9.253924922270453,7.853706622216308,-8.266339128666909,-9.190637926506687,-8.789271831953755,-7.9318489069339,-5.636084007837672,4.62544578363517,-8.637674808917286,-9.210279291851315,-8.86080756321857,-8.651768621685866,-7.412618264901934,8.867178421395357,8.897781215197842,8.379302911832749,8.642593729886949,8.349293108220882,6.588297899182527
He,9.49839637589311,0.0,9.163161991978042,9.769379355519796,9.740477282791106,9.717986074809904,9.651815821633793,9.370293535205198,8.705747599210358,4.361394389526958,8.838518021711923,9.383670443562387,8.609766382889887,9.425742850783955,9.686970505964497,9.534970625754822,8.68831727310316,6.4723743365201925,8.608082435432152,9.132695831927446,9.561989600529987,9.893075729133864,10.014321686580377,9.984062828328199,9.945528469341014,10.022693335134175,9.803589995376855,9.624193485186137,9.422880107323735,9.268329877135868,8.932412898504003,9.412040068731722,9.590325102139717,9.495434835411164,8.736087881324227,7.236866968770857,8.557569641188216,9.003358341043949,9.472858630034732,9.923580917752686,10.185227071697614,10.18032686964998,10.272353079949749,10.074163822551398,9.77853343005794,9.34901871554143,9.03566315710334,9.13193042655863,8.845653660001847,9.314771897914945,9.5171585255868,9.47532812191787,8.819755021244067,7.88537891595732,8.639187725624906,9.002004787301948,9.463427339219411,9.548105005780217,9.506630043597854,9.421040051196789,9.312949554803941,9.220827362577545,9.186363817127495,9.079292430665982,8.9152949529904,8.801924738912216,8.770727638125209,8.793436311594867,8.928824637169788,9.182497940506513,9.26148626111065,9.814695439421117,10.360380309467057,10.437593877405744,10.457829577694767,10.327387421769666,10.076718015040324,9.674810586733011,9.153626263761245,8.170302828927923,8.82112304836753,9.264331345331717,9.477229678336409,9.505943762704018,8.948861205923446,8.11370563855507,8.74658085109158,8.938408928581051,9.365853024418294,9.924884771985319,9.935618088809983,9.780940946513033,9.852474946621596,9.773635843084383,9.55136402904135
Li,8.242790700772376,-9.163161991978042,0.0,8.981143966564781,8.91643361179142,8.864400680692698,8.70148104547278,7.694561114787446,-8.161282428997364,-9.155020358952735,-7.880585964775054,7.764039496402885,-8.307846956408005,7.960470398480315,8.789993030784208,8.365672588127328,-8.19063159118978,-9.093038884523871,-8.310034230803543,-5.660380381851769,8.450178882820257,9.235486984797918,9.457669231103118,9.404262616759569,9.33435864280436,9.472231079154973,9.05492281619803,8.628435176745542,7.947948498596824,6.9649376770309654,-7.5840983282507315,7.8997526995119465,8.533938781725261,8.232356681468048,-8.10672233623035,-9.005829235051227,-8.374287033603213,-7.251237495709084,8.150124910635048,9.293554201360088,9.739230583899273,9.73156567884929,9.872186305114994,9.559865947989652,9.001238978932541,7.57525435884975,-7.041332810778869,-5.684724483987029,-7.861746256680774,7.354108461232851,8.307150199572051,8.159363009518712,-7.927895785351982,-8.836672912680468,-8.266536948854636,-7.259006691691205,8.114253355756633,8.40735924416061,8.271396478393932,7.939951706018605,7.341089833480905,6.34076596315781,5.415634734515252,-6.64435344653315,-7.647410217468136,-7.970106220510634,-8.038295931189133,-7.989339503324484,-7.597797477908123,5.232313652691519,6.894238558432899,9.078239471897723,10.000841149778765,10.109699443762292,10.137678480433216,9.953228819903766,9.564134115173722,8.760044366462957,-4.516876270907397,-8.700476490607242,-7.9245502032785184,6.924178205707052,8.166434052160747,8.269033648833116,-7.518102059607283,-8.732346107993047,-8.086730989377562,-7.5606667973396675,7.6706040751408935,9.296001082883818,9.316037852826977,9.006399107019972,9.155582693386505,8.990481978209493,8.417310875109948
Be,-8.331487310392887,-9.769379355519796,-8.981143966564781,0.0,-6.213127510146016,-6.776687052487524,-7.570912498138617,-8.658058930715054,-9.346041498394898,-9.764943042655883,-9.268245245325915,-8.630225131035672,-9.393156997687782,-8.534502302099643,-7.233118857989285,-8.204048051516148,-9.355108834249133,-9.731767692218229,-9.393925387593647,-9.016510091912073,-8.094625787070063,7.742373770709848,8.487781741657388,8.34028873106924,8.122618663513453,8.525781334014201,6.413223830693749,-7.7682765500254,-8.541448011996952,-8.838387946932404,-9.202045260227385,-8.567145366269187,-7.961470426301612,-8.340941107067692,-9.329669614672923,-9.686647461907073,-9.416125723147792,-9.144261320712035,-8.409364869431496,7.97831832307346,9.107172876233683,9.092702488987419,9.344254950125647,8.737649162669907,5.09012073485645,-8.700075131388006,-9.115329350764002,-9.017368966116054,-9.263574686585281,-8.76250781693498,-8.268724800365694,-8.402177384394554,-9.280267745738723,-9.604594449921587,-9.37942220035091,-9.145435402415018,-8.436190833830162,-8.152717874988346,-8.304572366000475,-8.545876520176632,-8.765665400539502,-8.907365433192965,-8.952664503626869,-9.073350488579425,-9.214923017450172,-9.291356512565399,-9.310009279612801,-9.296572858321667,-9.20477682862898,-8.957445305378872,-8.84881729480914,6.69926009723057,9.553524405563573,9.7189366303594,9.760021009088222,9.478018398549981,8.747335279690246,-7.364120482258783,-8.992466303216677,-9.543700137054492,-9.279403564260539,-8.844503762861276,-8.396595853830844,-8.306852585119865,-9.189299696562928,-9.557539025255684,-9.323826329247126,-9.197442087469986,-8.667050825046136,7.987403290675983,8.059635078820456,5.31999076745307,7.32410959987458,4.3254982588833295,-8.139453841029548
B,-8.203667762929854,-9.740477282791106,-8.91643361179142,6.213127510146016,0.0,-5.937266121520211,-7.274237099035572,-8.567523183830025,-9.301563636738868,-9.735913690323002,-9.220080968114038,-8.53700825673567,-9.350770125350168,-8.431425866452225,-6.787025925973445,-8.057601319185212,-9.311041387692955,-9.701715879466496,-9.351571726707558,-8.954120406131818,-7.929787096945105,7.938158205935385,8.585513728007921,8.452667321303704,8.26051712167158,8.61999985373225,7.010417744022381,-7.531623633232678,-8.439122846025235,-8.76336716573312,-9.150498187574765,-8.46754991862421,-7.770656648198948,-8.214403585044474,-9.284495261658888,-9.655212969058883,-9.374721518116738,-9.089562408572544,-8.29170897910864,8.136015084984804,9.160942019945265,9.147234372685393,9.38691303804775,8.81455101974858,6.4932540821282645,-8.613430809422717,-9.058978867785083,-8.955034557253073,-9.215179306162577,-8.681326559680354,-8.132034550505175,-8.283620831906765,-9.232692951619983,-9.570425452265399,-9.336436329429032,-9.090802606065411,-8.321834813604083,-7.997846445362205,-8.173025984659265,-8.444027336457394,-8.684750625572223,-8.837423904133262,-8.885933849934592,-9.014434015605808,-9.164052611611304,-9.244318910498755,-9.263861299041382,-9.249734873178975,-9.153374038931558,-8.891130972770624,-8.774604390908655,7.177832642470097,9.588265769018953,9.748458847419396,9.788371585606178,9.515434152710126,8.823523432978883,-6.984777722517043,-8.92850877347454,-9.507346329750273,-9.231786524339654,-8.769957836350427,-8.277334113704512,-8.175626607687443,-9.137073776292258,-9.521693894092223,-9.278326200523747,-9.145650933371282,-8.577362941623441,8.14378000324708,8.205872452930674,6.554848490505899,7.60821732451719,6.352390439129083,-7.982343035747888
C,-8.094510077868499,-9.717986074809904,-8.864400680692698,6.776687052487524,5.937266121520211,0.0,-6.970497671599361,-8.492939926929163,-9.26645417336088,-9.713318359607308,-9.181939272591224,-8.460022767676865,-9.317380072483598,-8.34548890983484,-6.231221439486366,-7.930048298910274,-9.276274304898054,-9.678349497340925,-9.318208926228769,-8.904062350304368,-7.783496140462663,8.064665591350815,8.653722109347358,8.530199677224074,8.353730685876386,8.685970673657593,7.303852987142493,-7.305346160288129,-8.353873682984169,-8.702462476652416,-9.10955095609704,-8.38479172857786,-7.596959416482274,-8.106477047781231,-9.248719420963987,-9.630695143459864,-9.342134736384644,-9.045985727228063,-8.192224712312006,8.240959826903538,9.199877527783327,9.186696766023609,9.418094872466126,8.869097137140084,6.945597524435945,-8.542316023293376,-9.014017789910397,-8.905023395319951,-9.176846617951707,-8.615038125673605,-8.014274445995444,-8.183286388788598,-9.195038392459084,-9.543708924225037,-9.302555990602192,-9.047280972067943,-8.225449881141271,-7.861976194188187,-8.060273269641584,-8.359213448086638,-8.618696529900888,-8.7810938522295,-8.832246955980045,-8.96745429563797,-9.123667889416133,-9.207107750272018,-9.227383583097147,-9.21277893749713,-9.112546836165036,-8.837729948002307,-8.714401169963809,7.431278060453186,9.613832808637737,9.77028238535287,9.809350133265882,9.542906466744085,8.877668206869156,-6.554173746691441,-8.877118140903265,-9.47886525521214,-9.194097291335533,-8.709465663962296,-8.176334225596293,-8.063183572028196,-9.095561578776708,-9.493624300101546,-9.24238188133337,-9.10450057227581,-8.50353723676506,8.247953650387057,8.304072535490278,6.985216442424059,7.780127977667242,6.858313665811182,-7.844196704787197
N,-7.701959088168505,-9.651815821633793,-8.70148104547278,7.570912498138617,7.274237099035572,6.970497671599361,0.0,-8.24707325484727,-9.160462470247886,-9.646828101794032,-9.066034758603166,-8.204784937459461,-9.216950793391641,-8.054328529469222,6.32324087144392,-7.447640049450074,-9.171371764301345,-9.60938355596941,-9.217838249671788,-8.747997957809819,-7.198109433392187,8.353225050121047,8.823970679184095,8.720821057602862,8.57729894216669,8.851239066886366,7.843757341353501,-6.050870474643086,-8.065531103193141,-8.5079425284565,-8.98437803287193,-8.106573102268847,-6.833437861464791,-7.7196286825626,-9.1407220647689,-9.558265535898471,-9.24425724221968,-8.912023031727506,-7.843455622515267,8.488162210581715,9.301977421129704,9.290083632748548,9.500982716969098,9.008607862072033,7.650796668875237,-8.309788310374213,-8.875387565402725,-8.749121329699244,-9.060314488795848,-8.400705693283786,-7.580731480986653,-7.830763291566258,-9.080732012507221,-9.464429501627366,-9.200518290161742,-8.913503663111383,-7.890225809277228,-7.334912808316895,-7.650836131140408,-8.072649517022493,-8.40523675444495,-8.602559004963902,-8.663527021744875,-8.821620511927339,-9.000362407611565,-9.094252897621473,-9.11692379784265,-9.100543061462556,-8.987772719390735,-8.670014562998185,-8.52242659482195,7.9199799982037975,9.682480695601564,9.829273711769757,9.866144202456741,9.616416849831426,9.016003438838975,5.896012531439251,-8.716574960479818,-9.394042858264028,-9.079676886191958,-8.516442801870861,-7.820857754906984,-7.6552157644038425,-8.968508393526482,-9.410098009045228,-9.133659314265252,-8.97865229256361,-8.260604515306614,8.493628450360466,8.537788771399029,7.670565279773948,8.14796363419599,7.608629102289037,-7.304606975849438
O,7.380730150631951,-9.370293535205198,-7.694561114787446,8.658058930715054,8.567523183830025,8.492939926929163,8.24707325484727,0.0,-8.647875564608738,-9.363678457029398,-8.484836146196542,5.069067924822454,-8.740431476851825,6.507353463924207,8.383162623943003,7.6504688878726546,-8.666021608500746,-9.313667425034426,-8.741907033984008,-7.81707293695129,7.816231150632374,8.994580128803877,9.269611883696054,9.204789927173946,9.118793322054756,9.287160260931486,8.758601977743805,8.129457160169778,6.452984222956152,-7.037485023637054,-8.333761209301885,6.2170953000940585,7.9686874703020045,7.355843151614522,-8.614693521026815,-9.244338249028413,-8.784092716966459,-8.190137633693816,7.145544440889621,9.067897627367449,9.600699247937447,9.591890417931799,9.751984307064081,9.391709401117359,8.685713251110364,-5.513483665870232,-8.113210603176597,-7.819920104832979,-8.474581777253388,-6.453257105657997,7.526920868325229,7.170573289155847,-8.510964934108065,-9.113546065015262,-8.713881133896862,-8.193183196633788,7.044375130068282,7.733922435969041,7.447189932709428,6.416496676485853,-6.484599582245918,-7.396420076179957,-7.587043587330473,-7.994228423438121,-8.364177638416193,-8.534744973084122,-8.574083931362923,-8.545725650029008,-8.340257808073323,-7.605961849827868,-7.099032965140864,8.789836162264395,9.895940705582477,10.016142005892613,10.046823363114155,9.842920499611912,9.39675717666477,8.337832778641472,-7.734960212540934,-9.012028797698553,-8.509098553302383,-7.0739590649128194,7.189467083962624,7.44179411983822,-8.303118292084733,-9.035466285642002,-8.602712375707208,-8.322757357720468,-3.9701485704288455,9.070966573103002,9.095993431393362,8.692780956283453,8.891755508839344,8.670935751865796,7.753754140169382
F,8.895893817624389,-8.705747599210358,8.161282428997364,9.346041498394898,9.301563636738868,9.26645417336088,9.160462470247886,8.647875564608738,0.0,-8.692850522494421,6.7548990530980255,8.675234364663678,-6.316346679407459,8.758898886604486,9.217302293391157,8.961709342778931,-4.6570458845726845,-8.592578155366299,-6.332882499635837,8.076023557396105,9.009153805748838,9.52925436403098,9.699391310470416,9.65769536596252,9.603883294420045,9.71084417437011,9.39783618835494,9.114930456322043,8.753314334040422,8.425193033762035,7.337589783688575,8.73202901818322,9.057900924625716,8.890460454966767,5.231036939613441,-8.444360319829691,-6.724433996332304,7.64674865492479,8.848722930153292,9.572857455384163,9.926820949232685,9.920471250068042,10.03825210133554,9.780507160364662,9.360035836322231,8.603560208547295,7.766741072543881,8.073820105034697,6.810833494376282,8.529966966276627,8.929888648588442,8.853327465665686,6.5931695057788735,-8.125744074102291,-5.965570030702518,7.64148291518288,8.83104540002902,8.984893088551813,8.910866601940175,8.749716708148775,8.525968194124768,8.3111295851582,8.22324388814501,7.913975231026474,7.250254039949484,6.414294983548448,6.007199337702956,6.317755304231695,7.319782822520766,8.213083914325486,8.409218183796304,9.41443987150948,10.148262506112118,10.242882222084129,10.26741482933652,10.10731199186827,9.783931713227995,9.197869929031684,8.135090972343095,-7.825684629360663,6.605778171094194,8.415876603286824,8.856866420652565,8.909620898045675,7.41614009556962,-7.90048194695244,5.531947841956141,7.366792497507247,8.638711868086888,9.574711299541727,9.5899085029248,9.363643122411856,9.470303287686098,9.352534138013596,8.990609917999754
Ne,9.492579189850472,-4.361394389526958,9.155020358952735,9.764943042655883,9.735913690323002,9.713318359607308,9.646828101794032,9.363678457029398,8.692850522494421,0.0,8.82723428599714,9.377143756456016,8.595507946233683,9.419485981840559,9.682155453353005,9.52936294553847,8.675191910818768,6.345025342387965,8.593852723522497,9.124299372729741,9.55653179786889,9.88915926246227,10.010853180597413,9.980487589151032,9.94180652745285,10.019253818674496,9.799315198431072,9.619068534464427,9.416605172731234,9.261002313875087,8.922144974602887,9.405696540964545,9.585020204752482,9.489600331866363,8.723578633986687,7.179587464232244,8.542597152217102,8.993797012381402,9.466890509082514,9.919782341021913,10.182304246284879,10.17738967018229,10.269674394094094,10.070897097410466,9.77414305803519,9.342261123442018,9.026407173410568,9.123527530316435,8.834449884002375,9.307778049956141,9.511449799597205,9.469374766533237,8.80825559245009,7.855841423408451,8.625396855342123,8.992430455518516,9.457402495858988,9.542570685239944,9.500860682010222,9.414753518052178,9.305942903346365,9.213141919950152,9.178407870124312,9.070433351729287,8.904848812978342,8.790217208281835,8.758646859657429,8.781628459217586,8.91851961226033,9.174512853009764,9.25410821628845,9.810458970039681,10.357927695273935,10.435323706872802,10.455604947353645,10.324852414125507,10.073459657679418,9.669939207397624,9.145404515049826,8.148170267514633,8.809639434064337,9.256974340141952,9.471287666517117,9.500170429463722,8.938761649468933,8.09026909109452,8.734203000476763,8.928202713540621,9.359208623570952,9.921091155474313,9.931865049381255,9.7765587172957,9.848395864136338,9.76922141299418,9.545784030308337
