element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.38309225135256325,-0.10912368257829554,0.11924746742112474,0.10493577555504624,0.09408129466359916,0.06352677491892852,-0.04606535895419804,-0.20970699244307145,-0.38087003515510076,-0.18508029863883532,-0.0415263172613602,-0.22557445021837674,-0.026847991405729108,0.07950776382364015,0.01427174634436782,-0.21270000142026027,-0.3645364327396835,-0.2258395705328474,-0.117345980831774,0.025155256293814928,0.18539542227802794,0.2586786188005834,0.2395493609073329,0.21601158309510077,0.26407409805831683,0.1367358531309182,0.051362954387406345,-0.027866451981875987,-0.07873874066002397,-0.16558431940557555,-0.031696650175862054,0.03688941732406792,-0.0011329745328153575,-0.20436130029329574,-0.343203159016366,-0.23358694513724002,-0.14959050595523696,-0.009660233965335512,0.2030053007772108,0.37829627043292646,0.37457430509145656,0.44761119440130653,0.29825771695364933,0.12388369112279828,-0.05316042262746244,-0.14192313227676892,-0.11754927672817422,-0.18366212926689396,-0.0642692376868212,0.007255989313714102,-0.0087368144684811,-0.1887615474911783,-0.30677058295279674,-0.22087033336764486,-0.14990634714782988,-0.013165857224388077,0.019525676558149987,0.0031675007382530786,-0.028519574260035162,-0.06484976503379443,-0.09285965153403739,-0.10269265828845439,-0.1311669090895112,-0.16927643593149339,-0.1921962642445649,-0.1980606272551579,-0.19381005735465098,-0.16636351495733248,-0.10377468532719362,-0.08081472956653941,0.14253648894036638,0.5240534350788488,0.5968748662528947,0.6169077731273152,0.4946115029263755,0.3000003396230273,0.07394138324713918,-0.11172455315805806,-0.2816007691759406,-0.18849545320734315,-0.07995341438112791,-0.008024226251638514,0.0029024424108039016,-0.16197660621535784,-0.28718703831704673,-0.2024757521465883,-0.1642760448639857,-0.04755889884570751,0.20376999779018923,0.21010322092680553,0.12508928217761353,0.16277546076852284,0.12139029593057245,0.020840016207505408
He,0.38309225135256325,-0.0,0.27396807357211805,0.5023397091418278,0.48802803492788455,0.4771735714303052,0.44661902363468553,0.33702689605137043,0.1733887838558232,0.002222218711029643,0.1980119530612082,0.34156594975051063,0.15751780098023813,0.3562442710000857,0.46260004220412615,0.3973640122012731,0.17039225128868013,0.01855579266617264,0.15725272416150696,0.26574632184010233,0.4082475250834727,0.5684876725304127,0.6417708801077969,0.622641631036162,0.5991038473007081,0.6471663538230596,0.5198234138594868,0.43445040582684274,0.3552258113054766,0.30435352316487974,0.21750792245556957,0.35139563557220116,0.41998169912721567,0.38195930154298463,0.17873095158833172,0.03988903887818546,0.14950531759255903,0.2335017943443525,0.37343207977708526,0.5860976039793596,0.7613885240630517,0.7576665523625993,0.8307034962514023,0.6813499774808505,0.5069595400960953,0.3299318391706719,0.24116913396809858,0.2655429740253139,0.19943015355994514,0.31882304608751116,0.3903482809336228,0.37435547789183415,0.19433075887796425,0.07632168197436824,0.1622218922870628,0.23318591206832806,0.36992641976981394,0.4026179474699744,0.386259764379021,0.3545727240652518,0.31824251788352537,0.2902326448830722,0.2803996226648914,0.25192535822822004,0.21381583265727827,0.19089598691105328,0.1850316404070512,0.18928219535118118,0.216728742906679,0.2793176140816416,0.302277559596066,0.5256287785919942,0.9071456946242691,0.9799670920259931,1.0,0.8777037489902272,0.6830925743571269,0.4570085785519364,0.27136773236218603,0.10149142181547229,0.19459682987600296,0.30313887110244775,0.37506806787297187,0.38599475291694985,0.22111562101066284,0.09590523903735806,0.18061654689948914,0.2188161970337937,0.33553351507876766,0.5868623257065727,0.593195540677946,0.5081815931489845,0.545867762198022,0.5044825914681366,0.40393232296292614
Li,0.10912368257829554,-0.27396807357211805,-0.0,0.22837125679599854,0.21405946732505965,0.20320468329940752,0.1726504649011214,0.06305832795026833,-0.10057978734047616,-0.2717463487083483,-0.0759566137848743,0.06759737108356072,-0.11646080467643866,0.08227569753291789,0.18863146566309086,0.12339545320379053,-0.1035763206172779,-0.25541274809054365,-0.11671587809448189,-0.008222279977579237,0.13427895931877454,0.29451910909448153,0.367802299383988,0.34867305060968484,0.3251298778768753,0.3731977876443452,0.24585954535078736,0.1604866305739472,0.08125151554946351,0.03038494432284547,-0.05646066212481704,0.07742705131310973,0.14601312396202412,0.10799070530012528,-0.09523763692168785,-0.2340795369774549,-0.12446327679352472,-0.04046681971970232,0.09946348519679277,0.3121290131089554,0.48741995423373474,0.48369798888132043,0.556734874442603,0.40738140818255647,0.23300738271703225,0.05596327441118991,-0.03279945476896451,-0.008425608123890024,-0.07453847284025053,0.04485444639655723,0.11637966807100746,0.10038686261634339,-0.07963785939092888,-0.19764688332091085,-0.11174666239894734,-0.04078266286500967,0.09595779811120148,0.1286493421082665,0.11229116011751261,0.08060412630714715,0.04427391617023496,0.01626402933777497,0.006431017247056189,-0.022043233272060564,-0.06015275533861298,-0.08307260153124506,-0.08893692802337852,-0.08468638221762693,-0.05723984354617891,0.005349015945236555,0.028308974091978682,0.2516602005933712,0.6331771312493601,0.7059985503112192,0.7260314571684375,0.6037351867119144,0.40912401896795886,0.18306511344187779,-0.002600873912974101,-0.17247708628115416,-0.07937177365394726,0.02917022317110498,0.10109942180573243,0.11202608066874027,-0.052852931219026074,-0.17806332323995197,-0.09335204463349313,-0.05515241630030448,0.06156490933306949,0.3128937613493485,0.3192269536616617,0.23421298673368224,0.2718992201680104,0.23051404760217292,0.12993629172956303
Be,-0.11924746742112474,-0.5023397091418278,-0.22837125679599854,-0.0,-0.014311693957775899,-0.02516617373702278,-0.055720691966741606,-0.16531283006192118,-0.3289509358319795,-0.5001159818245523,-0.3043277638344859,-0.1607742030142815,-0.34482192568325143,-0.146095444711017,-0.0397397027223296,-0.1049756999468525,-0.3319474696497113,-0.48379571801506405,-0.3450870072709502,-0.23659341508314924,-0.09409218468866636,0.06614796063301763,0.13942546745445067,0.12030190080168315,0.09676412277846316,0.14482664114431196,0.01748838907518132,-0.06788451436302952,-0.14711391369177207,-0.1979861946391875,-0.2848318044945515,-0.15094409211938598,-0.08235804541181933,-0.12038042722433741,-0.323608769096614,-0.46245061686740935,-0.3528343711428862,-0.26883798397432934,-0.12890768106709333,0.08375784794000933,0.25904879110008827,0.25532683317124066,0.32836372248996043,0.1790102637198148,0.0046362175398562055,-0.17240786337664976,-0.26117059169089546,-0.2367967310328377,-0.302909563455243,-0.18351671205753023,-0.11199147805801456,-0.1279842750484941,-0.30800897416318684,-0.4260179380921247,-0.34011785061606414,-0.2691538408405178,-0.13241333551248388,-0.09972179970235666,-0.11607997305953198,-0.1477669810531687,-0.18409718808349285,-0.21212685326462516,-0.22195830025184746,-0.25043270070114554,-0.288523891088178,-0.3114437408328212,-0.31730808726371157,-0.31307273390121787,-0.2856109842180909,-0.22302211712567777,-0.20006216780950764,0.02328901846892785,0.4048059742913471,0.47762739437761187,0.49766030122595245,0.375364030994946,0.18075288227875247,-0.04530607471908898,-0.23097197357448082,-0.40084824226325244,-0.3077428886800633,-0.1992009281858063,-0.127271756906168,-0.11634502840625864,-0.2812241362229784,-0.4064344984056926,-0.32172317724469873,-0.2835235556310343,-0.1668062681949603,0.08452251445136032,0.09085577970807958,0.005841808267928425,0.04352799785809333,0.0021428516094307314,-0.09840744149343285
B,-0.10493577555504624,-0.48802803492788455,-0.21405946732505965,0.014311693957775899,-0.0,-0.010854479171456355,-0.04140899443631843,-0.15100114307702014,-0.31463925973646134,-0.48580581728646144,-0.29001607623774084,-0.14646208444676004,-0.33051024169841253,-0.13178375458014685,-0.02542801181329849,-0.09067113030422778,-0.31763578222927674,-0.4694722180289773,-0.3307753084061727,-0.2222817270973949,-0.07978867629834047,0.08045964089064471,0.1537428409313035,0.13461359190852906,0.11107581511176735,0.15913832640061676,0.03180009665563988,-0.05357283052175346,-0.13280222708296718,-0.1836745093986021,-0.2705201099768937,-0.13663240459428252,-0.06804634704846654,-0.10606872644124958,-0.30931396492440827,-0.4481389320930411,-0.33852268178707784,-0.25452625378907545,-0.11459598698235575,0.09806952487601821,0.2733604830124799,0.26963852810904226,0.3426754005310614,0.19332193906849376,0.018947912063345947,-0.1580961777063838,-0.24685890621272863,-0.22248504536257166,-0.28859785334362936,-0.16920504164997494,-0.09767981755292368,-0.11367262463139452,-0.29369728131987355,-0.411706251120949,-0.325806157859158,-0.2548421480786599,-0.11810169306061677,-0.08541012275500906,-0.10176825373771882,-0.1334552953829028,-0.1697855024132269,-0.1977953917692398,-0.20762840003037317,-0.23610267904703924,-0.2742122091987443,-0.29713205535465453,-0.30299640178554477,-0.29874583317757336,-0.2712992880694093,-0.2087104288912344,-0.18575046614182875,0.03760072961114053,0.4191176477433586,0.49193907884825033,0.5119719856732549,0.38967570546789476,0.19506456720905818,-0.030994378482510195,-0.21666028790421507,-0.3865365565929869,-0.29343116068403907,-0.1848892354294388,-0.11296005849567364,-0.1020333338377876,-0.2669124208973206,-0.39212280552370776,-0.307411485259138,-0.2692118642686809,-0.15249457584078313,0.09883421479017644,0.10516744502202022,0.02015351475124146,0.057839692970763766,0.016454529134672546,-0.0840957443271723
C,-0.09408129466359916,-0.4771735714303052,-0.20320468329940752,0.02516617373702278,0.010854479171456355,-0.0,-0.03055451511932103,-0.14014665642155114,-0.3037831273501147,-0.4749513174833933,-0.27916159583092937,-0.13560759743347608,-0.31965575261362394,-0.12092927136391325,-0.014573530134025054,-0.07980952748304479,-0.30678129680154637,-0.45862885802887804,-0.31992083413051114,-0.21142724188312886,-0.06892603165497765,0.09131412723433763,0.16459732590848597,0.1454680778606357,0.1219302995251913,0.16999281037133762,0.042654562512086755,-0.042718343654568655,-0.1219477405597068,-0.1728200208306541,-0.2596656312771067,-0.12577792015630723,-0.05719186907495067,-0.09521427204961223,-0.29844259587993516,-0.43728444364113234,-0.3276681979048309,-0.2436718105685697,-0.10374150754761667,0.10892402112383971,0.2842149718919208,0.28049300651829234,0.3535298958360774,0.2041614049846528,0.029802390844192467,-0.14724169061077488,-0.23600441554119303,-0.21163055826696284,-0.277743390237502,-0.15835053879408434,-0.08682530464993461,-0.10281810861891134,-0.2828428009238802,-0.4008517648529937,-0.31495167671358126,-0.2439876669390875,-0.10724720722717097,-0.07455562060685464,-0.09091379987570163,-0.12260080828729368,-0.1589310153176179,-0.18695999335140612,-0.1967739129347641,-0.22526584078792652,-0.2633577183223031,-0.28627756456600184,-0.2921419143783204,-0.2879058739879988,-0.26044481099956607,-0.19785594389214575,-0.17489597641747492,0.048455210636740895,0.4299721470572219,0.5027935677166195,0.5228264745702427,0.40053020434285747,0.20591905452059084,-0.02013990150417747,-0.20580580080860594,-0.37568206949737776,-0.28257671544089624,-0.17403476152589825,-0.10210558033569728,-0.09117885562714408,-0.2560579623193694,-0.381268324444072,-0.29655700338555446,-0.2583573814726794,-0.14164003728611074,0.10968868824314625,0.11602195289190996,0.031007991920877782,0.06869417150522827,0.027309014616474128,-0.07324126793719911
N,-0.06352677491892852,-0.44661902363468553,-0.1726504649011214,0.055720691966741606,0.04140899443631843,0.03055451511932103,-0.0,-0.10959213603166443,-0.2732294107316597,-0.4443968162864858,-0.24860707857497039,-0.105053104746103,-0.289109604784917,-0.09037477397650742,0.015980984788062442,-0.04925502970268812,-0.27622678395451794,-0.428063214348319,-0.28936631630331067,-0.18087272199640486,-0.0383715223536001,0.1218686482704022,0.1951518414579978,0.17602258581860913,0.15248481474484998,0.20054732958107183,0.07320908285324111,-0.01216382410138588,-0.09139321977604167,-0.1422655061751236,-0.22911111320376173,-0.09522342100612455,-0.02663735506700409,-0.0646597549658681,-0.2678880778545991,-0.40672990555741134,-0.297113730525861,-0.21311729351330885,-0.07318698896068399,0.13947853553514888,0.3147694913782025,0.3110475260400855,0.3840844153506476,0.23473094110077816,0.060356902463795735,-0.11668717174186129,-0.20544989667227934,-0.18107605578318856,-0.24718887482549862,-0.1277960180187941,-0.05627079080517343,-0.07226358339048705,-0.2522883279484823,-0.37029736074736463,-0.28439716292246686,-0.21343311794728276,-0.07669264252068139,-0.04400110111140067,-0.06035928546439232,-0.09204632076389412,-0.12837651387772187,-0.15638638580471712,-0.16621940909633298,-0.19469367308251675,-0.2328031994533895,-0.2557230456970883,-0.26158739237068834,-0.2573368364099585,-0.22989029290491414,-0.1673014568332874,-0.1443415033862149,0.07900972504805016,0.46052758273489225,0.5333480871963691,0.5533809940765545,0.43108472387270597,0.23647356011456722,0.010414642788113496,-0.17527663966198057,-0.345127550628464,-0.2520222419897228,-0.14348020133776757,-0.07155102426268817,-0.06062434279970833,-0.22550344852116133,-0.3507138107784442,-0.2660025148008313,-0.2278028669188564,-0.11108552536555175,0.1402432036887159,0.14657646730321913,0.061562519831839885,0.099248687233134,0.057863526805073486,-0.042686757363339295
O,0.04606535895419804,-0.33702689605137043,-0.06305832795026833,0.16531283006192118,0.15100114307702014,0.14014665642155114,0.10959213603166443,-0.0,-0.16363764050196883,-0.33480460519724214,-0.13901529621891526,0.0045390340085572295,-0.17950910007052548,0.019217365994118107,0.1255731348239656,0.060337112446404335,-0.1666346471940687,-0.31847107736101954,-0.17977421393356532,-0.07128061998700388,0.07122061801535083,0.2314607852075167,0.3047439934409399,0.2856147257071487,0.2620769475082721,0.31013946245017204,0.18280121132764113,0.09742830876135918,0.01819890798928846,-0.032673381634225035,-0.11951899802071303,0.014368706753945259,0.08295478510506184,0.04493237236855783,-0.15829596996727682,-0.2971378020627526,-0.18752158887369916,-0.10352515676662412,0.03640514771105332,0.24907068612996822,0.42436162821618245,0.4206396629005239,0.4936765523781545,0.3443230822155892,0.1699490486279198,-0.007095053867342221,-0.09585776008483902,-0.07148393896324318,-0.13759677300335324,-0.01820388267329297,0.053321346813176226,0.03732855322475755,-0.14269622763817444,-0.26070521374909195,-0.17480503291360683,-0.10384101736866455,0.03289948064661057,0.06559103601783974,0.04923285125222639,0.017545813802688246,-0.018784387407290694,-0.04679427503973219,-0.05662728325098381,-0.08510156166369051,-0.12321107811681271,-0.14613090910964793,-0.1519952694406116,-0.1477446847753937,-0.12029817987581569,-0.057709319305006085,-0.03474935966330897,0.188601873139624,0.5701187940618916,0.6429402242875264,0.6629731311716957,0.5406768607393492,0.3460656872788104,0.12000673711555818,-0.06565917001456259,-0.2355354140410236,-0.14243009695704492,-0.033888179175258736,0.038041083950993614,0.04896776084631963,-0.1159112651193534,-0.24112165366737212,-0.15641037714600736,-0.11821072386635566,-0.0014933949870292757,0.24983633296372126,0.25616857790775444,0.17115465682917427,0.20884083473808956,0.1674556705515445,0.06690537741294462
F,0.20970699244307145,-0.1733887838558232,0.10057978734047616,0.3289509358319795,0.31463925973646134,0.3037831273501147,0.2732294107316597,0.16363764050196883,-0.0,-0.17116656582253958,0.02462316436022293,0.168177170724476,-0.015870990382789697,0.1828555032147113,0.28921125477104803,0.22397524489357407,-0.0029965465638218678,-0.15483299510050655,-0.016136090977741727,0.09235751036799598,0.23485914164709784,0.3950988914970643,0.46838209821730387,0.44925284410702065,0.4257150603742827,0.4737775814973326,0.3464393287392607,0.26106642151372345,0.18183702316308553,0.13096474448671305,0.04411912577112244,0.17800686101904376,0.24659291876675996,0.2085705124867701,0.005342154496155579,-0.13349975074263878,-0.023883467859965195,0.06011295469328198,0.2000432871922725,0.4127088104825184,0.5879997515761157,0.5842777768754551,0.65731465350607,0.5079611863613988,0.3335871530855987,0.1565430675945765,0.0677803151341113,0.09215416581548183,0.026041346814446156,0.1454342231015192,0.2169594980671264,0.2009666500669261,0.020941928533522988,-0.09706711340302998,-0.011166917096158134,0.05979709661223465,0.19653758556469392,0.22922916337665242,0.2128709475787217,0.1811839137707542,0.1448537113628272,0.11684382486276788,0.10701081810792788,0.07853653967329537,0.04042701372157877,0.01750716263302081,0.011642820894791931,0.01589340289592975,0.04333994474859418,0.10592880508878878,0.12888876933578852,0.35223999747065493,0.7337569078293784,0.80657834562206,0.8266112449560986,0.7043149547109813,0.5097038068060378,0.28364489703648554,0.09797891291899691,-0.07189736591915087,0.021208014433197277,0.12975002018441695,0.201679223785407,0.21260590274749608,0.04772678986122031,-0.07748355633908872,0.007227810392190715,0.04542737197265072,0.16214470247570661,0.4134746712220752,0.4198067595573369,0.3347927741986615,0.37247897784084766,0.33109383119678076,0.2305435450828429
Ne,0.38087003515510076,-0.002222218711029643,0.2717463487083483,0.5001159818245523,0.48580581728646144,0.4749513174833933,0.4443968162864858,0.33480460519724214,0.17116656582253958,-0.0,0.19578987465744965,0.3393437279636945,0.15528737283972938,0.3540220768050197,0.46037781472308165,0.39514179737848415,0.1681700298891158,0.01633357435424956,0.15503050275717958,0.2635240949917541,0.40602530362772316,0.5662654514816056,0.6395486504796722,0.6204194104429297,0.5968780553930434,0.6449441395646099,0.5176058946302728,0.4322294177886323,0.35300359176968166,0.3021312947012511,0.2152857010551302,0.34917342118465955,0.41775948645106237,0.3797370801410751,0.17650873073386614,0.0376668205660232,0.14728309840393425,0.2312795729361637,0.3712098583722955,0.5838753814645851,0.7591662835751938,0.7554443153764377,0.8284812033460691,0.6791277322568082,0.504738552057885,0.32770961717179115,0.23894691083017155,0.26332075223280443,0.19720793285886704,0.3166008252861319,0.38812607460221504,0.37213325709006007,0.192108537478492,0.07409946339365095,0.1599996734792911,0.23096369287964588,0.36770419897034556,0.4003957266424517,0.38403754297965714,0.35235050266591555,0.316020296484088,0.2880104081653315,0.27817740126547047,0.2497031350902932,0.21159360951935116,0.18867376377312628,0.1828094172691241,0.18705998555192047,0.2145065215066621,0.27709589126608836,0.30005533819579294,0.5234065571900823,0.9049234720124606,0.9777448577833023,0.9977777784872642,0.8754815083519281,0.68087034342577,0.4547875905137259,0.26914552662875746,0.0992692033735311,0.19237460907365916,0.3009166500061359,0.3728458470758018,0.3837725317341773,0.21889340182348388,0.09368302045675449,0.1783943282478839,0.21659397822764076,0.3333112958906227,0.5846401039264982,0.5909733192757025,0.5059593717496111,0.5436455407986108,0.502260370068485,0.4016844980987947
