element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-9.911528155197333e-18,-1.2810210650881961,-0.36489836479136883,0.3987512594826517,0.3508944346766982,0.31459816759364434,0.21242699788613048,-0.15403781982755055,-0.7012386021053574,-1.273590202808735,-0.6188894723192001,-0.13885973151250494,-0.7542977480102869,-0.08977692037522784,0.2658657802044807,0.0477232510920853,-0.7112469161191233,-1.2189723171974995,-0.7551842830587527,-0.3923928840069252,0.08411658835775544,0.6199432133397709,0.8649946810500783,0.8010284112175767,0.7223205044500096,0.8830366084474611,0.4572306215933073,0.17175243378879548,-0.09318254773365048,-0.26329424588434,-0.553696924064437,-0.10599033633453075,0.1233544152984452,-0.003788550245066771,-0.6833631576734703,-1.1476360452411354,-0.7810907064654288,-0.5002152577852645,-0.03230282826025233,0.6788288348355083,1.2649837984399557,1.2525379293598131,1.4967657710979299,0.9973431122497727,0.4142543144343927,-0.17776298260884918,-0.47457634924210795,-0.3930726845636193,-0.6141472598810586,-0.2149097169762613,0.024263281562352097,-0.029215008490452308,-0.6311991896497737,-1.0258092601049658,-0.7385676653548744,-0.5012713982305635,-0.04402527168022265,0.06529185305308984,0.010591796506085749,-0.09536652142000497,-0.2168509406833628,-0.3105131186858066,-0.3433936813729652,-0.4386086458103141,-0.5660429817770695,-0.6426845290116765,-0.6622943554265156,-0.6480808870988358,-0.5563024738036956,-0.34701186844076976,-0.27023613915090006,0.47662735080558644,1.7523807573701344,1.995888129274588,2.062876108306994,1.6539299660762494,1.003170263125552,0.24725237638433106,-0.37359540835850086,-0.941643993022009,-0.6303093977479827,-0.26735598980750586,-0.026832186824688853,0.009705468735840786,-0.5416331024205684,-0.9603239021554965,-0.6770580787097423,-0.5493221886298829,-0.15903206352686355,0.6813859029531139,0.7025635493796999,0.4182856868561725,0.544304389837458,0.40591665750305644,0.06968686958386118
He,1.2810210650881961,-9.911528155197333e-18,0.9161210443917994,1.6797722923628986,1.6319155265838687,1.5956193176641187,1.493448054157118,1.126983257475919,0.579794250040624,0.0074308706845711055,0.6621315939309342,1.1421613859388042,0.5267233165631217,1.191244181673904,1.5468869356712691,1.3287443646813086,0.5697741535046584,0.062048661127578196,0.5258369269599327,0.8886283526877726,1.365137711753801,1.9009642747490834,2.1460157794256003,2.0820495390916736,2.0033416125174623,2.1640576882895317,1.7382360017175702,1.4527574484614472,1.187838557263253,1.0177268609100791,0.7273241092854336,1.1750308437686776,1.4043755822102624,1.2772325975150889,0.5976579091838621,0.1333848410889705,0.49993039666707306,0.7808059709767502,1.248718445453207,1.9598500733033828,2.546004871144085,2.533558980800159,2.777787005044678,2.2783642080170137,1.6952205316542666,1.1032581174082619,0.806444765644421,0.8879483785213313,0.666873910453877,1.0661114565269942,1.3052844813004076,1.2518061937234464,0.6498220594082019,0.25521185037530153,0.5424533138023372,0.7797496931526839,1.236995879150975,1.3463129835454426,1.2916129026847738,1.1856547007401455,1.0641702299541311,0.9705080970935951,0.9376274826972014,0.8424124726637608,0.7149781409472339,0.6383365354179555,0.6187267641994578,0.6329401825145523,0.7247186130581132,0.9340093573426543,1.0107850523701862,1.757648543961913,3.0334018498544015,3.276909108827686,3.3438970915369963,2.9349510134795387,2.2841912726433162,1.528189656627277,0.9074257709829038,0.33937687022471225,0.6507117734446859,1.0136651894112834,1.2541890212888314,1.2907267316275302,0.7393878819909522,0.320697249880182,0.6039631458606572,0.731698844842489,1.121989545185076,1.9624072240628458,1.9835848431856995,1.6993069513035262,1.8253256223777745,1.6869378703413485,1.3507081199335114
Li,0.36489836479136883,-0.9161210443917994,-9.911528155197333e-18,0.763649981390788,0.7157928302042256,0.6794955494715852,0.5773253874353701,0.21086055943008836,-0.3363284583552278,-0.9086918250816441,-0.25399109991824004,0.22603865256186573,-0.3894329460356014,0.2751214656845017,0.6307642094031704,0.41262169707704466,-0.346348557264219,-0.8540739454814404,-0.3902858852963246,-0.0274944581028301,0.4490150215206648,0.9848415923031041,1.229893039170737,1.165926799831057,1.087200853004262,1.2479349966719673,0.822129018625106,0.5366507772067943,0.27169670652882405,0.10160412694767652,-0.18879864386542874,0.25890809169219337,0.48825286054284334,0.3611098053661178,-0.31846485710728845,-0.7827378828872381,-0.4161923892730314,-0.13531688076446455,0.33259565886368836,1.043727299119349,1.6298821673192814,1.6174362982025416,1.8616641274058345,1.3622415059678963,0.779152709374132,0.18713543053646475,-0.10967800140593968,-0.02817436649990635,-0.24924898253812314,0.14998865284794982,0.3891616335766828,0.33568333793131466,-0.26630080639355935,-0.6609108382881458,-0.3736693393848066,-0.1363730277394397,0.3208730020143409,0.4301901609039803,0.37549008372226556,0.26953190352435,0.14804741951260147,0.05438524039925809,0.02150465986805544,-0.07371030362651487,-0.20114462362472446,-0.2777862306467422,-0.29739593494761063,-0.2831825471903131,-0.19140414635410036,0.01788655886186152,0.09466229613056369,0.841525812819791,2.1172791676124745,2.3607864990150214,2.4277744779899053,2.0188283349045157,1.3680686171048844,0.6121509004001854,-0.008697054713048553,-0.5767456271723269,-0.26541104307156704,0.09754222442134303,0.3380660625322607,0.3746036853244895,-0.1767347629825062,-0.5954254286914874,-0.31215963053896956,-0.18442400445782575,0.20586672125958994,1.0462845385361574,1.067462081889446,0.7831841251389531,0.9092030115109873,0.7708152533353267,0.4344935879995885
Be,-0.3987512594826517,-1.6797722923628986,-0.763649981390788,-9.911528155197333e-18,-0.047856831800374436,-0.08415309516434523,-0.1863242598060161,-0.552789091637808,-1.0999780775869292,-1.6723363770542896,-1.0176407243600953,-0.5376123898536345,-1.1530490343904105,-0.4885281326559737,-0.1328854763517428,-0.3510279377343405,-1.1099981783047348,-1.6177630943686254,-1.1539354399405366,-0.791144032573348,-0.3146345827167933,0.22119197317185138,0.4662244151071237,0.4022771761971205,0.3235692687240318,0.48428538409953703,0.05847937336416618,-0.22699883013893585,-0.4919337881185413,-0.6620454604184567,-0.9524482426265649,-0.5047415106227072,-0.2753968285172545,-0.40253976047344286,-1.082114421778035,-1.54638727272242,-1.1798418274589821,-0.8989665527064294,-0.4310540197970321,0.28007762411999515,0.86623249912576,0.8537866548326635,1.0980144966004401,0.5985919002079593,0.015503034347257963,-0.5765141529032869,-0.8733275819501817,-0.7918239001861743,-1.0128984082367283,-0.6136609996976077,-0.3744879777551242,-0.4279662450971304,-1.0299503128715741,-1.4245601441288438,-1.1373190914548714,-0.900022745562619,-0.4427765675009073,-0.33345943598754535,-0.38815948429946184,-0.4941175781688933,-0.6156020517925311,-0.7093303676684752,-0.742205714654648,-0.8374211795003157,-0.9647942002486954,-1.0414358191482729,-1.0610455901222924,-1.0468830043318182,-0.955053739437893,-0.7457630088049771,-0.6689873010647991,0.07787608112299921,1.3536295200696358,1.59713685489769,1.6641248338428878,1.2551786915116028,0.6044190373388494,-0.15149885148211945,-0.7723465106622663,-1.340395271451807,-1.0290605503984571,-0.6661074043919877,-0.42558365775333873,-0.38904580210247747,-0.9403845711860216,-1.3590751371190934,-1.0758091966685897,-0.9480735930568435,-0.5577829950672679,0.2826345902432975,0.3038123775151733,0.019534405676442625,0.14555314543810688,0.007165475264370785,-0.3290643573954872
B,-0.3508944346766982,-1.6319155265838687,-0.7157928302042256,0.047856831800374415,-9.911528155197333e-18,-0.03629626133158182,-0.13846741605907686,-0.5049322831540094,-1.0521213055161065,-1.6244846594759517,-0.9697839138303533,-0.4897541382019668,-1.1051922359385113,-0.4406713136523783,-0.08502865474605721,-0.3031949289106793,-1.062141368364557,-1.5698667844245198,-1.1060785917316538,-0.7432872207427992,-0.26680512261160755,0.26904875916033805,0.5141002386348208,0.45013399846427843,0.37142609509234,0.5321421868030876,0.10633625071738957,-0.17914203216709582,-0.44407698089236963,-0.6141886577674702,-0.904591408954003,-0.4568847003325275,-0.22753998198508432,-0.35468290584992773,-1.0343140676825053,-1.4985304716304158,-1.1319850110471137,-0.8511095997650967,-0.38319718757211085,0.32793439900133237,0.91408932408658,0.9016434899101431,1.1458712751770914,0.6464486697814287,0.06335986803932127,-0.5286573488154929,-0.8254707785047474,-0.7439670960983801,-0.9650415224195827,-0.5658042466467474,-0.32663125781708596,-0.38010955889229686,-0.9820934847978481,-1.3767033356909415,-1.089462263670082,-0.8521659177612713,-0.39491990793099147,-0.2856026610682926,-0.340302567684357,-0.4462607740810994,-0.5677452477047371,-0.6614074352565817,-0.6942880029820447,-0.7895030617694874,-0.9169374088036153,-0.993579015702839,-1.0131887866768583,-0.9989753226712842,-0.9071969003113554,-0.6979061961428378,-0.6211304434833024,0.12573297038636186,1.4014862833008441,1.6449936549740534,1.7119816338412175,1.3030354581567205,0.6522758389522926,-0.1036420120616627,-0.724489706574473,-1.2925384673640143,-0.9812036047776833,-0.6182505766089994,-0.37772681106353206,-0.34118896826000134,-0.8925276679336489,-1.3112183089160536,-1.0279523714630996,-0.9002167699352946,-0.5099261686291626,0.3304914433812138,0.3516691135335103,0.06739127936092425,0.19340998110032978,0.05502225211604229,-0.2812075148662703
C,-0.31459816759364434,-1.5956193176641187,-0.6794955494715852,0.0841530951643452,0.03629626133158179,-9.911528155197333e-18,-0.10217115424082077,-0.4686359967966595,-1.0158195160040615,-1.5881883291543832,-0.9334876483678711,-0.45345785064812055,-1.0688959414577666,-0.4043750387954777,-0.04873238502859316,-0.26687484682749546,-1.025845086112639,-1.5336077044576992,-1.0697823467711058,-0.7069909392046836,-0.2304815567822667,0.3053450444751408,0.5503965193801533,0.486430282469657,0.407722373952522,0.568438464182916,0.1426324675249499,-0.14284574510179002,-0.4077806949771117,-0.5778923650149873,-0.8682951491996351,-0.4205884213902482,-0.1912437246592922,-0.3183867273795106,-0.9979613283536664,-1.4622341792659561,-1.0956887339631332,-0.8148134586497942,-0.3469009253601387,0.3642307174345219,0.950385617880663,0.9379397486929856,1.1821675904576365,0.6826947283322873,0.099656128064744,-0.49236106098636034,-0.789174478718084,-0.7076708082692478,-0.928745314808808,-0.5295079061168548,-0.29033488369072996,-0.3438131743681126,-0.9457972193715406,-1.3404070506293975,-1.0531659957372448,-0.815869649848512,-0.3586236243224025,-0.24930632290499694,-0.3040063909849352,-0.4099644862519662,-0.5314489598756044,-0.625174978001543,-0.6579917151529118,-0.7532657898333835,-0.8806411083317688,-0.9572827155245482,-0.9768924978057157,-0.9627276146648859,-0.8709006460073516,-0.6616099153242533,-0.5848341468639174,0.1620292379180104,1.437782611986562,1.681289948731114,1.748277927693976,1.3393317853747997,0.6885721275034518,-0.06734575806366062,-0.6881934187453398,-1.2562421795348813,-0.9449074568988903,-0.5819543328927859,-0.3414305531142352,-0.3048927101412787,-0.8562314754646292,-1.274922041203716,-0.9916561010958828,-0.8639204964836068,-0.47362970872621746,0.366787685590765,0.3879654708297001,0.10368753399862589,0.2297062403018764,0.09131853454876915,-0.24491126283568196
N,-0.21242699788613048,-1.493448054157118,-0.5773253874353701,0.1863242598060161,0.13846741605907686,0.10217115424082077,-9.911528155197333e-18,-0.36646482493160953,-0.9136510318679641,-1.4860172214686806,-0.8313164869823529,-0.3512867714174252,-0.9667527665756942,-0.3022039438483566,0.05343876855269897,-0.16470375056638717,-0.9236739394701308,-1.4313993374533216,-0.9676111834754151,-0.6048197690221578,-0.1283104219960502,0.4075162185009431,0.6525676750594878,0.5886014127636684,0.5098935285288615,0.6706096321016575,0.24480363922704396,-0.040674576034591875,-0.3056095217953072,-0.47572121232503434,-0.7661239850808623,-0.31841732054858274,-0.08907257413479326,-0.21621556656986116,-0.8957901643954305,-1.360062948234545,-0.9935177393611334,-0.7126422979353898,-0.2447297595239814,0.46640186930782396,1.052556786724151,1.04011091765522,1.284338759395718,0.784916111240634,0.20182727060286873,-0.3901898942072879,-0.6870033119390112,-0.6054996962803951,-0.8265741595892875,-0.4273367329630551,-0.18816373371190617,-0.24164198632349082,-0.843626206055662,-1.2382362676069385,-0.9509948459378101,-0.7136983823415914,-0.25645230426719307,-0.14713515403083796,-0.20183523911163279,-0.307793424289067,-0.429277851377373,-0.5229399806483761,-0.555820598634226,-0.6510356071612825,-0.7784699415526964,-0.8551115487454759,-0.8747213205310918,-0.8605078988165921,-0.7687294818173305,-0.5594388549147321,-0.48266313336124145,0.26420038979131266,1.5399568444797695,1.7834611175527586,1.8504490966044422,1.4415029543639706,0.7907432498925003,0.03482549372856946,-0.5861070455800749,-1.1540710127558083,-0.842736441992067,-0.4797830279465036,-0.239259261928496,-0.20272156356428653,-0.7540603256414742,-1.172750891823896,-0.8894850355840267,-0.7617493441337533,-0.3714585651817277,0.46895884092252765,0.4901366227030021,0.20585873101337804,0.3318773965777418,0.19348967898955824,-0.14274012379441572
O,0.15403781982755055,-1.126983257475919,-0.21086055943008836,0.552789091637808,0.5049322831540094,0.4686359967966595,0.36646482493160953,-9.911528155197333e-18,-0.5471874301405102,-1.1195521455522501,-0.4648528447055847,0.015178062619602022,-0.6002599576302537,0.0642608942547335,0.4199036403130416,0.20176109482127216,-0.5572091121015398,-1.064934509326167,-0.6011464711057989,-0.2383550578574962,0.23815441743899907,0.7739810464602844,1.0190325533305282,0.9550662505922715,0.8763583425318051,1.0370744464579777,0.6112684388879389,0.32579023830047743,0.060855275494531076,-0.1092564258173634,-0.3996592298648783,0.048047476723665536,0.2773922646418928,0.15024922927907783,-0.5293254335756047,-0.9935982321033341,-0.627052895635159,-0.346177470612826,0.12173506754796592,0.8328667429371247,1.4190216143519967,1.4065757453581644,1.6508035876573224,1.1513809531697627,0.5682921294163805,-0.02372512999130398,-0.3205384851489444,-0.239034935590797,-0.46010944905078915,-0.060871910325905096,0.17830109652541548,0.12482284055955074,-0.47716150057259266,-0.8717714060041195,-0.5845300411458387,-0.3472336759613201,0.11001247764727878,0.21932967457095262,0.16462958811039338,0.0586713957434589,-0.06281305841754355,-0.15647524020594272,-0.18935580776460642,-0.28457086453247105,-0.41200516575994767,-0.48864672195540887,-0.5082565394098432,-0.49404302171048936,-0.40226473380393446,-0.19297402497858968,-0.11619828271091187,0.6306652550500182,1.9064185772941389,2.1499259460272033,2.2169139250922085,1.8079677820876634,1.1572080451723656,0.40129017920555987,-0.219557507644429,-0.7876061859657411,-0.4762715869619949,-0.11331858378163229,0.12720546998264223,0.16374315307308743,-0.3875953423089795,-0.8062859964049165,-0.5230202052247387,-0.39528449572518964,-0.004993759153643135,0.8354269871576561,0.8566013626089084,0.5723235591740885,0.6983422598748562,0.5599545297186871,0.2237246969393306
F,0.7012386021053574,-0.579794250040624,0.3363284583552278,1.0999780775869292,1.0521213055161065,1.0158195160040615,0.9136510318679641,0.5471874301405102,-9.911528155197333e-18,-0.572363381622366,0.08233732768858687,0.5623671520484961,-0.053070958580822114,0.611449985371207,0.9670926736686726,0.7489501699759088,-0.010020143339419134,-0.5177456019905459,-0.05395742768924693,0.3088340103011397,0.7853448006746059,1.3211700341465245,1.566221535956838,1.5022552787741899,1.4235473522090607,1.5842634768043626,1.1584574637652432,0.8729792475977113,0.608044292888787,0.43793262818300566,0.14752981634721127,0.5952366248352107,0.8245813438577874,0.6974383300848913,0.01786361488223592,-0.44640942822922375,-0.07986385871275495,0.2010115343625608,0.66892416622374,1.3800557910241866,1.9662106591198496,1.9537647587435363,2.197992558083596,1.6985699336875633,1.1154811109770404,0.5234639084297837,0.22665039864041583,0.30815404704340776,0.08707958387253271,0.48631707563911275,0.7254902345679904,0.6720117966547274,0.07002765391442314,-0.3245824381922837,-0.037341021599277956,0.19995533744400823,0.6572014607474835,0.766518732710647,0.7118185424812118,0.6058603622913149,0.48437590412449744,0.3907137261226677,0.35783316343409455,0.2626181065929123,0.13518377360311346,0.05854215020962345,0.038932394927380896,0.05314590371832516,0.1449243151921982,0.3542150232463902,0.430990780913726,1.1778543030651218,2.4536075899858383,2.6971149840223285,2.7641029378404736,2.3551567285840616,1.7043970771240446,0.9484793462296147,0.32763140194179036,-0.24041739278621976,0.07091741778044301,0.43387071512153835,0.6743945698394614,0.7109322598409495,0.15959347380533198,-0.2590970386842218,0.024169054148627397,0.151904457015516,0.5421951990166469,1.382616750523713,1.40379060229135,1.1195125839105065,1.2455313706606839,1.1071436991647563,0.7709138898751468
Ne,1.273590202808735,-0.007430870684571125,0.9086918250816441,1.6723363770542896,1.6244846594759517,1.5881883291543832,1.4860172214686806,1.1195521455522501,0.572363381622366,-9.911528155197333e-18,0.6547011924194389,1.1347305049691196,0.5192649943911922,1.1838133929681924,1.5394560356606708,1.3213135069986142,0.5623432738299041,0.05461779177757836,0.518406047269251,0.8811974547928456,1.3577068318911694,1.8935333962472247,2.138584872235387,2.0746186621132106,1.995898793431056,2.15662683249393,1.7308208456165743,1.4453306930201366,1.1804076838207516,1.0102959576138206,0.7198932296077531,1.1675999875414056,1.3969447317056967,1.2698017178324923,0.5902270313318617,0.12595397173817088,0.4924995243854729,0.7733750912731564,1.2412875657609792,1.9524191898994803,2.5385739276400408,2.5261280490054276,2.7703558862619913,2.270933248675657,1.6877937762129565,1.0958272357294547,0.7990138801567606,0.8805174975326088,0.6594430331147887,1.058680578852509,1.297853652012018,1.244375316047641,0.6423911797337554,0.24778098012648153,0.5350224427942705,0.7723188208708919,1.2295650014828796,1.3388821057835365,1.2841820230106897,1.1782238210661535,1.0567393502798013,0.9630771661964351,0.9301966030229266,0.834981587176101,0.7075472554595732,0.6309056499302953,0.6112958787117972,0.6255093416300194,0.7172877333818455,0.9265801448815246,1.0033541726930617,1.7502176642793088,3.0259709661260277,3.2694781862068387,3.3364662114838084,2.927520069472435,2.2767603610952283,1.5207629011859665,0.8999949436940953,0.3319460004399452,0.6432808957669756,1.006234310750574,1.2467581436284212,1.2832958526777052,0.7319570097141868,0.31326637963174225,0.5965322753747951,0.7242679738398353,1.1145586729050805,1.9549763431157046,1.9761539635019862,1.6918760716294103,1.8178947427035324,1.6795069906663023,1.3431916249080578
