element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-8528.849686857544,-2961.2782181064053,8740.22455210988,8657.59182040461,6210.3069139603285,5219.851890185692,1977.0018915919827,-3484.760927373228,-8530.86883211873,-4513.933652903962,5077.4540543250505,5634.935358452289,4997.564325010556,6045.7316898417175,2852.9536319411873,-2556.0141757311267,-7898.954656703224,-5200.318656491613,2982.9570662837364,6801.619855009266,8711.307100028422,8786.05333179853,8272.76473160095,7620.974222158039,6011.564233646165,5496.20034585785,5247.348579936609,3037.9541370149354,4306.4498826587815,2036.1088005566714,3812.295998913618,5354.4822457558275,2636.949440958701,-2293.368198387067,-8072.196100429412,-5309.1787421578865,1674.545923479857,2169.123729226196,6845.357929024412,9627.343022158591,8892.162320068577,6732.164711277798,4717.042976053507,4604.038208341552,2442.465931890095,-1138.591332632314,1840.0619893965422,1599.7246795640513,2437.644751589957,4668.410345794363,2966.541359729932,-1724.8565857914004,-7425.002109071284,-7079.730522873615,1183.4511851270377,5959.7786153438865,5876.465934150569,5217.104444557913,4542.3446571582945,3855.060553962191,3256.5823822596753,2791.778211259048,2473.041216458967,2205.691734543365,1923.8636943942972,1518.2383085266933,40.88073819453136,-992.9195029656979,-552.3197782400662,3696.3679328078606,8975.331874925856,11964.623955813173,12108.926257879573,9364.293675739002,8504.69485631608,8503.74687291935,4468.55212557273,480.4024770980546,-840.467150321247,-3376.7358591334923,1891.043321983405,4237.872990599705,3220.0215572687125,-1094.635442160464,-6468.239542329733,-7085.105428006524,504.0393269762404,2492.53385047665,8294.292301590645,9110.281023054647,7830.066788343987,6696.562012240649,6564.204496583036,4915.067251952543
He,8528.849686857544,-0.0,5567.577098312991,17269.08264266575,17186.44041011812,14739.1560079076,13748.691862236097,10505.849631240284,5044.0878895363085,-2.019471594111511,4014.9149601676554,13606.282892610308,14163.81924613611,13526.374515976218,14574.580876939299,11381.803000283286,5972.834400916924,629.8937456438755,3328.5287443626116,11511.805659458869,15330.467998389538,17240.156004996043,17314.902242347696,16801.61436838706,16149.782339415899,14540.411339817063,14025.01287141925,13776.19654924275,11566.802721287802,12835.298983639172,10564.957563243393,12341.145336432688,13883.331590827254,11165.798251984677,6235.479925270519,456.65202374857057,3219.6276571692256,10203.393412494665,10697.972324246082,15374.206661871782,18156.191012387975,17421.01046355605,15261.013158270887,13245.891402013302,13132.886558383449,10971.31427132721,7390.2571272196,10368.910644056577,10128.572952193206,10966.49231769443,13197.257950226,11495.387399084942,6803.991905071183,1103.8463386829308,1449.1164669268755,9712.304153071931,14488.624858385112,14405.314605260646,13745.953155847323,13071.193415623804,12383.90935012131,11785.431162671555,11320.627003281124,11001.89001870328,10734.54041917865,10452.712383910131,10047.08699718105,8569.729322570181,7535.929082793609,7976.528720192085,12225.218178904957,17504.180372909887,20493.473037098654,20637.77416681878,17893.141872253967,17033.54312554254,17032.59570988689,12997.400735483969,9009.2511288079,7688.381596632243,5152.111914836748,10419.889941842432,12766.718842676739,11748.867729005391,7434.214549597356,2060.6086714164085,1443.7409348110598,9032.889270774444,11021.382115393626,16823.140313524815,17639.129969463334,16358.91548431692,15225.410626146597,15093.053122847708,13443.915673016934
Li,2961.2782181064053,-5567.577098312991,-0.0,11701.503582450032,11618.8649299649,9171.5961751931,8181.115947966503,4938.274362676367,-523.4887491024998,-5569.595867794469,-1552.661438636577,8038.706978340714,8596.213576558695,7958.798601706622,9007.004189265364,5814.226493987421,405.2579253899135,-4937.682450153049,-2239.0474845229414,5944.228531889466,9762.892103099006,11672.57960819671,11747.32463371973,11233.992599722782,10582.245459611288,8972.836395851156,8457.472522324451,8208.580865018379,5999.179880971583,7267.721820798436,4997.381001238176,6773.568595006004,8315.75485973665,5598.221510407935,667.9038623312102,-5110.923676709116,-2347.9074714821695,4635.819255735328,5130.396641355119,9806.630135295276,12588.615131885588,11853.434120712154,9693.437222698623,7678.3151191549305,7565.31013765914,5403.7378166256285,1822.6808062828968,4801.334115047581,4560.9962593001055,5398.916590010507,7629.682374157688,5927.813157298661,1236.4160296458892,-4463.729842094369,-4118.458485811753,4144.724611634407,8921.050658568003,8837.737936485315,8178.3764440254645,7503.616697968792,6816.332567202379,6217.854413608096,5753.050256897221,5434.3132730612715,5166.9637998602775,4885.135767132092,4479.510387925563,3002.1528163450334,1968.3527601914934,2408.952363943012,6657.641171075239,11936.604455610266,14925.89608758628,15070.198348100992,12325.56590339808,11465.966982566024,11465.019163218833,7429.823935452517,3441.674977656945,2120.805052713402,-415.4640935410414,4852.316578762263,7199.146428849762,6181.294934793199,1866.6366368159674,-3506.9675081120104,-4123.83339532063,3465.3131881136787,5453.805900967901,11255.56363294432,12071.553212179502,10791.339045438917,9657.834538213521,9525.476557077756,7876.339126569783
Be,-8740.22455210988,-17269.08264266575,-11701.503582450032,-0.0,-82.63909573766563,-2529.930396474245,-3520.37953618066,-6763.245923891946,-12225.016457265814,-17271.099270226656,-13254.164510826951,-3662.777731158003,-3105.2891936575907,-3742.6671135368783,-2694.498872632172,-5887.276465601263,-11296.245061304111,-16639.185628242867,-13940.550849437319,-5757.272994045099,-1938.6112704775717,-28.924065794282075,45.822416159205716,-467.4657527076647,-1119.2571053611746,-2728.667001853156,-3244.0697712465007,-3492.882551897012,-5702.277328554394,-4433.781248083866,-6704.122399129835,-4927.934334891749,-3385.7484095445902,-6103.281178273048,-11033.599481134059,-16812.427007150305,-14049.451027316654,-7065.685438095553,-6571.107263793962,-1894.8732191879867,887.1118371130701,151.93102897830727,-2008.0661399648484,-4023.188153585289,-4136.192617029878,-6297.765309242923,-9878.82354008608,-6900.169526232314,-7140.506208269731,-6302.586665236073,-4071.820924530112,-5773.689590869816,-10465.086865848874,-16165.233406526262,-15819.961427449882,-7556.7784512257385,-2780.452022442762,-2863.7646275542124,-3523.126073585499,-4197.885798223123,-4885.1713861512935,-5483.648393128927,-5948.452663031379,-6267.189252562279,-6534.538932603327,-6816.367141345229,-7221.992349444357,-8699.350167714494,-9733.150487189983,-9292.550768645888,-5043.861858157851,235.10061295803922,3224.3918475630576,3368.6950854724755,624.0624775587196,-235.53645189358036,-236.4841829909116,-4271.679199764203,-8259.828581777821,-9580.698065176408,-12116.967351240693,-6849.188198969083,-4502.3586087846725,-5520.209219965571,-9834.864730232153,-15208.470858018702,-15825.336444897843,-8236.189864420083,-6247.697060108027,-445.9392348210339,370.05060572608124,-910.1635241193509,-2043.669251358509,-2176.0267915679447,-3825.1639540168385
B,-8657.59182040461,-17186.44041011812,-11618.8649299649,82.63909573766563,-0.0,-2447.285185421484,-3437.7404466156186,-6680.590285479199,-12142.353368095413,-17188.459911499,-13171.526075675623,-3580.1383869757624,-3022.6211332224657,-3660.026661227518,-2611.8599220906253,-5804.637481704321,-11213.606005017788,-16556.669310796893,-13857.911752388503,-5674.634648747831,-1855.9721878154076,53.714957408165155,128.46149328463693,-384.8269232871755,-1036.6180595012606,-2646.0279587556593,-3161.391649149002,-3410.243326395014,-5619.637878169176,-4351.142545393571,-6621.483043473128,-4845.295068908268,-3303.1089960459162,-6020.6420960176565,-10950.960458534413,-16729.78791285813,-13966.77084996591,-6983.046380547445,-6488.468172602264,-1812.2340835477266,969.7508282931093,234.5701563902768,-1925.4271767620942,-3940.5489773367945,-4053.652658191753,-6215.242004422259,-9796.31737865222,-6817.529914649713,-7057.86714876322,-6219.947605045878,-3989.1813081807973,-5691.050549292066,-10382.447825781337,-16082.5943129182,-15737.322817359649,-7474.139414755367,-2697.8129491264767,-2781.12508880891,-3440.487224735279,-4115.2469531956895,-4802.530780212521,-5401.009237765131,-5865.813592867046,-6184.550583377682,-6451.900042276128,-6733.727933882735,-7139.35345314112,-8616.711116537255,-9650.512598057041,-9209.911755927811,-4961.222077135066,317.73969658520974,3307.031811135916,3451.3342594887054,706.7016689976331,-152.89728006358388,-153.84539685228526,-4189.03997523078,-8177.189193595974,-9498.058967025452,-12034.32828553199,-6766.549479222963,-4419.718867926148,-5437.570222027186,-9752.225667725597,-15125.832197104042,-15742.697403958868,-8153.550904494785,-6165.058016159693,-363.3001249513676,452.689595311572,-827.5249590163885,-1961.0300357970455,-2093.3875800961955,-3742.52484938603
C,-6210.3069139603285,-14739.1560079076,-9171.5961751931,2529.930396474245,2447.285185421484,-0.0,-990.455147621961,-4233.304838167486,-9695.067669418395,-14741.175332709636,-10724.240253274167,-1132.8530959579932,-575.3364433601489,-1212.741904618322,-164.57470992780017,-3357.351866476032,-8766.320804142746,-14109.379560150495,-11410.626665172324,-3227.3496141701253,591.3130183758375,2501.000172114251,2575.7467186782233,2062.458574416092,1410.6671681226069,-198.7427416997292,-714.1065245519595,-962.9581965901833,-3172.3526012964703,-1903.8569745945733,-4174.197596343342,-2398.0100226681047,-855.8237477904295,-3573.357093772574,-8503.67506504232,-14282.502752309898,-11519.485688073697,-4535.760723503468,-4041.1827986753165,635.0511946260381,3417.036225377151,2681.85539849504,521.8580057281818,-1493.2637996645356,-1606.268514585915,-3767.841066188424,-7349.027638568953,-4370.244691976072,-4610.582181733476,-3772.661981204643,-1541.8961125427647,-3243.76535677557,-7935.1628323335035,-13635.30791626511,-13290.037303195555,-5026.854161996077,-250.5289679245564,-333.8402304074614,-993.2016145979181,-1667.9614891979884,-2355.245835191556,-2953.7239143229394,-3418.528349751246,-3737.2654068617535,-4004.6145875568227,-4286.442636061753,-4692.068288090395,-6169.4259295192005,-7203.2261968785115,-6762.626528189409,-2513.9374536001214,2765.0246866529246,5754.317237384372,5898.619267219004,3153.986947741379,2294.3881021900156,2293.4400611966075,-1741.75482723004,-5729.904155234762,-7050.773787304149,-9587.043090542826,-4319.263390474674,-1972.4336731151868,-2990.2849923276804,-7304.941994721811,-12678.546596576816,-13295.412216971568,-5706.265639814571,-3717.772787780908,2083.98635558397,2899.9750020951287,1619.760050700904,486.25507241057505,353.8975478943354,-1295.2397641621774
N,-5219.851890185692,-13748.691862236097,-8181.115947966503,3520.37953618066,3437.7404466156186,990.455147621961,-0.0,-3242.8498388650514,-8704.612919390152,-13750.72142124378,-9733.785104544775,-142.39809168501017,415.1186913204711,-222.28694347763204,825.8806005259132,-2366.897603099642,-7775.8657600507395,-13118.806219541197,-10420.171499533497,-2236.894474446748,1581.7677033552018,3491.4553768006926,3566.2018301087396,3052.8786032832695,2401.12233471141,791.7123958754976,276.3485851576121,27.49693373314749,-2181.93411546793,-913.4018386241122,-3183.7426010429367,-1407.5546412349308,134.63140323209097,-2582.9016533557406,-7513.219959124123,-13292.047593114117,-10529.064205066874,-3545.305529306858,-3050.7276549141857,1625.506326371775,4407.491242835684,3672.3104879517814,1512.3131611178933,-502.8086492165981,-615.8133947612879,-2777.386014751159,-6358.442797379328,-3379.7892506435633,-3620.1269417138756,-2782.2067883312848,-551.4418422713701,-2253.310168833604,-6944.707482152757,-12644.854018770071,-12299.582148436879,-4036.3989964024267,739.9267624266841,656.6142687737897,-2.746737095667444,-677.506687636372,-1364.7905264309113,-1963.2687443048865,-2428.073081548984,-2746.8099718317426,-3014.1593705330265,-3295.9876740661207,-3701.61316302729,-5178.970642093303,-6212.771025552943,-5772.171388124795,-1523.4822856470532,3755.479241663636,6744.772373359414,6889.074410856397,4144.441967103253,3284.8432848668067,3283.8951856969657,-751.29969590655,-4739.449114543011,-6060.318448019475,-8596.587703632318,-3328.8081954717145,-981.9796176185198,-1999.8298314779543,-6314.485452274007,-11688.091450526686,-12304.957059150873,-4715.810475580329,-2727.3191772739215,3074.4415037151,3890.4301449390537,2610.2151826446766,1476.7103554853718,1344.3528152516524,-304.78478732072625
O,-1977.0018915919827,-10505.849631240284,-4938.274362676367,6763.245923891946,6680.590285479199,4233.304838167486,3242.8498388650514,-0.0,-5461.762706444421,-10507.869902093644,-6490.947019832589,3100.451575257845,3657.968029048953,3020.5628699106937,4068.6925088083203,875.9525086161917,-4533.016025266623,-9875.956307664257,-7177.3211097459425,1005.9552563454315,4824.617877228135,6734.305146897376,6809.051879164263,6295.7637815053395,5643.972331606371,4034.5379028453754,3519.198464006566,3270.346660251835,1060.9521913118851,2329.447905869401,59.10697665792913,1835.2949632876887,3377.481190204927,659.9479949380349,-4270.370124046445,-10049.19795269815,-7286.180847272689,-302.45660755159275,192.12195018162927,4868.3561588165785,7650.341011219765,6915.160314265468,4755.16291182181,2740.041152931835,2627.03646441057,465.4639126628625,-3115.593193045392,-136.9397800133541,-377.2776050186382,460.64218920524354,2691.4087485360624,989.5388235590148,-3701.857858960641,-9402.004037622155,-9056.732427606588,-793.550644172156,3982.777005900378,3899.46460972492,3240.10298979319,2565.3431429976713,1878.0589739414834,1279.5807744892925,814.7767881155881,496.0397817166881,228.69000178460047,-53.13795900293945,-458.76340022299973,-1936.1208029697427,-2969.921066390414,-2529.321531297874,1719.3672883303313,6998.329615339651,9987.621944121238,10131.92463798879,7387.29179550425,6527.692831795904,6526.745147913157,2491.550124031759,-1496.5994706160845,-2817.468729532958,-5353.73781343968,-85.95954074275724,2260.871178793104,1243.0185413733166,-3071.63569648461,-8445.24145802086,-9062.107340786619,-1472.962502322288,515.5304039415554,6317.292285742509,7133.279257385422,5853.0647365456025,4719.559920425664,4587.20240647678,2938.065160484318
F,3484.760927373228,-5044.0878895363085,523.4887491024998,12225.016457265814,12142.353368095413,9695.067669418395,8704.612919390152,5461.762706444421,-0.0,-5046.107048364843,-1029.1727811881417,8562.214126105613,9119.731205864835,8482.325334998259,9530.492864777665,6337.715170471837,928.7465971702337,-4414.193668862912,-1715.5960121847647,6467.669779594913,10286.380883047885,12196.040831861046,12270.793578049803,11757.50965272733,11105.721024240784,9496.308436219242,8980.950277228774,8732.096644313206,6522.715328961289,7791.191411401242,5520.869750259232,7297.015499533045,8839.243370407989,6121.709614929513,1191.3926178123727,-4587.4349024031235,-1824.4178136473913,5159.306606317461,5653.884455066019,10330.118872180381,13112.103889675109,12376.923212661446,10216.925543129611,8201.803810865451,8088.79924430452,5927.2267611703255,2346.169628114845,5324.8227628719505,5084.484618604702,5922.405372505207,8153.171147777364,6451.301914645898,1759.9047913174684,-3940.2410630026034,-3594.9698243318453,4668.21340393674,9444.53942959083,9361.225190460387,8701.863935298694,8027.105378923912,7339.8212786478825,6741.343122113352,6276.538963410147,5957.801978342652,5690.452504230476,5408.624470613902,5002.999090143454,3525.6414972475663,2491.841300387424,2932.440907325172,7181.1298258462775,12460.092652677775,15449.385799189746,15593.68712638796,12849.054676981044,11989.45575622795,11988.508452975104,7953.3128340662915,3965.164178754325,2644.293724273912,108.02454883733286,5375.807364645094,7722.633559530608,6704.784600863905,2390.125472671709,-2983.478851410747,-3600.344743624922,3988.801988376747,5977.294668326118,11779.050482640401,12595.041943461878,11314.827722422275,10181.322975915862,10048.965667174529,8399.828206698023
Ne,8530.86883211873,2.019471594111511,5569.595867794469,17271.099270226656,17188.459911499,14741.175332709636,13750.72142124378,10507.869902093644,5046.107048364843,-0.0,4016.93450827439,13608.322331714688,14165.838280572052,13528.493968192106,14576.60060744429,11383.822860345326,5974.854118582356,631.9131190371262,3330.54840343277,11513.778139325601,15332.48866414875,17242.149202016375,17316.901941523207,16803.618009354872,16151.829374715751,14542.432560285197,14027.058613675112,13778.204983154237,11568.823104715064,12837.299754393523,10566.97659272348,12343.123864686815,13885.351431999145,11167.817809770406,6237.499755004198,458.6714101944955,3221.7609414155754,10205.41265156013,10699.991966152837,15376.225918331153,18158.21191550007,17423.028402964926,15262.947669137118,13247.831428804599,13134.906143530587,10973.33383304092,7392.276712141008,10370.930318980676,10130.592632445896,10968.512028061026,13199.277211557552,11497.407419995945,6806.011050843406,1105.8644846543336,1451.1360328850992,9714.3201311827,14490.644854875447,14407.334338619003,13747.973124479762,13073.213144106887,12385.929035522102,11787.4506570712,11322.646594582406,11003.909529252236,10736.560056882092,10454.732023411521,10049.106636981873,8571.748991264858,7537.948602403355,7978.548380617659,12227.237404745805,17506.200365172994,20495.49282174734,20639.79517545099,17895.162729445372,17035.561804280358,17034.615744781757,12999.419846466028,9011.270608319695,7690.401066605668,5154.131827297088,10421.909392459465,12768.738843063322,11750.886929630917,7436.233983154295,2062.62648009224,1445.7605020585572,9034.909129716547,11023.401204245905,16825.160018223996,17641.149704979132,16360.935143220155,15227.430307959616,15095.072834778393,13445.935063372104
