element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.25807028970828766,-0.13057593510991253,0.2000400952553896,0.3634003693787162,0.017520551969722784,0.15258258327537103,-0.02305246337182332,-0.19761185261046132,-0.3388459737634951,-0.22958740059645755,0.06033992313569082,0.3565995648903996,0.40512908826413685,0.33669810959213287,0.17569236032952723,-0.07177320021567234,-0.3686967498345418,-0.28727395708101433,-0.026886868200514506,0.30947358687120263,0.4993575978641653,0.47456705283854217,0.4496472158297039,0.4083135497286704,0.3615369242950099,0.2959128539161854,0.20649761255823987,0.06571106259002658,0.0455972967284101,0.19845416109802316,0.13065507621440048,0.21251846151999704,0.2061952049848585,-0.007603078643144053,-0.3166923133448114,-0.292429567917778,-0.061435339700162406,0.2721994439847467,0.5924838692493716,0.5846111322235547,0.5550897107748604,0.5048061723471887,0.4136621756633988,0.31376151824023707,0.13665580949235775,-0.0746112394977475,-0.02860419399663457,0.14318720172426103,0.11807061366709923,0.20759132739240907,0.2565887305701144,0.07309138539318934,-0.20728145152040248,-0.37437305195231546,-0.07944650648821068,0.21178902354495158,0.3497096473582483,0.3388508030693267,0.31676454016693606,0.28992502287313476,0.26543293095967574,0.24294038393530273,0.2249044314229233,0.20743793330117835,0.18399486859084702,0.16816841419152354,0.14876073100932155,0.13542967450036195,0.1208346198923295,0.2289194442108583,0.6102281628814117,0.625626922631975,0.6168945816905592,0.5866431447797661,0.528960653044505,0.41925516577298744,0.2699160853837156,0.05204621232672545,-0.13908892953571772,-0.0593312610783336,-0.02625428758522588,0.10512448196500192,0.2507574435059449,0.10834854959701126,-0.13169844057729402,-0.37126307425382227,-0.12827540196579124,0.18781727429741324,0.5369637535635587,0.4663741144840556,0.4639274320569717,0.45923604343491925,0.43911324524058576,0.4121985113480773
He,0.25807028970828766,-0.0,0.12749435459837513,0.4581103849636773,0.6214706590870039,0.2755910987525257,0.41065337897746496,0.2350183936901451,0.06045856008323758,-0.08077555980600484,0.028483015296246698,0.3184110565409507,0.6146698545986875,0.6631993779724247,0.5947683993004206,0.4337637298420468,0.18629721283234965,-0.11062633642395735,-0.02920354485448052,0.23118354730221918,0.5675455288866885,0.757427887572453,0.73263734254683,0.7077175055379915,0.6663838394369581,0.6196072140032977,0.5539839447659961,0.4645687749356,0.3237814807905399,0.30366769949118155,0.4565256558659948,0.3887254978493936,0.47058886322075516,0.46426560403867323,0.2504673384437086,-0.058621902973214825,-0.03435915283591999,0.1966350770553595,0.530269856504864,0.8505542651675427,0.8426836337655669,0.813161979379741,0.7628782557520001,0.671734142802875,0.5718319151879063,0.39472622228077925,0.18345916783256125,0.22946622317762697,0.40125761207300925,0.3761410182774026,0.4656617394802506,0.5146591454911112,0.33116180055209793,0.05078896056002696,-0.11630263940915557,0.17862390445058202,0.4698594417568661,0.6077800580325793,0.5969212199833623,0.5748349560117962,0.5479954375422249,0.5235033443800152,0.5010107965723799,0.4829748434955864,0.46550834493256155,0.44206527980335003,0.42623882528021684,0.4068311419326021,0.3935000856695068,0.3789050303787713,0.4869898572152341,0.8682985586653508,0.8836996089580337,0.8749671204564754,0.8447155654799985,0.7870310405033285,0.677325583326469,0.5279864994096413,0.31011662270825097,0.11898148228920825,0.19873915130544906,0.23181613025571568,0.36319489404307553,0.5088278546623766,0.36641896678226654,0.12637197559159605,-0.11319266344174429,0.1297950062810377,0.4458876868848425,0.7950341669334271,0.7244445335546503,0.721997847329303,0.7173064573207475,0.6971836573356456,0.6702689227869361
Li,0.13057593510991253,-0.12749435459837513,-0.0,0.33061603036530207,0.4939763044886288,0.14809674415415053,0.28315902437908985,0.10752369028263228,-0.06703569747551981,-0.20826981923093724,-0.09901124449108996,0.19091607564609442,0.48717550000031223,0.5357050233740495,0.4672740447020454,0.3062685072407311,0.05880295475332077,-0.2381205954889202,-0.15669780397902328,0.1036892859840441,0.4400497302642963,0.629933532974078,0.6051429879484548,0.5802231509396163,0.538889484838583,0.49211285940492255,0.4264895901676209,0.33707442033722484,0.19628721942387428,0.1761734456394178,0.3290303087433546,0.2612312311824436,0.3430946060467924,0.33677135374197753,0.12297307548337029,-0.18611615970130038,-0.16185341574923706,0.06914081688628607,0.4027755981163779,0.7230600101221225,0.7151872771065811,0.6856658569154881,0.635382309668144,0.5442383396837684,0.44433767662282925,0.2672319630864198,0.05596490565281314,0.10197196248415666,0.2737633561527123,0.2486467626259991,0.3381674835246756,0.38716488270182686,0.2036675430275906,-0.07670529820652226,-0.24379689705130558,0.05112963452488494,0.34236517897994617,0.48028580151289985,0.46942695584591093,0.4473406928813478,0.42050117495216854,0.39600908840575993,0.37351654061324946,0.3554805875481964,0.3380140889935003,0.3145710238687198,0.2987445693464534,0.2793368859964161,0.26600582972728426,0.2514107745179512,0.3594956012683266,0.7408043036154683,0.756203067190202,0.7474707273791726,0.7172192804017391,0.6595368139464679,0.5498313236814366,0.40049224071958406,0.18262236737983586,-0.008512779477944609,0.07124489501543538,0.1043218730744824,0.23570063673014516,0.3813335975186033,0.23892470786843267,-0.0011222989505612646,-0.24068692075080883,0.0023007570760492104,0.3183934287030776,0.6675399069786521,0.5969502669052794,0.5945035913174853,0.5898122013288686,0.5696894022476382,0.5427746676505844
Be,-0.2000400952553896,-0.4581103849636773,-0.33061603036530207,-0.0,0.1633602741233267,-0.1825192862111516,-0.047457260844958056,-0.22309199127353216,-0.3976512611927655,-0.5388852270230261,-0.4296266079665568,-0.13969992698670444,0.15655892700177007,0.20508899300874728,0.13665748006392767,-0.024347487227186354,-0.2718130501800985,-0.5687365971972201,-0.48731380886807174,-0.22692671515297205,0.10943373755265642,0.2993164063940911,0.27452609745380163,0.24960644800060802,0.20827289710626223,0.16149635461813666,0.09587300707748288,0.00645776370215672,-0.13432878262302764,-0.15444255174927987,-0.0015856856631426787,-0.0693847695668686,0.012478611438116358,0.00615535470363322,-0.2076429229829762,-0.516732162025729,-0.492469417805318,-0.2614751870537687,0.07215959147285209,0.3924440269349379,0.38457128967022136,0.3550498674531559,0.304766325496901,0.21362232634771897,0.1137216723251069,-0.0633840351250461,-0.274651089581979,-0.22864403989369408,-0.05685264753407283,-0.08196923208359598,0.007551477144505903,0.05654887898973464,-0.1269484610309348,-0.4073212957655784,-0.5744129041517406,-0.2794863607107072,0.011749181719587271,0.14966979939927003,0.13881095064691854,0.11672468847799468,0.08988517475943959,0.0653930797449906,0.04290053297010123,0.02486458065886456,0.007398083296175882,-0.016044980053872615,-0.031871436123656074,-0.05127911881576957,-0.06461017533899688,-0.07920523092924922,0.028879593423414056,0.4101883204689869,0.4255870801059129,0.4168547383142132,0.3866032977349959,0.328920803575443,0.2192153197243021,0.0698762416541977,-0.14799362750650064,-0.3391287772394008,-0.259371104829162,-0.226294129250872,-0.09491536812702293,0.05071759121907173,-0.09169129641297985,-0.3317382834639784,-0.571302913373066,-0.32831525508260007,-0.012222571595884643,0.33692389876741785,0.2663342662825037,0.2638875851352384,0.2591961972821002,0.23907339946900177,0.21215866578621545
B,-0.3634003693787162,-0.6214706590870039,-0.4939763044886288,-0.1633602741233267,-0.0,-0.3458795603344783,-0.21081728010953898,-0.38645226539685884,-0.5610115353160923,-0.7022455011463529,-0.5929868820898834,-0.30305960254605324,-0.006801398339133311,0.04172824468857266,-0.026702848846227416,-0.18770781551644022,-0.43517337762579583,-0.7320969279187844,-0.6506741364964601,-0.3902870459128213,-0.053926591903513885,0.13595608544778265,0.1111657777593364,0.08624611461477542,0.044912569918145726,-0.0018639751164890297,-0.067487319213389,-0.15690256253617085,-0.29768911088216743,-0.3178028808288585,-0.16494601073656417,-0.23274509653046987,-0.150881714711448,-0.15720497312341122,-0.3710032527152566,-0.680092495996074,-0.6558297447362756,-0.42483551306108097,-0.09120073422052272,0.22908369741228835,0.22121096890487987,0.19168954660996124,0.1414059988303848,0.05026199650132616,-0.04963865113642464,-0.22674436336490672,-0.4380114176701127,-0.39200436651126697,-0.22021297487950897,-0.24532955931448774,-0.155808849991977,-0.10681144762920154,-0.2903087888572706,-0.5706816242308703,-0.7377732333276182,-0.44284668841297725,-0.15161115482957718,-0.01369052956950373,-0.02454937811740345,-0.046635639008300325,-0.07347515520728709,-0.09796724703313783,-0.12045979378809318,-0.1384957460276021,-0.15596224396139055,-0.1794053095449536,-0.1952317629066473,-0.21463944618177652,-0.22797050271950625,-0.24256555840936392,-0.13448073311233472,0.24682799235469455,0.2622267592640261,0.25349441767142017,0.22324297021702907,0.16556047604959612,0.05585499485861529,-0.09348408250661218,-0.31135395598492943,-0.5024891056496781,-0.4227314327890345,-0.3896544569175533,-0.25827569693188934,-0.1126427347866715,-0.25505162591551017,-0.4950986149369713,-0.7346632424077346,-0.4916755801017565,-0.1755828996796508,0.1735635698773203,0.102973932958289,0.10052725176821735,0.0958358645234051,0.0757130670538321,0.048798333665235075
C,-0.017520551969722784,-0.2755910987525257,-0.14809674415415053,0.1825192862111516,0.3458795603344783,-0.0,0.13506228022493932,-0.04057301704324375,-0.21513240421235366,-0.35636594081187456,-0.24710795251033266,0.04281936875866601,0.3390787558461618,0.3876082792198988,0.31917730054789484,0.1581718092185504,-0.08929375359924896,-0.38621730691983835,-0.3047945100363436,-0.044407421859429586,0.29195303171648607,0.4818367888199273,0.45704624379430425,0.4321264067854658,0.39079274068443237,0.34401611525077197,0.2783928460134705,0.1889770597249763,0.04819051050687428,0.0280767430801425,0.18093361005821554,0.11313452387853075,0.19499791031628677,0.18867465036935702,-0.025123630111685752,-0.3342128670788837,-0.30995012096493424,-0.07895588970607155,0.2546788905184553,0.5749633180889306,0.5670905744464988,0.5375691555365828,0.48728560834965395,0.3961416228199766,0.2962409659800636,0.11913525712689424,-0.09213179247313903,-0.04612474608411187,0.1256666492002935,0.10055006263208814,0.19007077459098282,0.2390681776589756,0.055570832018978514,-0.22480200562281408,-0.39189360539609824,-0.09696705418205545,0.19426847093435706,0.33218909505843147,0.32133025003422094,0.2992439873150351,0.27240447031575377,0.2479123781433275,0.22541983063029394,0.207383878571098,0.1899173804652537,0.16647431579102076,0.15064786140674571,0.13124017810372984,0.11790912159482989,0.10331406528910113,0.21139889141591733,0.5927076040451695,0.6081063643147306,0.5993740258492365,0.5691225788841718,0.5114400979376746,0.4017346078699144,0.25239553433073136,0.03452566032002251,-0.1566094835870817,-0.07685181415193047,-0.043774837957398824,0.08760392558222739,0.2332368902987582,0.09082799615331075,-0.14921899291319948,-0.38878362086847296,-0.14579596078455062,0.1702967215918446,0.5194431995953737,0.4488535625391055,0.44640688464227435,0.441715492202607,0.4215926937928659,0.39467795988381876
N,-0.15258258327537103,-0.41065337897746496,-0.28315902437908985,0.047457260844958056,0.21081728010953898,-0.13506228022493932,-0.0,-0.17563498528731994,-0.35019425520655323,-0.4914282210368139,-0.38216960198034444,-0.09224266520667966,0.20401647562122247,0.25254599899495955,0.18411502032295557,0.023109774696836873,-0.22435578830408906,-0.5212793363033288,-0.43985654707996846,-0.17946945418577004,0.15689099998415434,0.34677450859498804,0.32198396356936493,0.29706412656052655,0.2557304604594931,0.20895383502583265,0.14333026748501398,0.053915023613722045,-0.08687152307042303,-0.1069852907856926,0.045871576517900844,-0.021927508104929966,0.059935874805542376,0.053612617889699093,-0.1601856621234669,-0.4692749018392739,-0.4450121564406036,-0.214017926102278,0.11961685397625049,0.4399012851870849,0.4320285477867897,0.40250712612467193,0.3522235894563184,0.2610795878063499,0.161178933541842,-0.015926777860843313,-0.22719382727856297,-0.1811867790334093,-0.009395386062374007,-0.03451197337288147,0.055008740086134794,0.10400614305682487,-0.07949120025653099,-0.3598640349821522,-0.5269556433890179,-0.23202909154670412,0.05920643655817997,0.19712706030388755,0.18626821538631877,0.16418195285258272,0.13734243563402515,0.11285034354453137,0.09035779658246025,0.07232184407037913,0.054855345994126316,0.031412279408934714,0.015585824157485982,-0.0038218578260485747,-0.017152914779316,-0.03174797063681072,0.0763368546550188,0.4576455783204259,0.4730443381950347,0.4643119970403431,0.4340605614284717,0.37637806903578985,0.26667258069273597,0.11733349870941592,-0.1005363669812949,-0.2916715158807834,-0.21191384438538352,-0.17883686880728278,-0.04745810781922484,0.09817485269703437,-0.044234036706880295,-0.284281022781458,-0.5238456537097622,-0.28085799474283824,0.03523468234271518,0.38438116226556757,0.31379152797874404,0.31134484581029337,0.3066534583184823,0.28653065993050353,0.2596159262473763
O,0.02305246337182332,-0.2350183936901451,-0.10752369028263228,0.22309199127353216,0.38645226539685884,0.04057301704324375,0.17563498528731994,-0.0,-0.17455926991923326,-0.315793235749494,-0.2065346166930245,0.08339266285080565,0.37965146090854246,0.42818098428227946,0.3597500056102755,0.19874533615190174,-0.048720736540479447,-0.3456442888177578,-0.26422149315748694,-0.0038344034091557845,0.33252604898991106,0.5224094938823078,0.49761894885668484,0.4726991118478465,0.43136544574681307,0.38458882031315256,0.31896555107585106,0.22955038124545493,0.08876352773057516,0.0686497592464104,0.22150662226784557,0.15370754137737644,0.2355709207503616,0.22924766752341075,0.01544938717145153,-0.29363985034644613,-0.2693771040590197,-0.03838287167880227,0.29525190755038894,0.6155363320002144,0.6076652400754218,0.5781435856895959,0.527859862061855,0.43671463805686805,0.3368139861861508,0.15970827390481118,-0.05155877742172664,-0.005551729803415046,0.1662396651712122,0.14112307570185958,0.2306437935541682,0.2796411945493486,0.09614384921765262,-0.18422898856091013,-0.3513205891684535,-0.056394038527389896,0.234841488252793,0.37276211211408783,0.36190326710733534,0.33981700389158837,0.31297748710994555,0.28848539437916,0.265992850335888,0.24795689758071413,0.2304903992711841,0.20704733438275494,0.1912208777086237,0.17181319439617318,0.15848213802749211,0.14388708202521125,0.25197190834419614,0.6332806183694784,0.6486793784675999,0.6399470413167122,0.6096955943471443,0.5520131239638226,0.44230763121722283,0.29296854764089225,0.07509867984183374,-0.11603646470407844,-0.03627879737137114,-0.003201822288599839,0.128176945748427,0.2738099077351496,0.13140101334912557,-0.10864597631762808,-0.3482106043973281,-0.10522294353751055,0.21086973851355026,0.5600162171903778,0.4894265782029102,0.48697989576132406,0.4822885073343622,0.4621657089226496,0.4352509811009716
F,0.19761185261046132,-0.06045856008323758,0.06703569747551981,0.3976512611927655,0.5610115353160923,0.21513240421235366,0.35019425520655323,0.17455926991923326,-0.0,-0.14123396583026068,-0.031975546504680014,0.2579519327700389,0.5542107308277757,0.6027402542015128,0.5343092755295088,0.373304606071135,0.12583865276271747,-0.17108489997331647,-0.08966210697231193,0.17072498570509173,0.5070864051157767,0.6969687638015412,0.6721782187759181,0.6472583817670797,0.6059247156660462,0.559148090232386,0.4935248209950843,0.4041096511646882,0.2633232134862038,0.24320956610201008,0.3960665320950831,0.32826738923238563,0.41013105355683904,0.40380814809588517,0.19000877828076246,-0.11908046281979247,-0.09481771391232971,0.1361765141478678,0.46981129676499134,0.79009753482674,0.7822245099946549,0.7527028556088292,0.7024191319810882,0.6112750190319632,0.5113745317037826,0.3342676638637087,0.12300060730476285,0.16900765931080847,0.3407990520324229,0.31568245825516145,0.40520317943888795,0.4542005852892617,0.27070323978639266,-0.009669600178759234,-0.17676119901434956,0.11816678811436543,0.4094008801830795,0.5473214983189887,0.536462652545492,0.5143763959682104,0.48753687757436176,0.4630447843374427,0.4405522365300064,0.4225162834532739,0.40504978489042737,0.3816067197618229,0.3657802652389723,0.34637258189177045,0.33304152562886474,0.31844647033834017,0.4265312971705802,0.807841870157331,0.823240485187122,0.8145079966855637,0.7842564417090867,0.7265738676163533,0.6168670018294977,0.4675279393868769,0.24965806262499213,0.05852291627259813,0.13828059212585836,0.1713575702479101,0.3027363333882264,0.4483692948852663,0.305960405504119,0.06591340990186235,-0.1736512240894558,0.06933643653738304,0.3854291287112339,0.7345756057662417,0.6639859639598464,0.661539287286842,0.6568478972773437,0.6367250974042651,0.6098103549482196
Ne,0.3388459737634951,0.08077555980600484,0.20826981923093724,0.5388852270230261,0.7022455011463529,0.35636594081187456,0.4914282210368139,0.315793235749494,0.14123396583026068,-0.0,0.1092586190564695,0.39918589860029957,0.6954446966580363,0.7439744089540806,0.6755432413597695,0.5145385719013957,0.26707320801695555,-0.02985077768786502,0.051572015480711435,0.31195910775884356,0.6483203709460374,0.8382027296318018,0.8134121846061788,0.7884923475973404,0.7471586814963069,0.7003820560626465,0.634758786825345,0.5453436169949489,0.4045571793164645,0.3844435319322707,0.5373004979253437,0.4695013550626463,0.5513650193870997,0.545042113926146,0.331242890412594,0.022153656285645366,0.0464164063128549,0.2774106370041583,0.6110454193907963,0.9313315006570008,0.9234584758249157,0.8939368214390899,0.8436530978113489,0.7525089848622238,0.6526084975340432,0.475501782890927,0.26423472984826485,0.31024177889457855,0.4820331621699778,0.45691658378789207,0.5464372884029219,0.5954347009504545,0.41193736379024476,0.13156452329697457,-0.035527077414664876,0.259399464801375,0.5506350016840267,0.6885556232519405,0.6776967668517094,0.6556105033767389,0.62877098534147,0.6042788926509999,0.581786345254602,0.563750392678389,0.5462838943965289,0.5228408294806931,0.5070143751134663,0.4876066918913301,0.47427563570232684,0.45968058031389775,0.5677654130832751,0.9490758359875916,0.9644744510173826,0.9557419625158244,0.9254904075393473,0.8678078334466139,0.7581026192643786,0.6087620439931984,0.3908921866900063,0.19975703811915413,0.2795147123985946,0.3125916863990575,0.4439704584177992,0.5896034201522623,0.4471945258053287,0.20714753566080188,-0.03241711582121819,0.210570569720191,0.5266632535113481,0.8758097336741074,0.8052200896731666,0.802773392293567,0.7980820031441277,0.7779592046346547,0.7510444707696406
