element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-6944.217705445091,-5088.192776373219,7436.3251427659425,5053.398871983496,3899.782705026181,3875.4959185266034,358.1292217650543,-4313.740368670511,-11175.137623612465,-8953.416206103902,2123.916892850618,11282.899093607357,3730.70193897797,9805.143715960487,4681.124265799729,-5114.740007685275,-14773.464081394499,-13087.584948846546,-2038.816659885829,11855.07780645046,17981.54627727938,18506.09818439577,16970.64664401764,15231.932649994797,12528.742538615294,9576.389155068406,5985.643493695333,1729.8322675251593,1545.202197079499,2973.1370460560292,-2797.046776019482,9350.612115323067,5542.540026260172,-3296.6727248591606,-14019.191116434975,-14562.43897058569,-4827.236281850566,9958.093825506463,22630.286140519183,26535.394369290298,24633.02072934626,20315.774465845785,15811.033488178491,9933.299706755965,3587.28877834049,-3810.019457919554,-1838.8762692684893,2386.820491383817,-878.2244560695914,2388.2665288079374,9490.864508395405,49.2028965352926,-11699.83663452846,-16710.069263616006,-6393.905947506849,7219.0726451913615,11825.33697672312,10992.231254814798,10418.407899905304,9483.480251492443,8614.28858019055,7925.196378338673,7234.401556402986,6615.202874122024,5948.50183217588,5333.054240156857,5008.437196743263,4320.639924144916,3721.961801177283,10532.563220676593,24415.960430815074,30815.0427056166,30120.93456200975,25869.804278780437,21181.849241535838,15682.939242259463,8316.413640665161,-205.88662373465385,-4299.211616977684,-4867.744059766225,-8729.205648862613,6735.199946966124,8845.351796003237,1319.430083815234,-7639.849458192632,-16476.223368947867,-6863.084506770256,5961.642471985809,20605.84210390858,26393.291072234926,22551.649607821804,19078.024469652602,15936.589872890598,14286.447836379677
He,6944.217705445091,-0.0,1856.025418846341,14380.540850980455,11997.61506630164,10844.000693484977,10819.713078325822,7302.348974343799,2630.477680409763,-4230.9212461716,-2009.1969357218588,9068.135620698211,18227.120569694576,10674.922415850853,16749.361911180044,11625.341696995401,1829.47928314512,-7829.2458861749365,-6143.366753626984,4905.4010823668505,18799.296001670024,24925.769004981652,25450.316237208077,23914.864696829947,22176.145776934718,19472.9605914276,16520.607207880723,12929.864316593772,8674.05175698058,8489.421424319004,9917.356703756303,4147.1728316860435,16294.830310542628,12486.757018678485,3647.5423483439886,-7074.970358032047,-7618.220775366132,2116.98963098998,16902.308438745127,29574.504335738748,33479.619540238484,31577.23878215857,27259.992518658095,22755.256313479946,16877.518328528404,10531.509246109279,3134.198377434853,5105.338097406714,9331.04221695423,6065.993390399321,9332.484374653277,16435.079833220418,6993.416362517837,-4755.618796591919,-9765.851068396447,550.3125109821729,14163.291692917172,18769.551394553346,17936.446683477792,17362.623476726127,16427.695965944,15558.504409048377,14869.412290767288,14178.617556378997,13559.418947532562,12892.717961830083,12277.274259902544,11952.653287862831,11264.85777748042,10666.17965225482,17476.781415896152,31360.178626034634,37759.2684627989,37065.152614822066,32814.02233159274,28126.067294348148,22627.163822373863,15260.634748349423,6738.33118159493,2645.0021991067674,2076.469112190987,-1784.9878015664633,13679.418553233732,15789.569641881792,8263.64792919429,-695.6316040854451,-9532.000983782289,81.12544315320991,12905.860640281462,27550.06029912814,33337.50926745448,29495.86596089878,26022.241323107606,22880.80775932749,21230.664750287688
Li,5088.192776373219,-1856.025418846341,-0.0,12524.515281680666,10141.589217179357,8987.974681416195,8963.68722920354,5446.321238608894,774.4517366712765,-6086.94593516667,-3865.2234297306827,7212.110201851871,16371.094205328061,8818.896051484337,14893.338880124524,9769.31627814906,-26.546471637628155,-9685.271305021279,-7999.3921724733245,3049.3758340922245,16943.270582823683,23069.74264061514,23594.284553944733,22058.833445532407,20320.11992781244,17616.930136001865,14664.5770275783,11073.837952227257,6818.028112322023,6633.396141873356,8061.331165273253,2291.1458019845904,14438.804891696282,10630.731599832145,1791.517078882726,-8930.998340061755,-9474.246194212476,260.9688597617272,15046.283019898783,27718.478916892404,31623.59317587197,29721.212417792056,25403.96615429158,20899.22994911343,15021.496712466067,8675.48350278488,1278.1730888968416,3249.3128291366893,7475.016453374935,4209.96811187215,7476.458611230121,14579.054414374083,5137.391088689813,-6611.644564852402,-11621.876487242787,-1305.712843735584,12307.266274070826,16913.52597570701,16080.423349806317,15506.598057879788,14571.670547097658,13702.478990202035,13013.386871920942,12322.592137532652,11703.394968565073,11036.69392626223,10421.250207506195,10096.629288082753,9408.832014206466,8810.153888688592,15620.755997049811,29504.153207188294,35903.24209843238,35209.12625045555,30957.995967226234,26270.04092998164,20771.137458007343,13404.609007200692,4882.305899920549,788.9769150641063,220.4480494103916,-3641.013569384093,11823.39313438739,13933.543878390336,6407.622654026822,-2551.6573809654487,-11388.030592574652,-1774.901992938379,11049.834946532868,25694.0348802818,31481.483848608146,27639.84054205244,24166.21660004937,21024.782004122655,19374.639962917816
Be,-7436.3251427659425,-14380.540850980455,-12524.515281680666,-0.0,-2382.925515705323,-3536.5404549401555,-3560.828260707598,-7078.194251302244,-11750.064065170229,-18611.46215017818,-16389.73847344637,-5312.40620808435,3846.5756638297785,-3705.6207797274014,2368.8200823974835,-2755.1995057852237,-12551.063641248278,-22209.7877149575,-20523.90858240955,-9475.140059399857,4418.755595100241,10545.222643716374,11069.773041629827,9534.321501251698,7795.607507228851,5092.417395849351,2140.0640123024646,-1450.6807885403832,-5706.4900718019835,-5891.12040446356,-4463.184759010058,-10233.369313509498,1914.2883401453278,-1893.78374611914,-10732.99804925165,-21455.514749997976,-21998.762604148695,-12263.551713207731,2521.7659139568045,15193.962506956184,19099.070735727284,17196.695586580317,12879.449323079842,8374.709006248957,2496.9742380071693,-3849.034204305649,-11246.341137050504,-9275.201986268052,-5049.499409924279,-8314.544651579838,-5048.05721755493,2054.540753536394,-7387.120900818322,-19136.162818529345,-24146.39289717901,-13830.230839605627,-217.26296486670026,4389.013218230754,3555.9074862651564,2982.0841325984024,2047.1564850989494,1177.9648145055287,488.87262216594627,-201.92217286210453,-821.1208898105668,-1487.8219310814216,-2103.2656478660383,-2427.8865631516783,-3115.683834747885,-3714.3619551420798,3096.2387333410734,16979.636797252075,23378.7190720536,22684.609419243807,18433.479136014495,13745.524098769896,8246.613112216524,880.090748707903,-7642.20700331342,-11735.537303869869,-12304.067820700777,-16165.531583656355,-701.131591875383,1409.028040144496,-6116.8879143530285,-15076.176001006917,-23912.547002510877,-14299.408140333258,-1474.6794025607396,13169.524684538277,18956.970632753073,15115.325818119729,11641.700677518837,8500.261858855678,6850.120153764353
B,-5053.398871983496,-11997.61506630164,-10141.589217179357,2382.925515705323,-0.0,-1153.6154128314984,-1177.9021993310755,-4695.267950452008,-9367.138048987945,-16228.536495595963,-14006.812202663923,-2929.4806923790266,6229.500975749676,-1322.696554297606,4751.746712221919,-372.2749585073116,-10168.138125542957,-19826.862199252177,-18140.983066704222,-7092.214543694532,6801.679688592782,12928.148159421698,13452.699312412273,11917.247772034145,10178.533778011297,7475.343666631796,4522.988465068649,932.2448497972338,-3323.5641225183986,-3508.1948887582357,-2080.2587449894163,-7850.443797804177,4297.213997465386,489.14226704335255,-8350.072533546325,-19072.589234292653,-19615.83708844337,-9880.626197502408,4904.691450141269,17576.888022661507,21481.99625143261,19579.621857362763,15262.375593862285,10757.634967506277,4879.8998506393145,-1466.1085696723674,-8863.41562134518,-6892.276470562727,-2666.5733969098274,-5931.6186374305835,-2665.1312113211143,4437.462584758579,-5004.19488610921,-16753.237302824018,-21763.467381473685,-11447.305323900302,2165.675378601923,6771.93332175475,5938.8334933074875,5365.010139258523,4430.082491889129,3560.8908215779074,2871.7986207475406,2181.0037996225697,1561.8051181880417,895.1040773616459,279.66040277552804,-44.960522623777514,-732.7578256193473,-1331.4359459925506,5479.164276630223,19362.562312957398,25761.644587758918,25067.535690026256,20816.405406796937,16128.445533872722,10629.541413983168,3263.0162461297805,-5259.284030241627,-9352.609358222315,-9921.141802839395,-13782.606067951034,1681.793337306186,3791.9540465292694,-3733.9619010791685,-12693.247196430946,-21529.62148680555,-11916.482624627934,908.2288864181553,15552.443986050903,21339.89295437725,17498.251818313023,14024.626677064018,10883.192081058127,9233.050049076854
C,-3899.782705026181,-10844.000693484977,-8987.974681416195,3536.5404549401555,1153.6154128314984,-0.0,-24.286935332050675,-3541.653605753802,-8213.523419621786,-15074.921773174887,-12853.19748024285,-1775.864282763461,7383.116388581177,-169.0821129639623,5905.361010934305,781.3401446545531,-9014.522712711454,-18673.246786420674,-16987.367653872727,-5938.599130863034,7955.295101424282,14081.766802606919,14606.314034833347,13070.862494455218,11332.148500432371,8628.958389052868,5676.605005505983,2085.862114219038,-2169.9500225652346,-2354.5789945165698,-926.6452076393039,-6696.828384972678,5450.829410296884,1642.7549857315546,-7196.4571207148265,-17918.973821461157,-18462.221675611872,-8727.01078467091,6058.306558963916,18730.503435493003,22635.611664264106,20733.236579783836,16415.990316283358,11911.25411110521,6033.514869904524,-312.4934000221965,-7709.799761061629,-5738.659279599049,-1512.958661580477,-4778.006725534105,-1511.516480610796,5591.081496300471,-3850.580153800089,-15599.621889992519,-20609.851968642186,-10293.689911068805,3319.290463954954,7925.5539633074895,7092.448236631615,6518.6248821862455,5583.697234033381,4714.505562897519,4025.413361287575,3334.618539401437,2715.41985720053,2048.7188154074292,1433.275097899077,1108.6541813102244,420.85691671012955,-177.8211811924415,6632.783059992922,20516.1777257889,26915.266260424167,26221.15041244733,21970.020129218017,17282.065091973414,11783.156238542957,4416.631348459621,-4105.668917044468,-8198.994633800821,-8767.527076927854,-12628.98866595152,2835.4177669151663,4945.568783613503,-2580.3471631745733,-11539.632473374797,-20376.00607397405,-10762.867211796436,2061.8610921597065,16706.0593988824,22493.508367208746,18651.866584390806,15178.241446014103,12036.806849033801,10386.66481254368
N,-3875.4959185266034,-10819.713078325822,-8963.68722920354,3560.828260707598,1177.9021993310755,24.286935332050675,-0.0,-3517.3659905946456,-8189.235804462632,-15050.634782075553,-12828.910489143516,-1751.5784930479517,7407.4031750807535,-144.7943067458718,5929.647797433882,805.6272699646307,-8990.235926211879,-18648.959999921102,-16963.080867373148,-5914.312344363456,7979.581887923858,14106.050358752776,14630.601025932681,13095.14948555455,11356.435491531705,8653.245380152204,5700.891996605318,2110.1470633955855,-2145.6621140489215,-2330.2917173130286,-902.3567373080281,-6672.5415984731,5475.116196796461,1667.0442701035695,-7172.1703342152505,-17894.68703496158,-18437.9348891123,-8702.723998171332,6082.593669417929,18754.79022199258,22659.89845076369,20757.52357088317,16440.277307382694,11935.537569651888,6057.803912279889,-288.2063279424719,-7685.512490725862,-5714.371996870553,-1488.6713902766091,-4753.719570642714,-1487.2292066021628,5615.3648078195965,-3826.292879725077,-15575.33510349294,-20585.565182142607,-10269.403124569226,3343.5775911047995,7949.835546995943,7116.735500862755,6542.912146531671,5607.9844989401545,4738.792828455206,4049.700627447182,3358.9058062114887,2739.7071246650266,2073.0060837128285,1457.5623671521198,1132.9414512969859,445.14418737036004,-153.5339042895571,6657.0664996005635,20540.46451228847,26939.54678709,26245.43740354666,21994.307120317353,17306.352083072747,11807.443446799716,4440.918488893788,-4081.381800409077,-8174.707352773901,-8743.23979716257,-12604.703868619958,2859.7048862601105,4969.856052545998,-2556.059893548566,-11515.345191028342,-20351.71928747448,-10738.58042529686,2086.1314306303457,16730.34618538198,22517.795153708325,18676.15383206792,15202.52869166161,12061.094095323355,10410.952061914191
O,-358.1292217650543,-7302.348974343799,-5446.321238608894,7078.194251302244,4695.267950452008,3541.653605753802,3517.3659905946456,-0.0,-4671.869813867985,-11533.268545143952,-9311.546043335116,1765.787588247439,10924.769256376143,3372.5721911542137,9447.013878729273,4322.993664544627,-5472.869844916488,-15131.593918625711,-13445.714786077755,-2396.950169864766,11496.947969219249,17623.420030637855,18147.96726286428,16612.51220692351,14873.798689203546,12170.608897392973,9218.25823353692,5627.515342249973,1371.7030463568735,1187.07296489807,2615.0092863509144,-3155.174763982719,8992.482278091851,5184.410288678371,-3654.8024403885784,-14377.320953666189,-14920.568807816904,-5185.35719505014,9599.96040629435,22272.15630328797,26177.26453205908,24274.889807814772,19957.643544314295,15452.907339136145,9575.169958795055,3229.1595586034286,-4168.146467877561,-2197.0059888951882,2028.6946272863597,-1236.3536312425226,2030.1337725346152,9132.731800769645,-308.9268270405803,-12057.969022197552,-17068.19910084722,-6752.034998900056,6860.9434167614545,11467.20724392657,10634.101519914799,10060.278164825095,9125.350516656381,8256.158845711167,7567.066644196157,6876.271822652768,6257.073140776357,5590.372099418091,4974.928382311966,4650.304108462008,3962.5101939540423,3363.832072336166,10174.433383445381,24057.83059358386,30456.919488455096,29762.80364047827,25511.673357248947,20823.71832000435,15324.810037509127,7958.287090708615,-564.0158902138639,-4657.341338835414,-5225.873782069317,-9087.335368034333,6377.070520782957,8487.222066243512,961.306133091982,-7997.979177162234,-16834.353206179083,-7221.214344001469,5603.5017728272205,20247.712266677372,26035.161235003714,22193.51792844801,18719.894724090595,15578.46012757942,13928.318092178832
F,4313.740368670511,-2630.477680409763,-774.4517366712765,11750.064065170229,9367.138048987945,8213.523419621786,8189.235804462632,4671.869813867985,-0.0,-6861.3984466080165,-4639.675837433391,6437.657794149163,15596.641693886713,8044.443540042989,14118.884084630998,8994.86387044635,-800.9983509332444,-10459.723712723984,-8773.844580176035,2274.923966753509,16168.81817512097,22295.290129173794,22819.833129203827,21284.382020791498,19545.66850307153,16842.478711260956,13890.12560283739,10299.385440785913,6043.57393043153,5858.943597769954,7286.878877207252,1516.6939571538978,13664.353468861906,9856.279192129434,1017.067477969701,-9705.450747764462,-10248.698601915183,-513.4870808406191,14271.830612196078,26944.026509189698,30849.14066443063,28946.759906350708,24629.51364285023,20124.77743767208,14247.04420102472,7901.031568040895,503.72122305704215,2474.8639331910367,6700.564562684601,3435.516294390656,6702.004675964966,13804.602006671368,4362.943070357947,-7386.0964263729165,-12396.328894945495,-2080.165307312977,11532.813866368118,16139.073568004298,15305.968856928743,14732.14565017708,13797.218139394947,12928.026582499328,12238.934464218237,11548.139729829943,10928.941120983513,10262.240135281034,9646.796433353493,9322.17546131378,8634.3781645765,8035.702001579784,14846.303589347102,28729.70079948558,35128.789586991035,34434.6737390142,30183.543455784886,25495.588418540287,19996.684946565998,12630.15706922103,4107.8540438871105,14.52861332143732,-554.0038500376949,-4415.4654416125995,11048.940726684681,13159.091994741944,5633.170803350623,-3326.1092515735827,-12162.48300027736,-2549.3407934662564,10275.38281373241,24919.5824725791,30707.03144090544,26865.38813434973,23391.763496558557,20250.329077910337,18600.186923738638
Ne,11175.137623612465,4230.9212461716,6086.94593516667,18611.46215017818,16228.536495595963,15074.921773174887,15050.634782075553,11533.268545143952,6861.3984466080165,-0.0,2221.7232352872584,13299.057443094007,22458.036894958605,14905.839705256452,20980.28355834347,15856.262553264918,6060.399433705886,-3598.3230412367857,-1912.4452683308361,9136.32301555431,23030.221547668396,29156.68394181767,29681.231214211773,28145.78010579945,26407.06658807948,23703.87679626891,20751.523687845343,17160.781070884193,12904.971537447396,12720.344626181193,14148.280174026973,8378.09564610965,20525.751653910713,16717.678264850085,7878.465025702513,-2844.0496281600226,-3387.298907007313,6347.911031729415,21133.22968491672,33805.42558191035,37710.53911103865,35808.15061425121,31490.905027989706,26986.1758842801,21108.44264763274,14762.434201696557,7365.1219107439665,9336.261088686111,13561.961993323443,10296.917773250325,13563.403748685616,20666.001079392023,11224.341469188803,-524.6980567613195,-5534.92568201582,4781.224531492533,18394.21293908877,23000.47264072495,22167.367929649386,21593.544722897735,20658.617212115598,19789.425655219973,19100.333536938884,18409.538802550596,17790.340193704164,17123.639208001685,16508.195506074146,16183.57453403443,15495.777237297145,14897.099007987057,21707.702662067757,35591.10692263622,41990.18803359905,41296.07218562221,37044.93325259216,32356.9868651483,26858.083393174013,19491.56106272585,10969.25544611894,6875.926978472027,6307.390583687286,2445.929137924114,17910.33979940533,20020.487448858268,12494.574464980675,3535.28446264132,-5301.080254361949,4312.054934620904,17136.781886453064,31780.981545299743,37568.43051362609,33726.78720707038,30253.1625692792,27111.72815063099,25461.585996459293
