element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-8.845808601773461,-8.534874506864336,8.914266539361172,8.52801420687264,8.26893250557793,8.262686910782566,5.883682272928384,-8.369792432221875,-9.321536215071113,-9.099902120421529,7.661487971346963,9.331132129650793,8.224619692480315,9.190764378024696,8.45150718887757,-8.540077341955715,-9.600655569629618,-9.479495751368141,-7.620615210194492,9.380595910136673,9.797156915200143,9.825909623120918,9.739299386167794,9.631214984804457,9.435860500082464,9.167160303035464,8.697286182417004,7.456357651304496,7.343557007839639,7.997709207349115,-7.9366768727481185,9.143304026171458,8.620388569581428,-8.100972263768302,-9.548253792195739,-9.586269486896224,-8.482236520922672,9.206241365064734,10.02708857044255,10.186272442187027,10.111883722994389,9.919202152175343,9.668526542310772,9.20374866500845,8.1854307044273,-8.24565200658624,-7.51745360337921,7.778136300574698,-6.779040218978242,7.778741706112498,9.158190343159148,3.916072724939335,-9.367415625453983,-9.723826608986608,-8.763257006712742,8.884620293497107,9.378084270539595,9.305035021909477,9.251425490267252,9.157412083977087,9.061293645811398,8.977928549918174,8.88674113944704,8.797276900399357,8.691062769349758,8.581866873448574,8.519078851789363,8.371390221274305,8.222274813593726,9.262321935416516,10.10303326943501,10.335790700422976,10.313008908337649,10.160870363942289,9.96094713520383,9.660392489537049,9.026106624991138,-5.332170931789881,-8.366419513721345,-8.490591289544625,-9.074544205126942,8.815251238819823,9.087760426572986,7.185712783584405,-8.94126406160721,-9.709734304374349,-8.834057952684415,8.693269029583796,9.933378440597508,10.180903018485768,10.023607837266548,9.856344815270258,9.676435740968214,9.567136657099352
He,8.845808601773461,0.0,7.526731249383063,9.573700777897669,9.392546510968229,9.291459487206106,9.289217453955889,8.896088285545371,7.875300823059122,-8.35041136423729,-7.605987974224668,9.112632237652459,9.810720766894187,9.275746243342788,9.726175143657407,9.361028638591085,7.512333114902758,-8.965749191579258,-8.723290966019096,8.498295974914809,9.841627893463775,10.123697565430188,10.144522739195656,10.08229731255169,10.006817568085232,9.876833497886022,9.712424330955374,9.467372315362738,9.068206571019807,9.046693915802457,9.20214253169336,8.33042323475094,9.698664544900943,9.432504004821356,8.202083010194361,-8.86445986618555,-8.938429383001097,7.658222630488358,9.7352646473578,10.294701741473423,10.418722029218296,10.360223516215116,10.213212113929542,10.032595389363088,9.733796987551397,9.262221871717422,8.050447729353664,8.538237811317591,9.141209157022454,8.710618438506947,9.141363683356854,9.707234187208615,8.852867447237992,-8.46729235796627,-9.186749386881996,6.312301818939036,9.558479406984523,9.840044505523789,9.79464580014789,9.762132692052045,9.706784838797063,9.652426946906923,9.607128765415986,9.559560829086227,9.514910456852855,9.464495492033544,9.41558665924428,9.388792225104021,9.329531995327436,9.274926984356242,9.768685719866932,10.353326057496442,10.539012729948118,10.520459503729183,10.398641687437616,10.244487640604495,10.02695059624477,9.633097425467108,8.81571596776524,7.880805175780666,7.638905658840971,-7.487726931383144,9.52372078670511,9.667168182715603,9.019742411549178,-6.546256725960243,-9.162514845691128,4.40824787287192,9.465514281556898,10.223796300197218,10.41446844227137,10.29203929807059,10.166745314758188,10.03809745283269,9.963248966615362
Li,8.534874506864336,-7.526731249383063,0.0,9.435523065360774,9.224498591411582,9.10375406995092,9.101048497444413,8.6028792509722,6.653445745568725,-8.71406601894471,-8.260033451613733,8.883655510614034,9.70333359164705,9.084765363385394,9.608736478806467,9.187104116892492,-3.315874456167635,-9.178464832587553,-8.987245841019622,8.0230200863025,9.737685036954927,10.046320541400236,10.068802164013377,10.001513742712465,9.919416014731366,9.776672420172144,9.593258327898177,9.31243096295322,8.827472235158,8.800022931603205,8.994958020143466,7.737243689242704,9.577743900700153,9.271598355513873,7.491376100396432,-9.097395427118311,-9.156438013171105,5.568225640825908,9.618952723640193,10.229890655035248,10.361690361943031,10.299649938113246,10.142699951780992,9.947515440242302,9.617304137367391,9.06837159916125,7.153969123850707,8.086506525810538,8.919455369399,8.345447855554806,8.91964825538081,9.587409737680108,8.544495291684298,-8.796738938287108,-9.360730546005708,-7.175269983085529,9.418026370435316,9.735928056920685,9.685420055594578,9.649085380082466,9.586903173203265,9.525405020469345,9.47381070697753,9.419270764194277,9.367719688590325,9.309071414521151,9.25169824280967,9.22005595132517,9.149510380582297,9.083773685233286,9.656419836860566,10.292320212061698,10.488610731797257,10.46908899778469,10.340418897178647,10.176222506180123,9.941367822408488,9.50342848098465,8.493577707997614,6.672003723596273,5.400188022068466,-8.200291986086238,9.377919891483982,9.54212620729497,8.76539965225907,-7.8448902057151315,-9.340405942421823,-7.482063737873095,9.310261264863533,10.154053056898917,10.357186601852256,10.22704968776844,10.092752307779858,9.953504678162437,9.871771884020204
Be,-8.914266539361172,-9.573700777897669,-9.435523065360774,0.0,-7.776503784284958,-8.171186977911589,-8.17802924839967,-8.864915373898093,-9.371699074210001,-9.831586643420186,-9.704471727064929,-8.577988379030788,8.25519853123241,-8.21787589948989,7.7705693166472996,-7.921608019130828,-9.437640364607812,-10.008333382939307,-9.929394480347716,-9.156532345604214,8.393839678316716,9.26352303154179,9.312063855390083,9.162758235478844,8.961443983095375,8.535704278336889,7.669058186462431,-7.280477328612772,-8.649534638902129,-8.681371212618727,-8.403841891871787,-9.23350687563101,7.5576234595468215,-7.546859992861622,-9.281171371001305,-9.973783596191828,-9.998786941561718,-9.41446840593964,7.833111163503041,9.628719237888566,9.857447317469083,9.752530676301355,9.46346588438215,9.033091010572589,7.823235377584773,-8.255837311477599,-9.327887036325782,-9.13520747328583,-8.527242410434122,-9.025881891776475,-8.526956815247651,7.6282942327219745,-8.907628705670659,-9.859387420922644,-10.091931698685048,-9.53468441850102,-5.385700596697419,8.387087517051189,8.176646762688417,8.000712988139282,7.62469539198012,7.072392056585284,6.194145402547201,-5.31282252061526,-6.711887452138824,-7.305740435929796,-7.651721824379131,-7.79518822686252,-8.04452484207471,-8.220231383130447,8.038266262356194,9.739828961944934,10.059624219216214,10.029486056151761,9.821978056187968,9.528541278320493,9.01767911773637,6.781160627110268,-8.941572558915555,-9.370462101313162,-9.417766474447577,-9.690698432572434,-6.554120839272664,7.25136486980178,-8.71897220390769,-9.6209373561874,-10.082200397526456,-9.56804335712275,-7.296873774630407,9.485736633316446,9.849979735942954,9.62353061875678,9.362434711342626,9.047969885443226,8.832167443984321
B,-8.52801420687264,-9.392546510968229,-9.224498591411582,7.776503784284958,0.0,-7.051522591603644,-7.0723389448753355,-8.454523419175684,-9.145069641397408,-9.694588101603975,-9.547370467441207,-7.982921747387366,8.737212021991477,-7.18818352163226,8.466477985108185,-5.922315302254224,-9.227112738700459,-9.894843409310594,-9.805984037799094,-8.866893907987638,8.825071885390159,9.467239588653795,9.507009389027958,9.385825930823506,9.22813449121797,8.919499136838292,8.417149287513187,6.838667599212345,-8.109093853524872,-8.163141913726962,-7.640728155516643,-8.968452717151797,8.365954865973533,6.194695689868709,-9.030145256727572,-9.856059894533825,-9.884143511583767,-9.198432372086568,8.49815133049274,9.774397028792633,9.975017029185095,9.88229567540462,9.63321148574065,9.28346396391222,8.49308487747122,-7.291048783361152,-9.089800296577488,-8.838301790968984,-7.888924498040043,-8.688220985991226,-7.888383716077114,8.398063330768796,-8.518231629274805,-9.726406478563788,-9.988033982355644,-9.34559699138206,7.680949188100731,8.820689554452839,8.689436380534087,8.58783992052134,8.396399188017648,8.178046812503359,7.963041962804385,7.687998907740066,7.354237638187097,6.798056563998833,5.63714540742325,-3.827782824190435,-6.598179036324748,-7.194764084334893,8.608890356980012,9.871148347672412,10.156680837517131,10.129368780592317,9.94354471417252,9.688401795691025,9.27148640268085,8.090713693439803,-8.567940302418704,-9.143517575410602,-9.202524084518533,-9.531235198863733,7.42821039241817,8.24090042627917,-8.225492897000613,-9.448904193162782,-9.977231456026582,-9.385761729106694,6.812596862721114,9.652037371287335,9.968380368140435,9.769913405758404,9.548641412249262,9.295066747768189,9.13065302313854
C,-8.26893250557793,-9.291459487206106,-9.10375406995092,8.171186977911589,7.051522591603644,0.0,-3.2302878723206985,-8.1726313314586,-9.013659015352344,-9.620854165541969,-9.461425689143141,-7.482605450878646,8.907086538325688,-5.1362813378699625,8.683785186567524,6.662289613563274,-9.106703116509069,-9.834900676465848,-9.740284133174061,-8.689396923692687,8.981718730968272,9.552707116274252,9.589277643547168,9.478217297954435,9.33548720601182,9.062994962403378,8.644284768833955,7.643416836000946,-7.6829201491458985,-7.764541833776696,-6.832649340329325,-8.809538631194414,8.603706502946284,7.4047385290661465,-8.881483064943726,-9.793671225671892,-9.82353601480213,-9.074292763152716,8.709350643301963,9.837962061063159,10.02732385964429,9.93954155405158,9.706072072435257,9.385322906499075,8.705250744203482,-5.747778307290591,-8.950377191535942,-8.65515512859693,-7.322483129516622,-8.471988005887088,-7.321530086117233,8.629106857537863,-8.256238772637122,-9.655066057186161,-9.933573010664393,-9.239383498665262,8.10780754722664,8.977973663221691,8.866926853429526,8.782572119858571,8.627785499475822,8.458611413687946,8.300631273876965,8.112413410238348,7.907070063329443,7.625457899508832,7.26841484229982,7.011803697395937,6.044666196613595,-5.1863863187681964,8.799930517735177,9.92901775209594,10.200486076532433,10.174359768159414,9.997479597128088,9.757482404636148,9.37451121658673,8.393358937415567,-8.32036749640086,-9.011888778837596,-9.078924121081753,-9.443829317953123,7.950297185306418,8.506449440178272,-7.856066697908729,-9.35362934561178,-9.92216239088079,-9.283950175445586,7.631849177871524,9.723586627580506,10.021026485833454,9.833755117517553,9.62768407908274,9.39580754687464,9.248374305468031
N,-8.262686910782566,-9.289217453955889,-9.101048497444413,8.17802924839967,7.0723389448753355,3.2302878723206985,0.0,-8.165751953597187,-9.010697968186319,-9.619241887671652,-9.459534480901285,-7.4688434070914465,8.910370199127026,-4.982196770429926,8.687888726739416,6.692861690403143,-9.10400559590431,-9.833599280293313,-9.738853497582245,-8.68529958048975,8.984766606071643,9.554429976838655,9.590938922471818,9.480073533582232,9.33762791780512,9.065805274918578,8.648553327975325,7.654986710696837,-7.671669409643377,-7.754177778057979,-6.806117533329091,-8.805905972276527,8.608151405466716,7.419407123395969,-8.878103002424059,-9.792315015028759,-9.822219734548232,-9.07150625882404,8.71335086439966,9.839257795565599,10.028396182991209,9.94071221581449,9.707550360688334,9.387359359101284,8.709267685371268,-5.6671403708974815,-8.947222447372587,-8.650914665426496,-7.306310831177707,-8.466892997560592,-7.305342240225605,8.63343990225326,-8.249913012344601,-9.653508060912351,-9.932393966394496,-9.237021554787997,8.115095683902092,8.981032302376795,8.870344906186512,8.786290453151462,8.632124965899624,8.463748706656979,8.306645139570177,8.119668218698665,7.915971240781835,7.637237322108617,7.285206549553722,7.033454852705239,6.100642189841162,-5.040413517503067,8.803584406009477,9.93020078144169,10.20138774623537,10.175285540849126,9.998584396873213,9.758886666109348,9.37657010091149,8.398841654194559,-8.314435871678164,-9.008922518355465,-9.076150453675508,-9.441904678492985,7.958823337174015,8.511347348231423,-7.84661339838353,-9.35152262618977,-9.920969807863715,-9.281691300753822,7.643545880959348,9.725039256098277,10.022105579654907,9.835056335723866,9.62928283065876,9.397823094952429,9.250709661984974
O,-5.883682272928384,-8.896088285545371,-8.6028792509722,8.864915373898093,8.454523419175684,8.1726313314586,8.165751953597187,0.0,-8.449528683093002,-9.353077756819518,-9.139117806926343,7.4769182547075665,9.29887942996789,8.123727459321014,9.153559826835611,8.371934713574081,-8.60774111235713,-9.624606234164935,-9.506490101371947,-7.782369555498646,9.349923860970287,9.777040721075952,9.806368937956453,9.717971631604655,9.60742369682333,9.406861379165852,9.12904986142017,8.635600981606187,7.224537101499614,7.0800879163009345,7.86940526239912,-8.05711605558557,9.104255402642023,8.553604247461346,-8.204070894021145,-9.573476861847613,-9.610563016207095,-8.55378684052003,9.169618414774357,10.011137479139574,10.172684747429306,10.097238947804513,9.90141758885447,9.645617152560979,9.16703299549249,8.080286813945044,-8.33546660988001,-7.695305859661942,7.615640630811923,-7.120730209663656,7.616349424765673,9.119729630577881,-5.736336227812361,-9.397563979246952,-9.745030896166819,-8.817747312280211,8.833745977502943,9.347333898336883,9.271915273419975,9.216449489740599,9.11892116932486,9.018835841935083,8.93169291674423,8.835977314880521,8.741627611724663,8.62897999209737,8.512367241693248,8.44490291269438,8.284885324231526,8.121133336624409,9.227731602371346,10.088257384589525,10.324101321045319,10.301048291279903,10.146930602087624,9.943895940893354,9.637293616667492,8.982094713358794,-6.3368538550232865,-8.446414727887255,-8.561568631122599,-9.11474704257257,8.760620904389238,9.046434842327121,6.869332625709999,-8.987069209665316,-9.731236311843105,-8.884916880710394,8.631325441783202,9.915846478743624,10.167241667444793,10.007600597205629,9.837395543979744,9.653708667192742,9.54175111311181
F,8.369792432221875,-7.875300823059122,-6.653445745568725,9.371699074210001,9.145069641397408,9.013659015352344,9.010697968186319,8.449528683093002,0.0,-8.833812287399804,-8.442615289232963,8.770075380318962,9.654875008340968,8.992861190292453,9.555339301709783,9.104520180733315,-6.687106551671438,-9.255382923822433,-9.079644336516363,7.730141388165149,9.690901707926669,10.012175581688073,10.035429131478992,9.965775825988976,9.88056014184219,9.73171884076569,9.539005469386414,9.239936594953088,8.7069162775924,8.675895257570806,8.8939678193186,7.324947328376666,9.52261896475737,9.19596546551403,6.92566147975626,-9.180545969002704,-9.235003579443026,-6.243170444833707,9.566113051850811,10.201554014193043,10.336896588948118,10.273248101988335,10.11174134525565,9.909756731983961,9.564374927226387,8.974875165906521,6.224006243298329,7.814344678009726,8.810096294936846,8.142213532116156,8.810311163950578,9.532829731285345,8.381131301578675,-8.90749003096634,-9.425236316690752,-7.64068325971781,9.353038336223754,9.6890604999303,9.63606348452563,9.597855040640779,9.532294742474848,9.467230185289203,9.412459201821447,9.354366230910193,9.299261194237824,9.236323871528567,9.174484819382172,9.14025856438279,9.063622784014015,8.991774079209982,9.605573551268899,10.26572154427889,10.466804755688592,10.446848333317067,10.315085266245676,10.146299934687946,9.90337179316457,9.443921823913271,8.320899447173696,2.742684342860863,-6.3189750507272295,-8.393094981318752,9.310180342830579,9.484944195336785,8.636605264510438,-8.109859113343342,-9.406193545450508,-7.843982273719413,9.237603610721218,10.123449346327229,10.332279509814187,10.198631272565043,10.060182001233622,9.915975703857956,9.83098067076955
Ne,9.321536215071113,8.35041136423729,8.71406601894471,9.831586643420186,9.694588101603975,9.620854165541969,9.619241887671652,9.353077756819518,8.833812287399804,0.0,7.706488405667818,9.495523633230142,10.019448346471803,9.609575427227874,9.951386060171497,9.671382879614763,8.709695982057648,-8.1885010626608,-7.556660701546226,9.120122734847667,10.044606032991593,10.280473757104602,10.298303870136756,10.245188243572601,10.181424795041494,10.073436077949538,9.940423141773923,9.750440159665503,9.465445393119682,9.451036540912686,9.557419030683906,9.033495269527208,9.929484273135232,9.724281832368657,8.97201529040801,-7.9533357904012645,-8.1280832770891,8.75603858611423,9.958649264970534,10.428406169376938,10.537721403819907,10.485958743477752,10.357485808549452,10.203117064904907,9.957475738202618,9.599908740582752,8.904646647335602,9.141768242895385,9.515097973726498,9.239696995844195,9.515204268998751,9.936293556489108,9.325929132565474,-6.264727011340198,-8.619014072716034,8.47266110038578,9.819845743394069,10.043313520719197,10.006421683736791,9.980196002648725,9.935936214530813,9.892953546966616,9.85751343028541,9.82067854064028,9.786467111926072,9.748273594762603,9.711672808051238,9.691813878343172,9.648387361114564,9.608988900437529,9.985468503466686,10.479879176601287,10.645215066528744,10.628546885046918,10.519913860937056,10.384616158642347,10.198359344147738,9.877788187805542,9.302942838879563,8.835927171039241,8.749635864949694,7.802589104267377,9.79318929959381,9.90456134825401,9.433129817800896,8.17083186810136,-8.575854523354923,8.369401733552795,9.749040772251885,10.36665479010725,10.533945980444775,10.426077322792848,10.317389059588212,10.207758570060756,10.144965437906256
