element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,0.0,-9.051327018625601,-7.99371391955456,9.075805567772298,9.066307380990894,8.734126605919078,8.560415864915026,7.589842468497662,-8.156441642940253,-9.051563705834848,-8.415145770926717,8.532762174243041,8.636918403551144,8.516906015187203,8.707273188500263,7.9564605512128574,-7.846595519167539,-8.974612298780821,-8.55666746020842,8.001005573245525,8.825063089761173,9.072491914224353,9.081034704875231,9.0208449119544,8.938790699396867,8.701606597707663,8.61199421359597,8.56566874989994,8.01926870133037,8.3681013334322,7.619286826953924,8.246249185723071,8.585876034056966,7.877757167422141,-7.738212789773621,-8.996304729999217,-8.577380775092783,7.4238943156229125,7.682539462985624,8.831472100665934,9.17246642582945,9.093037981798966,8.814800551528073,8.459149368881944,8.43490624579756,7.801172774272149,-7.03842499697208,7.518097852255851,7.378211730415961,7.799197734302797,8.448788078407075,7.995489063953649,-7.453478777687922,-8.912742918748739,-8.86513236256179,7.07703481137524,8.692956391685083,8.678880984421344,8.559889481701395,8.421418728423976,8.257401359435502,8.088740598705208,7.93479215400554,7.813608212659645,7.6992497202633885,7.562610436108014,7.32596437542995,3.734826012268467,-6.9016562204453855,-6.315936095225912,8.215376475977576,9.102346600666968,9.389793147400107,9.401780747171006,9.144765973248123,9.048491201235938,9.04837974223766,8.405043486966385,6.176703670948642,-6.7351469758174956,-8.124960899856134,7.5454126468039115,8.352052708789989,8.077453842034265,-6.9990897864097406,-8.774813844625653,-8.865891163667335,6.22463630144372,7.821456200380958,9.023443440290688,9.117268597608135,8.965854023426608,8.809498860389061,8.78953893576936,8.500264150810526
He,9.051327018625601,0.0,8.624894842173779,9.756730956460238,9.751934187355245,9.598330749670195,9.528771692824415,9.25978266929297,8.52617035375317,-1.1050818472406976,8.298020485890309,9.51836043520112,9.558516651585679,9.51247065325699,9.587102864759988,9.339858986690636,8.695144278424813,6.447137457940204,8.110586054750417,9.351215230435551,9.63766272712394,9.75505459562375,9.759380563035869,9.729289770450151,9.68972376954662,9.584755812389087,9.548668946779255,9.530770080419044,9.355980890422543,9.46003229454489,9.265392561365958,9.420775134571903,9.538516259642844,9.320700212835442,8.738171187651021,6.126109121865304,8.07733154412984,9.230573633251403,9.27790297137445,9.640511534006938,9.806821960256526,9.76548965497308,9.633122220008222,9.491518192720056,9.482950929465517,9.303130494677477,8.908053111412553,9.246663684412734,9.22321443961109,9.302690932579164,9.48784012639747,9.34978812578928,8.825411725528824,7.007461544266666,7.279399154207514,9.181251786931611,9.581188145289115,9.575421903699027,9.528572489874673,9.478242613167174,9.424234022568559,9.374704247341285,9.334470069634312,9.30591324624632,9.281315050841645,9.254712446354706,9.21513754682944,9.056108109787695,8.927570094590447,8.984383958295348,9.41133795591488,9.77025213741508,9.927910520829336,9.934926826689274,9.792228668557946,9.74299850998446,9.74294289111661,9.472581608528664,9.106118222445692,8.947595642703327,8.547356066477159,9.251567718746987,9.454675298980089,9.37159726240302,8.913982715182328,7.631241865487831,7.27568530060548,9.108738259196157,9.30768322226845,9.730570057428881,9.77793169741705,9.702589444148096,9.630786740249821,9.622056112306469,9.50635629668753
Li,7.99371391955456,-8.624894842173779,0.0,9.367558079301077,9.360471406411055,9.123975641341337,9.00970606949215,8.50497370924607,-6.262423976896081,-8.625257305259634,-7.348369642736458,8.992147916028848,9.059193427015643,8.982158977225208,9.105868815439905,8.66823501414908,6.00698824210575,-8.504853864113064,-7.714252343072143,8.690344249410344,9.186446380970331,9.365083414167641,9.37146592504191,9.326788525938552,9.267027412589403,9.102068555463921,9.042923883381897,9.013057149379389,8.699544727922726,8.89133573949914,8.516869339229414,8.820930967706625,9.02602741683248,8.630382851061038,6.505640346261093,-8.539331065724692,-7.761705593283751,8.441783904924703,8.543133150888396,9.190915946952625,9.440627557221307,9.3804572639745,9.179307517791646,8.946285644971827,8.931460795320241,8.595031221334454,7.508612158765164,8.476857352671356,8.42551558287471,8.59413878613872,8.939932553327797,8.687579329852515,7.1207806373089975,-8.403963985790105,-8.323476998222588,8.329832868125486,9.09628109361067,9.086899378073545,9.009371197354449,8.923273669874396,8.827223555151916,8.735340990893885,8.657659278327298,8.60067243783187,8.550234040766906,8.494157038400955,8.407492244796213,8.007417954582369,7.585460219622129,7.7873622602906005,8.803670714350735,9.387448734958893,9.610919971236079,9.620540807244822,9.419512041826243,9.34722574469048,9.347143084775045,8.913392024625873,8.144004057969594,7.660022445355827,-6.0318002479051085,8.487417580898503,8.88185664213759,8.729444830190921,7.532429079961538,-8.162792091223412,-8.324780908939942,8.150846826295366,8.604252315776725,9.328706671540592,9.39868982545631,9.286591813761687,9.17562827170992,9.161830207096456,8.971745451533948
Be,-9.075805567772298,-9.756730956460238,-9.367558079301077,0.0,-4.42651106313979,-7.836342259761705,-8.166608105501721,-8.819406067118033,-9.411321456675267,-9.756847719643774,-9.492142529874092,-8.206250061060395,-8.041184107441824,-8.227820921661907,-7.899338576650928,-8.680718613382705,-9.332314175091817,-9.719575869856419,-9.542628929879534,-8.658392881309982,-7.5702428559369235,-3.39866303272055,3.8463620660111753,-6.149462999129635,-7.021313496302843,-7.911934903395998,-8.08489213006159,-8.15876887590379,-8.648796258512592,-8.397233569532593,-8.810627050452938,-8.502878084419791,-8.12762556884963,-8.716745636495922,-9.308791022711263,-9.729933072795918,-9.550409775835021,-8.863146828322742,-8.790589800355976,-7.547434813062351,6.789097677756954,5.029987028764175,-7.605425286107193,-8.300078468535688,-8.327772724969009,-8.74810891051266,-9.198249930267242,-8.83944617277784,-8.873678986625238,-8.748874062325296,-8.312091140202632,-8.661239783446652,-9.255895486711285,-9.690679988302035,-9.66909101238591,-8.930332570331574,-7.930728380559382,-7.96024147134264,-8.167387762121441,-8.342574482939517,-8.494164328188031,-8.609708267305294,-8.6910545049019,-8.743242796472918,-8.785010091304233,-8.82722862664503,-8.88502459885665,-9.071118552995285,-9.183395650227665,-9.137075972845762,-8.526125550481767,5.464258040267848,8.078809724969295,8.122577540164642,6.437851608834276,-5.4661023266833295,-5.470101023323951,-8.359996356711514,-9.019280174047957,-9.167610106320048,-9.402444535264689,-8.832031405180915,-8.41257875487986,-8.61635217686862,-9.193790650723436,-9.629673595563286,-9.669430694940885,-9.01641452886621,-8.740128250614761,-6.102422645375203,5.916338456879656,-6.814722380734,-7.622991320119329,-7.685715367804638,-8.249618001674012
B,-9.066307380990894,-9.751934187355245,-9.360471406411055,4.42651106313979,0.0,-7.80314313415963,-8.142860534078798,-8.807111304885817,-9.404537251190021,-9.75205167912235,-9.485888581635525,-8.183436014036932,-8.014210442817616,-8.205498895592358,-7.868200656005051,-8.666584704072395,-9.324972315264331,-9.714604675932515,-9.536683752517575,-8.643937668475301,-7.526702584296774,4.00213711643942,4.863383487769185,-5.955388883643713,-6.944683037921373,-7.8811927646026225,-8.059083871310195,-8.13483211566886,-8.634200437900525,-8.378423541996062,-8.798225660700988,-8.485969788690829,-8.102922123214753,-8.70311527453182,-9.30127375652846,-9.725005888679316,-9.544507872587277,-8.851383738469243,-8.777935860670492,-7.502867316346304,6.878069821862105,5.4620087730845714,-7.563422362553454,-8.279329066488165,-8.30762030522144,-8.734920823789997,-9.189863890313665,-8.827399172565483,-8.862039857096997,-8.735677522207551,-8.291591949498331,-8.646825839931388,-9.247968262046697,-9.68555504467731,-9.663853960853023,-8.919338048888356,-7.9005673068470195,-7.93097033509905,-8.143658989710442,-8.322697093500974,-8.477106505701132,-8.594526244414988,-8.677066936283232,-8.729971300004099,-8.772284927699042,-8.815032692168504,-8.873517557349437,-9.061574796673732,-9.174869927962321,-9.128144120650065,-8.509608918819586,5.7643747715116325,8.104108672522955,8.146805878190127,6.562022633419545,-5.036285367287642,-5.042427179482603,-8.340465553498543,-9.0092260351148,-9.158948016579668,-9.395601627413239,-8.819894332761761,-8.394057601649621,-8.601271478471725,-9.18535334699261,-9.624225412561163,-9.66419539933846,-9.006331443580988,-8.72681501744492,-5.897978047004763,6.117413253437088,-6.719646961960696,-7.581734948773189,-7.64701646508467,-8.227782919657532
C,-8.734126605919078,-9.598330749670195,-9.123975641341337,7.836342259761705,7.80314313415963,0.0,-6.899173710045014,-8.350974446780826,-9.179475687391424,-9.59846773509254,-9.280355144782998,-7.03337693088543,-6.356691593229914,-7.1014633498558535,-5.109422512461311,-8.119205616685203,-9.078786543156216,-9.554665944566597,-9.34238799756521,-8.07972633026924,6.384035242402913,7.824845759817522,7.854282920481813,7.6321387735930575,7.252526673640608,-5.297030247063675,-6.572431516984143,-6.871047929137272,-8.062543910935991,-7.552162205789256,-8.33691696463047,-7.782811440683449,-6.753232235591672,-8.181540605046282,-9.048371298931675,-9.566860496592716,-9.351882093784221,-8.419968539349583,-8.304540121749296,6.455279054795627,8.136821462032817,7.894636953518512,6.259309927638538,-7.309388922839592,-7.382291442374278,-8.23452282368298,-8.90245935254933,-8.382803074073404,-8.43632628355861,-8.235801156788694,-7.341416521867586,-8.084798317363687,-8.979185166941399,-9.520491214131116,-9.494845200068177,-8.522748564117657,-5.5275581635215545,-5.813653493903736,-6.901940017676472,-7.419956849218264,-7.764824883636798,-7.991160495466186,-8.13725791111681,-8.22637698786568,-8.295452302799802,-8.363445712040493,-8.453841866741268,-8.727523146853796,-8.88242310459227,-8.819314493856211,-7.830003212880705,7.925166437222086,8.657879443422019,8.682643096831768,8.05673963795927,7.738657215905617,7.738244110676774,-7.463222374255106,-8.65362859049543,-8.86103446519613,-9.168272089760157,-8.371071649396846,-7.587530285779659,-8.00345833738322,-8.896443267920729,-9.447745469984149,-9.49524951969614,-8.649495315767563,-8.221148997081796,7.6425175901270626,7.972802167088458,7.390650485301282,6.18878774861686,5.871829150342403,-7.1672228630127925
N,-8.560415864915026,-9.528771692824415,-9.00970606949215,8.166608105501721,8.142860534078798,6.899173710045014,0.0,-8.084516125281404,-9.071723259762695,-9.528919289530844,-9.183460843042344,-4.96562462044106,6.030970535240696,-5.408457686369196,6.71766030796908,-7.769757753134664,-8.958908677397805,-9.481878292536962,-9.25159473696607,-7.713290736038454,7.366930304548984,8.15836031418498,8.179536766351019,8.024167734917556,7.7841079316974815,6.675460477257741,5.625275145199651,3.349796493175953,-7.688425175365193,-6.8182701232223595,-8.066126748741397,-7.250319380482976,4.909940935951414,-7.857055804331348,-8.924552498945296,-9.494996440175198,-9.261989702456713,-8.17366164459951,-8.023463153466638,7.394189635467339,8.391287788097907,8.208848574768579,7.322056672620664,-6.222196531727867,-6.424566538552372,-7.929625467855131,-8.757696042021198,-8.12586446732632,-8.194540566238667,-7.9313590628730175,-6.3143481649941355,-7.720599293310759,-8.845879119280577,-9.445084694883581,-9.41740186938173,-8.303355950847081,6.607901784280144,6.488618541763546,-1.3208853533967675,-6.519894335728003,-7.219488680224496,-7.582875314739119,-7.795265015642601,-7.918559499507116,-8.01140796697922,-8.1007645045346,-8.216794109625537,-8.552554667687913,-8.73452324111717,-8.66097684249914,-7.32941014658189,8.231237425815944,8.8166712725915,8.837837163783407,8.329764688448096,8.097378605696933,8.09709002346811,-6.623134776347764,-8.463887160104223,-8.70968262107916,-9.059236943316597,-8.110669982358162,-6.890588385057852,-7.601317289227326,-8.750759904715851,-9.366411331217057,-9.41783873787056,-8.45888810346081,-7.9114410125863115,8.031203748378156,8.266532015560967,7.867570979184822,7.2982491117251715,7.2044115738093,-5.722881545104903
O,-7.589842468497662,-9.25978266929297,-8.50497370924607,8.819406067118033,8.807111304885817,8.350974446780826,8.084516125281404,0.0,-8.605709930960366,-9.259974932123313,-8.778317767762086,8.039625530961553,8.20493642736118,8.013529483101504,8.3113227249212,6.776452838814905,-8.419363365526738,-9.197959677253943,-8.878820805973879,6.914686459105218,8.48169406303104,8.81511839544949,8.826155017200335,8.747791094922697,8.63852057517341,8.30289488107452,8.166272648822796,8.092957001822585,6.967864183191467,7.753815762363818,4.096125918962472,7.515505213662193,8.12518153547782,6.493675160414687,-8.35968992689624,-9.215347610079128,-8.893872035157397,-5.715238626807008,5.263321855587532,8.490717001754895,8.942636207042389,8.841616026734853,8.467196511181506,7.916093110028764,7.873992254854727,6.145180659659263,-8.044495758912804,-4.926817213202352,-5.935628330887548,6.134790108775696,7.898191517476125,6.898249061290723,-8.216860194803028,-9.148784495674215,-9.111374083782144,-6.677776727396667,8.28998564472341,8.268850955720938,8.083668979802104,7.8502372630462,7.538526384733332,7.155068984079061,6.704140773568135,6.208670066588852,5.436730581471267,-3.9915355849705514,-6.1307120098198675,-7.568958027476639,-7.9966273070822105,-7.836101661116153,7.450293086738073,8.853569654214091,9.209201918596108,9.223545266135433,8.907651836411448,8.783962023333983,8.783816856040135,7.821061611576322,-7.3116187522350735,-7.9439490127405366,-8.585737020607526,-4.465442961551966,7.723947704918671,7.126102177828981,-8.030291005309413,-9.041476823531951,-9.111967313831782,-7.295709633024262,6.247134152154508,8.751204242676023,8.872666509725939,8.67489152570548,8.459682698752777,8.431243593770661,7.985846837144332
F,8.156441642940253,-8.52617035375317,6.262423976896081,9.411321456675267,9.404537251190021,9.179475687391424,9.071723259762695,8.605709930960366,0.0,-8.526570496411512,-6.937481815881788,9.055230880681739,9.118305255936118,9.045857790480833,9.162356633359895,8.754431372394363,6.834912072857889,-8.392806978183085,-7.448098546192038,8.77472576814884,9.238673266113711,9.408948646534695,9.415058702902483,9.372332483211405,9.31530570174002,9.158763714941992,9.102972317808355,9.07487529891762,8.783199328356229,8.960877410138883,8.61647180479055,8.895357740799707,9.087069685841868,8.719760025060102,7.0837171707518545,-8.431294265039137,-7.509564178798933,8.548751276539285,8.640274955992409,9.24291586914085,9.48136730614742,9.423669778746493,9.231898863030137,9.012231302962558,8.998359194454709,8.687480418803409,7.760965467681126,8.58032248810179,8.534145607501978,8.68666679433773,9.006284872584649,8.772192232112772,7.473583041911107,-8.27925094330265,-8.187569004102421,8.44874590048816,9.153297891019493,9.144438275240928,9.071407438437571,8.990703836253086,8.901206006173211,8.816162787722567,8.744733297848025,8.692624729508916,8.646720767694955,8.595934955496684,8.517992689760936,8.16810127983239,7.82117842340962,7.983931384077515,8.879351251181586,9.430366481327935,9.645389252835468,9.654685566409611,9.461103345332294,9.391866258660944,9.391787250765429,8.981469555402349,8.285554704782262,7.8805373870017545,4.691573075562348,8.589850050362655,8.952040200622205,8.810725806150016,7.779519443150338,-8.001180421442116,-8.189062594591356,8.291496881679203,8.695890633754546,9.37416274264974,9.441137912118664,9.333957708058685,9.228408454241649,9.215324497279846,9.036085576006615
Ne,9.051563705834848,1.1050818472406976,8.625257305259634,9.756847719643774,9.75205167912235,9.59846773509254,9.528919289530844,9.259974932123313,8.526570496411512,0.0,8.298523245658762,9.518510302467181,9.558659180093759,9.51262731974051,9.587241424629298,9.340036419338178,8.695482315300229,6.4503331600182,8.11119246091784,9.351386544967617,9.637794517022382,9.755170195866272,9.759496039763006,9.729409009127568,9.689850506787069,9.58489480027421,9.54881478958575,9.530915849373143,9.356155530936448,9.460188150593806,9.265583631279522,9.420935428396964,9.538661725361047,9.32088105027334,8.738495008579488,6.13051190856686,8.077993706373094,9.230771493058185,9.278091723270046,9.640642857371814,9.806933254490055,9.765605475277297,9.633248965297568,9.491664633472562,9.48310468668576,9.303314537517167,8.908326313794976,9.246858428450553,9.223413804277543,9.302875069878905,9.487993109229519,9.349963819543634,8.825708396899463,7.009286508462009,7.280790877556416,9.181459313526238,9.581327545426763,9.575562091654508,9.528719418449871,9.478397106939195,9.424397085589868,9.374875573282177,9.334648437212685,9.306096773050099,9.281503159467285,9.254905625998155,9.215338524075891,9.0563437292655,8.927838008626896,8.984637094934797,9.411503097668989,9.770367524727954,9.928009068624345,9.935024744795786,9.792341596191061,9.743117007975313,9.743061475305147,9.472736931804175,9.106342328655655,8.947858239221235,8.54774796882963,9.251761488663014,9.454833498000184,9.371769096434972,8.91425428224338,7.632220141277039,7.277082199496934,9.108961821065055,9.307866386300013,9.730690098241693,9.77804618749743,9.702712888199521,9.63091937478371,9.622189911810091,9.506506482733018
