element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-0.4132235622668278,-0.14347420567567237,0.42346469418967486,0.4194611306367016,0.30088994881823633,0.252902310600165,0.09578592591574904,-0.16883699173129435,-0.4133213900429284,-0.21870050620816447,0.2460031221804073,0.27301314332588394,0.24213245734893088,0.292916263870318,0.13822586937948375,-0.12383912504961554,-0.38270508934595704,-0.2519559236070754,0.14452454789045927,0.3295391159258753,0.42206364094105286,0.42568510283709976,0.40081622231603303,0.3692369113828436,0.2912608474330371,0.2662914190347703,0.2542345277814489,0.1471891610934339,0.20864789820108687,0.09864966116419717,0.18470609647560698,0.2594251638758731,0.12776044619353072,-0.11111390296715752,-0.3910986534416047,-0.25723020490400184,0.08113190607005466,0.10509424685600348,0.331658229688553,0.46644566674815513,0.4308260932087607,0.3261740077384609,0.22854117184573455,0.22306608031738626,0.11833770205215838,-0.05516485618939459,0.08915117489078164,0.07750680982855715,0.11810411541725455,0.22618491637683397,0.14372920537788775,-0.08356946234829637,-0.35974204423804534,-0.3430136037054408,0.05733832022396408,0.2887518293995697,0.2847153222305253,0.25276919660342106,0.22007702201235832,0.18677804315361654,0.1577817199529703,0.13526191454552777,0.11981907743931523,0.10686597012197188,0.09321137530873098,0.0735587875567917,0.001980675575848494,-0.04810704246458212,-0.026759944735158823,0.17908937086761054,0.4348556658934839,0.579687145831947,0.586678605816881,0.4537009013963913,0.4120532584757227,0.4120073285917935,0.216501766979143,0.023275544791716063,-0.040720711769509234,-0.1636031671065122,0.09162122520637295,0.20532534138905795,0.15601034457447582,-0.05303518919908786,-0.31338680870356067,-0.3432740183601028,0.02442075237140656,0.12076349737429927,0.401859235088529,0.4413939646983722,0.37936746570320057,0.3244490536517316,0.31803631968162716,0.23813546647006137
He,0.4132235622668278,-0.0,0.2697496293439519,0.83668866361647,0.8326846397467987,0.7141134823585061,0.6661254021836814,0.5090093938401076,0.2443865283864714,-9.784358696124437e-05,0.19452300403363512,0.6592256743319647,0.6862383626259326,0.6553541060361158,0.706139801923729,0.5514494162142085,0.28938438342745887,0.03051841068622,0.1612675279026785,0.5577480571682722,0.7427626034110855,0.835287165325241,0.8389086274917144,0.8140397821568953,0.7824584595986922,0.7044842846653564,0.6795131808333363,0.6674580068327511,0.5604126699399313,0.6218714320821119,0.5118731786548625,0.5979296418169532,0.6726487095831317,0.5409839660262374,0.3021095835624866,0.02212483311325266,0.1559912600779419,0.49435536185119705,0.518317756223195,0.744881745733499,0.8796691468131904,0.8440495806991647,0.7393975099337403,0.6417646730219488,0.6362895778153714,0.5315611990363408,0.3580586466288961,0.502374687147544,0.4907303035758877,0.5313275749333984,0.6394083777499324,0.5569525909228779,0.3296540419724642,0.0534814579941107,0.07020982788872136,0.4705620414597798,0.701975224813176,0.6979388352842937,0.6659927116038818,0.6333005392985055,0.6000015622660226,0.5710052383024212,0.5484854334574938,0.5330425968465495,0.5200894838310378,0.5064348892542601,0.48678230146058205,0.4152041844273258,0.3651164664539335,0.38646355995234793,0.5923129602296467,0.8480791705592792,0.9929106787587519,0.9999020819433997,0.8669243914559823,0.8252767520581923,0.8252308496813714,0.629725277067822,0.4364990569055414,0.37250280495887955,0.24962030248074746,0.5048446388768367,0.6185487178604127,0.5692337365333701,0.36018838784018675,0.09983668219088242,0.06994938285667912,0.43764432708703327,0.5339869907479741,0.8150827162051631,0.8546174910903839,0.7925909799615766,0.7376725639339546,0.7312598305626314,0.6513589674090929
Li,0.14347420567567237,-0.2697496293439519,-0.0,0.566938939218148,0.5629350888028385,0.44436468953441044,0.39637583020674244,0.23925985314766882,-0.02536307868622351,-0.2698474389134906,-0.07522659141905223,0.38947610235502567,0.4164873490015564,0.3856045340591767,0.43639019247527766,0.2816998155535416,0.019634784257545737,-0.23923117493074436,-0.10848205931743299,0.2879984264068445,0.4730130323536838,0.5655375699696913,0.5691589734229543,0.54428798853026,0.5127107788452199,0.4347347596997215,0.4097653319924311,0.39770650799779644,0.2906608243916596,0.3521217996117848,0.24212357529507225,0.32818002976417615,0.4028990980311386,0.27123435396619006,0.03236000438248614,-0.24762472850447947,-0.11375633583199388,0.22460587502579385,0.24856819545657227,0.475132144090233,0.6099195764722758,0.5742999879577609,0.469647936924685,0.3720150831868493,0.3665399813006543,0.2618116008754217,0.08830905494889779,0.23262508538642362,0.22098069387456729,0.2615780119965526,0.3696588221588772,0.28720309997791127,0.05990447187753514,-0.21626812689515143,-0.19953969750195272,0.20081229374621654,0.43222573590161967,0.4281892267514814,0.3962431009854614,0.3635509283974682,0.33025194820294235,0.30125562587964166,0.27873582116453893,0.26329298458953965,0.25033987769441984,0.23668528324072138,0.2170326958115118,0.14545458377008508,0.09536687469324578,0.11671396656146203,0.3225633352696179,0.5783295984355351,0.7231610566242037,0.7301525145959546,0.5971748168343323,0.5555271690003817,0.555481247064668,0.3599756621756384,0.16674947345167843,0.1027532024753759,-0.020129274055742333,0.23509519050526323,0.3487993154802447,0.29948431572350304,0.09043871903516507,-0.16991290263787134,-0.19980011236863074,0.16789474695152637,0.26423740422844255,0.5453331071003897,0.5848678782693265,0.5228413825673114,0.46792298354300377,0.4615102270204394,0.3816093648030924
Be,-0.42346469418967486,-0.83668866361647,-0.566938939218148,-0.0,-0.004003871890936046,-0.12257536351345913,-0.17056271664787673,-0.32767989538656683,-0.5923031867974287,-0.8367863694097573,-0.6421655059150723,-0.17746192246687204,-0.15045155086379092,-0.18133257048928536,-0.13054872152205338,-0.28523909348691606,-0.5473041260961682,-0.8061700945576022,-0.6754209879959583,-0.27894041317293744,-0.09392589674452581,-0.001401373683624749,0.0022201003338302014,-0.022648759289223438,-0.054228111076045034,-0.13220417056747916,-0.1571754827831336,-0.16923048519645453,-0.2762758680539957,-0.21481711472395876,-0.32481535510118487,-0.23875887783775313,-0.1640398260139522,-0.2957045419487642,-0.5345789232568278,-0.8145636555127755,-0.6806972117643444,-0.34233311803885985,-0.3183707593963747,-0.09180678408290371,0.042980651192130175,0.007361072514857818,-0.09729099164478366,-0.19492384102582938,-0.20039891781239544,-0.305127316221311,-0.47862992128119425,-0.33431385668203667,-0.34595819132753136,-0.30536091136855764,-0.1972801033109642,-0.2797357988192176,-0.5070344340575661,-0.7832070652403189,-0.7664786056727042,-0.366126620297753,-0.1347131596417118,-0.13874966312458273,-0.1706957866411345,-0.20338795819137276,-0.2366870089855216,-0.2656832757551387,-0.2882030859543839,-0.3036459034252668,-0.3165990203418065,-0.3302536233233859,-0.34990620246242604,-0.4214843264559872,-0.47157204829079946,-0.45022495086087216,-0.2443755771451177,0.011390646610566579,0.1562220855465734,0.16321359087318887,0.03023588520398597,-0.011411763047616279,-0.011457680707616049,-0.20696325537401392,-0.4001894646513778,-0.46418571423478605,-0.5870681975397042,-0.3318438066243758,-0.21813969424172322,-0.2674546512230566,-0.4765001128465538,-0.7368518305892728,-0.766739025769041,-0.39904416659212893,-0.30270150488407216,-0.021605797491219044,0.01792898633830534,-0.04409750757613627,-0.09901596571022435,-0.10542870086986691,-0.18532955009972657
B,-0.4194611306367016,-0.8326846397467987,-0.5629350888028385,0.004003871890936046,-0.0,-0.11857119533493674,-0.1665588450560049,-0.3236752220014812,-0.5882981524224403,-0.8327824847769317,-0.6381616660296058,-0.17345803853877317,-0.14644627563056328,-0.17732863287232428,-0.12654485666588283,-0.28123522701467346,-0.5433002561166533,-0.8021721712863423,-0.6714171160414969,-0.2749365776409086,-0.08992202548709904,0.0026024946929732048,0.006223971323001755,-0.018644900301379413,-0.05022424160169071,-0.12820030122696421,-0.15316972006142615,-0.16522660701842448,-0.27227197898035266,-0.21081326187620447,-0.32081147061714704,-0.23475499769839148,-0.1600359387274657,-0.2917006707110456,-0.5305750549094357,-0.8105597836918736,-0.6766913494654255,-0.3383292479982114,-0.3143668877256912,-0.08780291025868325,0.04698451801723947,0.01136494594041684,-0.09328712617517643,-0.19091996523413618,-0.19639984911348224,-0.30112905441109605,-0.47463249006966785,-0.3303099597983654,-0.3419543211919981,-0.30135704119989987,-0.19327620619634525,-0.2757319295523345,-0.5030305648638529,-0.7792031934525624,-0.7624747573114316,-0.3621227512783229,-0.1307092888370937,-0.13474576976988537,-0.1666919267119182,-0.19938409844737084,-0.23268306392520116,-0.2616794009753111,-0.2841992153024782,-0.2996420522008667,-0.3125951584030267,-0.3262497460193715,-0.3459023402341066,-0.41748045672400796,-0.46756823485997473,-0.44622108299224295,-0.24037167205205373,0.015394517914748008,0.16022599948420543,0.16721746655672867,0.034239761731656396,-0.007407887469999712,-0.007453823816782313,-0.2029593772429114,-0.3961855785914939,-0.4601818422269259,-0.5830643271036742,-0.3278399529502652,-0.2141357910946214,-0.2634507840705048,-0.47249624256566813,-0.7328479797655519,-0.7627351565331065,-0.39504030128131473,-0.2986976355023341,-0.017601924915586247,0.02193285308615862,-0.04009366139450106,-0.09501208801381412,-0.10142482337160375,-0.18132567777791692
C,-0.30088994881823633,-0.7141134823585061,-0.44436468953441044,0.12257536351345913,0.11857119533493674,-0.0,-0.04798764421848577,-0.20510401397793845,-0.46972693222022505,-0.7142113188333776,-0.5195904398329301,-0.05488683808768659,-0.027875104305514386,-0.05875745831338285,-0.007973660035325623,-0.16266401085555696,-0.42472906003299027,-0.683600754765833,-0.5528459254646163,-0.15636538961436697,0.028649170854134556,0.12117369144675164,0.12479516859459057,0.09992631016363883,0.06834695577795545,-0.00962910435933561,-0.03459852767343928,-0.04665541437811978,-0.1537007792145957,-0.09224204786969128,-0.2022402626024187,-0.11618380910680269,-0.04146474034821566,-0.1731294842510226,-0.41200384949345853,-0.6919885895620482,-0.5581201552704842,-0.21975802981312095,-0.1957956832576472,0.03076828957011013,0.16555572360724685,0.12993614402166373,0.025284069017742997,-0.07234877027465013,-0.07782385924529008,-0.18255225084161208,-0.35606107406094323,-0.21173876265855823,-0.22338313643816154,-0.18278582462348533,-0.07470501036641579,-0.1571607338736438,-0.38445937883005743,-0.6606319394333414,-0.6439035460488848,-0.24355155268086318,-0.012138151846707086,-0.016174590279099843,-0.04812071079945764,-0.08081288961539042,-0.11411188023769199,-0.14310819895325824,-0.16562801717224646,-0.18107085729740496,-0.19402395002058542,-0.20767854523866863,-0.22733114588613504,-0.29890926131171724,-0.3489969806214958,-0.3276498856070476,-0.12180050394057221,0.13396570378477643,0.2787972064872314,0.2857886532825109,0.15281096158806542,0.11116331740147137,0.11111738472697778,-0.08438818372101321,-0.27761439038164104,-0.3416106471681634,-0.4644931313051824,-0.2092687138490606,-0.09556459530476365,-0.14487958659029382,-0.35392512050750985,-0.6142767643187033,-0.6441639611223059,-0.27646910210628517,-0.18012643808611212,0.10096933316773742,0.14050405914610842,0.07847752542755122,0.02355910358010373,0.017146369180797965,-0.06275448729756475
N,-0.252902310600165,-0.6661254021836814,-0.39637583020674244,0.17056271664787673,0.1665588450560049,0.04798764421848577,-0.0,-0.15711637694554756,-0.42173930726519204,-0.6662237345067704,-0.47160279556078916,-0.006899200814472167,0.0201125392859622,-0.010769823129932053,0.04001399207237372,-0.11467640947885153,-0.37674142083054046,-0.6356073840860945,-0.5048582803732117,-0.10837774577856832,0.07663679265754339,0.1691613384300168,0.17278281105959747,0.14791225287518206,0.11633460091538649,0.038358539372384946,0.013389114708187686,0.001332229002245739,-0.10571491126341828,-0.04425440421572178,-0.15425262576392648,-0.06819615356014186,0.006522904035027529,-0.12514182584659797,-0.36401620729552403,-0.6440009447828099,-0.5101341421057396,-0.17177038333808908,-0.14780803922621902,0.07875593301939136,0.2135433615193024,0.17792378542203918,0.073271713612577,-0.024361125919245538,-0.029836216373587732,-0.1345646112832838,-0.3080671461770159,-0.16375110420976904,-0.1753954877430015,-0.13479817821256515,-0.02671740865564674,-0.10917308770165005,-0.33647172479757964,-0.6126443557836215,-0.5959159014846245,-0.19556390759164738,0.03584952060506659,0.031813022522373086,-0.00013307966829701964,-0.0328252621635606,-0.06612422821202198,-0.09512055364967972,-0.11764036711163388,-0.1330831991539724,-0.14603630243957427,-0.15969091001379582,-0.17934350276062794,-0.2509216103197177,-0.301009335254568,-0.279662241754716,-0.07381285873704241,0.1819533192911919,0.3267848501414229,0.33377629730794395,0.200798599592338,0.15915096331836692,0.15910502782521974,-0.03640054029218988,-0.22962675134393393,-0.29362299366360134,-0.4165054754931442,-0.16128106733496103,-0.04757700399985016,-0.09689194173092161,-0.30593740870958197,-0.5662891201763729,-0.5961763164096905,-0.22848145708293283,-0.13213886834099012,0.14895697741089248,0.18849170313309788,0.1264651688864273,0.07154675436129201,0.06513401920047289,-0.014766851353410613
O,-0.09578592591574904,-0.5090093938401076,-0.23925985314766882,0.32767989538656683,0.3236752220014812,0.20510401397793845,0.15711637694554756,-0.0,-0.2646229121954007,-0.5091072761512538,-0.3144869881050435,0.15021716780142896,0.17722889195139627,0.14634655258126578,0.1971285312776568,0.042439980686341854,-0.2196250489277239,-0.47849100360311414,-0.3477418767354175,0.048738625930838525,0.23375318583425403,0.3262777120437305,0.32989919818889296,0.30503034201587104,0.27345098551749786,0.19547373743534346,0.17050549359095907,0.1584486005046015,0.0514032325559986,0.11286196815751595,0.0028637385281919405,0.08892021203149303,0.1636392784663924,0.031974541865753506,-0.20689983053347505,-0.4868845774521389,-0.3530161411649514,-0.014654050826596147,0.009308326393187249,0.23587230965387732,0.3706597350500404,0.33504016175947193,0.23038808628670934,0.13275524924737844,0.12728016155582647,0.022551769952469596,-0.1509507805945228,-0.006634745105233919,-0.018279135127628247,0.02231815700153518,0.13039900472157925,0.047943248232229264,-0.1793553583014059,-0.45552797194445593,-0.4387995302578721,-0.038447602673693515,0.19296591715394057,0.18892942379403796,0.1569832918519935,0.12429111438319385,0.09099213233352481,0.06199580778840423,0.03947601132615333,0.02403317365797693,0.011080051901707086,-0.0025745390664604,-0.02222712950023137,-0.0938052333616454,-0.1438929524805965,-0.12254586393891417,0.083303505374673,0.3390697221483805,0.48390121409734405,0.49089269306508043,0.35791497603090117,0.31626732611959024,0.3162214107471415,0.12071583573635525,-0.07251038384315668,-0.136506622550405,-0.2593890960607703,-0.004164747760917593,0.10953941933891806,0.060224364186121634,-0.1488210357890576,-0.4091727357869155,-0.4390599453024178,-0.07136517052621881,0.024977496121411525,0.30607340005274414,0.34560804488359254,0.2835815320254364,0.22866311803515946,0.22225038414784307,0.14234953087028976
F,0.16883699173129435,-0.2443865283864714,0.02536307868622351,0.5923031867974287,0.5882981524224403,0.46972693222022505,0.42173930726519204,0.2646229121954007,-0.0,-0.24448435681991126,-0.04986351717347669,0.4148400724581573,0.441851826936338,0.4109694530829043,0.4617532675960492,0.3070628907214122,0.04499785919750244,-0.21386809468502682,-0.08312078669391534,0.31335920364595343,0.49837611253441727,0.5908993150458702,0.5945210925661079,0.5696524385431758,0.5380732187424975,0.4600970288462053,0.43512787800872815,0.42307089629935757,0.31602616564332087,0.37748395006691243,0.2674866539773498,0.3535410810768185,0.42826216516535015,0.2965974014224078,0.057723083377756446,-0.22226164859714437,-0.08839321311760677,0.24996888595357525,0.2739312288229856,0.5004952221845227,0.6352826555793862,0.5996630832549434,0.4950109948417338,0.3973781590924261,0.3919030773098636,0.28717468903083787,0.11367213715886985,0.2579881591657123,0.24634375367504602,0.2869410923006313,0.39502190203296017,0.3125661790635931,0.08526755117273171,-0.19090504675594522,-0.17417662306105194,0.226175374525476,0.4575888156498851,0.45355223299864167,0.42160611872973947,0.3889140037819448,0.35561502506468085,0.32661870259892495,0.30409889778729365,0.2886560611526258,0.27570295421335916,0.2620483597166182,0.24239577222617162,0.17081765915201383,0.12072994325792655,0.14207703528051588,0.3479264093854733,0.6036926503756119,0.7485241819436887,0.7555155946961684,0.6225378967066366,0.5808902488765116,0.5808443519456171,0.3853387481056971,0.192112574037096,0.1281162774046828,0.005233799459687345,0.2604583678736836,0.3741623157537883,0.32484743883692163,0.11580180192459122,-0.14454982842849634,-0.17443703840177538,0.1932578281164842,0.28960048379915726,0.5706960937601951,0.6102309560921634,0.5482044577593557,0.49328604714186053,0.4868733231968691,0.40697245952754385
Ne,0.4133213900429284,9.784358696124437e-05,0.2698474389134906,0.8367863694097573,0.8327824847769317,0.7142113188333776,0.6662237345067704,0.5091072761512538,0.24448435681991126,-0.0,0.19462085132764007,0.6593244853466594,0.6863361850325398,0.6554567936935208,0.7062376580549465,0.5515472786224772,0.2894822389365985,0.030616249515340387,0.1613653805728717,0.5578436240016621,0.7428605048554572,0.8353837359066537,0.8390055131031515,0.8141368587485368,0.7825576386497657,0.704582212985427,0.6796122972363079,0.6675553156429604,0.5605105577052937,0.6219683696116438,0.511971000821358,0.598025501695276,0.6727465710761708,0.5410818137891906,0.3022074445013433,0.02222267257477633,0.1560946178985121,0.4944531941721237,0.5184156080618196,0.7449795788971619,0.8797670597573314,0.8441473500516086,0.7394912371655169,0.641858667500809,0.6363874269039873,0.5316590469896051,0.35815649570657543,0.502472540585862,0.4908281572723765,0.5314254300889087,0.6395062111496531,0.5570504611242937,0.32975186977332455,0.05357923735452816,0.07030767604763265,0.47065971578714744,0.7020730938314081,0.6980366915537569,0.6660905792723965,0.6333983953317613,0.6000994162119375,0.5711030829943127,0.5485832828442786,0.5331404423208767,0.5201873354660116,0.5065327409763446,0.48688015319717415,0.4153020375638278,0.3652143123672567,0.38656141268821115,0.5924107919098395,0.8481770393727018,0.9930085375132364,1.0,0.8670223021752615,0.8253745572311922,0.8253287205603068,0.6298231031830956,0.4365969008761152,0.3726006484673184,0.2497181674277186,0.5049424814474566,0.6186465870674184,0.569331566991878,0.36028622958424344,0.09993444520929799,0.07004723107805583,0.4377421894410408,0.5340848157910578,0.8151805710860868,0.8547153474643755,0.7926888326236823,0.7377704177060415,0.7313576857939221,0.6514568070600198
