element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
H,1.8201306742303243,0.6991714680326704,-3.330654707809376,-1.2081537073203905,-0.37823987702810297,1.0201053598238894,-2.006672971215352,-0.03727689397150619,-1.4265295354107375,0.28530373627827416,-0.5909794627797469,0.06467920011997275,0.14088537658725067,-0.5832306744633601,-0.8639743916772801,-2.362496849813846,-0.9757443973695159,0.3508398433252219,0.013867720430162142,0.7489769445048999,-0.3215221652354851,-0.28933621856292646,1.046089155614367,0.12791563809791906,-1.7013356470125789,-1.2578631083122505,0.10026698350748,-0.1809886090478339,-0.8078426431798643,0.08160681589232066,-0.5169919129572181,0.38765296926240106,0.25080740624688974,-0.8293324418476107,0.13433388591574605,-0.3308566743597904,-0.21941520841797377,-0.05548554132477167,-0.32231788528507244,-0.7066821264232213
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.7832675641288769,1.3613019768708907,-1.4898269215893456,-2.2047575382832805,1.1941402592778865,-0.4754142096507766,-1.3851347427326528,-0.13923768128423464,-0.8871473984827802,0.26437114169827897,-0.8074991917791996,1.2791724050636888,-0.6631724095275824,0.4248946646694317,-1.713985209914892,1.0828154404958714,-1.075055842329607,0.34813956945132657,1.718419678834218,-1.0810716705567605,-0.7779721134460873,1.1066161849699536,0.49567593210161387,0.08876149424496903,1.9633643194292179,1.039588452182558,0.5917542149238209,-1.4561130905689816,0.665045091265589,0.36023608916227007,1.6339335054605426,-0.24412503342522418,-0.14925894650370078,0.34657736887105345,-0.30132166690457834,0.9201909781826035,-0.4207565163200843,-0.2129715971504155,0.16674356083050357,0.9175024945663317
Be,0.21313786139587781,-0.029567461434930584,-1.9025304980375566,-1.6664733539438255,2.0903478251623726,-2.5148744604581648,0.5410666276498066,0.8340108485255986,0.6091845066136087,-0.1923021320469166,1.3632555080822575,0.7605685321697075,1.0137300270585925,0.23996696780193216,1.0023652059185706,-0.4626752154989744,0.5159228020401827,-1.8293576911400868,-0.6592213883296905,2.5591086802832987,1.7153218539992008,0.1491042147259448,-0.43010569138027666,-1.0038263012778839,0.001337230871809288,-1.4118863204975487,-0.27153215370845046,-0.08879126927409262,0.39932875355092784,-0.04162330787355094,0.8173708970163411,-1.0230409725431724,0.6304012307446398,-1.0194465589192672,-0.04588159679987685,-0.7171852757092358,0.5972298554682064,0.6130309694817643,-0.31359042449123764,0.6337618006917621
B,0.7538530065622463,-1.1667302691677244,-2.05176438822026,-0.0640509431072272,1.5526538668322893,-0.6629699095470141,-1.0111578660035467,2.6793463975509217,-0.29187595519826914,1.2153488981945568,-0.25654844264388743,-0.5582495450197487,1.1679642215319412,2.8673670092153376,0.5728875589543369,0.9823830025453097,0.12386078298024217,0.7516845555386693,-2.129964361676723,-0.4142434921071098,1.2579420929485912,0.5180319759993353,0.03363951279222658,-0.5659421734437091,-0.6893661856437404,0.5497323811499958,-0.663277228558235,-0.5580307377075254,0.00913448975422502,0.46665829073731674,-0.4963958987472489,0.011734400813265952,-1.1113721216089498,1.112472023553281,-0.31634224691790447,-0.31800981186608307,-0.7532476913120123,-0.5461204213692058,0.5722948651757116,-0.3311831314346834
C,1.0628229813106114,-1.0153405684870644,-1.6133507822352777,1.2363191819070671,1.072841226974208,-1.9256592874514196,0.20369740690854446,0.7111794176000328,-0.8241832078570653,0.7296737902932384,1.3357251179806557,-1.248518395969036,-0.9535943852516597,1.0452843516286499,-1.3964213367466944,1.1890088456284726,0.43282203113882894,-0.9174548392006078,-0.26713515212067895,0.21474773079257803,-1.978638422821305,-0.25416930386396525,-0.26670830433317494,-3.107678360661767,1.2071137939616094,-1.8722482328618544,-0.1544767325522595,2.0784692429606526,-0.4124085352171721,0.9946274238559816,0.5510281117477562,0.4461102226019145,-0.5663981896256127,-0.7636496457173972,0.2692468561777681,0.4185106546007277,-0.4642516180709287,-0.07145314504066974,-0.183868047656212,-0.31255308228146944
N,1.5579414463780445,-0.6674805179512705,-1.2652779411128288,1.454805445782452,-0.08698154858792753,-2.7512618695253854,0.4101379910537681,0.6345282759819277,0.09851715400748477,-0.6620215047702409,-0.2509436522467019,-0.04729376755140627,1.4247568418608794,0.4275748005177889,1.6364257194479808,0.7979834096635782,-0.96643219715109,-0.677585419374934,2.0043809221222677,-2.3979626354844905,-1.0549576896610322,-1.0461502508685545,1.557524380887033,0.5929096960121267,-2.185026199935872,-0.05196919292766746,0.29269151006270605,-0.1406549651591797,-0.33520126120571725,0.7734627401734036,1.447479693222511,-0.12236133073021563,1.15808939311947,1.0782532938338634,0.5391248561968542,0.27869976937264485,-0.24028547688866067,-0.40040499176440447,0.06666251027773695,-0.7514236149974667
O,1.9626158433384515,-0.4600724445177245,-2.030030393762384,1.4780741879833723,-1.7095006509107107,-1.1922584473147297,-0.02236688682622211,0.07231447046004957,1.4057828066397233,-0.3608084875684284,-0.9831519113562136,-1.5656519984439434,0.027350265327494922,-1.2817224362391268,-1.2615297820711833,0.6981209726529197,-1.541419451065467,0.05040941598705828,-0.4161219974825,1.0461562669772684,0.23944908454596195,1.0573250192910808,0.011898227534821412,2.485104827708612,1.116044016731049,0.03761434187108106,-1.1977200856257209,0.17372091046304214,3.154140778743163,1.0059551663682726,0.2204448485602549,-0.6851963384203484,-0.05351004822777594,-0.6600559168324158,0.09697312877918543,-0.36814881528514476,-0.1987046904104775,0.3836316666211514,0.2154529309505291,0.4697866568790234
F,2.49059295854652,0.2017057394898663,-1.8149670117396994,0.9456754501435208,-1.535092519574255,1.055746070690971,0.40818320932722735,-0.4530994216531228,1.3076683550802792,-1.9103317120866585,-0.08245470576623451,0.004140033688746722,0.1000558203852216,1.0726373388171575,0.022675226035757348,0.84195670099065,-1.4761739034412678,-1.2677450868387081,0.2526813872581187,0.09123990157825537,1.8923071040029074,-0.7055915638102683,-1.4366131280827459,-1.9205332162455466,2.5603112272476896,0.11485094423690526,1.278211045987565,0.06813198422354112,-1.3337631312522824,-0.9263483923714255,-0.6329960754932177,-0.1793188742126404,-0.22563823555881332,0.7905824605847823,-0.3235409458892553,0.06511633140852725,0.8269240434167775,0.4273097980470359,-0.40756676953324245,0.30719785696548113
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
