element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.43336328052188916,0.27119718733536263,-0.490007743166624,-0.28105626459679117,0.035040498375190327,0.09619541602937359,0.1425696170007678,0.1292928266422161,0.14258808906027154,-0.08416337884040305,0.04800440269094505,-0.06924288116598842,-0.10588118843070177,-0.09158383270150909,-0.2029502640899978,0.07284960366863896,-0.06481156406738574,-0.1870096889598831,-0.08944972083912063,-0.08755909344948241,0.031456546730577344,-0.06533840365890363,-0.023038581316150452,-0.03762928495943316,-0.1109872306868653,-0.005346550091479863,0.07298030422920943,-0.0021349747609361565,0.006551094017579801,0.09236777674397247,0.15394951830459105,0.0426129321556721
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.2028736036970014,0.36412112742286035,-0.1613263056784776,-0.42867425673633863,-0.14138348025243985,-0.05080501178130227,0.1587595349973295,0.09990672153277652,0.1584927212548878,-0.026695108709452613,-0.008576145762926039,-0.16436661381519407,0.013996549630213713,0.03044373351478228,-0.08585911773434825,-0.033280672226850286,0.11557314893171844,-0.11733088313526886,0.13378058639558288,0.08749277956107047,0.00177320214364907,0.016514805361242002,0.11770525047836218,-0.07986043417267927,-0.03846380815980067,0.05001750371079858,0.08660145184226134,-0.0048770038950447766,-0.018516589045336578,0.02557233231495857,-0.07507822567225682,-0.06394251316035655
Be,0.1280135424674822,0.036986618949645986,-0.2375492871381383,-0.322004609736505,-0.14800535872883078,-0.4887890813895026,-0.03328355910978798,-0.012178041916293379,-0.14842605521916735,-0.006411387214594281,-0.1320995413726649,0.04017946777785411,-0.05897781798139531,0.0730859838997504,0.07016820091621881,-0.13402861278594577,-0.06635783771367604,-0.038826168228467,-0.07362086168120613,-0.19423818154489922,0.21780317779324498,-0.025387245450814753,-0.006036383566177189,0.02177764747962104,-0.011930103454384434,-0.04527396015187098,-0.007379917864817744,-0.02683138866498245,-0.043704754513566896,0.04965712775220916,0.06649550992142389,-0.0036320898797714777
B,0.30704761893943733,-0.15440820352269563,-0.3849538834572824,-0.050337613486496756,-0.1203501907250785,-0.2709892866334541,0.03685067805085355,0.3060269517165494,0.019878086691695274,0.02344498228505458,-0.02132775284813014,0.08244908971627138,-0.056113932027229314,0.17439513579719548,0.16362384915835526,0.16420325211952816,0.08565656176338914,0.020627494033098995,-0.047613730526795246,0.012656567688522281,0.16441555134465935,-0.10100412342572629,-0.07737661133871102,0.08091086288253274,-0.02349422279909264,-0.006853417337204613,-0.012427299614065813,0.020659749543635964,-0.04022762871658904,-0.028745371247526193,-0.10856497015488192,-0.03681912823390668
C,0.35917139511730944,-0.09107921763671509,-0.38507685323124363,0.1437850659039838,-0.004015559828917251,-0.33737395257099706,0.0495769276326867,0.1046916666486534,0.106309667895535,0.046153785363800236,-0.03155921804802986,0.17821617772719708,0.07209152623069098,0.031709452545505605,0.018247282474228098,-0.024371142499739495,0.19130665501301722,0.07217828429811671,0.0015338641451692109,-0.011396984194111564,-0.01804869692749109,-0.15108092198683887,-0.054456747525804323,0.00393494326393594,0.14121892762480953,0.1453528611290812,-0.09777318628924399,-0.02211670378711627,-0.10031471740943146,-0.03713759194891112,-0.0029561934035088086,0.0776308766547226
N,0.4335333546225212,0.03340361122586949,-0.3353047675807646,0.18756693790942197,0.17082702198381694,-0.3127402096679884,0.049534231653450674,0.05279177253616762,-0.019450845382320385,-0.027888300059266312,-0.008388326558457702,0.08268292664287603,-0.14316761776136677,0.018178851587965426,0.1711392366666165,-0.08883516219334643,0.062115046447479096,-0.027832470419177337,-0.006439181976102684,0.11586191617123126,-0.19938499743185048,0.07767124206064303,-0.12156158737568856,-0.13932298549638808,0.07561350384357886,0.11300688463723296,0.048604013481487164,0.11463891993473266,0.10202030476325015,-0.008223435950290894,0.01909605463064626,-0.15091039313305402
O,0.47987185511932323,0.09616665585323958,-0.4480944392876261,0.15757344054632932,0.27467501265777505,-0.06536699560647287,0.020376998251776097,0.052993750512658803,-0.09049405698008467,-0.04010955857090834,0.06261196221534414,0.07413341114505147,-0.10263965385605696,-0.2958536122372478,-0.0012290965734856212,0.06157910951552524,0.14500852848968884,-0.019936974944019508,0.03096094429376396,0.012942987852429168,0.017568816334622785,0.14742408355976577,0.10239394472679608,-0.04791065220481669,0.08173140812535241,-0.0811951215363179,0.00866240038831122,-0.0016948605870465842,0.16720860003069393,0.12073028600016907,-0.10127666944280907,0.0972526174179353
F,0.5662531116140552,0.254753358649565,-0.40148273957415226,0.10983930915134489,0.23378187054352523,0.1718527834606978,-0.0784346667321435,-0.035691364241930736,-0.1282965642586272,-0.16967066239034898,0.00011475979926952252,0.0597319785685824,-0.0025925942935146563,-0.09793447542398756,0.049157072010355934,0.018309490232586895,0.0845262285389603,-0.16596010433235026,-0.03314966977381142,0.0014430402849793264,0.054152029086748085,0.13854785018507193,0.1311619941540497,0.10993839796282306,-0.019188030555436164,-0.004860013925127026,-0.07869389053745895,-0.1380599897223493,-0.15814991884418686,-0.1516691213487239,0.06224158448367321,0.04426509702193839
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
