element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.43336328052188916,0.27119718733536263,-0.490007743166624,-0.28105626459679117,0.035040498375190327,0.09619541602937359,0.1425696170007678,0.1292928266422161,0.14258808906027154,-0.08416337884040305,0.04800440269094505,-0.06924288116598842,-0.10588118843070177,-0.09158383270150909,-0.2029502640899978,0.07284960366863896,-0.06481156406738574,-0.1870096889598831,-0.08944972083912063,-0.08755909344948241,0.031456546730577344,-0.06533840365890363,-0.023038581316150452,-0.03762928495943316,-0.1109872306868653,-0.005346550091479863,0.07298030422920943,-0.0021349747609361565,0.006551094017579801,0.09236777674397247,0.15394951830459105,0.0426129321556721,0.09887657019540345,0.143206321226958,0.023352226365367483,-0.0636752735166017,-0.01637394727196039,-0.06258819952536436,-0.049512000485811766,0.01434858696832575,-0.03614351199545818,-0.0053379840457174095,-0.00544670106056226,-0.004677715215164444,-0.04864707696657217,-0.0018826398637476788,-0.02910255272174923,-0.02793243135153779,0.015855531198899587,0.00894332893500343,-0.011599579271539257,-0.018337660442926538,0.003578228374693328,0.009527889307157542,0.004785585111105712,-0.009890984732186848,-0.016942514620014025,-0.00497637038854769,-0.00760759450253461,-0.0068793873474173855,-0.0038485350420797673,-0.0017086044856680148,0.015500006334730084,-0.0007636916725394917
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.2028736036970014,0.36412112742286035,-0.1613263056784776,-0.42867425673633863,-0.14138348025243985,-0.05080501178130227,0.1587595349973295,0.09990672153277652,0.1584927212548878,-0.026695108709452613,-0.008576145762926039,-0.16436661381519407,0.013996549630213713,0.03044373351478228,-0.08585911773434825,-0.033280672226850286,0.11557314893171844,-0.11733088313526886,0.13378058639558288,0.08749277956107047,0.00177320214364907,0.016514805361242002,0.11770525047836218,-0.07986043417267927,-0.03846380815980067,0.05001750371079858,0.08660145184226134,-0.0048770038950447766,-0.018516589045336578,0.02557233231495857,-0.07507822567225682,-0.06394251316035655,-0.10772529161487089,-0.018650192948357312,0.01913642502025327,0.06600703546404095,0.06176914243453934,0.01620706805636682,-0.027665849129593297,-0.09308274812027519,-0.02351275334673043,0.03457919447978605,0.060755518387503774,0.011494383399185758,0.029312666399193568,0.021341916718165842,0.008616610444685048,0.003995627481637977,0.0030735226108547444,-0.04449704236426525,0.018694061233427022,0.07530453540800648,0.02142363852012448,0.0058018268637006565,0.038196956758252916,0.0029537530739980693,0.01409696708605295,0.011551491152372745,-0.0112650141848773,0.010355458767803912,0.027299705907830193,0.008630614064097767,0.02728308238239849,0.03699963406871961
Be,0.1280135424674822,0.036986618949645986,-0.2375492871381383,-0.322004609736505,-0.14800535872883078,-0.4887890813895026,-0.03328355910978798,-0.012178041916293379,-0.14842605521916735,-0.006411387214594281,-0.1320995413726649,0.04017946777785411,-0.05897781798139531,0.0730859838997504,0.07016820091621881,-0.13402861278594577,-0.06635783771367604,-0.038826168228467,-0.07362086168120613,-0.19423818154489922,0.21780317779324498,-0.025387245450814753,-0.006036383566177189,0.02177764747962104,-0.011930103454384434,-0.04527396015187098,-0.007379917864817744,-0.02683138866498245,-0.043704754513566896,0.04965712775220916,0.06649550992142389,-0.0036320898797714777,-0.014751337782996135,-0.034738302920608574,0.062142042920327566,0.04633105537920447,0.08961120610225935,0.07912783993136832,0.023229728840990477,-0.0808441281515422,-0.017029764183681576,-0.044072218208357196,-0.03654132717789317,0.03399059722149523,-0.005356499130509786,0.01767394145242359,-0.018257117611379943,-0.009161143481943456,-0.022323967391742822,0.005212744604174719,0.012360026058879002,-0.017632944566114785,0.015918530200999304,-0.012125685386882128,-0.03418214826699279,-0.019231372866296816,0.005332985958323717,-0.009264464491631982,-0.005363690137974858,-0.007225499622215621,0.003966163644857695,-0.01596881606877869,-0.0244306024856743,-0.019525945173134673
B,0.30704761893943733,-0.15440820352269563,-0.3849538834572824,-0.050337613486496756,-0.1203501907250785,-0.2709892866334541,0.03685067805085355,0.3060269517165494,0.019878086691695274,0.02344498228505458,-0.02132775284813014,0.08244908971627138,-0.056113932027229314,0.17439513579719548,0.16362384915835526,0.16420325211952816,0.08565656176338914,0.020627494033098995,-0.047613730526795246,0.012656567688522281,0.16441555134465935,-0.10100412342572629,-0.07737661133871102,0.08091086288253274,-0.02349422279909264,-0.006853417337204613,-0.012427299614065813,0.020659749543635964,-0.04022762871658904,-0.028745371247526193,-0.10856497015488192,-0.03681912823390668,0.07544552248868436,0.0004646455584763467,-0.01896308397507745,-0.0024396945580042067,-0.07331666286598192,0.0003650354216472664,-0.00701701775468829,0.08718529546231815,0.03563914260796892,0.013820304911246167,-0.006471894932536912,-0.04485795920211013,0.00604028425621624,0.04435443061967719,0.027478599859394128,-0.003787870342763326,0.001571144815840343,-0.052515400141429726,0.0025865019851789165,0.0354542082816105,-0.00660169440064366,0.04616464519539967,-0.003917207905934691,0.0369226825651601,0.006721156847869736,-0.01338039886701774,0.006672303684164437,-0.0046061953917382195,-0.025286319130075553,-0.008644460504208086,-0.009611511823207243,0.022330242584276086
C,0.35917139511730944,-0.09107921763671509,-0.38507685323124363,0.1437850659039838,-0.004015559828917251,-0.33737395257099706,0.0495769276326867,0.1046916666486534,0.106309667895535,0.046153785363800236,-0.03155921804802986,0.17821617772719708,0.07209152623069098,0.031709452545505605,0.018247282474228098,-0.024371142499739495,0.19130665501301722,0.07217828429811671,0.0015338641451692109,-0.011396984194111564,-0.01804869692749109,-0.15108092198683887,-0.054456747525804323,0.00393494326393594,0.14121892762480953,0.1453528611290812,-0.09777318628924399,-0.02211670378711627,-0.10031471740943146,-0.03713759194891112,-0.0029561934035088086,0.0776308766547226,-0.07451210580752834,0.01651611414201131,0.055821605701143,0.031300621728701336,-0.005088364130401973,-0.0503946797780501,0.03418876243023317,0.01953175317685808,-0.06080703267890499,0.06419340182321126,0.02423761402335912,0.02665636786884666,0.003501863544392595,-0.055834160630869184,-0.00011651220483588014,0.011239940149148888,-0.0212471781203067,0.04914661221925349,-0.010398561819638536,-0.03644549597438943,0.01661133115785909,-0.02348109386952067,0.009488929371722535,-0.014426855873253298,-0.01116794770105512,0.006729273904026075,0.0013062584576937,-0.0023774933903359225,0.005869478555433576,0.02025706858432746,0.01919046705583641,-0.0049979976847487366
N,0.4335333546225212,0.03340361122586949,-0.3353047675807646,0.18756693790942197,0.17082702198381694,-0.3127402096679884,0.049534231653450674,0.05279177253616762,-0.019450845382320385,-0.027888300059266312,-0.008388326558457702,0.08268292664287603,-0.14316761776136677,0.018178851587965426,0.1711392366666165,-0.08883516219334643,0.062115046447479096,-0.027832470419177337,-0.006439181976102684,0.11586191617123126,-0.19938499743185048,0.07767124206064303,-0.12156158737568856,-0.13932298549638808,0.07561350384357886,0.11300688463723296,0.048604013481487164,0.11463891993473266,0.10202030476325015,-0.008223435950290894,0.01909605463064626,-0.15091039313305402,0.011123260457381217,0.08295103479063431,-0.07087709456668204,-0.05038833350366759,0.039153772796760064,0.019125918904804962,-0.04220514539902819,-0.039118619897585104,0.031122637468035744,-0.02162999915612655,0.003904648070241311,-0.054231260858200535,0.011203200121908105,0.01066391006598553,0.003373119772783958,-0.01170025717199755,0.015507402786560034,0.017037253645034115,-0.0008995007968911015,-0.0133254289674657,0.0019645788573359278,-0.021682651014726016,0.009630513846726344,-0.0023600440961739793,-0.01134547667524443,0.011869511946118396,-0.0017372825979820458,0.002063960638361438,0.008284533051447971,-0.01243383553518547,-0.009470916693051116,-0.015574546354737963
O,0.47987185511932323,0.09616665585323958,-0.4480944392876261,0.15757344054632932,0.27467501265777505,-0.06536699560647287,0.020376998251776097,0.052993750512658803,-0.09049405698008467,-0.04010955857090834,0.06261196221534414,0.07413341114505147,-0.10263965385605696,-0.2958536122372478,-0.0012290965734856212,0.06157910951552524,0.14500852848968884,-0.019936974944019508,0.03096094429376396,0.012942987852429168,0.017568816334622785,0.14742408355976577,0.10239394472679608,-0.04791065220481669,0.08173140812535241,-0.0811951215363179,0.00866240038831122,-0.0016948605870465842,0.16720860003069393,0.12073028600016907,-0.10127666944280907,0.0972526174179353,-0.032418743546879555,-0.0897096027552258,0.0890845881308421,0.008520753247343624,-0.030371377537982913,0.014412304701217708,0.017268203889401736,0.013821448646697331,0.02899682436907351,-0.015506004003439098,-0.04557006107682763,0.04520125483908349,-0.03019993184842569,-0.03108458555884092,-0.014892008687873253,0.03492741066675237,0.004471366214357147,-0.021783357593614636,0.00591398880069369,-0.0009675689777078599,-0.02791179102901955,0.019170772686248373,-0.018810847020589876,-0.0063846725768028295,0.02573009120449446,-0.006131105217593497,0.008401235916349581,0.011579247359390234,-0.014673589760074303,0.0013169751907571722,0.00937673341987309,0.004566207862520698
F,0.5662531116140552,0.254753358649565,-0.40148273957415226,0.10983930915134489,0.23378187054352523,0.1718527834606978,-0.0784346667321435,-0.035691364241930736,-0.1282965642586272,-0.16967066239034898,0.00011475979926952252,0.0597319785685824,-0.0025925942935146563,-0.09793447542398756,0.049157072010355934,0.018309490232586895,0.0845262285389603,-0.16596010433235026,-0.03314966977381142,0.0014430402849793264,0.054152029086748085,0.13854785018507193,0.1311619941540497,0.10993839796282306,-0.019188030555436164,-0.004860013925127026,-0.07869389053745895,-0.1380599897223493,-0.15814991884418686,-0.1516691213487239,0.06224158448367321,0.04426509702193839,-0.023926456914252534,-0.02308502247240723,-0.12997091684246778,-0.018069514400297373,-0.01548283653529618,0.04474575720285484,0.00916928011461637,-0.023882195330157133,0.036876753326679335,-0.019665731094019163,0.013601619392161115,-0.039694106131206636,0.03891105881125469,0.031149505397710987,0.022093695995156794,0.0036358366870652093,0.023771749840451804,0.010292753842502594,-0.012238813476624248,0.015057482278390153,-0.0007085457711663536,-0.025165907028409817,0.0075277522675418354,0.0032525142555550643,-0.003178175030002726,-1.118669820622238e-05,-0.0040763838558280285,0.0030484757325505516,0.012634536297247447,0.003036227591188137,-0.009331019472136992,-1.3616487451746071e-05
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
