element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.0020354791528153443,-0.10199460415765307,0.03398492098493988,0.15120520431655368,-0.16009569752059846,-0.12286290425186829,0.2230275663470697,-0.06795826992796511,0.04954305253991631,0.38323472009404785,0.1508472054574943,-0.00772949342789965,-0.07031176559659869,-0.04186802067682332,-0.054908567972313645,0.24848941661474266,-0.26041115926906816,0.0698019992024552,-0.10871028400948719,0.026716466850533416,0.0018929963708398958,-0.34143147663828394,0.08157771036316232,-0.019707977957462593,0.41470902058184167,0.005752374688132563,0.13546576649265624,-0.23184625713931825,0.022486698280945048,0.024183554019232667,-0.11996137462155083,-0.2142569763340787
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.05360583754493576,-0.12572301622679377,0.06527564041399614,-0.04448401633463412,-0.04072502776562266,-0.04424460801897863,-0.026637555809936878,-0.10568350577075818,-0.14566597487687344,0.3495590167371129,0.30690892789542046,-0.026146185962784736,0.2031206736656308,0.03320664776181073,0.026323702141879447,0.13269623112260745,0.08343535328781791,-0.06610689696916552,0.11867359592950043,0.004183175936064866,0.23688847512375466,-0.19155160217541511,-0.0008897776942720464,0.005619513322927097,0.2030753881541751,-0.1449852935750236,0.23291331400209675,-0.14959059052279874,0.11507092979833149,-0.14974615275689918,-0.10875799768907592,0.06720992108100761
Be,0.05094743022913471,-0.10264654565182472,-0.12551721926181222,0.003521304206222902,-0.14498120662230962,0.29728944317062506,0.23625742666594796,0.1091166606481665,0.11414456494929148,0.062471334936181046,0.11473818360745544,0.12074548731138313,0.1398362589431043,0.19441903782801095,-0.11001625346534985,0.09903369065371262,-0.01264857545594638,-0.08114229240467226,0.0190041403779052,0.2181681916077293,0.12985298923297744,0.05544886091344312,0.05757880023042021,-0.020031078640712033,0.1420889677595909,0.01974954644753446,0.011028579231054166,-0.06524529996248035,0.15099347364205187,-0.1508329184540745,-0.1809406619459956,-0.24502300933792812
B,-0.02166472728475897,0.0863550920558141,-0.1983500607299635,-0.15124595071562968,-0.1387251400098101,0.2773113913192813,0.04027872682346437,0.1278465308806193,0.23333592353533644,0.21992049356840424,-0.10932378570498068,-0.005247452881022484,0.007011512322232403,0.007396095831487316,-0.19842182029126437,0.242160343304742,0.009416411214298011,-0.04489550385784637,-0.12272286587182592,0.04231635829723626,-0.11208674370672778,-0.11306035122548974,-0.11817109344316618,0.048847647513140816,0.08291958851353323,-0.1650384163752629,0.26589529914358134,0.054156216427692895,-0.0174536527960981,-0.11608546709319185,-0.1947978406674802,-0.17962585973570763
C,-0.07109190226765537,0.1688791371623615,-0.22583630099544738,-0.050580449956466864,-0.011731325699618631,0.1653399539486264,-0.08408258183900987,0.041674564773172065,0.13766888486073267,0.16365443963654264,-0.11587142610844321,-0.12252691309304382,-0.07087294459947589,-0.06848692481722106,0.025628159162669445,0.3029739086058536,0.006776516176701749,-0.1369431887759788,-0.17356060449293953,0.33245276246885475,-0.12500342051578095,-0.26077356533282553,0.007954384974159588,0.07773868345967436,0.1770495926594192,-0.13875928848246408,-0.09218567171784776,0.18282777907776585,0.0655621924573371,0.07930122650058719,-0.040212856693243204,-0.06549739755221579
N,0.24189970631954416,-0.1598006387179392,-0.24859385743923884,0.18269820143363916,0.04228827885669784,0.1812943317319448,-0.12886602458483837,0.15502836109960932,0.19497410115793,0.09953710340834833,0.024599926601074535,-0.09385813892053481,-0.0678596370856131,-0.1258780292600642,0.06868191167197585,0.06860581314787732,0.008639994149279398,-0.03896018967506364,-0.09154237118734491,0.17037494097169356,-0.2094939090979154,-0.31872440786174705,-0.18602961365610565,0.19959528310146632,0.17875591627535742,-0.18039317060316964,0.09997164006283135,-0.05814469818077675,0.08548992479611188,0.11580935311376012,-0.10176728593805892,-0.09721254610812367
O,0.3302601712735247,0.01638348469546447,-0.07566008720303234,-0.007278829958282076,-0.14435391264495334,0.1658968554566212,-0.10405104530090176,0.09558362599045156,0.21116407816819055,0.16758203705052097,-0.059924121024728286,-0.2889064593853319,-0.049147755776136996,-0.022329540121589893,-0.012460869654623338,0.3741633361144989,-0.2668017595858244,0.11313140535886018,-0.004203090794699476,0.1579223827141635,0.012388678307414384,-0.3519135792212129,-0.19945438413025882,0.06999030275888227,0.02795939709705996,-0.06215475657013696,-0.07747279884262308,-0.19112244120568014,0.07860856001012519,0.06331991531849801,0.08941899862566945,-0.05533480570219159
F,0.25317892115101165,0.020032885218236967,0.16211114523815867,0.024329731257600105,0.03640250900134516,-0.043931696371004594,0.01517157477312811,0.18623361285314066,0.2047735440491633,0.17812626035664278,0.045394658430564616,-0.0711569188339662,-0.2669627091967356,-0.09779160316167634,0.11174111924030075,0.3151003453515923,-0.26296253548236603,0.12160518123096636,-0.096980108375127,0.25055739821922207,0.20050671643577486,-0.12255680297041435,0.01710643987753875,0.21167224859013345,0.20243650343789044,-0.316556585129516,0.0238446373226994,-0.010096603502214741,0.1562233699437894,0.022066489221187282,0.1446198011906399,-0.2436017108266143
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
