element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.045248627724117696,0.10030633731615743,0.05902957697904521,-0.14024519455145626,-0.07433939483273123,-0.003256650752301399,0.09181600908535836,0.1161616693085144,-0.2435611359912558,-0.12357068048916235,-0.15912013744471762,0.035752916966360064,0.11203060767032151,0.15323548287003788,0.21031543277378653,-0.023342032551415023,0.044988407518766746,-0.01146973737415982,-0.06711882858771016,0.22517306142907292,-0.011224677492718148,0.1892398370316284,-0.026592448408044343,-0.15730973740126702,-0.15875038293405833,-0.11097463384918514,-0.009345889396714404,-0.05242480552263321,0.003795091423228233,0.03721322620601874,-0.09146062411239013,0.11844886253585726,0.007439931835415692,0.0633672558554623,0.05423815438302221,0.2118813805436309,-0.1157152817169325,2.914658351564511e-05,-0.15085188926663154,-0.10499314911857058,-0.05328113293292105,0.12492518514935247,0.1107593286471443,-0.14417381941290086,-0.0190373062687721,-0.005953277608767159,-0.2116339282856892,-0.05011073402107327,0.044503449980726036,-0.15660199239128103,0.01079518961931398,0.15377335814326765,-0.03084921654135283,-0.14523549786543008,0.06556322084288108,0.14066245346134898,0.05519693860896382,-0.015258964082761726,0.2138777492480852,0.2016231094068113,-0.09318454570472406,-0.13484142274728914,-0.2121023730702856,-0.0643947572953684
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.06275321867808711,0.03525157432657115,0.13276930241450266,-0.013898090496840938,-0.009913050742250946,-0.05908271429054522,-0.12155494429013483,0.013020484029181744,-0.1574255119018996,-0.07679781222062176,-0.1625821569008766,-0.06212987926645575,0.11711239275039818,0.00827371848750164,0.11551961430223759,0.0987904343084586,0.055939051739480314,0.1571062620711005,-0.14534435444643543,0.12974951911739527,0.09761132573989328,0.1335170185453343,-0.126749992669754,-0.04957442602482475,-0.12928721400012597,-0.03541840906828875,0.014928339187239346,0.00037282603805532943,0.04586231259348043,0.007692862118151819,-0.04763829685682996,0.10856172088257268,0.09870292162560595,-0.09394362235085826,0.01798850367454235,-0.02009442779505767,-0.0038510605786841426,0.1862517432425883,0.04305828265148922,-0.10205703638015469,-0.17099618556137056,-0.10388745263531671,0.13216789485468322,-0.19472488066502122,-0.01057439018094874,-0.12661977360129537,-0.11972541201184125,-0.025944295495678355,0.15315962267592215,0.08566402054544038,-0.031927164120275145,-0.04311743372455903,0.04778835543301644,-0.16704680118781987,0.025302447574798537,0.1912310403622595,0.06628743620838644,0.009613541173487547,0.07455335460435131,0.17635669437739576,0.11295306172027046,-0.07120919786726791,-0.09948148638489072,-0.006891622651226164
Be,0.06911483060816362,-0.1761932376320749,0.17124592893394847,-0.11910038859688526,0.06810333484156407,0.04040857328911996,-0.08350880385269982,0.006567824657394312,-0.03167126844979611,-0.06693059098338756,0.04837653695709893,-0.012280622390986849,0.0635438624907909,-0.16220732672414462,0.05305917273678589,0.1669560845053484,0.03117671416184506,0.110708589687233,0.126505634659695,-0.09519878328404138,-0.02063761726616487,0.07179514983350363,-0.01344212581767321,-0.19489748905302165,-0.09759218257722523,0.004050535062260497,0.046097204233046606,-0.02734312472523607,-0.10103222156694107,0.09623174561612087,0.07782652862908578,0.06292100453657516,-0.022813048738650445,0.04030139737308662,0.04066839367759924,0.02438245283766023,-0.10598067608202466,0.14565676808889566,0.005150006253561655,0.11084113773795733,-0.09221914256194616,0.17776164558082222,0.17582253513782126,-0.18733456347137395,0.11157750673132645,-0.10599072393512783,0.033768690210204885,-0.01650100710758584,-0.002977360431579518,0.010152502586720423,-0.09682898211296348,-0.07067579440904445,-0.04478717491090612,0.04481170727481367,0.007868284573838525,0.11224142056217921,0.004007411432800342,-0.016605513553604085,-0.054180411273815086,0.09352137112973924,0.07081516830550767,-0.025112469202647734,-0.22943367839276693,-0.07654188874059227
B,-0.0393894868676493,-0.069653765147976,0.12940058794290718,-0.015213536228081723,0.139514773502428,0.163568814420549,0.0920649498599984,-0.07092652263605466,-0.2368561992060106,-0.00433399395908316,-0.09795933184273306,0.019750840932806057,0.04720196825472823,-0.2135542405597313,0.1429835121028016,0.019051447859207645,0.09068859599841102,0.10866781049205303,-0.021864192864544118,0.05035512282646621,-0.17300826438751052,-0.02170303387656167,0.1275046179935733,0.029357068881315118,-0.0034496336689031127,-0.0701166712921787,-0.03734827443072371,0.19392920642947215,-0.1682046152136792,-0.0008257032827937307,0.042810905932339445,0.07169564649261598,-0.11630896629202851,0.037940130225708836,-0.06105254733581521,0.0679210977997288,-0.07797970354451732,0.19497506702977443,-0.10436799620758419,-0.0553379034979443,-0.09748763979994372,0.12630832513211948,0.0029971145634734657,-0.024052826734522668,0.0015920884377658199,-0.006467419207083256,-0.09203808018990481,-0.03175126364983679,-0.17105909897144977,0.004892607245100077,-0.05995861707486359,0.08754969888539649,0.09302417256358292,0.058047269640779414,0.0021542575322643703,0.1059795717220311,-0.12569345821696426,-0.007006965176693376,0.2581577722156234,-0.01103690582276533,-0.07764924263479356,-0.06298662590243637,-0.09875938142753869,0.008069097956053735
C,0.10364636763544374,-0.1564024569196433,-0.03374058424406802,-0.14970547138468035,0.03181278792915957,0.1262039182808688,-0.032511455413490764,0.02390205957614847,-0.09710420136316669,0.0599698369665276,0.11447419648505507,-0.09346088001863771,0.06793988268295881,-0.1132525223935396,0.012680755005806009,0.0974970494299449,0.2562161628769922,0.04996563495067303,-0.005179408216657769,0.12308103291520475,-0.029933814540412263,-0.04502553327057644,0.11888271657566295,-0.06327620441297256,0.06447768354647836,-0.035024833737467335,-0.04205181870026646,0.18511966441233293,-0.06076574271301391,0.061580679637935606,-0.04283030623908778,0.09368956640253341,0.018859320032559378,0.0875673855895981,0.002211572180363636,0.050207672160577865,0.0023081209886835663,0.1657483446473873,-0.18102857293392666,0.05045509445699629,-0.025477562497969966,-0.01949724662248927,0.10386850051274385,0.0352191135746568,0.12374338704640876,-0.11513250549373095,-0.17495590936274374,0.02388534667221304,-0.21507698313652418,-0.04051236591731916,-0.139261846436786,0.03881416127221814,-0.13134099407041772,-0.07221633024244854,0.12912753547338318,-0.07883238897369084,0.004216149754829488,0.1271842856260549,0.19517860337301726,0.10813137534202688,-0.06632207850651343,-0.10123621181620161,-0.030366887657710454,0.11934723234668738
N,0.0904154290754763,0.012992264086213644,0.010829972442230435,-0.1269652772139238,0.12448471010426554,0.07293772815847546,0.017416913712357783,0.12780306257194887,-0.17635667487119883,0.004793874900887251,0.14942965024134353,0.0008119722858699042,-0.0979977846044019,-0.004349043126981246,-0.017719606549672046,0.09499909708118574,0.15497656459869052,-0.11109116066190604,0.09302568923320348,0.024759287428703092,-0.20121164678828737,-0.010754421084359119,-0.09366039485166404,-0.06322258077143338,0.12425823705133147,0.03946147786939495,-0.08568487350207792,0.07432357503111107,-0.07573803804365761,-0.07384819568299927,-0.15165075211500462,0.07675452491694389,-0.07772528480852833,-0.06276759039393769,-0.02550088991571918,0.058320943017120895,-0.24885071859837612,-0.046377191382867715,-0.11296302416249919,-0.010428777174101683,-0.11626446019974175,0.007559036150249575,0.13861726910685446,0.11060609304088823,0.026511956354865994,-0.07622153836316149,-0.15318412016882846,0.062309380945584726,-0.2256219487788848,-0.11233415835351543,-0.1506267177286791,-0.07018134879825742,-0.02916219868911095,-0.1648891122738598,0.14060426556061717,0.046227158316593506,0.04734641696536874,0.05281739760420826,0.19166878742351814,-0.016312717081734544,0.05501561790057864,0.08925980449816093,-0.22949668376988433,0.026585542371477686
O,0.11422173602305051,0.018169457252644232,0.14440794133629112,0.06899862160190567,-0.08310949435016794,0.0094336958739361,0.045406242287519126,0.05879767232671235,-0.16633181981918907,0.017423988082543772,0.14222267937202543,-0.15709388051398288,0.004236367875419926,0.11375739244875063,0.13905346479619143,0.08574012548575612,0.222923615383367,-0.027850106702886863,-0.08937267144423146,0.0847258077386229,-0.027099092444578404,0.17406241719083373,0.04458817688714854,-0.11348092392422851,0.01594252566227973,-0.06517385081687589,-0.17299372054263126,-0.03417807989500534,-0.1438303696949564,0.08951489093747445,-0.1130100612445493,-0.06592758173893061,0.1325089914976045,-0.024748449885231723,-0.11529526514638215,-0.006013227515866715,-0.2626176143241152,-0.10115468726862614,-0.17081083682754888,-0.0499619088213617,-0.04130865713065059,-0.05420610925812081,0.1697063171153676,0.04488953819277063,0.09911151215152722,0.03663789785914217,-0.1555208615403072,0.029585013595736582,-0.2275463002565728,-0.21208475252004957,-0.05258107091799758,0.041703224036153896,0.04791235195779952,0.006639700730650805,-0.001431592372015959,0.06301177510379277,0.04670639550524558,0.19844009011752373,0.19759993919181137,0.18276661698865604,-0.11914980821623845,-0.0220158665964407,-0.15649593582341273,-0.007796514511902276
F,-0.13491743280967036,-0.12888658200109432,0.08556582942681414,0.004982791440953908,0.10043241443356142,0.016392052663025663,-0.06266038306724424,0.21265881374922282,-0.1159405700254538,-0.010964889956294074,-0.06747638196663414,-0.05532515428711771,0.0754684620495969,0.1263715566987129,0.0002586844313022722,-0.011262713221277103,0.26454058273037867,-0.08272249678495713,-0.05107153055679567,0.20349365078731116,-0.1828597140910522,0.1511144494125928,-0.020132391220049808,-0.017196239517579308,-0.06364376668672521,-0.09802418489936483,-0.042943282443341196,-0.03955303391459299,-0.07034304611133564,-0.061993853299357415,-0.18135884223392384,0.08784886821921849,0.02232356379190923,0.11182387470005638,-0.03493916563673462,0.0870598795707447,-0.24428726939933065,0.030138046106283026,-0.013222366396805733,-0.14217671501476434,0.10759456525887419,-0.10637119345310304,0.1673857538885581,0.15647847203480583,0.13588689688066236,0.1823051614889018,-0.18906358248492075,-0.08961761491768605,-0.14149345698361274,-0.09818519174580996,0.016521621966858177,-0.04470890604976778,-0.011682844405741336,-0.18851910631468013,-0.06263964440219333,0.14779317061309932,0.11371415627475871,0.14811162068682593,0.014413641950911122,0.20649329898769503,-0.1757098717758852,-0.14846333536504822,-0.05752014439635455,0.1295340859130664
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
