element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.3701144896040678,0.34407035110047396,-0.3545904149680097,0.2613702068025788,0.013417830214943336,-0.23955653806242336,0.1597624628028026,-0.20704259715886508,-0.014543353572279257,0.1364253721490262,0.018405184572050932,-0.08339957982207942,-0.10525462742637787,0.08461739291838245,-0.044428177445068315,0.007181622551969032,-0.10848241875073007,-0.1196936662776297,-0.0022914451960016394,0.1796516960719589,0.07404154717599097,0.020679906006225157,0.004740088448217099,0.10903630950334557,-0.10696188638610273,0.12640894974451716,0.059265590072162776,-0.19152157028819525,-0.0849298901409914,-0.0768731860671082,0.03207699915302757,-0.003174517844770202
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.20300975154985976,-0.01704388108990027,-0.016414844487365455,0.2698286439608789,-0.07323388873888587,-0.13232002901360737,0.27205418810359416,-0.22117625946314154,-0.12136142864969793,-0.025845215881180397,0.013415934964084088,-0.18565730107972123,-0.14877579445458067,0.038390553568564835,0.07411290215342901,-0.01912948649637121,-0.010994884599369911,0.0473310076695948,-0.09836681340815628,-0.07366475285882215,0.03180500185217771,0.0953922439512301,0.025956732448470455,0.025111286213508936,0.008190589207981826,-0.07123595305170155,0.037499761513936615,0.18043460838961398,-0.11519071512597907,0.023357216899090465,0.026822111964100337,-0.08952720687318662
Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.16915520465465525,0.24817383643337923,-0.3322703363525924,0.18799573186281798,-0.042401094851731186,-0.25889618513414087,-0.10076168839902216,-0.06567993396892666,-0.23109018197318146,-0.2215639253575156,-0.3112057688623428,0.15747092293054307,0.014187843422782493,-0.28651271282987983,-0.11256177705351927,0.04640315404152965,-0.016138272411293595,-0.01319513491186175,0.005705289103049239,0.07250683786094099,-0.17154245796869827,0.019834028649923875,0.0099394807193716,-0.011486510314822661,0.03492439924841865,0.01340357849450244,-0.009470722953824506,-0.020073268194647793,-0.02755605120657837,-0.06368354230567258,-0.061679789289327575,0.11072954418470196
C,-0.033844218498855,0.1399621539730416,-0.3965531961495308,0.007706512428431934,0.12027650377625053,0.05463488543675375,-0.07161741740231953,-0.11635986124558438,-0.2789430711267228,-0.2224686075247681,-0.030371748998234326,0.04708953598568079,0.008834097112106904,-0.17036612094172143,0.23366776553378865,0.18508684630290198,-0.04269808271250372,0.10833806003754959,-0.05581978113312647,0.03038643481953133,0.07965309747624079,-0.1471890720819118,-0.10645864402226024,-0.19519252947886992,0.005363918843157164,0.07313543104147617,-0.03215589889368459,0.01898095803619829,0.0488473839818218,0.030879835897691835,-0.023774885879877132,-0.08586473722895259
N,-0.17204452042368115,0.03329953235140638,-0.4578428852073175,0.07715991132904577,0.029752018457308255,0.004563563425523231,-0.019567388782338793,-0.046728265670537436,-0.01911285810442776,-0.13651962909669343,-0.19238987014411943,0.033537968096297964,0.14686128998050654,0.14391440510652356,0.09957272258784049,-0.19676648139733469,0.061666733473221776,0.11034938428646882,-0.001894874713897039,0.07663299128680537,0.01976814932871007,-0.16752550269407,0.12181535522519216,0.015535979013484354,-0.04490785048219214,-0.24506117461057358,-0.0802148347308592,-0.11680315709816588,-0.08771089939833042,0.1061442856717888,-0.02137077914387513,-0.06704758815916995
O,0.15636631533206508,0.3198752998369488,-0.5282782097069716,0.017743122550960957,0.15465204775990649,-0.16820921227207847,-0.024564030795570298,-0.04680985003382513,-0.02431351354055095,0.12769260303542299,0.25496410163258043,0.0971033435720399,0.02650567414630126,0.04710652089703072,0.12892168594033485,-0.0003226772109578615,0.18788651243028462,-0.02355568366432472,0.08326915746283085,-0.02685967962646467,-0.09490315974820573,0.1651024392240099,0.19330292221871512,0.07959902233742112,-0.012960208205513801,-0.10027750207949473,0.022972713706162315,0.06713348272250444,0.14126916365236755,0.09268225653418445,-0.06482492373267582,0.06310234849257756
F,0.19033341610155743,0.30119296062866796,-0.5629876681092914,-0.10610759977521594,0.004255747810898596,-0.035624653963624915,0.020044721285760736,-0.0774642732469425,0.2243540907058945,-0.12525212132119964,-0.01738515549262283,0.017145122711451122,-0.061692199310953766,0.009000340754721049,0.08427773366624976,-0.12540361936490294,0.008216755581696164,-0.2886957733752487,-0.008663204668747666,-0.12814217885662335,-0.04293227926432229,-0.0442996984582649,-0.09113602009108361,-0.12343241943401241,-0.01070319193113783,0.010819622572189425,0.0574482303868124,0.1304865023395518,0.04685098518880151,-0.042637608599549716,0.13935595652386465,0.016840245838729444
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,-0.28944709799477314,-0.2073652521830963,0.04305128223181959,0.2700167263365327,-0.05319918251085839,0.009494471546836594,0.18280766430411416,-0.138180625698142,0.018445081019671683,0.10580349270296203,0.009035606402416524,-0.06475529794597666,-0.0720248878003029,-0.005601785228841774,0.06939136246813901,0.014372460342173517,-0.0925011343562903,0.03608319387984712,0.007013350956631185,0.02747855099935798,-0.07359770280288341,0.09152968587642149,-0.073113675180331,-0.04341955951241755,0.03344718146544664,0.02274173508861797,0.09039815404261825,0.04288603615454291,-0.06005236879200751,0.14974015428696108,0.034093560233249796,-0.12375577042254063
