element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.3701144896040678,0.34407035110047396,-0.3545904149680097,0.2613702068025788,0.013417830214943336,-0.23955653806242336,0.1597624628028026,-0.20704259715886508,-0.014543353572279257,0.1364253721490262,0.018405184572050932,-0.08339957982207942,-0.10525462742637787,0.08461739291838245,-0.044428177445068315,0.007181622551969032,-0.10848241875073007,-0.1196936662776297,-0.0022914451960016394,0.1796516960719589,0.07404154717599097,0.020679906006225157,0.004740088448217099,0.10903630950334557,-0.10696188638610273,0.12640894974451716,0.059265590072162776,-0.19152157028819525,-0.0849298901409914,-0.0768731860671082,0.03207699915302757,-0.003174517844770202,0.011416541427527653,0.15576924438767834,-0.021453968839477772,0.06623287690137737,0.005753448727088242,-0.007877822445091102,0.023603459316602973,0.030542728382520423,0.0013224347681775465,-0.042525070172795575,-0.004251725656660197,-0.005528289686321322,-0.051704207690105475,-0.01625386158165792,0.01605705827047886,0.003118982748392159,-0.02172288937316123,-0.06342385064800107,0.010342488821135632,0.002075852780288026,-0.0049043811895358655,0.003938324438864932,-0.020543609785939554,-0.015517242777034902,0.005305107463888983,-0.008572086400033709,-0.004836649033597244,0.006248674617888812,-0.0013594777082506448,0.0008687611048834955,-0.005708547838343338,0.018383136141664425
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.20300975154985976,-0.01704388108990027,-0.016414844487365455,0.2698286439608789,-0.07323388873888587,-0.13232002901360737,0.27205418810359416,-0.22117625946314154,-0.12136142864969793,-0.025845215881180397,0.013415934964084088,-0.18565730107972123,-0.14877579445458067,0.038390553568564835,0.07411290215342901,-0.01912948649637121,-0.010994884599369911,0.0473310076695948,-0.09836681340815628,-0.07366475285882215,0.03180500185217771,0.0953922439512301,0.025956732448470455,0.025111286213508936,0.008190589207981826,-0.07123595305170155,0.037499761513936615,0.18043460838961398,-0.11519071512597907,0.023357216899090465,0.026822111964100337,-0.08952720687318662,0.05063112541165662,0.021815992679061917,-0.009631766640331387,-0.014026001094990238,0.08030623887917593,0.03306134860123601,0.04150891878300226,-0.08516634329656689,0.018604394608396926,0.02659778641526267,0.030862859580638616,-0.1232544265816414,0.009365034715133945,-0.04174602033283637,-0.005945016745491506,-0.04143495700074206,0.011564716047978938,0.04422108060814992,-0.004321706478270286,0.02200561621715737,-0.003687878007349147,0.04039323863887494,0.008179663020735662,-0.012352415364460766,0.02532606678717904,0.00023382668483842568,-0.04174815100102692,-0.006586918464304046,0.02087579393790557,0.030156780596409232,0.03561149111913908,-0.027561119500817924
Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.16915520465465525,0.24817383643337923,-0.3322703363525924,0.18799573186281798,-0.042401094851731186,-0.25889618513414087,-0.10076168839902216,-0.06567993396892666,-0.23109018197318146,-0.2215639253575156,-0.3112057688623428,0.15747092293054307,0.014187843422782493,-0.28651271282987983,-0.11256177705351927,0.04640315404152965,-0.016138272411293595,-0.01319513491186175,0.005705289103049239,0.07250683786094099,-0.17154245796869827,0.019834028649923875,0.0099394807193716,-0.011486510314822661,0.03492439924841865,0.01340357849450244,-0.009470722953824506,-0.020073268194647793,-0.02755605120657837,-0.06368354230567258,-0.061679789289327575,0.11072954418470196,0.015015924228951266,-0.04217720336831549,0.017510116011950475,-0.0422451660772751,-0.0006290987512343046,-0.013112385418963582,0.0021554043458683844,0.027515529071679982,-0.049502692337512935,0.02165207337697405,-0.016237164507537045,-0.05622906359986829,0.008541331315445357,0.03861526614725667,-0.003268966700532151,0.037227755262388494,0.06437284372793702,0.024698927172394355,-0.022253489490081386,-0.038793388168595115,-0.010095718779595173,-0.006931018239945518,0.004836997289638626,-0.025102762109093832,0.009399068967587377,0.023883257152009587,-0.03707109643671692,-0.015410117375003437,0.019967017544822004,-0.016872600586222117,0.02354420784909474,0.015728604360351877
C,-0.033844218498855,0.1399621539730416,-0.3965531961495308,0.007706512428431934,0.12027650377625053,0.05463488543675375,-0.07161741740231953,-0.11635986124558438,-0.2789430711267228,-0.2224686075247681,-0.030371748998234326,0.04708953598568079,0.008834097112106904,-0.17036612094172143,0.23366776553378865,0.18508684630290198,-0.04269808271250372,0.10833806003754959,-0.05581978113312647,0.03038643481953133,0.07965309747624079,-0.1471890720819118,-0.10645864402226024,-0.19519252947886992,0.005363918843157164,0.07313543104147617,-0.03215589889368459,0.01898095803619829,0.0488473839818218,0.030879835897691835,-0.023774885879877132,-0.08586473722895259,0.07676277827451304,0.047043407206138595,0.10327791240784667,0.015975988666884617,0.02421011232142112,0.023340672314071016,-0.03896499951102376,-0.018426949880342092,0.05181343422413095,-0.06993419669085991,0.036186528672639766,0.031196414593892705,-0.009760270000681538,-0.02446241048007161,-0.01835600594343169,-0.029356971357039883,-0.03464921001574363,-0.002129855366920985,0.005343483770521199,0.005759877773987284,0.011863868759673907,-0.015553681303728846,-0.0038723804026990637,0.016888263416071254,0.010180456517768508,-0.0022678262396250777,0.024856721672290395,-0.0038770366553839493,-0.017770132536959426,0.008709320413577854,-0.031378731995751294,-0.00888243707930021
N,-0.17204452042368115,0.03329953235140638,-0.4578428852073175,0.07715991132904577,0.029752018457308255,0.004563563425523231,-0.019567388782338793,-0.046728265670537436,-0.01911285810442776,-0.13651962909669343,-0.19238987014411943,0.033537968096297964,0.14686128998050654,0.14391440510652356,0.09957272258784049,-0.19676648139733469,0.061666733473221776,0.11034938428646882,-0.001894874713897039,0.07663299128680537,0.01976814932871007,-0.16752550269407,0.12181535522519216,0.015535979013484354,-0.04490785048219214,-0.24506117461057358,-0.0802148347308592,-0.11680315709816588,-0.08771089939833042,0.1061442856717888,-0.02137077914387513,-0.06704758815916995,0.004716224761296824,-0.08492206970568368,-0.06410246579255927,0.013693315600149105,0.020390676836191574,-0.09038058797896859,0.025481084845395404,0.011562778890129338,0.008328972576037921,0.020459044353679522,-0.03161758903719115,-0.004354509509078067,-0.029973035630849566,0.010470254511850163,0.010841352945495038,-0.019488835071925645,0.007341132895591592,-0.023875321433486765,-0.013738352955952994,0.02915798869763933,-0.00836625221092362,-0.00677987790201555,0.008368039360074906,-0.0015648419611998306,-0.021803283235547064,0.005847611381703322,0.022278188327097038,0.017937645880800587,-0.021888025590845496,0.009204258172593521,0.008951704084260974,0.0025739231142381277
O,0.15636631533206508,0.3198752998369488,-0.5282782097069716,0.017743122550960957,0.15465204775990649,-0.16820921227207847,-0.024564030795570298,-0.04680985003382513,-0.02431351354055095,0.12769260303542299,0.25496410163258043,0.0971033435720399,0.02650567414630126,0.04710652089703072,0.12892168594033485,-0.0003226772109578615,0.18788651243028462,-0.02355568366432472,0.08326915746283085,-0.02685967962646467,-0.09490315974820573,0.1651024392240099,0.19330292221871512,0.07959902233742112,-0.012960208205513801,-0.10027750207949473,0.022972713706162315,0.06713348272250444,0.14126916365236755,0.09268225653418445,-0.06482492373267582,0.06310234849257756,0.07044121348676294,0.06273832921921604,0.015117401210862785,0.0073414314105965835,-0.048132010613426104,0.04368545889001323,-0.03521261248209224,-0.004426947880396134,-0.037802764289745945,-0.018900072725471725,0.015540830565154016,0.03543864530930938,0.04068609676412896,-0.03319272651508621,-0.03246969986980503,0.014106784014136689,0.00576113529791817,0.023773731906103344,0.05617808147794181,0.01321600177204117,-0.009716991431788344,-0.023839697293074166,0.004461949749558065,0.03533451305942716,0.003306950892563617,-0.007457789807511944,-0.014943106462946538,0.0006348544417225066,0.0072672841844518745,0.004461349580162124,-0.006966822680337718,-0.009146727890303812
F,0.19033341610155743,0.30119296062866796,-0.5629876681092914,-0.10610759977521594,0.004255747810898596,-0.035624653963624915,0.020044721285760736,-0.0774642732469425,0.2243540907058945,-0.12525212132119964,-0.01738515549262283,0.017145122711451122,-0.061692199310953766,0.009000340754721049,0.08427773366624976,-0.12540361936490294,0.008216755581696164,-0.2886957733752487,-0.008663204668747666,-0.12814217885662335,-0.04293227926432229,-0.0442996984582649,-0.09113602009108361,-0.12343241943401241,-0.01070319193113783,0.010819622572189425,0.0574482303868124,0.1304865023395518,0.04685098518880151,-0.042637608599549716,0.13935595652386465,0.016840245838729444,-0.07745601038304353,-0.03781338240761929,-0.05976299193461037,0.031984506399641364,-0.0046239369611932885,0.012358996675601749,0.024520216490421562,-0.022687934263387152,-0.0014451999771065058,0.012707877624508092,-0.07796982997738151,0.05129510736557881,0.04776732301205411,-0.02588239719796254,0.03494552888517683,0.003775272002308131,0.010179224996869086,-0.0016667046455994127,-0.03457839062112121,-0.011117942383855169,0.029584071421221374,0.06076217615853861,0.006312699840934334,-0.00912158257554929,-0.007490439672474175,0.0004707834133654992,0.033028018740822895,0.024350480431258897,0.02185946452320786,-0.007228878475633048,-0.005506918369985063,0.009756142755904307
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
