element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-0.1528472431359529,0.2934984644822182,-0.2968372822592343,-0.10876435724930783,-0.12085813247131832,0.19320058055134637,0.08623611993169343,-0.035244040605536944,0.21729455455767016,0.06709125053016937,-0.03303725215931302,0.23135851087941095,-0.06256466539922262,-0.04300883425133362,0.11746430520044673,0.23239198213133805,0.14810320995148407,0.17382171709630473,-0.18342376227303436,0.12099649442927891,-0.104700052301889,0.21483921014740934,-0.024436455835356183,0.1250244054449218,-0.0870752891511929,-0.15261468582086657,-0.1961654053239013,0.26590046903155573,0.09825818813980375,-0.16778414213231557,0.06510022309543324,0.12508913029754676
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.16353924125460703,-0.1489125885694335,-0.0008405996285232288,-0.08203183856916683,-0.10000299176054514,0.0064405143219848126,-0.006935205196252987,-0.03658328129539216,0.15325674274722895,-0.14250951895459013,0.0314211248699513,-0.009206359385999811,0.15511577512187094,-0.07558324902847274,-0.06972416943124884,0.025800661592867574,-0.16031512455007998,0.2339637461804697,-0.24929844001700854,0.13945539520262837,0.0361580915301483,-0.039941798518797596,-0.1926107312098805,0.09119507844159194,-0.12977477237396653,-0.15874958580599993,0.04815947055923877,-0.06332963858664416,0.0885154688896926,0.05810926326050364,-0.2057983092812182,0.1489288849181798
Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.16191153551647214,0.08840500839539567,-0.168949030165349,-0.0887243000054013,-0.19540112273199364,0.2749789095984037,-0.0797197853980059,-0.11909745462659202,0.019208943432974523,0.30336474217220194,-0.16750775299707168,0.23774872598656988,0.11871592116165197,0.13398726147466067,-0.06051823195535753,0.015062763146754067,-0.06078870655457529,-0.0477769954089454,-0.05190602694688463,0.0426072261442252,0.056173262897655715,0.2194378603760125,-0.27811243568247407,0.09105074702567047,0.0060979127980048875,0.09240369517225809,0.008691766506477397,0.22037357874008942,0.2184127463744387,-0.11694983587289978,0.04455538783763193,-0.2011406648760048
C,0.11983412637144022,-0.05241553550529292,-0.23710135130876953,-0.17647121288156106,-0.2939688916229877,0.034826739044380044,-0.21477583513172482,0.01286675381251452,-0.2009374810456219,0.030526646845973948,0.09487497850243022,0.18693838444105865,-0.21989491429440633,0.028709006575085787,0.013173290957208504,0.12308167738974028,0.095121918809357,0.12030451568465333,0.22181425157313978,-0.039107809435154614,0.1484539635971363,0.016631858786991326,-0.1336089673299571,-0.13011996081690363,-0.24465796239599258,0.03322622130569452,-0.028879299632572308,0.11551879094914941,-0.04401269736674648,-0.06867887093963673,0.10880539614440544,-0.028301783827525222
N,0.14788086915779414,-0.08176198275692123,-0.014757109350466908,-0.05066843688103301,0.03805232808213396,-0.08331110560379422,0.050559850383950576,0.05617570014673348,0.1343582676733402,0.2337973263997649,-0.11304658729442872,0.19713402560256787,-0.033366574890116324,-0.25196086323356953,0.15402437710796546,0.008434405751302769,0.010217880753470748,0.10702099958258361,0.009678954784432202,-0.011797949874485467,0.32525198844018355,-0.1696720719386737,0.01947467626682339,-0.14003247771702476,-0.09445534494785875,-0.07106279688501567,0.18496234672937706,0.2084602242072159,0.18879931993740662,-0.16299560768575244,0.1082272295945421,0.08872642044180648
O,-0.11203354970888939,-0.029926977549134873,-0.16325116421461303,0.04102144049376637,0.061826170572670154,0.30737450665682536,0.1255134662750157,-0.15104581638709605,-0.17714190101657248,0.1414254191258785,-0.23552013278724254,0.20234021896990328,-0.056974132916931854,-0.2252364014150875,0.16834689542336936,0.024029471179270727,-0.04916980001621374,0.15155116674573912,0.08613073180844594,0.06585172591474023,-0.07131965053813827,0.08441666599868883,0.23276360643122915,0.1504572402141342,-0.23517097427230227,-0.17494214154821533,0.04652923269454558,0.359102040168097,-0.03437745185334641,-0.07132719132993945,0.13708985400204632,0.009993413168013427
F,0.04909150874364561,0.003078980393865265,0.09140426698294794,-0.06489554033479966,-0.12338412207739044,0.1723499904983388,0.0187784249602614,-0.0464409002406628,0.16120493751608797,0.20145392298481601,0.08629876790092236,0.3372442959168719,-0.17388371235172426,0.12847152010960494,-0.04381180431640897,0.08253123185462476,-0.0678150109500901,0.13289448080131558,0.13793832146120336,0.10870356357132217,0.19172159395389374,0.26035674165456835,0.2731692023293617,-0.015535782227738269,-0.20294358899452083,-0.10746904399401079,-0.24145259513772982,0.192403959376,0.0021603335450708044,-0.07914577152826588,0.22340757893267926,0.14495563955063334
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.056735436308443556,-0.03937990696827108,0.16491836072605784,-0.0688336055364431,-0.11919678278458361,-0.09685869998697776,-0.1184912827759668,-0.13111939522863109,0.020545149716067017,-0.21499977840380122,-0.13298381156458328,-0.2118573799754934,0.07190099638023181,0.01333098329081866,0.08193024410862507,-0.07057112429675191,0.05662446386427947,0.1661484416367244,-0.14814076815005153,0.12415481593020328,0.10391478164341177,-0.1410364244221521,0.016990785314123336,0.07351096769455093,-0.12929025465154276,-0.1349627622219824,-0.06432835585651467,-0.09275076459480397,0.09809968012168963,0.060999270717219736,-0.1493317407605911,0.10555717614552883
Mg,-0.15863798025658055,0.16024990774654982,0.06350939516936124,-0.08155302854152004,-0.14766843396258839,0.047472704245421,-0.03422859465515118,-0.13955527789854183,-0.03159079098969504,0.12725860903691036,-0.10721212203231989,-0.11952216082416761,0.12308543343958749,-0.09837795058932437,0.06960004908368714,0.08615737918250428,0.06041729432218364,0.17336420279639803,0.13595279841395358,-0.017911121600314363,-0.17590262065924114,-0.038236690079137284,-0.05549807613559267,-0.18405377757068273,0.16940890323584662,-0.16939260111162394,-0.22429010058126364,-0.1420752256003437,0.0789030126330817,0.09436597872812244,-0.15043849287055527,-0.061089792883367536
Al,0.04500338670149745,-0.030919062361883867,0.05372955228766787,-0.20614650355620878,-0.030642420088423238,0.026517785147731683,0.1350357805209321,-0.2893263812798817,0.15489610183406072,0.11977514901607267,0.04018288031794676,-0.15556659485626578,-0.12742321051728636,-0.09375707004378486,-0.1786534794541172,-0.03555186777806635,0.11149257218153795,-0.09764871633451565,-0.015280186861087251,-0.1538707203156125,-0.14571252929346856,-0.04315925236498691,-0.03884786498868243,0.15005250484547264,-0.17939067158290056,0.12764966747698853,0.05789921593425137,0.10934908118533523,-0.013599291613903407,-0.07611326122830951,-0.1022364355762249,-0.03502523809069942
Si,0.0946362674835784,-0.12474654483550922,-0.09602340744604403,-0.04684028357725596,-0.24232665969862308,0.0009160836913953675,-0.08192404738173202,-0.1647697941611419,-0.17245424761936165,0.1454949447100004,0.010662684877007276,-0.06759620997841022,-0.17159857437228282,-0.10113112838793034,-0.08914671540719879,0.058409514019463496,-0.1362438975508644,-0.08598108115283108,0.2456394579624067,-0.04421458323703596,-0.07156407867424197,-0.16767819713474652,-0.027197251945774572,0.05751974324985051,0.05539568293725507,-0.04020096543615046,0.13049804211183086,-0.07922667205569817,-0.07536038197149804,0.03175247863143932,-0.08999675650451777,0.17728095483266965
P,0.12720672886288026,0.16932251754021294,0.0750059644595136,-0.15985893008260613,0.13245121633859402,-0.09062416988326148,-0.25328735321118345,-0.16657961197883844,0.055195236635264176,-0.028333580049481517,-0.1518654884118058,-0.04149809072215582,-0.10863883468847922,-0.013814215463198507,0.07652798293719376,0.07611311262528063,-0.040397874383476605,-0.005705645129647816,0.2019364998812396,-0.02454107052917269,0.16166671194815696,-0.10116046402073549,0.12030024640874794,-0.05255472357343159,-0.0733656258338288,-0.0609158958912331,0.11003432288055186,0.04573957412775868,0.18569319850023278,0.07580849593210671,-0.13250614899848878,-0.05835345761620581
