element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.04454566767249738,-0.19458864430555206,-0.10054925345140481,0.07309192426758834,0.21659654539997145,0.14067113900796896,-0.20576257320375765,-0.04910374206101385,0.05867416987296792,0.09597953167866469,-0.10375068647339925,-0.06048210724423754,-0.11054320336019247,-0.07493066933787111,-0.007804191121509309,-0.18696018707084194,-0.11314159402039965,-0.08708824148086658,-0.10524357346275864,-0.18666916192356658,-0.11007125051084343,0.12764408868334615,-0.14314970405607397,0.023858742239824527,0.05115346037016444,-0.015059893675864007,-0.11953324753670978,-0.09183216124153155,-0.014726403807844225,0.053848124090532,-0.1927091725382987,0.04445714420106174,-0.011829699869454728,-0.09634832558091992,-0.020476749712153377,-0.09884972535160641,0.00789838012548325,-0.14272718123075545,0.12546029526238286,-0.04392091202552624,0.017870951822560488,-0.08574954471650732,0.09021037299362446,-0.100452388399564,-0.113921953176192,-0.1484410801082177,-0.12688760267344282,0.024022530973667366,0.19964062842240238,0.1341656988862361,0.16633962391211085,-0.1529498114291063,-0.05273144801923783,0.08136671472273006,0.21117120080349527,0.057076530636344096,-0.11602787509589388,-0.10813205636542367,-0.13026940954811878,-0.07192028779888562,0.013816320618444488,-0.1821514468410854,0.09702161241829878,0.02004733689561645
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.11775396376905721,-0.11670428683769034,0.01761878935996468,-0.009596324734861609,0.05816584730817502,-0.12359686870220975,0.008168764395595126,0.10367032135759166,0.0034715403412545263,-0.09830269153114812,-0.021730620301837426,-0.0005122812541950264,0.1276538956887243,0.06497509867000054,0.04838471778272354,-0.0702326972711572,0.035685482446180444,-0.12440169298354284,-0.015164570618760032,0.0903581065910558,0.10378398171300106,-0.06358039342312329,0.03325554724410336,-0.15944572409923746,0.01687000938486383,-0.11533209184036924,-0.12925232645077675,0.057052036384074835,-0.01031549160989205,0.11458629431361986,-0.05723042985730023,-0.11689945382548561,-0.10366717521680556,0.001679713069844601,0.11856185510575366,-0.07693356507248446,0.1596838431711428,-0.03387889167456617,-0.030095717089444505,-0.07439027446695766,0.12244158031622511,-0.10404317229826343,0.12113804818128565,0.022330802767021096,-0.031650413690750126,0.04605298358277273,-0.11617903035493964,-0.0789116282523316,0.07177528413240006,-0.042988480978874574,-0.020305637922309064,-0.12872423882624748,-0.1238627027282135,0.06454167122126643,-0.030378565465404333,0.15310557862021693,-0.019663587282677294,0.052956572069217334,-0.0816482715301446,-0.12285139586660214,-0.12968584017390075,0.07282696710424316,0.1121630005682604,-0.022076614404306576
Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,-0.15029418042491652,-0.005512023701907345,0.04742483735815006,0.06198328617071456,0.2078207489770352,0.06862066938263625,-0.15299497363583853,0.15358846625941774,-0.1252742315064394,0.0035584207762920095,-0.13025593734884655,-0.15869373421563107,-0.08881434236596174,-0.05079731575692853,-0.14223579334804715,-0.016799487115841,-0.03996818872332862,0.08314050117851035,-0.17038905178781408,-0.12328112432529703,0.0038781226857222085,-0.010967303320213274,-0.07781858563588125,0.14396923980878584,-0.0902976261390773,0.026414514519393747,-0.07988799653985854,0.0618162425791414,-0.11606144656429064,0.15979220692347915,-0.11444471997143944,-0.07171879844824236,-0.033638043504851445,-0.0008045084305793727,-0.16938801213711394,-0.07697912222991021,0.1340356070952333,-0.18018105763910547,0.004127461783226988,0.013859872209334849,0.04351269681965556,-0.18345733452152346,0.08170321946624827,-0.1594774363049027,-0.07406768073471924,-0.05878299647999531,0.07366584955852229,-0.16708745226019187,-0.11763826629211467,0.03684878696804486,0.0381008328767491,0.08910225145862889,0.2002750458937918,0.1660672761820195,0.0323562196705471,0.06443768541352371,0.09485798930535712,-0.171366019019386,-0.04220799603975272,-0.04711225982911536,0.00216927570674925,0.1175193253329535,0.08113209025544092,-0.02205263986234097
C,-0.06687777053833573,-0.04087450673936911,0.0222281712154855,-0.08549598015464599,0.16285393133698145,-0.05005399523354295,-0.18313725924092716,0.08918702408239047,-0.1714412338089416,-0.1399402735272635,0.036638148429298724,0.018967642771538486,0.06220045471240036,0.07195856607665008,-0.14716524674606365,0.014245270574774446,0.01522559073277379,0.11763652579295948,-0.12281402251322962,-0.10106993075685415,0.10342669959287987,0.1625149775311116,0.05245671920239482,-0.08344856770541959,-0.0036528587293080945,-0.0368197630896227,0.10018522166064658,-0.12646338650750355,-0.17284845654237346,0.054243305272849256,-0.09525225673214761,0.061484715137328685,0.1266648495818399,0.012396547879440572,-0.06275157606564867,0.07927224031650731,-0.05771163810100439,-0.04952685382578059,-0.0017337710152543478,-0.14810231998428827,-0.16142891600737388,-0.0958215247151005,0.21745747254647244,0.08362593834152916,-0.014777981768162902,-0.11544734958068116,-0.0791356657567105,-0.07859522570237218,-0.07395192259025941,-0.1137945161061844,0.06789314071083657,0.09977526973441395,-0.09468727620539896,0.11638835833122926,0.06774692880688599,0.001820175917138453,-0.13429402247187525,0.10629228004956867,0.08494515136162062,-0.08903492605208287,0.06050909472043049,-0.015234532964527146,0.1002684742790982,0.0007539327013663984
N,-0.11744556195135832,-0.004352952303529737,-0.016764679711018922,-0.11722801526278724,0.06304248856331088,-0.020366383457572454,-0.2403110576886407,0.016351138646476564,0.03735984409494372,-0.082993663684605,0.019325581108692803,-0.11029342526349953,0.10857646332449777,0.12981417878685403,0.010057053600094498,-0.08682450636819751,-0.060431116009050705,-0.06008646613308363,-0.08305048525647893,0.000754299806574469,0.011780953118000584,-0.008673600207596366,0.10802013257489135,0.055574615545930316,-0.0930750479139245,-0.01503030065340832,0.151893163486809,-0.09594568745588879,-0.10608875307917436,0.06414363148078506,0.11716078062242034,-0.04947199258831368,-0.09161165480291775,0.06696688859804947,0.13194192331026966,0.07263422783724324,0.11850598552147934,0.058820780014465064,0.1299158785351597,0.03844774928380319,0.0404930265555268,-0.11962625242219861,0.13885294752429078,-0.13740501787531614,-0.13561012325763347,0.033977911022737305,-0.13085848775041903,-0.19958522027263143,0.09639320257068294,-0.008556658754434995,0.08002749946323946,0.2009004385772828,-0.011101195680055935,-0.05287625187276684,-0.07650816809515422,0.03973821333059673,0.04467305353154398,-0.04715991858686958,0.015591730519080438,-0.11699993610848361,0.13972084865196915,-0.16170521366807708,0.12133694812959477,-0.0412674510164284
O,-0.14990415447416314,-0.12925082287715828,0.10058028073383615,-0.04124600275607148,0.006279423101305488,0.06671564194316315,-0.3223199113022358,-0.04811408314263018,-0.061217151488869,-0.04378983411512342,-0.1344444505559857,-0.1150081415374208,-0.021215038759988997,0.10573863314733739,-0.038272685363406306,0.00012023133000727607,-0.13923173080618137,-0.1892845955666995,0.10069898320389094,-0.14452640919852736,-0.07815439499568366,0.14741662174560022,0.07329469762887704,0.08568127622973351,0.04749376839083577,-0.08351081875040638,0.15076428664463756,0.1297365113675808,-0.12925119412364036,0.10429386279572894,-0.1361388385557506,0.057142969881924986,-0.1327639960719497,-0.03404477458396645,-0.19318609751657673,0.002179693838696894,-0.08517604825428142,-0.06344064237066402,0.09872396851633186,0.09645855887429815,-0.11721669255498082,0.06727990710335346,0.028589314260006816,0.07108135024759879,-0.0012065371306846568,0.07708311138846831,0.0065428354315067985,-0.13287863305605951,0.012317881027919461,0.18505783869601097,0.1406856587632522,0.0048237633930595485,-0.06698941884251133,0.11445957118283764,0.2613989155244445,-0.0909305709620643,0.07360226900882748,-0.12872344350433645,0.08734504037492655,0.04222052308926456,0.024450387584990997,-0.15031086206356264,0.05266369956547405,-0.017760314312547893
F,-0.18626321646398347,-0.15401717324309572,0.01141323668053417,0.022073930442841866,0.06981826673146098,0.12056906492910024,-0.15386093512633547,0.10116300931713476,-0.056273040213324965,-0.022339145214148447,-0.2263273042673866,-0.1449397855932214,0.13308090467908668,-0.046118052823700136,-0.0778137605395327,-0.03541116333078298,-0.19326979435725394,0.022280211476516053,-0.05508927821156528,-0.05769632627399851,0.10339052307326982,0.1172068310589694,0.02537601152675326,0.043988793487989127,0.06676536081652687,0.12011156825087349,-0.08621183712219155,-0.03139510449516343,-0.12473682077786022,-0.09635455277114593,-0.16646503118284256,-0.14909365198963526,0.06379264051612006,0.0036354941011073655,-0.14669960861209827,0.022954839706282263,-0.036484645090455826,-0.029547713892295765,0.05605762621568072,-0.13657571358028367,-0.04012967342163236,-0.08621915574155535,0.006411498113259497,0.018140192059175084,0.023231592031565062,-0.014082626635738671,-0.060094837638954846,-0.23212277930070116,0.0761317236772025,0.1846229309385331,0.15491506100927976,0.16660105506425119,-0.07932266648217595,-0.04835281003252895,0.11273236301887644,-0.058646220874158085,-0.15766594065988926,-0.09591319980872838,-0.04677336534614061,-0.09998932578825771,0.2142278755485872,-0.1544562410393542,-0.07367323994530975,-0.13965392408568886
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
