element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.6763125771736361,0.03908933961937337,0.0667636379655947,-6.910280216244602e-05,0.0887593330127288,-0.2080330691519975,0.026148697041886135,-0.13103692432195407,0.08006729442976243,-0.09100689625284628,0.03778180940687573,-0.020454450318270707,0.07258682988882753,0.12759431035590105,0.058472297872722394,-0.038160415860971374,0.08078310537835577,-0.017475185295738507,-0.1176620911295554,0.10259604627840013,0.1335433573345641,0.0444458951093285,0.028487549961023546,0.046195866040579625,-0.05431219233751199,-0.1536358920451203,-0.0760644693213912,0.06554001990984158,-0.12494031077825639,0.07028841419040242,-0.03817416774907385,0.07391086393067968
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.4490579318196696,-0.05523563556783718,0.2690553351286769,0.17086003204561803,-0.05884876634637708,-0.20169877055161453,-0.03167182341235464,-0.12066702278501766,-0.16796175176845532,0.0053595775294176555,-0.03314062329226645,0.24868870035584498,0.00781312262232758,0.005391441468214155,-0.0949203955672081,0.0015971925623907803,0.09181317477425092,0.07861490010876476,-0.06910596943445298,-0.1954601989136788,0.06723653608479266,-0.007220375076911675,-0.02686208442261011,-0.05102889313929741,0.02184432434467531,-0.018565357970759748,-0.031297976050871854,-0.07298934617566684,-0.056407665413326674,0.02565326129422418,0.13447512263057135,-0.034543946568881795
Be,0.5297059660514515,-0.08667751956332082,0.03144773161378973,0.07158166122290859,0.0027197996561328206,-0.1641847192586819,-0.15075897369750185,0.14345671749572042,0.09811105378832459,0.24880235428224853,0.12355638331347639,0.011288622554790729,-0.10610647101221092,-0.07502275898140202,0.22180537625937455,-0.10354147222670124,-0.015304408696622087,0.11602873682661075,0.04732915398091599,-0.026776864516666655,-0.021489762497414248,0.05095024541465657,0.14025444343655652,0.06658139520832836,-0.03383365548596296,0.06386763812668864,0.07698793522981358,0.04516341703771585,-0.08789493840817654,0.0381303614201136,0.07070295207239623,0.02250381090049638
B,0.6208990382826598,-0.01159730077271979,-0.12318672476748976,-0.11157526407183682,-0.08327554945661599,-0.14252500600394719,-0.11768609322750065,0.12716128548045258,0.0943608902180749,-0.04908661267745533,0.1693923384915586,0.011212259600237168,-0.11864875068151153,0.08822598352579471,0.048556313933287555,-0.01858203523414998,-0.16355676443243136,-0.06774232683051153,-0.08987419619998407,-0.04590983519393265,-0.011387909379266321,0.023095139278621276,0.12395191764711333,-0.08773218150352832,0.0023724100828379324,0.026668164033421277,-0.007769878579423906,-0.011129471869142022,0.009595875458152294,-0.029854902872510983,-0.05415505568704137,-0.09443693563901578
C,0.6582463982725456,0.06971990294233121,-0.18334974506326646,-0.18296877061197572,-0.016902828273591845,-0.09884741665847457,0.02648150969631512,0.17205332018494857,-0.008076374918633805,0.07755864148099366,0.13002533296746244,0.023179721203712172,-0.04859067602624507,0.047516136604681555,-0.13017164288196068,-0.06189123421098698,-0.0374646524761853,-0.0839408431909084,-0.11712301818568509,-0.015339455625733685,-0.11630380830675771,-0.05252131400327809,0.0039047511929783344,-0.07448601095170405,-0.05071611101641866,0.028121645818859318,-0.009612933033758786,0.004536157791076509,-0.01913841350925788,0.08459959009203996,-0.0794092108434633,0.032200283429347956
N,0.6848809272567351,0.22626389496208663,-0.1266710965309138,-0.14794592608337742,0.0672478021010273,0.0031384472193146788,0.04868739293434566,0.041201847982468176,0.13782175504886246,-0.0014540501277220542,0.03150099761825898,0.014229037768828945,-0.14373628070834224,0.01544177101656107,-0.03233240047099624,0.018340537398910572,0.10581158085487373,-0.06436285797807485,-0.02855037020461413,0.13810254280688644,-0.07659702535790275,-0.0502809588407555,-0.10385840528183651,-0.02615433966252084,0.023120018089458443,-0.09561860023321689,-0.018860743871994018,-0.03666065178830507,0.13041990389226246,-0.05634654720901617,0.122528709704875,0.01629949540988545
O,0.619847500916132,0.3476683754175477,-0.11169976662407248,-0.08225741695410467,0.09761210309034744,-0.13894935140060893,0.08803175703303133,0.12048143622061509,0.15843999294335365,-0.07162633558315021,-0.11632815260343694,0.028595507744603437,-0.027688007181622697,-0.1764729778888228,0.008035151429218847,0.1746766326515027,0.023854178615939862,-0.018809163226385216,0.03642685310850835,-0.07276726625026504,0.02480144744175143,-0.05098836716789332,-0.1699247680936856,0.13229713040669172,0.038720572199067195,-0.007371455873788901,-0.06633286426463578,0.0021683633587677776,-0.013226552440559324,0.019469754252024372,-0.017796257258857376,-0.05186966697676075
F,0.40411608466787885,0.5543473338866893,0.06491429261152767,0.09321877662545748,0.12140404229242589,0.046620682458898055,0.01359865335733275,0.0021093828297998043,0.21927236933846778,-0.1314801429150642,-0.02834335637286109,0.1472331521083922,0.11211929876608107,-0.1451478984039653,-0.03127640710232047,0.14685224732115126,-0.005699226687920077,0.025480790544439316,0.15399637935911914,-0.12264102853678586,-0.02697442278440913,0.06485775976167432,0.009698900172537614,-0.1353319155579981,-0.05753199794308706,0.09660790412167697,0.13834858194104904,0.017764144940651774,0.05589944274331497,-0.08141941340016452,-0.08041286206136808,0.07911529534083994
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.12749780898691881,-0.04429551448517503,0.44582329010705374,0.0698495984573268,-0.06832096252618391,-0.006121378249832169,0.08227416276325634,-0.23602279580794164,-0.1286489219361687,0.03100708902921088,0.024818435801462743,0.01931505558644062,0.009222850094221153,0.07417185373628572,-0.057321072531126935,0.005903378383021598,0.060007334189954305,0.2575376200801843,-0.13604961486964157,-0.14339082553934573,-0.053757665941524785,-0.16213911617094165,0.026906979471654345,-0.07779128605288246,0.04687252486537189,0.012472564508516448,-0.0057963127183391925,0.10387098032659586,0.0434191207308174,-0.04169372544829691,-0.05742663833061259,-0.015418342285581995
Mg,0.28949126798186114,-0.22954601516231027,0.25423416418544426,-0.022920660425798448,0.0663743248825145,0.09066106699636894,0.06990208179519321,-0.018829858533437247,0.049252044173254454,0.11156194902053763,-0.06332130040523691,-0.0611045522757628,0.1583494864054242,-0.05504628665941351,0.24682996200478247,-0.14866714548212165,0.09962094701584837,0.17088195420654098,0.07658494142393439,0.022816711399789844,0.03718930934113532,0.038108721702855314,-0.09995279005434092,0.10775649516425585,-0.06784648411659376,0.13564908213003898,-0.03866295642879743,-0.013261891215429878,0.0037997075492518253,-0.03458186308842656,-0.08226892934971623,-0.007249234960009349
Al,0.2408471622931705,-0.16437559472707045,0.005429220047905839,0.1403969193198671,-0.362624501979645,0.06450167662903587,-0.2082211246271274,-0.09750677341316571,0.07686290661569793,-0.062034900936931585,0.06817383188286893,-0.07417083415374254,0.046991930818248845,0.0921476395423055,-0.045539145376973664,0.03885104694015284,-0.06807913175187805,0.031115786184908862,0.14970959154272118,-0.009164722918513142,-0.03725722991095964,-0.08182613505657538,-0.0005515272673404738,0.04707921711852215,-0.05247500185736819,0.07025692133459488,-0.09691449474527859,0.11923397362513011,0.06716709595731524,0.009369630921246016,0.02725492009137826,-0.0457769439905612
Si,0.27504200500845466,-0.17032755821323625,-0.22754155288492664,-0.027221608257169082,-0.22010443399958074,0.0865484469884577,0.03294863703194379,0.13901637520629917,-0.20548057579885437,0.06469679463522421,0.05641183579908545,0.05698527210204298,0.1453454296318505,-0.015574149345980967,-0.1618863969323954,-0.1162985046616978,0.03591427599256762,-0.00482325285326454,0.04954108631727922,0.017114166197378,-0.06979047281931225,-0.09675173641945244,0.0171972560664661,0.12569210568665162,0.04838925683060423,0.00948712426343936,0.017395932916027083,0.06020529945182028,0.04466372546633866,-0.08192509770094995,-0.013677073521742439,-0.012785467503139908
