element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
H,0.6763125771736361,0.03908933961937337,0.0667636379655947,-6.910280216244602e-05,0.0887593330127288,-0.2080330691519975,0.026148697041886135,-0.13103692432195407,0.08006729442976243,-0.09100689625284628,0.03778180940687573,-0.020454450318270707,0.07258682988882753,0.12759431035590105,0.058472297872722394,-0.038160415860971374,0.08078310537835577,-0.017475185295738507,-0.1176620911295554,0.10259604627840013,0.1335433573345641,0.0444458951093285,0.028487549961023546,0.046195866040579625,-0.05431219233751199,-0.1536358920451203,-0.0760644693213912,0.06554001990984158,-0.12494031077825639,0.07028841419040242,-0.03817416774907385,0.07391086393067968,0.036657862338748695,-0.04772721608026984,0.045031016421221634,0.029403318242024298,0.0691979965815833,-0.06794018476982716,0.03908745673427466,-0.08638660733360672,-0.03808538804959279,-0.019170518130448164,0.09626858270340143,-0.0272348549691712,-0.011005723867467395,0.002033215489239514,-0.006927745727683796,0.02859306057934249,0.009874284261879055,-0.016514874499956148,0.01047952789335976,-0.05119251498378882,0.006671863146093852,0.012171720772780654,0.0014394832301465972,0.005953466619149156,-0.015097427628917675,-0.016833202377827868,-0.016317328208878,-0.0021830932757111914,-0.007557681646433055,0.012647481707250012,-0.00021664919184610388
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.4490579318196696,-0.05523563556783718,0.2690553351286769,0.17086003204561803,-0.05884876634637708,-0.20169877055161453,-0.03167182341235464,-0.12066702278501766,-0.16796175176845532,0.0053595775294176555,-0.03314062329226645,0.24868870035584498,0.00781312262232758,0.005391441468214155,-0.0949203955672081,0.0015971925623907803,0.09181317477425092,0.07861490010876476,-0.06910596943445298,-0.1954601989136788,0.06723653608479266,-0.007220375076911675,-0.02686208442261011,-0.05102889313929741,0.02184432434467531,-0.018565357970759748,-0.031297976050871854,-0.07298934617566684,-0.056407665413326674,0.02565326129422418,0.13447512263057135,-0.034543946568881795,-0.01662875066216839,0.009807070452518508,0.03543580599596422,-0.019958717677974403,-0.02294811889968101,0.047720806165420404,0.0011831378323186152,0.003971679806822853,-0.040444647685741755,0.08734138578957737,-0.01940041518950926,0.0859049714277842,0.025564597279182616,0.04852798667015529,-0.016372433711825025,-0.01747816653891612,-0.012313394408015018,0.0037406618250533687,-0.021543903247613842,-0.024137636428934968,0.033429768105546244,0.02741946654901014,0.0009278405503785115,0.03689225466344283,0.013509713587095042,-0.015740453207703457,0.041052980033104106,-0.0012476676266192249,0.021288904215136788,0.0020315750045326523,-0.00401358579446378
Be,0.5297059660514515,-0.08667751956332082,0.03144773161378973,0.07158166122290859,0.0027197996561328206,-0.1641847192586819,-0.15075897369750185,0.14345671749572042,0.09811105378832459,0.24880235428224853,0.12355638331347639,0.011288622554790729,-0.10610647101221092,-0.07502275898140202,0.22180537625937455,-0.10354147222670124,-0.015304408696622087,0.11602873682661075,0.04732915398091599,-0.026776864516666655,-0.021489762497414248,0.05095024541465657,0.14025444343655652,0.06658139520832836,-0.03383365548596296,0.06386763812668864,0.07698793522981358,0.04516341703771585,-0.08789493840817654,0.0381303614201136,0.07070295207239623,0.02250381090049638,-0.07432768169727627,0.057555293625995915,0.03014664282506958,0.025477548021197775,-0.10391700141679984,0.0015345046127006562,-0.028979819949877736,0.045897007670086906,-0.016839658087407956,-0.05063942972771175,0.06152832880783994,0.03578552420430343,0.004222401258698311,0.01732572545132854,0.011899566242091354,0.04424330186744064,0.014507271327292858,-0.023761929829033697,0.008758142208445617,0.05419782621653713,-0.0077115987911570965,-0.03407564419903631,0.00704354140297627,0.015283679835598807,0.010121004867900404,0.0064364984833144255,-0.00420642427170021,0.009051881226635475,-0.014756626744045284,-0.008732758768000186,0.010144017507326929
B,0.6208990382826598,-0.01159730077271979,-0.12318672476748976,-0.11157526407183682,-0.08327554945661599,-0.14252500600394719,-0.11768609322750065,0.12716128548045258,0.0943608902180749,-0.04908661267745533,0.1693923384915586,0.011212259600237168,-0.11864875068151153,0.08822598352579471,0.048556313933287555,-0.01858203523414998,-0.16355676443243136,-0.06774232683051153,-0.08987419619998407,-0.04590983519393265,-0.011387909379266321,0.023095139278621276,0.12395191764711333,-0.08773218150352832,0.0023724100828379324,0.026668164033421277,-0.007769878579423906,-0.011129471869142022,0.009595875458152294,-0.029854902872510983,-0.05415505568704137,-0.09443693563901578,0.018906467793523132,-0.0039280981113815,-0.11561849386917737,-0.04173916696204838,0.12389911423498169,-0.012909585487417215,0.07739585677688961,-0.01413033839016457,0.0036480524492307357,0.013715466090850512,-0.05445422578529605,-0.021867149707840497,0.06427736774847757,0.04693568831318005,-0.01375562713891541,-0.007789668297913313,-0.016018701185138418,0.02458831765787977,-0.03311172454903675,0.04876996742691363,0.002026073039438909,0.00919537478441284,0.000626534310470609,-0.03504306692556889,0.035398796042509145,-0.009673297010114289,-0.0004477990972641837,-0.022359547331134655,0.006396526976878972,0.007506287316061203,0.009228522223467059
C,0.6582463982725456,0.06971990294233121,-0.18334974506326646,-0.18296877061197572,-0.016902828273591845,-0.09884741665847457,0.02648150969631512,0.17205332018494857,-0.008076374918633805,0.07755864148099366,0.13002533296746244,0.023179721203712172,-0.04859067602624507,0.047516136604681555,-0.13017164288196068,-0.06189123421098698,-0.0374646524761853,-0.0839408431909084,-0.11712301818568509,-0.015339455625733685,-0.11630380830675771,-0.05252131400327809,0.0039047511929783344,-0.07448601095170405,-0.05071611101641866,0.028121645818859318,-0.009612933033758786,0.004536157791076509,-0.01913841350925788,0.08459959009203996,-0.0794092108434633,0.032200283429347956,-0.05290606604228709,0.0801287104019921,0.014930242103072295,-0.0157397115062407,0.015498183582190225,0.05659685222545768,-0.08913977963093206,0.034194828539431885,0.02128188897380778,0.012555453541039834,-0.05926930193155286,-0.009039463085860205,-0.02350935800585715,-0.10713526311625633,0.03987272557457994,-0.01309209448218219,0.030427138620160832,-0.018215390489410288,0.0401894276301755,-0.05090270853620877,0.0072940800781230416,0.026420840354038636,-0.012679727000958135,0.013668636220007486,-0.018726119803342902,0.010623089689397113,-0.014792702025260708,0.0054488835808190654,0.013215505188290467,-0.015857687389673053,-0.019419058451910363
N,0.6848809272567351,0.22626389496208663,-0.1266710965309138,-0.14794592608337742,0.0672478021010273,0.0031384472193146788,0.04868739293434566,0.041201847982468176,0.13782175504886246,-0.0014540501277220542,0.03150099761825898,0.014229037768828945,-0.14373628070834224,0.01544177101656107,-0.03233240047099624,0.018340537398910572,0.10581158085487373,-0.06436285797807485,-0.02855037020461413,0.13810254280688644,-0.07659702535790275,-0.0502809588407555,-0.10385840528183651,-0.02615433966252084,0.023120018089458443,-0.09561860023321689,-0.018860743871994018,-0.03666065178830507,0.13041990389226246,-0.05634654720901617,0.122528709704875,0.01629949540988545,-0.004751357340036355,-0.12857770593364246,-0.12379090098403826,-0.03258482076681692,-0.08980478454974769,0.008519787729913885,0.0027473328218545396,0.047674456722457,0.028634645850984776,0.045916145480301415,0.04038170832280701,0.024231766287827423,-0.0326176406843891,-0.010182980400238153,-0.01991067227079794,-0.03158981008029998,-0.023165114713232106,-0.0009835943191171433,0.01888104161541348,-0.007395987453581898,0.0049979429821097685,-0.046416819883634365,-0.02170093813969251,0.01677437940729468,-0.009135493647304,0.0067471349298926404,0.0007461470784304742,-0.0006778538921875847,-0.017460270427272752,0.011239317001945534,0.008636385064694345
O,0.619847500916132,0.3476683754175477,-0.11169976662407248,-0.08225741695410467,0.09761210309034744,-0.13894935140060893,0.08803175703303133,0.12048143622061509,0.15843999294335365,-0.07162633558315021,-0.11632815260343694,0.028595507744603437,-0.027688007181622697,-0.1764729778888228,0.008035151429218847,0.1746766326515027,0.023854178615939862,-0.018809163226385216,0.03642685310850835,-0.07276726625026504,0.02480144744175143,-0.05098836716789332,-0.1699247680936856,0.13229713040669172,0.038720572199067195,-0.007371455873788901,-0.06633286426463578,0.0021683633587677776,-0.013226552440559324,0.019469754252024372,-0.017796257258857376,-0.05186966697676075,0.052974567816490306,0.05207594417532536,0.058917837917515314,-0.03157976627908915,-0.0843703949303595,0.011138476040772652,0.0050794340763228125,-0.01526803582720763,-0.00176684118116772,-0.043915879869604595,-0.02763086558466361,-0.0411763007574668,0.0026245036615107293,0.03524387431334136,-0.011867363974628557,0.0057070281445414095,0.04184137647438198,0.05656133300693101,-0.037878594507510806,0.030384378921756144,-0.03352814272172225,0.01996845096768602,0.036368970166871774,-0.05771266878814073,-0.02373167438640126,-0.001500013178719737,-0.002547659679348102,0.014516793433190896,0.006675841167617358,-0.001177855381816358,-0.008446832870999826
F,0.40411608466787885,0.5543473338866893,0.06491429261152767,0.09321877662545748,0.12140404229242589,0.046620682458898055,0.01359865335733275,0.0021093828297998043,0.21927236933846778,-0.1314801429150642,-0.02834335637286109,0.1472331521083922,0.11211929876608107,-0.1451478984039653,-0.03127640710232047,0.14685224732115126,-0.005699226687920077,0.025480790544439316,0.15399637935911914,-0.12264102853678586,-0.02697442278440913,0.06485775976167432,0.009698900172537614,-0.1353319155579981,-0.05753199794308706,0.09660790412167697,0.13834858194104904,0.017764144940651774,0.05589944274331497,-0.08141941340016452,-0.08041286206136808,0.07911529534083994,0.09764088449898053,0.0067368472458395265,0.030490595117477242,0.07904143813384354,0.03169999949576791,-0.03229753868194249,0.04352754838444138,-0.021465316432192252,-0.02683414092595804,0.029527783448453828,0.0007665377610023385,0.016152963056426283,-0.0011267292025392232,-0.031953798664861775,0.04105217264124765,0.028363877727277463,-0.034969672016476314,-0.03534060068968214,0.0196719924291249,-0.009562733075257063,0.0025094577498905057,-0.015107821150106787,-0.011625899990116114,0.025873213300222717,-0.002010048509918702,0.0022879327420807427,0.004872536042122884,-0.007160997045941617,-0.0026619610607593555,-0.002152891419065227,0.005395094324783947
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.12749780898691881,-0.04429551448517503,0.44582329010705374,0.0698495984573268,-0.06832096252618391,-0.006121378249832169,0.08227416276325634,-0.23602279580794164,-0.1286489219361687,0.03100708902921088,0.024818435801462743,0.01931505558644062,0.009222850094221153,0.07417185373628572,-0.057321072531126935,0.005903378383021598,0.060007334189954305,0.2575376200801843,-0.13604961486964157,-0.14339082553934573,-0.053757665941524785,-0.16213911617094165,0.026906979471654345,-0.07779128605288246,0.04687252486537189,0.012472564508516448,-0.0057963127183391925,0.10387098032659586,0.0434191207308174,-0.04169372544829691,-0.05742663833061259,-0.015418342285581995,0.0007158693233383506,-0.06948726434640627,0.039886657382679845,-0.029076307501759612,-0.0021361467231145953,-0.0549159000341015,-0.002417984819517727,0.022277260528914232,0.06534827183480915,-0.009103306604169801,0.015058026271266848,-0.046894955265160375,-0.022714872717363166,-0.04401075230934164,0.006311075421292843,0.009522254098873247,0.024493138064425386,0.022493661858606774,0.0005947378227153345,0.06977266415538849,0.015344505311036906,-0.043882451573264245,-0.00769703473586017,-0.030685817875060643,-0.02676104380262234,0.004509721975655746,-0.02249661969962639,-0.010781894714989755,-0.001792649114561391,-0.0012256826521904731,-0.0027845618648483575
