element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-0.16146955589725082,-0.0030310027488697575,-0.047573743983231914,0.13828011398262072,-0.07307182462715049,0.08756470427065774,0.2662207075799089,0.11381768221465129,0.11680949008531104,-0.03480212097976502,-0.27734043253805635,0.030694375490130366,0.14536045580624682,0.048354437723002464,0.09782413010708559,-0.06470750741835442,0.07720287437048956,-0.3745822564787853,-0.1487622443542488,-0.07573484006419579,0.11610220586995666,-0.09387097607974802,-0.16470721685797796,-0.16363416956649926,-0.12201016991660432,0.058501860900284426,0.0037058313146817227,0.1392617972837876,-0.07677547542508113,-0.1974653034702784,-0.06941476759486657,-0.35195769340241273
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.011187742872801519,-0.11231609372621769,-0.1357860555795642,0.1439159662822547,0.13671796532324068,0.042089898313764265,-0.033677809728617634,-0.07048716434330841,-0.21415586687228577,0.12427135618278547,-0.21634847092481724,-0.045334114521804296,-0.12273709207030299,0.032326827616823386,0.06015030459150232,0.02716321071010305,-0.08770351852696487,-0.3875065530305309,-0.20027542052017552,0.05508928848710568,0.2101105391877598,-0.04204636609545307,0.012929657134958457,-0.1445728849194093,-0.14917264757674223,0.16553485669136675,-0.018573599216426533,0.10130453942683161,-0.08757474888744332,-0.1792742673307252,-0.10603318194623351,-0.07351001889009788
Be,0.05926922127199859,-0.0039401847874242606,-0.021048606343797727,-0.10729989490445066,0.04605487111593092,0.1350694364451816,0.225847916975545,0.14993162333143606,0.012804205025261665,-0.16207828261669863,-0.19371243974843116,0.18742174050540564,-0.01206776141954239,-0.18974286017682085,-0.15946000523644338,0.02084394269234175,-0.16198746971614436,-0.2881601557835685,0.020307984941137048,-0.03881968645144768,0.08213713716180107,-0.07422280849670618,0.09163806605270056,-0.20064793048786309,-0.1740141963784612,0.22937132940337635,0.1381281464617356,0.21244119897252225,-0.07847028597103063,-0.0005982021408301422,-0.16834890056424962,-0.12308192857488126
B,-0.23077087099155075,-0.010574545686214151,-0.043934708646188446,-0.12295509397610097,-0.11397379516182572,-0.024873791519942564,0.32716504912217903,0.12617089318947217,0.026201524505653502,0.09205827364941967,-0.1981904176138312,0.14430071475945486,-0.004246382281365212,-0.01963574604324624,0.10874228175751696,0.016096970080517293,-0.1392748476002115,-0.30127345141919354,0.005284633753832064,-0.14342227255081902,-0.09429000735306475,-0.1467395725893825,0.06567562210939418,-0.1861561789097208,-0.23538915614218733,0.10432193825926779,0.1945763066097833,0.03717818987240518,0.022174215012033843,0.10082341235305335,-0.11967290208679039,-0.22240540168640044
C,-0.17108381867685896,0.05294163442291034,-0.20548267997969408,-0.2329776310278448,0.022829043667825365,-0.024065740992476124,0.19191412083546813,0.19933948803763793,0.13125450599318805,-0.016216185966932962,-0.19311282855543543,-0.06119517635446483,-0.15996702420617648,0.06690201410092673,0.05660919312946999,0.14760739806801015,-0.09994184663558048,-0.11762839992285018,0.005026865078928243,-0.20500447275395778,0.11487708056242363,-0.06733375035441826,-0.0766401111137379,-0.20588469025330963,-0.21654557541999822,0.1962558725587943,0.13135776922017917,0.14436691533055337,-0.004609772084910756,-0.012672195794392743,-0.08474599199567877,-0.350171414779503
N,-0.030558771094750376,0.0021588009611250847,-0.10761722842403074,-0.10597802757194666,0.13245616037912877,0.1921038378514826,0.28136056431730616,0.1700317073419658,0.00036201334731208925,0.13254760535600627,-0.27981201590456023,-0.0924573447579427,-0.034644110605026625,0.06826138544485122,0.03418949963805132,-0.01542215306440073,-0.1973297756841584,-0.3706588410281524,0.09220684040378085,-0.23753004207552475,0.013728159712654368,0.06134141628118127,-0.1287784648831737,0.010867242587804363,0.030597922812873032,0.002047966581091927,0.06620053288199163,0.17370973228774136,0.09602435411088239,0.033634977112630776,0.033408495580205116,-0.4003450712531124
O,-0.18405713419542105,0.1238919357376334,-0.051914462542656976,-0.23843849312498167,-0.005407893561218995,0.262137989091108,-0.01260774754077224,0.1607474894929332,0.12777569611592782,0.13194263239307988,-0.2504760974389142,0.0806607199311985,0.14348208424136355,0.17040303113817787,0.18300292031130053,-0.03332423416925756,-0.07562414002854465,-0.3261551363551322,-0.16994476666667757,-0.23857711864513115,0.06981673924851424,0.03371908169968711,0.04019508577361458,-0.06275040136290211,-0.05681104708847102,0.1700375376759597,-0.045095198879731305,0.10564818189997227,-0.07276191441144472,0.08902824338595183,0.16324323292336154,-0.31841608479764844
F,-0.024703668383588014,-0.06423481608818404,-0.23159438073990193,-0.07640912810401282,-0.03298937232431473,0.32426356186559646,0.05935618959678996,0.1898380934975305,0.15893454470949533,0.1427433797613537,0.012224861834063416,-0.01806300322945568,-0.09402780964306774,-0.1433111188352834,0.26797188111098663,0.10242791866546665,-0.06822837495242122,-0.26853850703260124,-0.15469914064393553,-0.30982094742042887,0.0905166379958393,0.055434802794506355,0.030830414896202987,-0.10208349998627743,0.14292763750985518,-0.058638531314062645,-0.07660691692621606,0.2962770151649001,-0.10985480083760674,-0.024072118408414438,0.27462755028503616,0.005523287983635601
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.14552281854375776,-0.12275979393627154,0.14429150500931284,0.04016503289569537,0.011294828449617622,0.037650759216102746,-0.09386415559497849,-0.2770972045897273,-0.11201776839053001,0.002803536019745634,0.0879344597291946,-0.1113328123833176,-0.15686323674342237,0.15193756336840938,0.11141317922142344,0.05726783120159121,0.18402391582341573,-0.19295645619646856,-0.010646002718006498,0.08513115619765554,0.09548283746404414,-0.08086575855534694,0.12081207162606937,-0.25631524754799173,-0.09479828935286372,-0.05469316677442109,0.006982682316690706,0.1471632210245958,-0.17392505237562833,0.027583923246541363,-0.0299601520557626,-0.17314231998640436
Mg,-0.13303256490301027,0.016429124094055947,0.03770912519442221,-0.005184740174768997,-0.03037255954816977,-0.022833460894596366,0.10992562787607267,-0.11855227005329191,-0.01764666197555397,-0.0886312014707747,0.052011890034988406,0.14126212604302876,-0.057126955200651655,0.038751236152092736,-0.20003602530051617,-0.15263117442580562,0.11139694686013286,-0.27882540140451245,-0.017614458160243988,-0.028840728785695505,0.022104444359821184,0.09774276721764122,-0.19632343478508588,-0.30400657606297715,0.08590000121340689,0.04069589121700576,0.1697224729852296,0.11896032556323413,-0.22070940518276697,0.12574444125590303,-0.004132601119004829,-0.0244377023917198
Al,-0.12102118108941123,0.04470912915751107,0.18931236456655043,0.1331939304300656,-0.013934586297074933,-0.19902834463428318,0.15847636741067556,0.06622803821094703,-0.1816120498875599,-0.06689652912212632,-0.1258727175386306,0.14562151940761128,-0.20463535450929612,0.03812694423344385,-0.0018504044136831354,-0.012923228287326716,0.02290705410616557,-0.16881640774896822,0.1966457513675446,0.004839221284441752,0.11146461099415403,0.07353118161185733,0.0545205553929886,0.06354920553988667,-0.11996918374398263,0.006240797223041079,-0.16394557166025986,0.010311312289726609,-0.13589914106417095,-0.07322394502298475,0.04985501513761384,-0.14654950112333942
Si,0.019000736639968818,0.11119705488717233,0.12272297279166008,-0.1185457316388579,-0.07760485746849459,-0.18683603073093685,0.2782421811588579,0.2772948611749272,-0.01844459307542823,0.05498143065603062,-0.10595547775468855,0.008296645676523797,-0.2463587935234458,0.11249880067104914,-0.1045227314225083,0.11105569924338533,0.030702606391836133,-0.03394970210291593,-0.09386823292430113,-0.0459595908432892,-0.09301441858969454,-0.08820538743163152,-0.15471433228789083,0.025318605686621802,-0.09658854114205903,0.022512132991673216,-0.0789189107745684,-0.04709131759690376,0.030377005075473976,0.061425213065500375,0.06569499848946425,-0.07690233820742819
P,0.04256861602629416,0.06021661844636835,0.043124697145657205,-0.052993403323109964,-0.19694944717022894,-0.05511818259827069,0.1261942623522665,-0.007533546997388401,-0.037737961196965514,0.08599736700722678,-0.27214308433463,-0.03639590492825938,-0.18166028327789624,0.2269645013284985,-0.026460881362826483,0.018067396815661066,-0.21496478700156332,-0.18690450071685624,-0.04955545967161122,-0.23273067988493645,0.043647810905416404,-0.08644421637389378,0.07070993511222216,0.02587228721964588,0.20734468533755313,-0.09223878652899609,-0.0030781352260900808,-0.007224360185380958,-0.07644661485648505,0.17485554517936416,-0.10250285702664459,-0.2257317884229823
S,-0.15107338722402117,-0.002426992966893932,0.06597610893785219,-0.08967157712995638,-0.060398917963624926,0.11124185382757053,0.13117091552716945,0.10448732560032549,0.07420336790060275,-0.06765834860346608,-0.16855137748056426,-0.19183634035248742,-0.0348246312603259,0.3338392015206678,-0.0805720317076733,0.2174564892758189,-0.1650890704489973,0.03237863058137099,-0.006354436798312616,-0.2927804004579667,0.05095936819396745,-0.13952075209464065,-0.05979295583639652,-0.0669655452688138,0.21178368823642651,0.05188353424663374,-0.03331128272145301,0.14285785943466242,-0.04421589038238764,-0.0657098316826472,0.032451712742527415,-0.18991026403929354
Cl,0.08021109557255904,0.1254363890517546,-0.04767172344888493,-0.25153799142462163,0.08691479834910505,0.2632008407305806,0.15701327814030105,-0.06407017909623676,-0.015100338289731629,0.23742443009782122,-0.02595406885252277,0.13407800466911357,0.11381154500553349,-0.010811902318198263,0.2735382073260916,0.11127402996502875,-0.13244339752325365,0.12879104120095702,-0.01694133109794498,0.01757165180532886,-0.03028428041041347,0.1589630153537205,-0.016340563272187244,-0.25536580143608467,0.18151808453191237,-0.21500744570798275,-0.12217701118322268,0.2799787093684412,0.0745392284535247,-0.12909056783495546,0.14319947377005546,-0.10476143248405578
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.043113208327929906,-0.09803680092605223,-0.10012169468629076,-0.07933885949041619,0.08524131133358705,0.31450543107724666,-0.19276633706962432,-0.2939969033954797,0.04307171931561788,0.022019037509365368,-0.05609182146759726,-0.1519924759584995,0.0548828995122095,-0.03390277949764293,-0.13525069789792088,-0.21916177752539814,-0.07249687695424954,0.08498830357359911,-0.13103532934449869,0.02445144279310738,0.1552515495912298,-0.11183394573562144,0.1393956955831105,-0.025892759615495337,-0.17066235778035765,-0.18883911242548082,-0.023160289442821665,0.2105214374849599,0.0610786745050786,-0.0835459438062539,0.2233009030584902,-0.058655020579806406
Ca,-0.022249496460589407,0.061621251843859914,0.13063011354715942,-0.085102147837624,0.2128364029369763,0.1125466316440594,0.055819874807625666,0.008081408157473003,-0.10508123852771807,-0.03055411248607026,0.013598284971959956,-0.03904233788491258,-0.1904032635859184,-0.10334033020996158,-0.2158948069503222,-0.31604419544469237,0.12147157967592656,-0.014198152150839222,-0.060354110250760235,-0.1932807218841361,0.027485907179030503,-0.015643547441338203,-0.06912174808379548,-0.14814827352963597,-0.08339685690159482,0.006204901057642228,0.16997581213121274,-0.11016480980303282,-0.18331025415693036,-0.07981170649296873,0.00026042313348923754,0.16738915117413627
Sc,0.07800620069001998,0.02547410178616358,0.059056599898949624,-0.017091718341631458,0.17719616492536855,0.1244870546444952,0.009785270542253479,-0.07357003792077586,-0.22151634938287862,-0.03350807087778757,0.13619824422875657,0.19082157144274012,-0.09351959939445353,0.05909696982642132,-0.0029469430326051855,0.04239615390388362,0.18726175991087415,-0.12527880746329045,-0.008797178380510305,-0.06331126410566208,0.023773494760945518,0.06943370723850763,-0.12240632701743771,0.11509341784071955,-0.1524598236023436,-0.25082498928006525,0.0843531806062164,0.044353842490134084,-0.13749388594198433,-0.08024127664185166,-0.23618712122361132,0.071980346702655
Ti,-0.024015211964641115,0.04100818091680982,-0.1393041804440081,0.18126814024529014,0.19225350831149554,-0.20836280869104667,0.18850502027399907,0.14591841396106225,-0.10354007979055832,-0.015197329165517894,0.10441050327917668,0.07081281258007388,-0.07680574203568055,-0.023840697811733123,0.05450819733106494,-0.05240212073388497,0.027347082657874146,0.006630673465425103,-0.039208129826624756,0.07961017750427192,0.16818093603072373,-0.090067562322721,-0.24903948176657162,-0.13355745091563254,-0.017047901295524956,-0.013989164612753686,-0.05823778369879837,-0.0908660920498322,0.0697499986921781,0.20926341364605247,0.03810259829975703,0.03062846012084698
V,0.10214951151685973,0.10123273712605226,-0.05345354211304271,-0.012620600677427405,0.1211621878430791,-0.17774137397307488,0.005122244151228979,0.12320256480901604,-0.11529882671512334,-0.28661277472727054,-0.12217605210941404,0.1391505378219671,0.01945700473578405,-0.14397393196895272,0.09232249270276965,-0.0626092623386312,0.09311119483328936,-0.12765429231169237,0.13234438743143562,0.02814583261042073,-0.0701637535236467,-0.10267359505337367,-0.10691003018540185,0.10052655553504204,0.049307668377824965,-0.00694461958992097,-0.08367790116249937,-0.011483418281307564,0.04767778816486174,0.11102367103212905,0.05302234937238502,-0.041530898578633554
Cr,0.0071838616598099165,-0.1698691813698314,0.040384508528807435,-0.007064370257407965,0.048669392062513514,0.031464584891000555,-0.015759197658709607,0.032194393166866106,-0.2033128821434439,-0.2291706395211711,-0.17803902224279552,-0.01926500227117612,-0.03563267312911834,-0.05744075964067317,0.07291185724073658,0.07432208634051435,0.04719002391083843,0.07614321608145715,-0.011754237649084233,0.20388938704050102,-0.03180413796983949,0.06087379811519327,-0.17502049608812165,0.15012973494337264,-0.10734375396988695,0.09223266533758503,-0.010949126476463115,-0.015341419700124592,-0.07551672619008425,0.09842132166747788,0.23726449171733638,0.015433325950080803
Mn,-0.05685066645307541,0.05479273479137649,-0.019118014112838953,-0.14605657476918296,0.1602249024701685,-0.034377891795984335,0.23189541842914077,0.10559068119172746,-0.24461464662712198,-0.16043626544866058,0.00295860553451338,0.10635176429232748,0.013192047120261209,0.01672993904672742,0.14371632345374247,0.11588342425618542,-0.11327418580066435,-0.05137124458314873,-0.13758355724581534,0.19098028649690624,0.1543218390344335,-0.0694204728396351,-0.120176083902782,0.02322518525820858,-0.05002377521320951,0.11281495246268732,0.08766365395136584,-0.12242468728097225,-0.03072739019321488,0.002656287427261237,0.19994348960374678,0.04439158341284738
Fe,-0.0576857429297811,0.14274465018836935,0.0489971287271666,-0.027623457306128564,0.09383516086954964,0.04879525966059892,-0.032619848405363014,0.0014473184933011065,-0.06544336171754249,-0.17341714667051492,-0.025247154418748603,-0.11517935344096525,-0.032519649558398235,-0.24858430180049823,-0.006077903835884852,0.1810206495729176,-0.06276023137055133,0.05080101357072418,0.07222410809176719,0.16694244606371916,0.07000609209180238,-0.1202294768098342,-0.1804719036342649,-0.07750433428548949,-0.08775672369689481,-0.11205520955953972,-0.16219195315290705,-0.2556328360276491,-0.06498209968388029,0.11931579962977715,-0.06380344314161873,0.08558797498360853
