element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.08240036509937941,0.012931113922960136,0.06667695394293005,-0.107102570321934,0.2545899150925587,-0.06062013622716336,0.11688024600997292,-0.0071312726628490275,0.06450925299204312,0.13065649890033737,0.0341218158138386,0.05880980770873193,0.13702993537356215,-0.06700475835109482,0.08276865280593292,0.09079680148148266,0.10771228664670336,-0.0059034573664650414,0.17083451400017874,-0.06142561791227597,0.14197956194147748,-0.13428357097220403,0.09365436662573702,0.13055610009241767,-0.11368128382277344,-0.10173750330781094,0.09971470850888825,-0.07586371846868437,0.08263119315550554,-0.07871177765475175,-0.11131957199822862,0.12628391244980122,-0.03950745442684836,0.04808853958795285,-0.13203506517199415,0.060971730890715475,-0.07140597333401379,-0.11161091443928117,0.059836689244127605,-0.059446050268419565,0.08547978361501438,-0.12443601120093999,0.1745246256680826,-0.1324033700829888,0.06463260456193796,-0.09035587340910774,-0.08576685024391448,-0.11984686841506191,-0.10308254452289092,0.0680026298730311,-0.11451566172006258,0.23795762346775015,-0.10999019272688139,-0.11296425728386823,0.13944695708947585,-0.008173337235877825,-0.16194114401063028,0.05171376788709434,-0.17704295735243913,0.0661633638398333,0.029933093357128782,0.08735663821864344,0.04878820805015815,0.1339298217500681
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.022039195232533417,-0.00939344975149006,0.17942656632826615,-0.02753651281766426,0.2011066399002013,0.05350305942897871,-0.10064059782581875,-0.06605182292674361,0.13599192236761573,0.19750691673826082,-0.035588247724421526,-0.08363092696987409,-0.01595960188145975,0.02629093499253098,0.2075272726687077,-0.02741101206224093,0.020390350899825927,0.1200622808475948,0.12355699337467875,-0.11330336312302985,0.06798086755024448,-0.014379092294150067,-0.013062143051457384,0.027398042190497678,0.028832355725234474,0.07065107217751743,0.09971056561240452,0.06360199170430614,-0.07065848213826993,-0.05843977366752491,-0.19635888826521028,0.031088342472812204,0.06248244254972903,0.18957624321957237,-0.2031429891945385,0.03711218197584001,0.005648617424011787,-0.12676600667869717,0.09141571440869783,0.10552220777396287,0.03185382684609175,-0.1096784862208969,0.07262162825126792,0.047198090341050485,0.10701737505477943,-0.09892759823415023,0.04201203111220508,-0.1671606272678537,-0.026766367516517443,-0.036331125026862046,0.04593323078246951,0.12775686294993868,-0.09883411191843192,-0.0892910320527163,0.0641568829123426,0.09764103143568884,0.11543782372122294,0.013797203288075925,-0.0030392208227558917,0.032397570128108545,0.09696591016699933,0.09811626939530169,0.01314139259433665,0.0026626506301525112
Be,0.06463107932239082,0.037937917627381156,0.037899038445602745,-0.1775747315992894,0.26836203145708004,0.14476716564561684,0.060745849759936146,-0.042767072665925644,-0.011071054317991902,0.11744205889029623,-0.05659828190311273,0.04621136188372006,0.10473949640347328,-0.09120798786376136,0.18391776131723947,0.1391323572781319,-0.035056832214632544,0.17356976076304081,0.0868965725066749,-0.02451969900192187,-0.020246006474236296,0.0431667542536188,0.022069346229616406,-0.10156444278244826,0.0289357905131247,-0.12410278443312892,-0.04736290768740552,0.11868646375823219,0.07969974844150964,-0.05798980114202433,-0.03787935741602085,0.005683793918371837,-0.10892178031522523,0.004502581500464118,-0.05051358415265577,0.12189787667113434,0.01520307010613257,-0.018214600855048956,-0.03778594576314333,0.07021233262707303,-0.09105646173963622,-0.03571156810646167,0.0540993569525478,0.06979127727843022,-0.009959851127333792,-0.16877389900016804,-0.11817978949347023,0.018647809578924496,-0.04147829877317484,-0.05819605920320106,-0.16380289381248955,0.18103774362515987,-0.1638851111380221,0.03853352626368003,0.09761973770932746,-0.12135954331259016,-0.1133295418040408,0.156273483544464,-0.013511662199371586,-0.029623197846128123,0.0945297613940745,0.15544288267365025,0.1719705095255875,0.011856768590248671
B,0.07557581013891264,0.08741157128194538,0.12256123713145549,-0.19499107000641247,0.1772783085680641,0.1985637062001805,-0.11070359691491606,-0.018458436924510654,0.11869402418143499,0.11603449547535703,0.015560876463777828,0.042309807355568635,0.022902836566894277,-0.13610216029065145,0.16952218758543353,0.13317481723161384,0.08113651530853684,0.09101070957369047,0.1431869914907399,-0.017634696349021546,0.11569541831149967,-0.03762521965107029,0.06485189179705671,0.09344877983884162,0.07768852980685786,-0.032385483414039906,-0.06881504628690434,-0.08217813216124835,-0.002307363983148859,-0.15054367990349704,-0.05210761801230645,0.03630787448843808,-0.09910321019020704,0.03727204434821708,-0.17924812979917104,-0.09395801765155334,0.02320619287782321,-0.12654313947406196,-0.08987728842669945,0.025694444099150473,0.03778993701681993,-0.12770694689984508,0.08323656194337437,-0.15527777901376377,-0.14205800108486885,-0.09656549130007828,-0.06848221436681978,0.028805110362106714,0.020134813200171103,0.13141270889267545,-0.07844679757303649,0.1002256613803786,-0.051943480036245,-0.12471293921538859,0.1225312609921566,-0.10023812700720047,-0.1819408799028483,0.1864160948998418,0.03564022014405336,0.032188093155046796,-0.060641835039782745,0.007601871214817391,-0.052845479981525965,-0.009341944565702042
C,-0.06602979091034578,0.15864922900970874,0.11775745324976439,-0.13721467438576476,0.12290370238524873,0.16457909408180024,-0.04370610892381203,-0.06450775903822811,0.10333787274810868,0.016512738720037817,-0.06566900276243437,-0.10058938612169013,-0.02178412795395273,-0.13495139326269695,0.02915167153562763,0.1477316648974181,-0.03702199789586508,0.011871325598413465,0.19922720564400917,-0.001649836877561163,0.11868480103222934,-0.11318472232750364,-0.049507006283285346,-0.03781184684079585,-0.07100810987726207,-0.079547591833113,-0.1472415550730737,-0.09949857749182807,-0.0590772229747267,-0.048192998694088815,-0.09849375794371645,0.005236870660891301,-0.05288414743537637,0.051152644721167345,-0.20580113572319325,0.05879558539959742,0.06035501073957814,-0.14388951320174986,-0.02401487767012687,0.020596676159631438,-0.06182486726600541,-0.11650243819747018,0.14776170061741395,-0.07738261767938447,-0.16416543011566792,-0.1908614329997589,-0.09427013997425558,0.0547312422895765,0.0039102057953673735,-0.02664634935913939,-0.10586243116260957,0.15925273105901572,-0.22873518534536524,-0.1345267819131895,0.1942981872949564,-0.022149917411443995,-0.10626931845248556,0.12564287605367083,-0.12045992705776133,0.007174461847914655,-0.036933061379398585,0.036888390510984546,-0.08991657560693961,0.04676116338635547
N,-0.05314308559561466,0.16118268594501534,0.14926999739659325,-0.13863597907877692,0.14091871305461678,0.1005249734378911,-0.06483407917670418,0.009679177836440704,0.13837758389557522,0.04649535289012233,0.12813615312257198,-0.04038129356382965,0.15223986041740628,0.0239577440506993,0.15620501227516323,0.003269134520397535,0.06051781984579866,0.018570597873966,0.09610440168968301,-0.12804972123364855,0.14862784142752355,-0.022773781549712595,0.06456959352325278,0.10237052224287747,-0.1749363357646434,-0.010787180928449061,-0.12062122659785632,0.04226950131420882,0.10174721750300184,-0.012973066237762187,-0.0631004304507711,0.060764853673088016,-0.06797212775241242,0.13474634261301618,-0.11441097672751992,-0.026529219394686557,0.04908456802534234,0.020896295326280994,-0.08174581030478921,-0.10053311009476465,0.10822135242289377,-0.048320375074585684,0.03271708332837339,-0.15878496832345962,-0.16827275326250993,-0.2450341275457324,-0.023278101338538908,0.07682962540028794,-0.001493867681414344,0.01863394243233196,-0.20122480879377616,0.16468970414569797,-0.1172684659896631,-0.052716488946453824,0.1898069299209454,-0.17061375149762215,-0.05975105801536704,0.12131398684288941,-0.059140051464057604,-0.004643113925065701,-0.09107942081871831,0.16400170227003222,-0.11276774548469388,0.18094055125663946
O,-0.010968044527226078,0.10729765488855424,0.14052084571062204,0.07941310831064687,0.13861921414492634,0.01910158881536052,0.04271706060963338,-0.12243015713530926,-0.019226559458722287,0.09660979134352285,0.014987317997288778,0.02279357215746044,0.09113655230589238,0.08631944207741664,0.2284087578449123,0.020425885959071667,-0.03764244862687786,0.039612403393467145,0.05105484461459038,-0.03887577935565921,0.18041736148728846,0.006950140718482214,-0.008106503930525073,-0.08526333386843785,-0.11326953442023517,-0.09156107888603797,0.07867718851152604,-0.05381739689951282,-0.08586485753562938,-0.12973894979917283,-0.04343608663928437,0.05711198067314707,-0.04072894816324026,-0.03891867552223047,-0.06791576108720568,-0.060859357802718124,0.08120298745709338,-0.04644879250418467,-0.06229505522578237,-0.09570901048891703,0.18533881305184358,-0.08241552899877432,0.1266968402083206,-0.14021455145647624,-0.08866635444135246,-0.241935431299862,0.00027543526756882905,0.13892328531332376,-0.043222146976333184,-0.08038430500823938,-0.19656395326853998,0.03134605728372998,-0.15900131754800276,-0.1853018748172619,0.2014853594931475,-0.05864992068808205,-0.12978513497115104,0.22760318596145693,-0.15265501766001993,0.1478729981409321,-0.06504605875321662,0.1598399306291733,0.0002201542021892255,0.1924146672247465
F,0.12420087636218356,0.024547684498386204,0.12832051087646185,0.06443305084230679,0.06882759997967255,0.021390196071490876,-0.0003369024672576019,-0.17816781539674223,-0.0958477301018611,-0.05538162685290483,0.1081018536819002,-0.07998427918675166,-0.10685730987251205,0.16057538910005564,0.20780347721370931,0.09242254873085091,0.12226840901261586,-0.04785141380404519,0.012331284770692383,0.03192057347291686,0.22637350106388332,-0.060571016220032435,0.04535475852166647,-0.08444877457355773,-0.1520488284066999,-0.03747679748742433,0.029927588439537283,-0.00014208133321754542,-0.018329753493724798,0.12477970119035005,-0.13029713099013382,0.014424941412627129,0.13257276568650983,0.18604761802689554,0.06801528669514344,0.06333134768585197,0.04544824556669748,0.017497955254211828,-0.054723945272305695,-0.02272319208224873,0.0008979933327838282,-0.14557640275409586,0.1412728144379778,-0.011351384454956294,-0.20157613203650937,-0.20153164697710524,0.08057334154441964,-0.09435215384804453,0.0679041344023435,0.030361203630867768,-0.13051852522522803,-0.026349640118979493,0.08097874152364361,-0.1059053146971321,0.1779217553524396,-0.02211218997548172,-0.15664407531837982,0.22958876031645487,0.03507703821115313,0.12942483236745092,0.06141035565273113,0.11667081079281981,0.05190226592416338,0.2577965078396311
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
