split,MAE,MSE,RMSE,R2
train,0.3922395697145751,0.6380506462771859,0.7987807247781996,-0.145837869935189
test,0.4745603941587938,0.7345848901202623,0.857079278783627,-0.2936420471501566
train,0.3922395697145751,0.6380506462771859,0.7987807247781996,-0.145837869935189
test,0.4745603941587938,0.7345848901202623,0.857079278783627,-0.2936420471501566
train,0.3922395697145751,0.6380506462771859,0.7987807247781996,-0.145837869935189
test,0.4745603941587938,0.7345848901202623,0.857079278783627,-0.2936420471501566
train,0.38936252901048374,0.6202593041638831,0.7875654284971396,-0.11388743830512871
test,0.45489782684793073,0.6990089379180925,0.8360675438731565,-0.23099095228677546
train,0.3922395697145751,0.6380506462771859,0.7987807247781996,-0.145837869935189
test,0.4745603941587938,0.7345848901202623,0.857079278783627,-0.2936420471501566
