split,MAE,MSE,RMSE,R2
train,0.16363268639102127,0.17165315894903413,0.41431046203183686,0.6917381227251953
val,0.41061879446109134,0.518084385077385,0.7197807896001288,-0.17193950325889373
test,0.4640248654824164,0.6516181272436339,0.807228670974733,-0.14753327957726015
train,0.16363268639102127,0.17165315894903413,0.41431046203183686,0.6917381227251953
val,0.41061879446109134,0.518084385077385,0.7197807896001288,-0.17193950325889373
test,0.4640248654824164,0.6516181272436339,0.807228670974733,-0.14753327957726015
train,0.16363268639102127,0.17165315894903413,0.41431046203183686,0.6917381227251953
val,0.41061879446109134,0.518084385077385,0.7197807896001288,-0.17193950325889373
test,0.4640248654824164,0.6516181272436339,0.807228670974733,-0.14753327957726015
train,0.38936252901048374,0.6202593041638831,0.7875654284971396,-0.11388743830512871
test,0.45489782684793073,0.6990089379180925,0.8360675438731565,-0.23099095228677546
train,0.38936252901048374,0.6202593041638831,0.7875654284971396,-0.11388743830512871
test,0.45489782684793073,0.6990089379180925,0.8360675438731565,-0.23099095228677546
train,0.38936252901048374,0.6202593041638831,0.7875654284971396,-0.11388743830512871
test,0.45489782684793073,0.6990089379180925,0.8360675438731565,-0.23099095228677546
train,0.3922395697145751,0.6380506462771859,0.7987807247781996,-0.145837869935189
test,0.4745603941587938,0.7345848901202623,0.857079278783627,-0.2936420471501566
train,0.3922395697145751,0.6380506462771859,0.7987807247781996,-0.145837869935189
test,0.4745603941587938,0.7345848901202623,0.857079278783627,-0.2936420471501566
